comparison,rank,type,rank_1,rank_2,count_1,count_2,contribution,side
qwen,1,hasan,15.0,351.0,23,9,-0.0005664153571720373,system_1
qwen,2,right,121.5,12.0,7,46,0.000519310818312307,system_2
qwen,3,goes,121.5,13.5,7,45,0.0004911688899553811,system_2
qwen,4,fascism,49.0,3699.0,11,1,-0.00047510728426340584,system_1
qwen,5,aoc,28.5,596.0,15,6,-0.00047499874268515623,system_1
qwen,6,piker,38.0,1259.0,13,3,-0.0004686337551262561,system_1
qwen,7,gop,527.0,29.0,3,35,0.0004632191115562793,system_2
qwen,8,lies,15.0,102.0,23,18,-0.00044548216521696666,system_1
qwen,9,says,38.0,9.0,13,58,0.0004311851251421314,system_2
qwen,10,fox,886.5,42.5,2,30,0.00042968282757321576,system_2
qwen,11,republican,527.0,36.5,3,32,0.0004211889252173914,system_2
qwen,12,mark,886.5,46.5,2,27,0.00041464462791710236,system_2
qwen,13,violence,38.0,487.5,13,7,-0.00040818212705943577,system_1
qwen,14,islam,2121.5,65.5,1,22,0.00040794418517333715,system_2
qwen,15,democratic,28.5,257.5,15,11,-0.00040784367583633017,system_1
qwen,16,kirk,161.0,23.0,6,38,0.0004035560725162063,system_2
qwen,17,levin,4703.0,90.5,0,19,0.0003949253032577202,system_2
qwen,18,gaza,38.0,406.0,13,8,-0.0003937419580327616,system_1
qwen,19,tucker,161.0,24.5,6,37,0.00039026621588003884,system_2
qwen,20,charlie,352.0,36.5,4,32,0.0003890773310841069,system_2
qwen,21,mamdani,28.5,198.0,15,13,-0.0003817022149669498,system_1
qwen,22,democrat,121.5,22.0,7,39,0.00038018056473923556,system_2
qwen,23,nick,4703.0,102.0,0,18,0.0003790007240032972,system_2
qwen,24,noem,2121.5,80.5,1,20,0.00037795651245946493,system_2
qwen,25,insane,161.0,26.0,6,36,0.00037788425692633875,system_2
qwen,26,lost,886.5,58.5,2,23,0.0003774601467693975,system_2
qwen,27,end,886.5,58.5,2,23,0.0003774601467693975,system_2
qwen,28,candace,352.0,40.0,4,31,0.0003724121464949406,system_2
qwen,29,progressive,71.0,1259.0,9,3,-0.00036891551560330505,system_1
qwen,30,left,8.5,24.5,38,37,-0.00036295849498183046,system_1
qwen,31,destroyed,886.5,65.5,2,22,0.0003597550581986751,system_2
qwen,32,women,57.5,15.5,10,43,0.0003560137082778376,system_2
qwen,33,democracy,92.0,1866.5,8,2,-0.00035283122244021616,system_1
qwen,34,genocide,71.0,943.5,9,4,-0.00035140454677411333,system_1
qwen,35,owens,527.0,55.0,3,24,0.00035066831706367463,system_2
qwen,36,fraud,232.0,36.5,5,32,0.0003498544584757111,system_2
qwen,37,bernie,121.5,3699.0,7,1,-0.0003470537792291308,system_1
qwen,38,marc,121.5,3699.0,7,1,-0.0003470537792291308,system_1
qwen,39,conservative,4703.0,131.5,0,16,0.00034652381767639876,system_2
qwen,40,west,4703.0,131.5,0,16,0.00034652381767639876,system_2
qwen,41,kristi,2121.5,102.0,1,18,0.0003450779387962765,system_2
qwen,42,biden,23.5,102.0,16,18,-0.00034297614820489,system_1
qwen,43,zohran,71.0,738.5,9,5,-0.0003348890134191403,system_1
qwen,44,pray,2121.5,114.5,1,17,0.000329587535105442,system_2
qwen,45,carlson,886.5,80.5,2,20,0.00032840936511881403,system_2
qwen,46,doj,71.0,20.0,9,40,0.00032725837272377467,system_2
qwen,47,backfires,38.0,198.0,13,13,-0.00032525998406060107,system_1
qwen,48,palestinian,161.0,3699.0,6,1,-0.0003121597673907817,system_1
qwen,49,missiles,161.0,3699.0,6,1,-0.0003121597673907817,system_1
qwen,50,lamont,161.0,3699.0,6,1,-0.0003121597673907817,system_1
qwen,51,student,4703.0,175.0,0,14,0.00031203277832899653,system_2
qwen,52,ds,4703.0,175.0,0,14,0.00031203277832899653,system_2
qwen,53,media,23.5,80.5,16,20,-0.0003089422142567135,system_1
qwen,54,zionist,4703.0,198.0,0,13,0.00029775627543466297,system_2
qwen,55,wilson,4703.0,198.0,0,13,0.00029775627543466297,system_2
qwen,56,putin,4703.0,198.0,0,13,0.00029775627543466297,system_2
qwen,57,worse,38.0,155.0,13,15,-0.00029655348883894493,system_1
qwen,58,palestine,92.0,738.5,8,5,-0.0002957536592830024,system_1
qwen,59,midterms,886.5,102.0,2,18,0.0002938424757527638,system_2
qwen,60,leftists,49.0,226.0,11,12,-0.0002921891785408572,system_1
qwen,61,kash,2121.5,155.0,1,15,0.00029064472149928355,system_2
qwen,62,declares,2121.5,155.0,1,15,0.00029064472149928355,system_2
qwen,63,can't,527.0,80.5,3,20,0.0002895554959442693,system_2
qwen,64,fascist,232.0,5713.0,5,0,-0.0002875580176851187,system_1
qwen,65,whistleblower,232.0,5713.0,5,0,-0.0002875580176851187,system_1
qwen,66,blatant,232.0,5713.0,5,0,-0.0002875580176851187,system_1
qwen,67,uss,232.0,5713.0,5,0,-0.0002875580176851187,system_1
qwen,68,court,12.5,29.0,24,35,-0.0002847156063474057,system_1
qwen,69,air,4703.0,226.0,0,12,0.00028286035102614686,system_2
qwen,70,lie,44.0,175.0,12,14,-0.0002828451787734658,system_1
qwen,71,california,232.0,53.0,5,25,0.0002808109587451457,system_2
qwen,72,dsa,161.0,1866.5,6,2,-0.00027902546193367156,system_1
qwen,73,cost,161.0,1866.5,6,2,-0.00027902546193367156,system_1
qwen,74,republicans,21.0,10.0,17,55,0.0002771842598276526,system_2
qwen,75,supreme,23.5,65.5,16,22,-0.0002758473779576482,system_1
qwen,76,civil,2121.5,175.0,1,14,0.0002756640055440188,system_2
qwen,77,warning,2121.5,175.0,1,14,0.0002756640055440188,system_2
qwen,78,terror,121.5,943.5,7,4,-0.00027359099264445734,system_1
qwen,79,hill,121.5,943.5,7,4,-0.00027359099264445734,system_1
qwen,80,obama,527.0,90.5,3,19,0.00027150500381905614,system_2
qwen,81,resistance,232.0,3699.0,5,1,-0.00026976016480860125,system_1
qwen,82,abolish,232.0,3699.0,5,1,-0.00026976016480860125,system_1
qwen,83,crimes,232.0,3699.0,5,1,-0.00026976016480860125,system_1
qwen,84,making,232.0,3699.0,5,1,-0.00026976016480860125,system_1
qwen,85,deep,4703.0,257.5,0,11,0.00026855085429113734,system_2
qwen,86,devastating,4703.0,257.5,0,11,0.00026855085429113734,system_2
qwen,87,rick,4703.0,257.5,0,11,0.00026855085429113734,system_2
qwen,88,destroys,19.0,46.5,19,27,-0.00026683589686127013,system_1
qwen,89,black,10.0,20.0,36,40,-0.00026494480918242894,system_1
qwen,90,won't,57.5,226.0,10,12,-0.0002631977763989619,system_1
qwen,91,canada,232.0,58.5,5,23,0.00026307897703436165,system_2
qwen,92,brian,92.0,487.5,8,7,-0.00026224218046519025,system_1
qwen,93,warns,2121.5,198.0,1,13,0.0002607641709921363,system_2
qwen,94,radical,2121.5,198.0,1,13,0.0002607641709921363,system_2
qwen,95,gets,28.5,13.5,15,45,0.0002583562593435997,system_2
qwen,96,mass,886.5,131.5,2,16,0.0002582669294041232,system_2
qwen,97,mike,886.5,131.5,2,16,0.0002582669294041232,system_2
