creator,genre,caps_share,exclamations,power_words,emoji,vader_intensity,n_titles,caps_share_01,exclamations_01,power_words_01,emoji_01,vader_intensity_01,arousal_index,low_n,group,organisation,clipper,rank_in_genre,percentile_in_genre
@RobertGouveiaEsq,streams,0.25458372796035134,2.664935064935065,0.5688311688311688,0.36363636363636365,0.40863116883116885,385,0.24413143718555966,1.0,0.4859702141545955,1.0,1.0,0.746020330268031,False,right,Robert Gouveia,False,1.0,100.0
@LukeBeasley,streams,0.711320104917666,0.7276422764227642,1.0934959349593496,0.0,0.3580040650406504,246,0.7198199351018659,0.40718269017777164,0.956262624587445,0.0,1.0,0.6166530499734165,False,left,Luke Beasley,False,2.0,98.73417721518987
@SecularTalk,streams,1.0,0.0,2.0,0.0,0.486,1,1.0,0.0,1.0,0.0,1.0,0.6,True,left,Kyle Kulinski,False,,
@DrSteveTurleyTV,streams,0.29021730957214825,2.806451612903226,0.9032258064516129,0.0,0.29451612903225804,31,0.2812436221733517,1.0,0.7857106776183016,0.0,0.7898064298787859,0.5713521459340878,True,right,Steve Turley,False,,
@bennyjohnson,streams,0.1611425441900066,0.23214285714285715,1.0119047619047619,0.5535714285714286,0.26798214285714284,168,0.14681294320584562,0.12990525171473602,0.8831269541115068,1.0,0.6911277641178512,0.5701945826299879,False,right,Benny Johnson,False,3.0,97.46835443037975
@SabbySabs,streams,0.9954981507165973,0.02912621359223301,1.145631067961165,0.0,0.3049029126213592,103,1.0,0.0162987918506913,1.0,0.0,0.8284343970208403,0.5689466377743064,False,left,Sabby Sabs,False,4.0,96.20253164556962
@HasanabiClips,streams,0.7338417658730159,0.09375,0.0,3.625,0.4144375,32,0.7432761247353707,0.05246173626941262,0.0,1.0,1.0,0.5591475722009567,True,left,HasanAbi,True,,
@Vaush,streams,0.8888888888888888,0.0,1.0,0.0,0.407,1,0.9047568755023679,0.0,0.8724559132235585,0.0,1.0,0.5554425577451853,True,left,Vaush,False,,
@HasanAbi,streams,0.989010989010989,0.5714285714285714,0.2857142857142857,4.714285714285714,0.13642857142857143,7,1.0,0.3197667734516578,0.232193459946662,1.0,0.20188612439649167,0.5507692715589623,True,left,HasanAbi,False,,
@JacksonHinkleOfficial,streams,0.9652632689669727,0.0,0.7777777777777778,0.0,0.2937901234567901,81,0.9843003845625804,0.0,0.6732631499818574,0.0,0.787106448765908,0.48893399666206916,False,neutral,Jackson Hinkle,False,5.0,94.9367088607595
