a,b,co_mentions,channels_co_mentioning,phrase_pair,r_pooled,r_lo_pooled,r_hi_pooled,r_shift_p_pooled,peak_ccf_pooled,peak_lag_pooled,peak_shift_p_pooled,pw_peak_ccf_pooled,pw_peak_lag_pooled,pw_band_pooled,r_channels,r_lo_channels,r_hi_channels,r_shift_p_channels,peak_ccf_channels,peak_lag_channels,peak_shift_p_channels,pw_peak_ccf_channels,pw_peak_lag_channels,pw_band_channels,r_pooled_knots3,r_pooled_knots10,granger_order,granger_a_to_b_p,granger_b_to_a_p,naive_or,week_observed,week_expected,week_lift,week_z,week_p,week_or_mh,week_or_lo,week_or_hi,week_log_or_se,day_or_mh,day_or_lo,day_or_hi,day_z,z_half_a,or_half_a,z_half_b,or_half_b,title_replicated,group_left_or,group_left_lo,group_left_hi,group_neutral_or,group_neutral_lo,group_neutral_hi,group_right_or,group_right_lo,group_right_hi,group_heterogeneity_p,loo_or_min,loo_or_max,loo_z_min,loo_z_max,loo_most_influential_org,meta_k,meta_theta_re,meta_se_re,meta_tau2,meta_i2,meta_q,meta_q_p,meta_share_or_gt1,meta_share_sig_pos,meta_share_sig_neg,screen_lift,screen_q,screen_replicated,screen_channels,title_kind,title_direction,time_reading
iran,war,11300,201,False,0.6715,0.5579,0.7604,0.0000,0.6715,0,0.0000,0.4438,0,0.1225,0.6310,0.5082,0.7348,0.0000,0.6310,0,0.0000,0.3576,0,0.1227,0.7557,0.5486,2,0.0070,0.5011,14.1354,11282.0000,4970.6304,2.2697,129.3814,0.0000,8.5319,8.2098,8.8666,0.0196,8.4089,8.0614,8.7715,117.7726,69.7880,6.0791,110.3961,11.1442,True,6.5081,6.1168,6.9243,11.2320,10.6287,11.8696,6.3852,5.7223,7.1248,0.0000,7.8177,11.2982,114.7346,131.9115,Network18,160,2.7698,0.0846,0.8480,0.9387,2593.9339,0.0000,0.9812,0.9000,0.0063,2.2697,0.0000,True,201.0000,landscape,co-mention,co-move
epstein,epstein files,1395,148,True,0.7073,0.6073,0.7934,0.0000,0.7073,0,0.0000,0.5578,0,0.1225,0.6417,0.5422,0.7247,0.0000,0.6417,0,0.0000,0.5040,0,0.1227,0.7414,0.6651,1,0.0016,0.0424,,1389.0000,227.3983,6.1082,98.5203,0.0000,,,,,,,,73.4623,66.6705,,73.0380,,True,,,,,,,,,,,,,,,,62,7.2041,0.1857,0.0000,0.0000,44.9813,0.9381,1.0000,1.0000,0.0000,,,,,landscape,co-mention,co-move
iran,trump,14741,187,False,0.1582,-0.0328,0.3304,0.0580,0.2199,6,0.0820,-0.2079,12,0.1225,0.2175,0.0580,0.3974,0.0540,0.2570,-5,0.2900,-0.1480,11,0.1227,0.2043,0.0030,1,0.0824,0.6993,2.5382,14735.0000,9334.4481,1.5786,82.8298,0.0000,3.0657,2.9806,3.1531,0.0144,3.2210,3.1245,3.3205,80.6244,45.6800,2.6556,69.8628,3.3944,True,2.2278,2.1212,2.3398,3.7891,3.6408,3.9433,3.2784,3.0692,3.5018,0.0000,2.9448,3.3932,74.9034,83.0181,Network18,167,1.2468,0.0487,0.2198,0.8786,1367.8283,0.0000,0.9581,0.7126,0.0060,1.5786,0.0000,True,187.0000,landscape,co-mention,none
iran,deal,2447,129,False,0.0339,-0.2115,0.2904,0.8080,-0.1519,-12,0.9060,0.1468,4,0.1225,0.1632,-0.0451,0.4129,0.1680,-0.1635,-12,0.8460,0.1674,0,0.1227,-0.1785,0.1338,1,0.8412,0.9061,7.1793,2446.0000,881.0584,2.7762,64.7093,0.0000,6.6330,6.2039,7.0917,0.0341,6.5286,6.0740,7.0172,58.8314,39.9607,6.4922,50.8975,6.7244,True,5.8050,5.0831,6.6294,5.9209,5.4237,6.4637,12.6656,10.6949,14.9994,0.0000,6.4834,7.5320,62.5977,64.8462,MS NOW,87,2.3184,0.1002,0.5637,0.8688,655.4467,0.0000,0.9885,0.9310,0.0000,2.7762,0.0000,True,129.0000,landscape,co-mention,none
ice,shooting,922,114,False,0.1261,-0.1076,0.3858,0.2000,-0.1768,7,0.6500,-0.1287,-14,0.1227,0.1025,-0.1333,0.3220,0.3180,-0.1627,7,0.7180,0.1149,0,0.1227,0.2594,0.1910,1,0.5257,0.3077,21.7620,921.0000,232.3156,3.9644,53.9069,0.0000,12.5874,11.2409,14.0953,0.0577,10.3998,9.0536,11.9461,40.7323,34.8017,12.2742,41.1946,12.8355,True,14.4646,11.7104,17.8665,12.4937,10.6564,14.6478,10.4300,8.2100,13.2502,0.1331,12.1500,13.7094,51.2491,54.0384,Times Group,66,3.2996,0.1234,0.6578,0.8129,347.4639,0.0000,1.0000,0.9394,0.0000,3.9644,0.0000,True,114.0000,landscape,co-mention,none
ice,minneapolis,935,99,False,0.2935,0.0993,0.5127,0.0000,0.2935,0,0.0000,0.1853,0,0.1227,0.2290,0.0608,0.3907,0.0000,0.2290,0,0.0000,0.1355,0,0.1227,0.5134,0.2565,1,0.0854,0.2936,46.6509,934.0000,279.0366,3.3472,49.1080,0.0000,9.3804,8.3754,10.5059,0.0578,8.0248,7.0429,9.1435,40.0889,32.1968,9.8028,37.0875,9.0794,True,7.3019,5.9964,8.8917,16.5998,13.9466,19.7577,6.2261,4.9992,7.7541,0.0000,8.4889,10.4633,43.8297,49.7632,Times Group,54,3.6234,0.1679,1.1781,0.8838,456.1976,0.0000,1.0000,0.9074,0.0000,3.3472,0.0000,True,99.0000,landscape,co-mention,none
shooting,minneapolis,569,72,False,0.3034,0.0628,0.5287,0.0000,0.3034,0,0.0000,0.1932,0,0.1225,0.2382,0.0377,0.4287,0.0000,0.2382,0,0.0000,0.1553,0,0.1230,0.4279,0.3326,1,0.0054,0.4637,44.0848,568.0000,121.0198,4.6934,47.0522,0.0000,14.3083,12.3619,16.5612,0.0746,10.3144,8.6957,12.2345,33.5213,29.8723,13.8346,36.3989,14.6760,True,8.2441,6.2110,10.9429,21.1484,17.2988,25.8548,11.9598,8.6802,16.4785,0.0000,13.6464,16.4515,44.2265,47.5152,Times Group,46,3.6713,0.1208,0.3543,0.6863,143.4658,0.0000,1.0000,0.9130,0.0000,4.6935,0.0000,True,72.0000,landscape,co-mention,co-move
deal,trump,2387,121,False,0.0621,-0.0929,0.2281,0.5000,0.1667,-6,0.5860,-0.1876,3,0.1247,0.0498,-0.1355,0.2210,0.6700,0.2117,-6,0.1400,0.1276,10,0.1237,0.0204,0.0961,5,0.1490,0.7482,3.0585,2386.0000,1205.2492,1.9797,43.9399,0.0000,3.7702,3.5347,4.0215,0.0329,3.8841,3.6243,4.1626,41.7918,25.5571,3.5232,35.8427,3.9361,True,2.8908,2.5316,3.3010,3.9734,3.6562,4.3181,4.8523,4.1749,5.6396,0.0000,3.7049,3.8674,40.1859,44.1792,Network18,87,1.2656,0.0608,0.1102,0.5577,194.4381,0.0000,0.8851,0.4943,0.0000,1.9797,0.0000,True,121.0000,landscape,co-mention,none
greenland,trump,1430,116,False,0.0818,-0.0966,0.2663,0.3400,0.2535,8,0.0160,0.2405,8,0.1227,-0.0387,-0.1730,0.0949,0.6220,0.2437,8,0.0000,0.2098,8,0.1227,0.0740,-0.0256,1,0.3312,0.0011,9.6879,1426.0000,663.0786,2.1506,42.6967,0.0000,9.4233,8.3416,10.6453,0.0622,9.1375,8.0017,10.4345,38.6095,26.7560,8.8588,33.6175,9.9326,True,8.1913,6.4183,10.4542,9.8093,8.3998,11.4552,10.8696,8.0231,14.7261,0.3115,9.0128,9.8368,39.6560,42.8584,Times Group,45,2.3254,0.0989,0.1790,0.5375,95.1418,0.0000,1.0000,0.7556,0.0000,2.1506,0.0000,True,116.0000,landscape,co-mention,none
iran,ceasefire,1355,98,False,0.1154,-0.0085,0.2608,0.2400,-0.2091,-5,0.1860,0.1712,0,0.1225,0.1539,0.0075,0.3011,0.0700,-0.2160,-5,0.1380,0.1698,0,0.1227,0.0777,0.2147,1,0.3779,0.1239,9.4422,1354.0000,616.4744,2.1964,38.7715,0.0000,4.9876,4.5490,5.4686,0.0470,5.0905,4.6027,5.6299,35.5314,23.8945,5.3467,30.5791,4.8119,True,2.8361,2.3894,3.3665,5.8099,5.1484,6.5563,9.9609,7.5182,13.1972,0.0000,4.7739,5.8844,36.7403,40.7511,Network18,50,2.2271,0.1324,0.5781,0.8401,306.5040,0.0000,0.9600,0.8600,0.0000,2.1964,0.0000,True,98.0000,landscape,co-mention,none
war,trump,7174,176,False,0.1443,-0.0642,0.3347,0.1200,0.2283,-7,0.2040,0.1390,13,0.1250,0.2402,0.0605,0.3963,0.0760,0.3278,-5,0.0760,0.1607,-5,0.1235,0.2098,0.0149,5,0.0387,0.3467,2.0199,7169.0000,5318.3870,1.3480,36.4241,0.0000,1.9387,1.8696,2.0105,0.0185,1.9672,1.8922,2.0452,34.9050,22.8134,1.8733,28.4766,1.9925,True,1.9611,1.8519,2.0768,2.0419,1.9387,2.1506,1.4627,1.3080,1.6357,0.0000,1.8621,2.0449,31.1891,36.8164,Network18,169,0.7559,0.0419,0.1117,0.6696,508.4227,0.0000,0.8876,0.4320,0.0000,1.3480,0.0000,True,176.0000,landscape,co-mention,none
venezuela,maduro,562,70,False,0.2208,0.0352,0.4295,0.0000,0.2208,0,0.0340,0.2080,0,0.1227,0.1956,0.0406,0.3633,0.0060,0.1956,0,0.1760,0.1752,0,0.1227,0.2101,0.2631,2,0.7167,0.7091,80.9480,558.0000,236.7011,2.3574,26.5134,0.0000,5.0526,4.4208,5.7748,0.0682,2.2557,1.9432,2.6185,12.0757,17.3245,5.0088,20.1029,5.0889,True,4.5991,3.5705,5.9241,5.9572,4.9806,7.1253,3.3680,2.4100,4.7067,0.0090,4.4978,5.3112,23.1179,26.9026,Times Group,34,4.1323,0.1588,0.5719,0.7893,156.6298,0.0000,1.0000,0.9706,0.0000,2.3574,0.0000,True,70.0000,landscape,co-mention,none
shooting,alex,155,43,False,0.0346,-0.1603,0.2045,0.7040,-0.1714,8,0.5500,-0.1553,13,0.1225,-0.0033,-0.1729,0.1597,0.9720,-0.2034,8,0.0800,-0.1212,13,0.1230,0.1138,0.1626,1,0.3538,0.8850,14.6316,155.0000,31.8856,4.8611,24.6219,0.0000,12.8900,9.9805,16.6476,0.1305,7.0328,5.2791,9.3691,15.7818,18.0574,15.2774,16.7643,11.0780,True,9.1904,5.3767,15.7092,19.6120,13.7518,27.9694,9.1400,5.6634,14.7509,0.0124,12.1039,13.8366,22.9145,24.8550,CBS News,39,2.8407,0.1492,0.2869,0.4116,64.5789,0.0046,1.0000,0.5897,0.0000,4.8611,0.0000,True,43.0000,landscape,co-mention,none
iran,epstein,156,65,False,-0.0632,-0.2517,0.1363,0.6160,-0.3490,10,0.0040,-0.1272,13,0.1225,-0.0301,-0.2091,0.1553,0.8600,-0.3318,10,0.0060,-0.1558,10,0.1227,-0.1499,0.1935,1,0.8088,0.3825,0.2057,155.0000,524.9519,0.2953,-19.6497,0.0000,0.2162,0.1821,0.2567,0.0876,0.1898,0.1557,0.2314,-19.0299,-14.5443,0.1934,-13.2778,0.2388,True,0.2202,0.1745,0.2779,0.1504,0.1066,0.2121,0.3988,0.2706,0.5876,0.0011,0.2021,0.2723,-19.9620,-15.4868,Times Group,109,-0.5381,0.1522,1.4635,0.6882,346.4062,0.0000,0.3486,0.0642,0.2202,0.2953,0.0000,True,65.0000,landscape,avoid,iran leads by 10 d (negative)
ice,trump,1242,125,False,-0.2126,-0.3400,-0.0842,0.0540,-0.2126,0,0.4740,-0.2177,0,0.1227,-0.1397,-0.2852,-0.0215,0.1800,0.1879,12,0.4560,-0.1430,0,0.1227,-0.1957,-0.2720,2,0.8873,0.0531,0.7844,1240.0000,1829.1373,0.6779,-19.6184,0.0000,0.4976,0.4628,0.5349,0.0369,0.5144,0.4753,0.5566,-17.0828,-14.8814,0.4762,-12.8641,0.5201,True,0.4500,0.4094,0.4945,0.5815,0.5034,0.6717,0.5441,0.4567,0.6481,0.0073,0.4780,0.5265,-20.2334,-17.0779,MS NOW,128,-0.3997,0.0817,0.4732,0.7439,495.9719,0.0000,0.3047,0.0703,0.2266,0.6779,0.0000,True,125.0000,landscape,avoid,none
iran,ice,89,46,False,0.1466,-0.0027,0.2877,0.2280,0.2826,-2,0.1120,0.1873,-2,0.1225,0.1585,0.0244,0.2945,0.2600,0.2646,-2,0.1680,0.1661,-1,0.1227,-0.1054,0.0572,1,0.5767,0.0064,0.0965,89.0000,423.2379,0.2103,-18.8397,0.0000,0.1622,0.1304,0.2019,0.1116,0.1385,0.1087,0.1765,-18.9461,-14.0115,0.1113,-12.7281,0.2075,True,0.1429,0.1007,0.2027,0.1145,0.0741,0.1771,0.2824,0.1952,0.4084,0.0034,0.1501,0.1935,-18.9820,-16.1595,Times Group,116,-0.9831,0.1295,0.7327,0.4476,208.1911,0.0000,0.2759,0.0086,0.2069,0.2103,0.0000,True,46.0000,landscape,avoid,none
venezuela,trump,1003,120,False,-0.0360,-0.1670,0.1253,0.6300,0.2116,-12,0.2520,0.1321,-7,0.1227,-0.0231,-0.1853,0.1526,0.7520,-0.1556,2,0.5920,0.1026,11,0.1227,-0.0569,-0.0696,2,0.0466,0.2329,1.9087,999.0000,659.5330,1.5147,18.2438,0.0000,2.4249,2.2021,2.6703,0.0492,2.0902,1.8767,2.3279,13.6214,10.4675,2.2176,15.1984,2.6014,True,2.9393,2.4568,3.5165,2.2590,1.9823,2.5742,2.0497,1.6046,2.6181,0.0256,2.2917,2.4984,16.2612,18.5375,ANI,67,0.7998,0.0785,0.1452,0.4987,131.6634,0.0000,0.8955,0.4328,0.0000,1.5147,0.0000,True,120.0000,landscape,co-mention,none
trump,ceasefire,916,96,False,-0.0827,-0.2223,0.0515,0.2580,0.0907,-7,0.9960,0.1641,-7,0.1225,-0.0849,-0.2035,0.0390,0.1780,0.1482,-7,0.4220,0.1780,-7,0.1227,-0.0028,-0.0698,1,0.9416,0.3779,2.0048,916.0000,591.5888,1.5484,17.1112,0.0000,2.1827,1.9894,2.3948,0.0473,2.5406,2.2926,2.8155,18.5474,9.3791,2.0587,14.3486,2.2540,True,1.3463,1.1205,1.6175,2.7336,2.4285,3.0771,2.1760,1.6775,2.8227,0.0000,2.0153,2.2846,14.0091,17.7677,Network18,50,0.8575,0.0934,0.2026,0.6390,135.7253,0.0000,0.8800,0.4400,0.0000,1.5484,0.0000,True,96.0000,landscape,co-mention,none
iran,shooting,72,29,False,0.0471,-0.1346,0.2085,0.6760,0.3190,-3,0.0000,0.1591,-3,0.1225,0.0767,-0.1299,0.2335,0.4460,0.2667,-3,0.0920,-0.1471,-12,0.1227,-0.0759,-0.0022,3,0.0117,0.0004,0.1596,72.0000,301.6239,0.2387,-15.2771,0.0000,0.1818,0.1420,0.2328,0.1261,0.1719,0.1316,0.2246,-14.7873,-10.0959,0.1624,-11.4686,0.1958,True,0.1744,0.1002,0.3035,0.1456,0.1032,0.2054,0.3223,0.2023,0.5134,0.0255,0.1697,0.1927,-15.4758,-13.6327,Network18,67,-0.7609,0.1677,0.7450,0.4974,131.3182,0.0000,0.3433,0.0000,0.2388,0.2387,0.0000,True,29.0000,landscape,avoid,shooting leads by 3 d
trump,china,1400,113,False,0.0179,-0.1477,0.1813,0.7700,-0.1510,5,0.6500,-0.1352,5,0.1225,0.1352,0.0040,0.2830,0.1300,-0.1505,12,0.7700,-0.1440,5,0.1227,0.0226,0.1032,3,0.0853,0.7450,1.4060,1399.0000,1015.8765,1.3771,15.0523,0.0000,1.7206,1.6033,1.8465,0.0360,1.6698,1.5499,1.7989,13.4695,11.5871,1.8883,9.8481,1.6024,True,2.1935,1.8971,2.5363,1.4519,1.3239,1.5922,2.2394,1.8780,2.6704,0.0000,1.6771,1.9902,13.3807,17.0604,Network18,68,0.8208,0.0794,0.1796,0.6559,194.6853,0.0000,0.8824,0.4706,0.0000,1.3771,0.0000,True,113.0000,landscape,co-mention,none
deal,ceasefire,182,36,False,0.1158,-0.0407,0.2773,0.2240,0.2253,2,0.2300,0.1581,14,0.1247,0.0899,-0.0590,0.2226,0.2900,0.1915,2,0.2600,0.1237,2,0.1237,0.1542,0.0526,3,0.0181,0.3713,4.7959,182.0000,70.3300,2.5878,14.2996,0.0000,3.2833,2.7638,3.9005,0.0879,3.8265,3.1373,4.6671,13.8263,7.9070,3.2630,11.9158,3.2921,True,2.5641,1.8044,3.6436,3.5709,2.8709,4.4418,3.6084,2.2542,5.7760,0.2696,3.0656,3.6040,12.4490,14.7711,Times Group,48,1.5728,0.1159,0.1758,0.3674,74.2912,0.0068,0.9583,0.4583,0.0000,2.5878,0.0000,True,36.0000,landscape,co-mention,none
venezuela,ice,16,12,False,-0.0413,-0.1929,0.1243,0.6580,-0.2734,-12,0.1860,-0.1755,-6,0.1227,-0.0229,-0.2052,0.1858,0.8440,-0.2657,-10,0.1480,-0.1890,-6,0.1227,-0.0681,-0.1133,2,0.3543,0.8254,0.2633,15.0000,167.1735,0.0897,-14.1368,0.0000,0.0482,0.0268,0.0869,0.3005,0.0405,0.0178,0.0918,-10.9393,-10.4488,0.0088,-9.6016,0.0844,True,0.0410,0.0156,0.1073,0.0209,0.0054,0.0814,0.1587,0.0635,0.3965,0.0272,0.0334,0.0551,-14.2544,-13.0866,Times Group,52,0.1248,0.1738,0.0000,0.0000,33.4853,0.9724,0.5577,0.0000,0.0000,,,,,channels,avoid,none
war,epstein,89,51,False,-0.1954,-0.3749,0.0030,0.0700,-0.2404,11,0.3180,-0.1272,11,0.1250,-0.1285,-0.3128,0.0643,0.1800,-0.1812,1,0.5480,-0.1320,-3,0.1235,-0.2800,0.0233,2,0.1840,0.4978,0.2341,89.0000,293.3927,0.3033,-13.7449,0.0000,0.2404,0.1925,0.3002,0.1134,0.2102,0.1630,0.2710,-13.4296,-11.5733,0.1853,-7.6380,0.3204,True,0.2586,0.1973,0.3388,0.1469,0.0876,0.2466,0.4635,0.2525,0.8506,0.0177,0.2302,0.2924,-13.9306,-11.1118,Times Group,110,-0.4411,0.1293,0.6755,0.4273,190.3381,0.0000,0.3636,0.0455,0.0818,0.3034,0.0000,True,51.0000,channels,avoid,none
deal,greenland,117,39,False,-0.0269,-0.1486,0.0919,0.7680,-0.1598,8,0.7420,-0.1501,-3,0.1247,0.0239,-0.0893,0.1351,0.7820,-0.1505,8,0.8260,0.1412,-14,0.1237,0.1655,0.0647,3,0.6723,0.0862,3.7143,117.0000,39.6483,2.9509,13.5570,0.0000,4.6059,3.6287,5.8464,0.1217,4.5794,3.5396,5.9246,12.4385,7.9925,4.1693,11.0944,4.9774,True,2.3389,1.3383,4.0877,3.3716,2.4425,4.6541,59.0183,27.7124,125.6892,0.0000,4.1496,6.0700,11.9742,14.9829,Fox News,40,1.6741,0.1721,0.5975,0.6067,99.1534,0.0000,0.9750,0.5000,0.0000,2.9510,0.0000,True,39.0000,landscape,co-mention,none
epstein,ice,40,28,False,-0.0163,-0.1923,0.1823,0.9420,-0.1802,14,0.7300,0.1161,-6,0.1225,-0.0231,-0.1959,0.1531,0.8900,-0.2021,14,0.5800,0.1389,-6,0.1227,0.0079,0.0866,1,0.9368,0.9574,0.3361,40.0000,202.8144,0.1972,-13.2866,0.0000,0.1540,0.1114,0.2130,0.1654,0.1584,0.1114,0.2252,-11.8482,-11.0145,0.0833,-7.6414,0.2459,True,0.1180,0.0776,0.1795,0.2360,0.1187,0.4694,0.2792,0.1285,0.6067,0.0733,0.1332,0.1699,-13.5734,-12.0667,MS NOW,95,-0.1172,0.1344,0.3079,0.1967,117.0145,0.0541,0.4526,0.0421,0.0316,0.1972,0.0000,True,28.0000,channels,avoid,none
ice,greenland,21,14,False,0.1248,-0.0366,0.2697,0.0900,0.2412,-3,0.0100,0.1215,-7,0.1227,0.1175,-0.0149,0.2470,0.0440,0.2394,-3,0.0300,0.1316,-14,0.1227,0.3293,0.0034,2,0.2804,0.0415,0.4881,20.0000,143.1580,0.1397,-11.7413,0.0000,0.1209,0.0782,0.1867,0.2220,0.1358,0.0864,0.2134,-10.5085,-8.8102,0.0783,-7.8165,0.1628,True,0.0701,0.0302,0.1625,0.1471,0.0768,0.2819,0.1960,0.0852,0.4505,0.2072,0.1019,0.1324,-11.8657,-10.3045,Times Group,43,0.7164,0.1687,0.0323,0.0265,43.1412,0.4223,0.6977,0.1395,0.0000,0.1397,0.0000,True,14.0000,channels,avoid,none
ice,maduro,2,2,False,-0.0579,-0.1986,0.1008,0.4160,-0.1549,-7,0.3860,0.1717,-4,0.1227,-0.0286,-0.1796,0.0902,0.7020,-0.1483,-7,0.4640,0.1203,-4,0.1227,-0.1806,-0.0525,1,0.9920,0.1679,0.0596,1.0000,100.1543,0.0100,-11.5614,0.0000,0.0065,0.0008,0.0501,1.0430,0.0186,0.0015,0.2354,-5.9131,-8.0062,,-8.3507,0.0120,True,,,,,,,0.0242,0.0031,0.1867,,0.0065,0.0077,-11.6331,-10.5305,Times Group,34,0.0065,0.2474,0.0000,0.0000,15.7597,0.9952,0.5294,0.0000,0.0000,,,,,channels,avoid,none
trump,minneapolis,318,64,False,-0.1416,-0.3086,0.0237,0.0180,0.1514,14,0.3240,0.1585,7,0.1225,-0.0809,-0.2277,0.0702,0.2640,0.2149,4,0.0440,0.1981,14,0.1227,-0.1066,-0.1983,1,0.3008,0.6499,0.6030,316.0000,513.6218,0.6152,-11.5460,0.0000,0.4776,0.4189,0.5446,0.0669,0.5295,0.4590,0.6107,-9.0468,-8.0235,0.4728,-8.3157,0.4817,True,0.4446,0.3639,0.5431,0.5103,0.4111,0.6333,0.4867,0.3649,0.6492,0.6481,0.4521,0.5019,-12.0454,-10.2374,MS NOW,55,-0.3660,0.1387,0.5819,0.7013,180.7680,0.0000,0.2909,0.0727,0.2000,0.6152,0.0000,True,64.0000,landscape,avoid,none
trump,platner,63,29,False,0.0464,-0.0735,0.1489,0.6700,0.1858,-13,0.4960,0.1638,-13,0.1225,-0.0096,-0.1094,0.1042,0.9160,0.1857,-10,0.9080,0.1296,-13,0.1227,-0.0301,0.0428,2,0.9216,0.8217,0.2730,63.0000,181.8319,0.3465,-11.3730,0.0000,0.2461,0.1881,0.3219,0.1371,0.2352,0.1765,0.3135,-11.2064,-5.7792,0.3597,-9.9922,0.1753,True,0.2192,0.1529,0.3141,0.1465,0.0745,0.2880,0.4866,0.2943,0.8046,0.0082,0.2131,0.2952,-11.8168,-9.0458,MS NOW,36,-0.6891,0.2091,0.6992,0.5119,71.7125,0.0002,0.2222,0.0278,0.0833,0.3465,0.0000,True,29.0000,channels,avoid,none
minneapolis,alex,92,30,False,0.1157,-0.0708,0.2901,0.0900,-0.1485,11,0.6680,-0.1688,8,0.1237,0.0829,-0.0552,0.2322,0.2900,-0.1424,11,0.6900,-0.1615,8,0.1237,0.2497,0.1836,1,0.6908,0.9477,12.8237,92.0000,33.5638,2.7410,11.3351,0.0000,4.1608,3.1785,5.4467,0.1374,2.4697,1.8096,3.3706,6.0258,9.8081,5.1946,6.1720,3.2530,True,3.7499,2.4062,5.8439,6.6583,4.4990,9.8539,1.2721,0.5556,2.9121,0.0012,3.7079,4.5341,9.7122,11.7421,Times Group,31,2.7841,0.2467,1.0172,0.6613,88.5737,0.0000,0.9677,0.5806,0.0000,2.7410,0.0000,True,30.0000,group,co-mention,none
trump,shooting,525,79,False,-0.0830,-0.2500,0.0913,0.2560,0.1406,5,0.7760,0.1485,5,0.1225,-0.0292,-0.1672,0.1178,0.7260,0.1477,5,0.4020,0.1768,5,0.1227,-0.0556,-0.1251,1,0.5009,0.3094,0.6394,525.0000,753.6527,0.6966,-10.7394,0.0000,0.5752,0.5187,0.6378,0.0527,0.5602,0.4986,0.6294,-9.8951,-8.2488,0.5134,-7.0430,0.6245,True,0.4965,0.4163,0.5921,0.6957,0.6025,0.8034,0.4319,0.3280,0.5687,0.0011,0.5119,0.6189,-12.1250,-8.9395,MS NOW,68,-0.3128,0.1240,0.6272,0.7621,281.6601,0.0000,0.3676,0.1029,0.2206,0.6966,0.0000,True,79.0000,landscape,avoid,none
war,ice,96,45,False,0.1492,0.0197,0.2962,0.2520,0.2248,-6,0.5320,0.1508,-6,0.1250,0.1017,-0.0179,0.2432,0.4600,0.1816,-7,0.9040,0.1457,-6,0.1235,-0.1876,-0.0219,2,0.7570,0.2309,0.2111,96.0000,244.7458,0.3922,-10.7285,0.0000,0.3200,0.2573,0.3979,0.1113,0.2827,0.2213,0.3613,-10.7684,-7.9955,0.3125,-7.1584,0.3286,True,0.3282,0.2465,0.4370,0.1542,0.0868,0.2741,0.6218,0.4068,0.9502,0.0005,0.3022,0.3378,-11.0065,-9.4539,Times Group,117,-0.4540,0.1221,0.5599,0.3860,188.9191,0.0000,0.3846,0.0342,0.0940,0.3922,0.0000,True,45.0000,channels,avoid,none
