word,pairs,landscape_co_mentions,landscape_avoidances,group_pairs,channel_co_mentions,timing_readings,co_mention_partners,avoidance_partners,group_partners,channel_partners,timing
iran,79,15,23,9,0,10,war (8.5x); trump (3.1x); deal (6.6x); strikes (6.0x); hormuz (4.6x); ceasefire (5.0x); strait of hormuz (3.9x); peace (4.5x); hegseth (3.2x); israel (1.9x); regime (3.9x); oil (2.1x); protests (2.4x); attack (1.7x); prices (2.1x),epstein (0.22); ice (0.16); ai (0.20); election (0.21); shooting (0.18); mamdani (0.11); hearing (0.27); world cup (0.27); case (0.17); texas (0.15); doj (0.16); trial (0.04); supreme court (0.06); fraud (0.15); senate (0.42); nyc (0.18); uk (0.45); minnesota (0.19); minneapolis (0.07); epstein files (0.22); maduro (0.19); lindsay clancy (0.09); starmer (0.57),"iranian (left 0.26, neutral 0.89, right 0.25); netanyahu (left 1.14, neutral 2.40, right 3.05); canada (left 0.13, neutral 0.25, right 0.72); venezuela (left 0.29, neutral 0.33, right 1.16); greenland (left 0.22, neutral 0.42, right 1.05); jd vance (left 1.11, neutral 2.28, right 1.15); hasan (left 0.21, neutral 0.12, right 1.10); debate (left 0.76, neutral 0.43, right 0.89); rights (left 0.30, neutral 0.80, right 0.08)",,war: co-move (+0.67); strikes: co-move (+0.50); israel: co-move (+0.48); regime: co-move (+0.48); oil: co-move (+0.36); shooting: shooting leads by 3 d (+0.32); attack: co-move (+0.32); mamdani: mamdani leads by 1 d (negative) (-0.32); iranian: co-move (+0.66); lebanon: iran leads by 3 d (+0.38)
war,79,5,1,8,0,7,iran (8.5x); trump (1.9x); hegseth (4.0x); netanyahu (1.8x); nato (1.6x),world cup (0.16),"prices (left 2.05, neutral 3.90, right 1.55); canada (left 3.64, neutral 1.19, right 3.37); shooting (left 0.29, neutral 0.12, right 0.54); oil (left 1.01, neutral 1.80, right 1.63); election (left 0.36, neutral 0.20, right 1.10); ai (left 0.58, neutral 0.33, right 1.11); texas (left 0.26, neutral 0.08, right 0.93); maga (left 1.11, neutral 2.13, right 1.97)",,iran: co-move (+0.67); hegseth: co-move (+0.39); prices: co-move (+0.38); oil: co-move (+0.43); israel: war leads by 1 d (+0.41); strikes: co-move (+0.45); iranian: co-move (+0.49)
epstein,79,6,2,2,1,2,doj (5.9x); melania (9.8x); andrew (6.2x); hearing (4.1x); uk (3.1x); arrested (3.6x),iran (0.22); trump (0.73),"israel (left 0.40, neutral 0.17, right 0.75); starmer (left 0.82, neutral 5.00, right 3.07)","case (1.6x, 33 ch)",shooting: epstein leads by 12 d (+0.36); death: epstein leads by 4 d (negative) (-0.34)
venezuela,79,10,0,2,0,2,oil (11.0x); maduro (5.1x); trump (2.4x); death (3.7x); cuba (4.4x); deal (2.7x); senate (3.0x); strikes (1.9x); attack (1.8x); regime (2.2x),,"iran (left 0.29, neutral 0.33, right 1.16); ai (left 1.22, neutral 0.20)",,platner: venezuela leads by 12 d (+0.32); graham: venezuela leads by 14 d (+0.31)
ice,79,6,2,1,1,2,shooting (12.6x); minneapolis (9.4x); minnesota (5.9x); woman (7.5x); protests (4.0x); arrested (1.7x),trump (0.50); iran (0.16),"texas (left 2.36, neutral 2.53, right 0.63)","hearing (1.5x, 25 ch)",protests: co-move (+0.35); peace: peace leads by 14 d (negative) (-0.35)
deal,79,11,0,2,0,3,iran (6.6x); peace (12.1x); trump (3.8x); hormuz (2.6x); ceasefire (3.3x); greenland (4.6x); oil (2.8x); israel (1.9x); venezuela (2.7x); canada (2.6x); lebanon (1.9x),,"strait of hormuz (left 1.23, neutral 3.25, right 1.79); netanyahu (left 1.31, neutral 2.95, right 5.23)",,peace: co-move (+0.51); california: california leads by 9 d (+0.31); jd vance: deal leads by 2 d (+0.33)
maduro,79,3,1,0,1,0,venezuela (5.1x); trump (1.9x); case (4.4x),iran (0.19),,"arrested (2.9x, 8 ch)",
greenland,79,4,0,1,1,1,trump (9.4x); nato (9.4x); deal (4.6x); starmer (3.3x),,"iran (left 0.22, neutral 0.42, right 1.05)","white house (2.0x, 19 ch)",nato: nato leads by 2 d (+0.37)
fauci,79,2,1,0,0,0,hearing (63.7x); senate (9.3x),trump (0.26),,,
trump,79,20,22,15,0,0,iran (3.1x); deal (3.8x); greenland (9.4x); war (1.9x); white house (3.1x); hormuz (2.3x); peace (3.0x); nato (2.3x); speech (2.5x); venezuela (2.4x); canada (2.9x); ceasefire (2.2x); netanyahu (2.2x); strait of hormuz (2.0x); china (1.7x); cuba (2.4x); oil (1.6x); supreme court (1.7x); maduro (1.9x); obama (1.7x),ice (0.50); hegseth (0.38); ai (0.36); trial (0.14); mamdani (0.29); hearing (0.42); case (0.37); nyc (0.26); charlie kirk (0.23); lindsay clancy (0.05); minneapolis (0.48); shooting (0.58); california (0.36); maga (0.68); fauci (0.26); texas (0.50); woman (0.36); epstein (0.73); arrested (0.40); aoc (0.32); alex (0.52); lebanon (0.63),"melania (left 1.03, neutral 44.57, right 13.06); israel (left 0.47, neutral 0.73, right 0.93); uk (left 0.45, neutral 0.40, right 0.79); world cup (left 0.97, neutral 0.24, right 0.71); doj (left 1.84, neutral 1.22, right 1.50); death (left 0.87, neutral 0.34, right 0.45); jd vance (left 0.54, neutral 0.84, right 0.43); fraud (left 0.83, neutral 0.80, right 0.50); senate (left 0.55, neutral 0.87, right 0.85); state (left 1.14, neutral 1.71, right 1.15); regime (left 2.45, neutral 1.71, right 0.95); scotus (left 1.10, neutral 2.54, right 2.37); graham (left 0.51, neutral 0.93, right 0.91); minnesota (left 0.66, neutral 1.04, right 0.62); prices (left 1.30, neutral 1.04, right 2.06)",,
