a,b,series,lag_days,ccf_residual,ccf_prewhitened,band
epstein,iran,pooled,-14,-0.2642,-0.0695,0.1225
epstein,iran,pooled,-13,-0.3405,-0.1746,0.1225
epstein,iran,pooled,-12,-0.3455,-0.1099,0.1225
epstein,iran,pooled,-11,-0.3429,-0.1107,0.1225
epstein,iran,pooled,-10,-0.3489,-0.1728,0.1225
epstein,iran,pooled,-9,-0.2871,-0.1317,0.1225
epstein,iran,pooled,-8,-0.2159,-0.0855,0.1225
epstein,iran,pooled,-7,-0.1250,0.0460,0.1225
epstein,iran,pooled,-6,-0.1233,-0.0686,0.1225
epstein,iran,pooled,-5,-0.0993,-0.0678,0.1225
epstein,iran,pooled,-4,-0.0393,0.0165,0.1225
epstein,iran,pooled,-3,-0.0158,0.0121,0.1225
epstein,iran,pooled,-2,-0.0028,0.0428,0.1225
epstein,iran,pooled,-1,-0.0491,-0.0309,0.1225
epstein,iran,pooled,0,-0.0632,0.0074,0.1225
epstein,iran,pooled,1,-0.0836,-0.0155,0.1225
epstein,iran,pooled,2,-0.1300,-0.0564,0.1225
epstein,iran,pooled,3,-0.1555,-0.0448,0.1225
epstein,iran,pooled,4,-0.1725,-0.0956,0.1225
epstein,iran,pooled,5,-0.1527,0.0030,0.1225
epstein,iran,pooled,6,-0.1727,-0.1061,0.1225
epstein,iran,pooled,7,-0.1450,-0.0219,0.1225
epstein,iran,pooled,8,-0.1323,-0.1175,0.1225
epstein,iran,pooled,9,-0.0743,0.0089,0.1225
epstein,iran,pooled,10,-0.0503,-0.0322,0.1225
epstein,iran,pooled,11,-0.0313,-0.0368,0.1225
epstein,iran,pooled,12,-0.0062,0.0085,0.1225
epstein,iran,pooled,13,-0.0037,-0.0838,0.1225
epstein,iran,pooled,14,0.0613,0.0204,0.1225
epstein,iran,channels,-14,-0.2690,-0.1529,0.1227
epstein,iran,channels,-13,-0.3099,-0.1212,0.1227
epstein,iran,channels,-12,-0.2974,-0.0735,0.1227
