a,b,creator,group,titles,n_a,n_b,both,log_or,se
epstein,iran,@ClipsCandaceOwens,neutral,192,5,5,1,2.6095,1.0567
epstein,iran,@HasanAbi,left,586,11,21,4,2.9522,0.6438
epstein,iran,@LukeBeasley,left,1351,36,18,0,-0.0400,1.4430
epstein,iran,@MegynKelly,right,1604,31,122,4,0.6981,0.5174
epstein,iran,@MeidasTouch,left,3707,174,238,2,-1.5991,0.6406
epstein,iran,@MichaelKnowles,right,446,7,16,0,0.5371,1.4820
epstein,iran,@PBDPodcast,right,145,10,35,1,-0.7667,0.9004
epstein,iran,@SecularTalk,left,1375,54,120,3,-0.3614,0.5608
epstein,iran,@TheMajorityReport,left,1701,27,95,0,-1.2016,1.4309
epstein,iran,@TheYoungTurks,left,2099,90,283,1,-2.2780,0.8258
epstein,iran,@TuckerCarlson,neutral,113,7,15,1,0.3867,0.9488
epstein,iran,@Vaush,left,432,7,25,0,0.0460,1.4748
epstein,iran,@adammockler,left,1050,25,16,0,0.1820,1.4494
epstein,iran,@bennyjohnson,right,1594,74,135,0,-2.6791,1.4218
epstein,iran,@breakingpoints,left,1002,47,221,3,-1.3262,0.5605
epstein,iran,@briantylercohen,left,1028,107,10,0,-0.9069,1.4511
epstein,iran,@deanwithrs,left,500,13,12,0,0.3428,1.4684
epstein,iran,@glennbeck,right,559,9,66,0,-0.9585,1.4568
epstein,iran,@podsaveamerica,left,640,29,73,0,-2.0860,1.4316
epstein,iran,@ponderingpolitics,left,1386,27,101,0,-1.4897,1.4307
epstein,iran,@thedavidpakmanshow,left,1540,23,11,0,1.0250,1.4595
epstein,iran,@TheOfficerTatum,right,791,5,29,0,0.8477,1.4890
epstein,iran,@bulwarkmedia,left,1773,37,134,0,-1.8397,1.4264
epstein,iran,@PiersMorganUncensored,neutral,173,10,55,1,-1.1481,0.8941
epstein,iran,@zeteo,left,222,10,31,1,-0.0568,0.9001
epstein,iran,@TheDamageReport,left,2317,87,86,2,-0.2974,0.6511
epstein,iran,@FarronBalanced,left,1873,48,71,1,-0.2404,0.8381
epstein,iran,@dollemore,left,1380,32,62,1,-0.0031,0.8458
epstein,iran,@RebelHQ,left,1126,31,22,0,-0.2780,1.4412
epstein,iran,@StatusCoup,left,638,60,23,2,0.1027,0.6822
epstein,iran,@harryjsisson,left,626,44,43,0,-1.9708,1.4308
epstein,iran,@aaronparnas1,left,779,150,81,6,-1.1075,0.4193
epstein,iran,@rolandsmartin,left,1253,5,35,0,1.1338,1.4869
epstein,iran,@DropSiteNews,left,238,9,81,3,0.0384,0.6774
epstein,iran,@thejimmydoreshow,neutral,1185,63,185,3,-1.2102,0.5557
epstein,iran,@KimIversen,neutral,506,44,84,0,-2.9892,1.4272
epstein,iran,@NovaraMedia,left,569,20,62,0,-1.6594,1.4376
epstein,iran,@TheLincolnProject,left,147,16,10,4,1.9389,0.6812
epstein,iran,@chriscuomo,left,211,8,25,0,-0.8873,1.4705
epstein,iran,@BlazeTV,right,843,16,37,0,-0.4482,1.4452
epstein,iran,@TimcastIRL,right,952,10,33,0,0.2568,1.4581
epstein,iran,@Styxhexenhammer666,right,396,5,25,0,0.2674,1.4912
epstein,iran,@LIVESNEAKO,neutral,538,31,42,0,-1.7495,1.4344
epstein,iran,@Xanderhal,left,390,6,6,0,1.4995,1.5200
epstein,iran,@TheSerfTimes,left,331,31,5,1,1.1757,0.9618
epstein,iran,@JackCocchiarellaShow,left,1449,76,36,0,-1.4292,1.4287
epstein,iran,@underthedesknews,left,183,9,10,0,-0.1929,1.4855
epstein,iran,@thomhartmann,left,759,13,69,1,0.1728,0.8733
epstein,iran,@SabbySabs,left,685,51,141,11,0.0932,0.3483
epstein,iran,@DueDissidence,left,701,41,113,0,-2.8453,1.4264
epstein,iran,@thegrayzone7996,left,179,6,39,0,-1.3397,1.4787
epstein,iran,@DemocracyNow,left,594,15,93,1,-0.6066,0.8652
epstein,iran,@marclamonthillnetwork,left,454,23,36,8,2.0495,0.4688
epstein,iran,@PoliticsJOE,left,324,10,20,0,-0.3797,1.4654
epstein,iran,@TheJoyReidShow,left,362,10,11,1,1.6391,0.9328
epstein,iran,@TheDonLemonShow,left,697,32,68,2,-0.3025,0.6704
epstein,iran,@jimacosta,left,457,34,35,4,0.6089,0.5379
