day,titles,active_channels,epstein_titles,epstein_channels,epstein_share,epstein_residual_pooled,epstein_residual_channels,iran_titles,iran_channels,iran_share,iran_residual_pooled,iran_residual_channels,war_titles,war_channels,war_share,war_residual_pooled,war_residual_channels,trump_titles,trump_channels,trump_share,trump_residual_pooled,trump_residual_channels,israel_titles,israel_channels,israel_share,israel_residual_pooled,israel_residual_channels,files_titles,files_channels,files_share,files_residual_pooled,files_residual_channels,epstein_broad_titles,epstein_broad_channels,epstein_broad_share,epstein_broad_residual_pooled,epstein_broad_residual_channels,iran_broad_titles,iran_broad_channels,iran_broad_share,iran_broad_residual_pooled,iran_broad_residual_channels,war_broad_titles,war_broad_channels,war_broad_share,war_broad_residual_pooled,war_broad_residual_channels,israel_broad_titles,israel_broad_channels,israel_broad_share,israel_broad_residual_pooled,israel_broad_residual_channels,political_titles,political_channels,political_share,political_residual_pooled,political_residual_channels
2026-01-01,720.000000,124.000000,12.000000,11.000000,0.016667,1.002114,0.803780,12.000000,6.000000,0.016667,-1.081605,-1.093033,11.000000,7.000000,0.015278,-1.176653,-1.175427,129.000000,48.000000,0.179167,-0.445972,-0.278503,8.000000,5.000000,0.011111,-0.352055,-0.567046,7.000000,6.000000,0.009722,1.913244,1.556697,12.000000,11.000000,0.016667,1.065213,0.851774,14.000000,8.000000,0.019444,-1.008375,-0.897722,33.000000,18.000000,0.045833,-0.999249,-0.722377,15.000000,9.000000,0.020833,-0.044832,-0.205547,640.000000,120.000000,0.888889,-0.072588,-0.005716
2026-01-02,818.000000,141.000000,20.000000,16.000000,0.024450,1.360101,1.071776,45.000000,23.000000,0.055012,0.165221,0.179349,17.000000,12.000000,0.020782,-0.677419,-0.607794,179.000000,59.000000,0.218826,-0.235567,-0.144740,7.000000,6.000000,0.008557,-0.277010,-0.250770,6.000000,5.000000,0.007335,1.346872,1.086014,20.000000,16.000000,0.024450,1.407533,1.102944,51.000000,24.000000,0.062347,0.185428,0.126623,41.000000,21.000000,0.050122,-0.702580,-0.528384,13.000000,9.000000,0.015892,-0.093447,-0.197065,703.000000,136.000000,0.859413,-0.099475,-0.006121
2026-01-03,810.000000,143.000000,5.000000,5.000000,0.006173,0.055004,0.140785,24.000000,18.000000,0.029630,-0.361651,0.016805,25.000000,21.000000,0.030864,-0.186860,0.125505,301.000000,83.000000,0.371605,0.294328,0.210724,10.000000,10.000000,0.012346,0.020257,0.373669,0.000000,0.000000,0.000000,-1.062059,-1.005420,5.000000,5.000000,0.006173,0.098086,0.176829,26.000000,18.000000,0.032099,-0.390004,-0.066673,139.000000,51.000000,0.171605,0.561626,0.443247,13.000000,12.000000,0.016049,-0.142412,0.216227,763.000000,138.000000,0.941975,-0.004211,-0.007845
2026-01-04,579.000000,105.000000,4.000000,3.000000,0.006908,0.259506,0.021550,8.000000,7.000000,0.013817,-1.087186,-0.604370,29.000000,19.000000,0.050086,0.287792,0.275731,195.000000,59.000000,0.336788,0.179085,0.135754,4.000000,4.000000,0.006908,-0.683992,-0.330477,2.000000,2.000000,0.003454,0.920576,0.968144,4.000000,3.000000,0.006908,0.292276,0.055742,8.000000,7.000000,0.013817,-1.236358,-0.701730,71.000000,29.000000,0.122625,0.267848,0.182613,11.000000,9.000000,0.018998,-0.252810,0.061766,559.000000,101.000000,0.965458,0.021757,-0.010959
2026-01-05,1056.000000,167.000000,3.000000,3.000000,0.002841,-0.249995,-0.247291,23.000000,12.000000,0.021780,-0.702055,-0.627796,35.000000,22.000000,0.033144,-0.025389,-0.024911,344.000000,92.000000,0.325758,0.119306,0.088427,7.000000,6.000000,0.006629,-0.392253,-0.293561,0.000000,0.000000,0.000000,-1.402000,-1.396029,3.000000,3.000000,0.002841,-0.244040,-0.251956,27.000000,14.000000,0.025568,-0.681869,-0.581717,76.000000,34.000000,0.071970,-0.119309,-0.104166,10.000000,8.000000,0.009470,-0.616719,-0.417017,1023.000000,163.000000,0.968750,0.027718,-0.001984
2026-01-06,1238.000000,177.000000,9.000000,8.000000,0.007270,0.152908,0.183338,18.000000,11.000000,0.014540,-0.905832,-0.672100,32.000000,20.000000,0.025848,-0.141777,-0.097188,358.000000,93.000000,0.289176,0.011812,0.055197,8.000000,6.000000,0.006462,-0.299455,-0.366625,3.000000,3.000000,0.002423,0.278852,0.328070,9.000000,8.000000,0.007270,0.153650,0.176705,21.000000,14.000000,0.016963,-0.898187,-0.560265,63.000000,31.000000,0.050889,-0.265625,-0.162258,14.000000,8.000000,0.011309,-0.361739,-0.524235,1193.000000,173.000000,0.963651,0.020464,0.003616
2026-01-07,1351.000000,181.000000,8.000000,8.000000,0.005922,-0.162246,0.044066,26.000000,16.000000,0.019245,-0.614698,-0.332748,26.000000,19.000000,0.019245,-0.349640,-0.176951,342.000000,86.000000,0.253146,-0.133431,-0.043454,6.000000,5.000000,0.004441,-0.462265,-0.386670,2.000000,2.000000,0.001480,-0.386847,-0.248885,8.000000,8.000000,0.005922,-0.158019,0.050954,30.000000,18.000000,0.022206,-0.594829,-0.312458,46.000000,26.000000,0.034049,-0.561167,-0.333372,16.000000,11.000000,0.011843,-0.205486,-0.182378,1290.000000,177.000000,0.954848,0.010088,0.005190
2026-01-08,1302.000000,180.000000,7.000000,6.000000,0.005376,-0.483054,-0.403409,18.000000,14.000000,0.013825,-0.800218,-0.380672,48.000000,30.000000,0.036866,0.340148,0.369121,271.000000,76.000000,0.208141,-0.270101,-0.142907,6.000000,5.000000,0.004608,-0.385371,-0.389765,4.000000,4.000000,0.003072,0.058200,0.133874,7.000000,6.000000,0.005376,-0.502035,-0.423283,19.000000,15.000000,0.014593,-0.858861,-0.412466,64.000000,32.000000,0.049155,-0.118619,-0.042246,9.000000,7.000000,0.006912,-0.696189,-0.593033,1239.000000,176.000000,0.951613,0.012163,0.002753
2026-01-09,1265.000000,178.000000,11.000000,11.000000,0.008696,-0.040982,0.205776,67.000000,32.000000,0.052964,0.561673,0.525669,41.000000,28.000000,0.032411,0.367523,0.458496,310.000000,80.000000,0.245059,-0.093864,-0.026061,3.000000,3.000000,0.002372,-0.717954,-0.599424,7.000000,7.000000,0.005534,0.323793,0.500317,11.000000,11.000000,0.008696,-0.069900,0.173813,83.000000,35.000000,0.065613,0.637373,0.496649,88.000000,40.000000,0.069565,0.377104,0.325639,13.000000,11.000000,0.010277,-0.140987,-0.040630,1206.000000,176.000000,0.953360,0.019773,0.016401
2026-01-10,759.000000,144.000000,2.000000,1.000000,0.002635,-1.060312,-1.445270,37.000000,20.000000,0.048748,0.524122,0.340341,17.000000,11.000000,0.022398,0.067554,-0.070694,214.000000,67.000000,0.281950,0.049794,0.036982,5.000000,5.000000,0.006588,0.127257,0.177806,2.000000,1.000000,0.002635,-0.096667,-0.557558,2.000000,1.000000,0.002635,-1.088010,-1.467749,41.000000,21.000000,0.054018,0.487953,0.284119,33.000000,20.000000,0.043478,-0.099893,-0.066118,9.000000,8.000000,0.011858,-0.081647,-0.000922,719.000000,142.000000,0.947299,0.015824,0.010892
