published,creator,group,title_raw,view_count,url
2026-01-11,@DueDissidence,left,"Michael Tracey JOINS To Discuss Epstein, Greenland PREPS FOR WAR, Tucker SPOTTED at WH Oil Meeting",32000.0,https://www.youtube.com/watch?v=VDUvGzYMDXk
2026-01-14,@breakingpoints,left,"Thomas Massie IN STUDIO: Iran War, Venezuela, Epstein Coverup",332000.0,https://www.youtube.com/watch?v=ZejH2NRG-eY
2026-01-30,@OwenReport,left,"New Epstein Files Worse Reveals Yet, War With Iran, Government Shutdown, Massive Market Selloff",19000.0,https://www.youtube.com/watch?v=dBRQiaUjHy8
2026-01-31,@Vaush,left,It Was All Epstein. The Entire Right-Wing Culture War,428000.0,https://www.youtube.com/watch?v=dXIzCpWvG_o
2026-02-03,@TheMajorityReport,left,Epstein And Trump’s DOJ; America’s Forgotten War w/ Jamie Holmes | MR Live,66000.0,https://www.youtube.com/watch?v=mLToM17mbos
2026-02-04,@podsaveamerica,left,EXPLOSIVE Epstein Files Put Trump at War With MAGA,,https://www.youtube.com/watch?v=xb79kR91Opw
2026-02-06,@RealAmericasVoice,right,"Cuba, Nukes, Epstein & the Culture War",111.0,https://www.youtube.com/watch?v=IpuivufXVZE
2026-02-07,@NickCruseRBN,left,Jeffrey Epstein Still Alive!? Horrific Epstein Files Revelation. War with Iran Imminent!? UK Fallout,4400.0,https://www.youtube.com/watch?v=DdpCdlWbsbk
2026-02-09,@timesofindia,left,"Major ‘Humiliation’ For Trump In US House; ‘Have Heard Enough, Now Show…’ | Epstein War Explodes",3100.0,https://www.youtube.com/watch?v=nIG8xvoVOCA
2026-02-10,@RebelNewsOnline,right,"The Epstein–Bill Gates nexus exposes elite networks, pandemic war games and pharma profiteers",14000.0,https://www.youtube.com/watch?v=ThZWW6Cf7lk
2026-02-10,@aljazeeraenglish,left,Reform UK declares election ‘war footing’ as Labour faces Epstein crisis,7300.0,https://www.youtube.com/watch?v=YhmOq-5YOOM
2026-02-10,@timesofindia,left,"Nigel Farage Tells Starmer To Resign Over Epstein Scandal, Puts Reform UK On 'War Footing'",2000.0,https://www.youtube.com/watch?v=0t8v6cSxtXU
2026-02-11,@msnow,left,"Trump losing Epstein war of attrition: Republican sees the light, Dems blow lid off redactions",518000.0,https://www.youtube.com/watch?v=BE2Zf1y0mNw
2026-02-12,@MeidasTouch,left,Trump FLIPS OUT Over Epstein…THREATENS WAR and TRAUMA!!!,804000.0,https://www.youtube.com/watch?v=mENKodGUwDQ
2026-02-12,@BreakThroughNews,left,LIVE: Epstein Fallout | US War on Cuba | ICE Mega-Prisons,6700.0,https://www.youtube.com/watch?v=ZaN0O1UrAqk
