source,target,events,event_days,lag_days,response,null_lo,null_hi,outside
iran,epstein,2,"01-12,03-01",-14,0.7824,-1.1132,1.0641,False
iran,epstein,2,"01-12,03-01",-13,0.7865,-1.1797,1.0903,False
iran,epstein,2,"01-12,03-01",-12,0.5160,-1.1865,1.1268,False
iran,epstein,2,"01-12,03-01",-11,0.7910,-1.2187,1.1900,False
iran,epstein,2,"01-12,03-01",-10,0.9658,-1.0718,1.1769,False
iran,epstein,2,"01-12,03-01",-9,0.1990,-0.9614,1.0034,False
iran,epstein,2,"01-12,03-01",-8,0.0960,-0.8826,0.8578,False
iran,epstein,2,"01-12,03-01",-7,0.0709,-1.0292,1.0083,False
iran,epstein,2,"01-12,03-01",-6,0.2580,-1.0364,1.0250,False
iran,epstein,2,"01-12,03-01",-5,0.0126,-1.2122,1.1045,False
iran,epstein,2,"01-12,03-01",-4,-0.3918,-1.2706,1.1434,False
iran,epstein,2,"01-12,03-01",-3,0.4412,-1.1353,1.0985,False
iran,epstein,2,"01-12,03-01",-2,-0.0001,-1.0405,0.9498,False
iran,epstein,2,"01-12,03-01",-1,0.0325,-0.9371,0.7971,False
iran,epstein,2,"01-12,03-01",0,-0.4270,-1.1436,0.9553,False
iran,epstein,2,"01-12,03-01",1,0.2565,-1.1456,1.1109,False
iran,epstein,2,"01-12,03-01",2,0.5501,-1.3383,1.1134,False
iran,epstein,2,"01-12,03-01",3,-0.4158,-1.3181,1.1767,False
iran,epstein,2,"01-12,03-01",4,-0.6173,-1.1480,1.0917,False
iran,epstein,2,"01-12,03-01",5,-0.5105,-1.0405,0.8885,False
iran,epstein,2,"01-12,03-01",6,-0.5260,-0.9330,0.7979,False
iran,epstein,2,"01-12,03-01",7,-0.2935,-1.1641,1.0243,False
iran,epstein,2,"01-12,03-01",8,-0.3356,-1.2219,1.1114,False
iran,epstein,2,"01-12,03-01",9,-0.4258,-1.2993,1.1517,False
iran,epstein,2,"01-12,03-01",10,-0.3004,-1.3302,1.3003,False
iran,epstein,2,"01-12,03-01",11,-1.0593,-1.1199,1.1544,False
iran,epstein,2,"01-12,03-01",12,-1.0783,-1.0263,1.0502,True
iran,epstein,2,"01-12,03-01",13,-1.0236,-0.9279,0.9080,True
iran,epstein,2,"01-12,03-01",14,-1.1436,-1.0193,1.1032,True
war,epstein,3,"03-04,03-09,07-22",-14,0.1038,-1.1015,0.9885,False
war,epstein,3,"03-04,03-09,07-22",-13,0.0941,-0.8991,0.9139,False
war,epstein,3,"03-04,03-09,07-22",-12,-0.2731,-0.9610,0.9493,False
war,epstein,3,"03-04,03-09,07-22",-11,0.3370,-0.8406,0.7742,False
war,epstein,3,"03-04,03-09,07-22",-10,0.4445,-0.8395,0.8207,False
war,epstein,3,"03-04,03-09,07-22",-9,0.4151,-0.8947,0.8791,False
war,epstein,3,"03-04,03-09,07-22",-8,-0.1615,-0.8266,0.8693,False
war,epstein,3,"03-04,03-09,07-22",-7,0.4996,-1.0463,0.9525,False
war,epstein,3,"03-04,03-09,07-22",-6,0.9288,-0.9146,0.8855,True
war,epstein,3,"03-04,03-09,07-22",-5,0.5335,-0.9297,0.8864,False
war,epstein,3,"03-04,03-09,07-22",-4,-0.1834,-0.7923,0.7610,False
war,epstein,3,"03-04,03-09,07-22",-3,-0.2513,-0.7992,0.7826,False
war,epstein,3,"03-04,03-09,07-22",-2,-0.2953,-0.9072,0.8221,False
war,epstein,3,"03-04,03-09,07-22",-1,0.1553,-0.8003,0.7928,False
war,epstein,3,"03-04,03-09,07-22",0,0.1153,-1.0065,0.9359,False
war,epstein,3,"03-04,03-09,07-22",1,-0.3965,-0.8609,0.9119,False
war,epstein,3,"03-04,03-09,07-22",2,-0.2701,-0.9699,0.9103,False
war,epstein,3,"03-04,03-09,07-22",3,-0.2497,-0.7811,0.7507,False
war,epstein,3,"03-04,03-09,07-22",4,-0.0012,-0.8113,0.7539,False
war,epstein,3,"03-04,03-09,07-22",5,0.1915,-0.8881,0.8255,False
war,epstein,3,"03-04,03-09,07-22",6,-0.7872,-0.8302,0.7918,False
war,epstein,3,"03-04,03-09,07-22",7,-0.3957,-1.0342,0.9455,False
war,epstein,3,"03-04,03-09,07-22",8,-0.3326,-0.8835,0.8659,False
war,epstein,3,"03-04,03-09,07-22",9,-0.5503,-0.9670,0.9076,False
war,epstein,3,"03-04,03-09,07-22",10,-0.0066,-0.8177,0.8004,False
war,epstein,3,"03-04,03-09,07-22",11,-0.4987,-0.8467,0.7839,False
war,epstein,3,"03-04,03-09,07-22",12,-0.5036,-0.8820,0.8761,False
war,epstein,3,"03-04,03-09,07-22",13,-0.2323,-0.8435,0.7925,False
war,epstein,3,"03-04,03-09,07-22",14,-0.3702,-1.1012,0.9521,False
epstein,iran,4,"02-02,04-10,05-07,07-15",-14,-0.1007,-0.4746,0.5206,False
epstein,iran,4,"02-02,04-10,05-07,07-15",-13,-0.2999,-0.4627,0.5035,False
epstein,iran,4,"02-02,04-10,05-07,07-15",-12,-0.1632,-0.4187,0.4816,False
epstein,iran,4,"02-02,04-10,05-07,07-15",-11,-0.6145,-0.4541,0.5161,True
epstein,iran,4,"02-02,04-10,05-07,07-15",-10,-0.2685,-0.4774,0.5055,False
epstein,iran,4,"02-02,04-10,05-07,07-15",-9,-0.4746,-0.4648,0.5260,True
epstein,iran,4,"02-02,04-10,05-07,07-15",-8,-0.4159,-0.4645,0.5318,False
epstein,iran,4,"02-02,04-10,05-07,07-15",-7,-0.0237,-0.4242,0.5005,False
epstein,iran,4,"02-02,04-10,05-07,07-15",-6,-0.0241,-0.4071,0.4883,False
epstein,iran,4,"02-02,04-10,05-07,07-15",-5,0.0371,-0.3841,0.4694,False
epstein,iran,4,"02-02,04-10,05-07,07-15",-4,0.1427,-0.4432,0.4817,False
