target,spec,model,covariates,covariate,irr_per_sd,irr_lo,irr_hi,p_hac
epstein,contemporaneous,negative_binomial,iran+war+trump+israel+political,iran,1.2126,0.9302,1.5807,0.1542
epstein,contemporaneous,negative_binomial,iran+war+trump+israel+political,war,0.7215,0.5582,0.9326,0.0127
epstein,contemporaneous,negative_binomial,iran+war+trump+israel+political,trump,0.8402,0.7714,0.9152,0.0001
epstein,contemporaneous,negative_binomial,iran+war+trump+israel+political,israel,0.8694,0.7040,1.0737,0.1938
epstein,contemporaneous,negative_binomial,iran+war+trump+israel+political,political,0.9370,0.8363,1.0498,0.2616
epstein,contemporaneous,negative_binomial,iran+trump+israel+political,iran,1.0020,0.8004,1.2544,0.9862
epstein,contemporaneous,negative_binomial,iran+trump+israel+political,trump,0.8425,0.7695,0.9225,0.0002
epstein,contemporaneous,negative_binomial,iran+trump+israel+political,israel,0.8637,0.6957,1.0722,0.1842
epstein,contemporaneous,negative_binomial,iran+trump+israel+political,political,0.9130,0.8041,1.0368,0.1605
epstein,contemporaneous,negative_binomial,war+trump+israel+political,war,0.8176,0.6615,1.0105,0.0624
epstein,contemporaneous,negative_binomial,war+trump+israel+political,trump,0.8468,0.7764,0.9235,0.0002
epstein,contemporaneous,negative_binomial,war+trump+israel+political,israel,0.9126,0.7622,1.0928,0.3199
epstein,contemporaneous,negative_binomial,war+trump+israel+political,political,0.9486,0.8405,1.0707,0.3931
epstein_broad,contemporaneous,negative_binomial,iran_broad+war_broad+trump+israel+political,iran_broad,1.0030,0.7578,1.3275,0.9833
epstein_broad,contemporaneous,negative_binomial,iran_broad+war_broad+trump+israel+political,war_broad,0.9562,0.7447,1.2278,0.7256
epstein_broad,contemporaneous,negative_binomial,iran_broad+war_broad+trump+israel+political,trump,0.8422,0.7692,0.9221,0.0002
epstein_broad,contemporaneous,negative_binomial,iran_broad+war_broad+trump+israel+political,israel,0.8741,0.7132,1.0714,0.1951
epstein_broad,contemporaneous,negative_binomial,iran_broad+war_broad+trump+israel+political,political,0.9137,0.8051,1.0368,0.1616
epstein,lagged,negative_binomial,iran_lag1_7+trump+israel+political,iran_lag1_7,0.8571,0.6414,1.1455,0.2975
epstein,lagged,negative_binomial,iran_lag1_7+trump+israel+political,trump,0.8577,0.7798,0.9434,0.0016
epstein,lagged,negative_binomial,iran_lag1_7+trump+israel+political,israel,0.9033,0.7520,1.0851,0.2771
epstein,lagged,negative_binomial,iran_lag1_7+trump+israel+political,political,0.9208,0.8140,1.0417,0.1899
