a,b,series,r,r_boot_lo,r_boot_hi,spearman,p_shift,r_knots3,r_knots6,r_knots10,max_abs_ccf_raw,p_max_ccf_shift,ar_order,prewhitened_best_lag,prewhitened_ccf_at_best,prewhitened_band,prewhitened_ccf_lag0,order,epstein_to_iran_F,epstein_to_iran_p,iran_to_epstein_F,iran_to_epstein_p,epstein_to_war_F,epstein_to_war_p,war_to_epstein_F,war_to_epstein_p,iran_to_war_F,iran_to_war_p,war_to_iran_F,war_to_iran_p,epstein_to_trump_F,epstein_to_trump_p,trump_to_epstein_F,trump_to_epstein_p,epstein_to_files_F,epstein_to_files_p,files_to_epstein_F,files_to_epstein_p,epstein_to_israel_F,epstein_to_israel_p,israel_to_epstein_F,israel_to_epstein_p,iran_to_israel_F,iran_to_israel_p,israel_to_iran_F,israel_to_iran_p,epstein_broad_to_iran_broad_F,epstein_broad_to_iran_broad_p,iran_broad_to_epstein_broad_F,iran_broad_to_epstein_broad_p,epstein_broad_to_war_broad_F,epstein_broad_to_war_broad_p,war_broad_to_epstein_broad_F,war_broad_to_epstein_broad_p
epstein,iran,pooled,-0.0632,-0.2622,0.1359,-0.1174,0.6285,-0.1499,-0.0632,0.1934,0.3489,0.0000,1,-13,-0.1746,0.1225,0.0074,1,0.7649,0.3826,0.0591,0.8081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
epstein,iran,channels,-0.0300,-0.2098,0.1496,-0.0996,0.8555,-0.0801,-0.0300,0.2225,0.3312,0.0000,2,-10,-0.1999,0.1227,0.0201,2,1.2202,0.2969,0.1106,0.8953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
epstein,war,pooled,-0.1954,-0.3813,0.0291,-0.2331,0.0720,-0.2800,-0.1954,0.0235,0.2401,0.2480,1,8,-0.1563,0.1225,-0.0381,2,,,,,0.6969,0.4991,1.7334,0.1788,,,,,,,,,,,,,,,,,,,,,,,,,,,,
epstein,war,channels,-0.1281,-0.3034,0.0710,-0.1660,0.2165,-0.1850,-0.1281,0.0696,0.1827,0.4635,2,3,-0.1572,0.1227,0.0052,3,,,,,2.0826,0.1031,1.5545,0.2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iran,war,pooled,0.6716,0.5494,0.7691,0.6669,0.0000,0.7558,0.6716,0.5486,0.6716,0.0000,1,0,0.4444,0.1225,0.4444,2,,,,,,,,,5.0151,0.0073,0.7052,0.4950,,,,,,,,,,,,,,,,,,,,,,,,
iran,war,channels,0.6320,0.5103,0.7361,0.5977,0.0000,0.7074,0.6320,0.4722,0.6320,0.0000,2,0,0.3584,0.1227,0.3584,3,,,,,,,,,3.6354,0.0135,2.4583,0.0634,,,,,,,,,,,,,,,,,,,,,,,,
epstein,trump,pooled,-0.1787,-0.3116,-0.0498,-0.1943,0.0035,-0.2594,-0.1787,-0.0822,0.1787,0.1860,1,0,-0.1706,0.1225,-0.1706,1,,,,,,,,,,,,,0.0002,0.9877,0.0135,0.9075,,,,,,,,,,,,,,,,,,,,
epstein,trump,channels,-0.1085,-0.2559,0.0596,-0.1355,0.1790,-0.1776,-0.1085,-0.0310,0.1585,0.2425,2,11,-0.1521,0.1227,-0.0851,2,,,,,,,,,,,,,0.0329,0.9677,0.7090,0.4931,,,,,,,,,,,,,,,,,,,,
epstein,files,pooled,0.5956,0.4560,0.7159,0.6108,0.0000,0.6483,0.5956,0.5366,0.5956,0.0000,1,0,0.4220,0.1225,0.4220,1,,,,,,,,,,,,,,,,,6.1973,0.0134,6.5669,0.0110,,,,,,,,,,,,,,,,
epstein,files,channels,0.5343,0.4033,0.6617,0.5629,0.0000,0.5846,0.5343,0.4759,0.5343,0.0000,2,0,0.3585,0.1227,0.3585,1,,,,,,,,,,,,,,,,,5.5239,0.0195,10.4457,0.0014,,,,,,,,,,,,,,,,
