community,size,top_terms,focus
0,298,"strikes, hormuz, oil, iranian, attack, strait, israel, strait of hormuz, strike, drone, missile, israeli, launches, near, nuclear",
1,267,"senate, election, primary, fraud, rep, gop, race, graham, win, texas, mayor, vote, california, democrats, act",
2,259,"hearing, epstein, house, secretary, doj, fbi, federal, testifies, files, blanche, hegseth, dhs, sen, investigation, epstein files",epstein
3,259,"president, uk, state, visit, meeting, trump, faces, china, pm, meets, chief, summit, nato, king, speech",
4,201,"ice, minneapolis, minnesota, protests, man, border, shot, agent, arrest, conference, secret, protest, outside, service, agents",
5,186,"shooting, killed, police, dead, death, rescue, deadly, crash, missing, search, venezuela, earthquake, air, school, plane",
6,175,"talks, deal, iran, peace, says, vance, leader, funeral, ceasefire, pakistan, khamenei, tehran, supreme leader, plan, delivers",iran
7,163,"court, supreme, case, trial, supreme court, murder, day, kirk, defense, judge, charges, killing, guilty, charlie, charlie kirk",
8,135,"amid, crisis, war, prices, cuba, global, energy, gas, fuel, memorial, uss, lincoln, tensions, economic, east",war
9,126,"cup, world cup, world, spain, fans, fifa, canada, america, tariffs, event, major, victory, team, american, final",
10,124,"health, makes, emergency, outbreak, americans, ebola, dr, details, warns, don't, big, can't, reveals, poll, facility",
11,111,"guthrie, th, nancy, warning, nancy guthrie, issues, home, life, year, record, threat, mother, deadline, message, gives",
12,91,"white house, white, suspect, holds, briefing, press, dinner, ufc, fired, joint, breaking, melania, plot, shooter, correspondents dinner",
13,70,"ai, nasa, artemis, moon, space, spacex, artemis ii, mission, return, historic, crew, ii, rocket, launch, earth",
14,64,"meta, media, social, social media, announces, goes, addiction, truth, viral, zuckerberg, landmark, ban, post, they're, sex",
15,58,"mamdani, york, billion, city, tax, nyc, parade, knicks, game, bad, zohran, zohran mamdani, wnba, halftime, nba",
16,52,"rights, opening, jackson, obama, dies, legacy, presidential, jesse jackson, jesse, maga, green, chicago, country, civil, star",
17,49,"sparks, family, debate, concerns, backlash, nolan, action, demands, answers, joe, wells, teen, demand, nolan wells, biden",
18,21,"drug, mexico, violence, cartel, el, boat, el mencho, mencho, domestic, political, cancer, lord, mexican, trafficking, terrorist",
19,19,"cnn, question, host, answer, reporter, panel, asks, simple, snaps, finally, asked, refuses, stuns, scott jennings, jennings",
20,5,"hell, hell breaks, loose, breaks loose, unleash",
21,4,"taylor greene, marjorie taylor, marjorie, greene",
22,3,"forward, moving, moves",
23,3,"oh, god, sh",
24,3,"marandi, mohammad, prof",
25,2,"bezos, jeff",
26,2,"birth, tourism",
27,2,"brutally, honest",
28,2,"hannity, sean",
29,2,"liberty, statue",
30,2,"matt, walsh",
31,2,"ms, rachel",
