term,months_with_neighbors,month_pairs,jaccard_mean,jaccard_min
historic,7,3,0.0000,0.0000
killing,5,3,0.0000,0.0000
resigns,6,3,0.0000,0.0000
help,7,2,0.0000,0.0000
washington,8,2,0.0000,0.0000
air force,7,1,0.0000,0.0000
allegations,7,1,0.0000,0.0000
confirmation,4,1,0.0000,0.0000
confirmation hearing,3,1,0.0000,0.0000
delhi,9,1,0.0000,0.0000
dies,5,1,0.0000,0.0000
drug,2,1,0.0000,0.0000
evacuated,4,1,0.0000,0.0000
final,7,1,0.0000,0.0000
force,7,1,0.0000,0.0000
gabbard,4,1,0.0000,0.0000
impact,4,1,0.0000,0.0000
japan,8,1,0.0000,0.0000
kushner,5,1,0.0000,0.0000
leo,3,1,0.0000,0.0000
names,2,1,0.0000,0.0000
obama,3,1,0.0000,0.0000
outside,9,1,0.0000,0.0000
rejects,5,1,0.0000,0.0000
return,5,1,0.0000,0.0000
rocket,5,1,0.0000,0.0000
surge,6,1,0.0000,0.0000
updates,7,1,0.0000,0.0000
welcome,5,1,0.0000,0.0000
winter,2,1,0.0000,0.0000
xi,9,1,0.0000,0.0000
victory,8,4,0.0147,0.0000
congress,7,3,0.0175,0.0000
calls,9,3,0.0222,0.0000
federal,8,2,0.0263,0.0000
death,8,4,0.0270,0.0000
minneapolis,3,1,0.0303,0.0303
ceremony,9,2,0.0357,0.0000
james,8,2,0.0357,0.0000
agent,8,1,0.0370,0.0370
anthony,3,2,0.0385,0.0000
center,8,1,0.0385,0.0385
charlie,7,2,0.0406,0.0357
charlie kirk,7,2,0.0417,0.0357
xi jinping,7,1,0.0417,0.0417
jinping,7,1,0.0435,0.0435
nyc,9,1,0.0435,0.0435
man,8,3,0.0460,0.0000
jet,5,1,0.0476,0.0476
prince,7,1,0.0500,0.0500
probe,8,1,0.0500,0.0500
sen,8,1,0.0500,0.0500
turkey,6,1,0.0500,0.0500
jd,9,3,0.0518,0.0000
jd vance,9,3,0.0518,0.0000
alleged,6,1,0.0526,0.0526
charges,6,2,0.0556,0.0000
south,9,4,0.0560,0.0000
fires,7,1,0.0588,0.0588
john,6,1,0.0588,0.0588
sanctions,8,1,0.0625,0.0625
threats,7,1,0.0625,0.0625
visit,9,6,0.0627,0.0000
ties,8,2,0.0667,0.0000
vance,9,4,0.0693,0.0303
missing,8,3,0.0714,0.0476
declares,8,1,0.0714,0.0714
pleads,6,1,0.0714,0.0714
chaos,6,3,0.0720,0.0625
home,6,2,0.0738,0.0476
speaks,9,3,0.0764,0.0417
ship,6,3,0.0769,0.0000
billion,5,1,0.0769,0.0769
candace owens,7,1,0.0769,0.0769
oman,6,1,0.0769,0.0769
owens,7,1,0.0769,0.0769
report,9,1,0.0769,0.0769
resign,5,1,0.0769,0.0769
maga,8,4,0.0785,0.0588
guthrie,5,1,0.0800,0.0800
leader,6,3,0.0802,0.0714
erupts,9,1,0.0833,0.0833
operations,6,1,0.0833,0.0833
republican,9,1,0.0833,0.0833
sentenced,3,1,0.0833,0.0833
years,8,1,0.0833,0.0833
rubio,8,3,0.0838,0.0526
india,9,5,0.0846,0.0000
secret,9,4,0.0849,0.0588
nancy,5,1,0.0870,0.0870
supreme,9,7,0.0890,0.0294
york,8,2,0.0909,0.0909
interview,7,1,0.0909,0.0909
