term_a,term_b,observed,expected_strat,lift_strat,z_cmh,q_cmh,channels,npmi,log_or,weight,co_left,co_neutral,co_right
pm,modi,2465.00000,364.19746,6.76831,129.60960,0.00000,9.00000,0.84826,6.84550,2.75879,18,2446,1
iran,war,11300.00000,4970.63041,2.26973,129.38142,0.00000,201.00000,0.47860,2.64865,1.18252,4014,6364,904
von,der,98.00000,0.88225,111.07924,104.59028,0.00000,9.00000,0.90511,9.65760,6.79545,6,91,1
warning,issues,496.00000,25.65529,19.33324,95.95215,0.00000,47.00000,0.60680,4.57670,4.27301,109,218,169
kim,north korea,148.00000,2.63419,56.18430,91.01114,0.00000,15.00000,0.78986,7.16718,5.81210,7,137,4
media,briefs,259.00000,7.91244,32.73325,90.94592,0.00000,6.00000,0.60018,5.14154,5.03268,0,257,2
west,asia,742.00000,70.69813,10.49533,90.39279,0.00000,8.00000,0.74902,5.96213,3.39168,17,725,0
holds,conference,823.00000,77.53042,10.61519,89.92869,0.00000,22.00000,0.64470,4.61853,3.40806,35,736,52
dr,congo,119.00000,1.76313,67.49368,89.92490,0.00000,8.00000,0.60465,5.43638,6.07668,46,72,1
cup,fifa,826.00000,87.22263,9.47002,89.63942,0.00000,44.00000,0.77143,6.22607,3.24337,126,669,31
world cup,fifa,821.00000,86.95098,9.44210,89.23315,0.00000,43.00000,0.77481,6.24897,3.23911,124,667,30
north,kim,158.00000,3.26992,48.31921,86.90016,0.00000,15.00000,0.69713,6.05734,5.59453,10,143,5
korea,kim,178.00000,4.27684,41.61948,85.59080,0.00000,17.00000,0.73192,6.39507,5.37919,10,162,6
merz,chancellor,127.00000,2.21423,57.35628,85.20469,0.00000,11.00000,0.78819,7.36125,5.84188,2,121,4
rises,death toll,105.00000,1.56759,66.98175,83.69780,0.00000,19.00000,0.73181,6.62379,6.06570,22,72,11
gas,tear,92.00000,1.27657,72.06791,81.76000,0.00000,18.00000,0.61393,5.84211,6.17129,13,54,25
kushner,witkoff,91.00000,1.24852,72.88638,81.71788,0.00000,21.00000,0.81257,7.98841,6.18758,13,67,11
line,draws,103.00000,1.60768,64.06741,81.60672,0.00000,16.00000,0.66558,5.99946,6.00152,42,50,11
abraham lincoln,uss abraham,102.00000,1.61619,63.11136,81.08626,0.00000,26.00000,0.98250,14.08357,5.97983,32,52,18
draws,red line,83.00000,1.08411,76.56022,80.71927,0.00000,10.00000,0.76568,7.19926,6.25852,37,43,3
merz,german chancellor,93.00000,1.34688,69.04854,80.06037,0.00000,9.00000,0.79131,8.11119,6.10954,1,90,2
trump,president,3883.00000,1540.01047,2.52141,79.13895,0.00000,114.00000,0.21830,1.65446,1.33423,469,1767,1647
johnson,speaker,126.00000,2.56659,49.09238,78.69875,0.00000,28.00000,0.65353,5.76571,5.61743,17,54,55
toll,rises,108.00000,1.90629,56.65467,77.84228,0.00000,19.00000,0.68684,6.09189,5.82412,25,72,11
trump,donald,2003.00000,676.56412,2.95759,73.48413,0.00000,100.00000,0.28379,5.02687,1.56442,872,955,174
power,balance,334.00000,20.01589,16.68674,73.48057,0.00000,11.00000,0.58935,4.66608,4.06063,4,328,2
space,station,89.00000,1.46131,60.90410,73.45580,0.00000,17.00000,0.63974,5.76304,5.92847,5,79,5
world,fifa,839.00000,131.52578,6.37898,72.70667,0.00000,46.00000,0.54130,4.54421,2.67333,130,679,30
talks,peace,700.00000,80.89120,8.65360,72.50602,0.00000,58.00000,0.48979,3.42440,3.11330,117,498,85
signs,executive,135.00000,3.55155,38.01158,72.46750,0.00000,25.00000,0.68841,6.00735,5.24837,9,78,48
chair,kevin warsh,121.00000,2.92241,41.40423,70.88061,0.00000,25.00000,0.74219,6.87086,5.37171,17,93,11
macron,french,193.00000,7.40352,26.06868,70.33708,0.00000,10.00000,0.67297,5.65570,4.70425,15,175,3
oil,prices,509.00000,49.15738,10.35450,70.01908,0.00000,60.00000,0.50230,3.67428,3.37219,108,329,72
