term_a,term_b,observed,expected_strat,lift_strat,z_cmh,q_cmh,channels,weight
pm,modi,2446.00000,363.15461,6.73542,128.74636,0.00000,5.00000,2.75177
iran,war,6364.00000,2663.20418,2.38960,104.17323,0.00000,32.00000,1.25677
von,der,91.00000,0.83978,108.36160,99.56258,0.00000,6.00000,6.75971
kim,north korea,137.00000,2.28914,59.84767,90.42821,0.00000,10.00000,5.90322
north,kim,143.00000,2.75625,51.88209,85.78632,0.00000,10.00000,5.69716
korea,kim,162.00000,3.60501,44.93741,84.95728,0.00000,11.00000,5.48984
merz,chancellor,121.00000,2.06457,58.60784,84.07163,0.00000,7.00000,5.87302
holds,conference,736.00000,71.83791,10.24529,83.23040,0.00000,12.00000,3.35689
uk,starmer,428.00000,26.84571,15.94296,81.96310,0.00000,15.00000,3.99485
merz,german chancellor,90.00000,1.27052,70.83716,79.77444,0.00000,7.00000,6.14643
cup,fifa,669.00000,76.83740,8.70670,77.24324,0.00000,18.00000,3.12213
world cup,fifa,667.00000,76.70570,8.69557,77.08126,0.00000,18.00000,3.12028
canada,carney,162.00000,4.54687,35.62889,75.59785,0.00000,14.00000,5.15498
gas,tear,54.00000,0.50863,106.16760,75.46981,0.00000,8.00000,6.73020
space,station,79.00000,1.14676,68.88953,73.45991,0.00000,12.00000,6.10621
power,balance,328.00000,19.47971,16.83803,73.21914,0.00000,6.00000,4.07365
epic fury,operation epic,63.00000,0.78092,80.67392,71.61600,0.00000,9.00000,6.33403
prince,crown,61.00000,0.73353,83.15978,71.59445,0.00000,10.00000,6.37781
abraham lincoln,uss abraham,52.00000,0.53404,97.37030,71.50874,0.00000,12.00000,6.60541
signs,executive,78.00000,1.19388,65.33329,70.94383,0.00000,12.00000,6.02975
jd vance,vice,88.00000,1.53301,57.40337,70.81908,0.00000,10.00000,5.84306
garden,rose,36.00000,0.25950,138.72610,70.56205,0.00000,9.00000,7.11610
jd,vice,88.00000,1.55382,56.63467,70.34685,0.00000,10.00000,5.82361
warning,issues,218.00000,9.40599,23.17671,70.08907,0.00000,12.00000,4.53460
rises,death toll,72.00000,1.05601,68.18114,69.94688,0.00000,11.00000,6.09130
kushner,witkoff,67.00000,0.96599,69.35884,68.48537,0.00000,11.00000,6.11601
bombshell,drops,102.00000,2.25412,45.25056,67.50854,0.00000,7.00000,5.49986
fury,operation epic,63.00000,0.89180,70.64392,66.93854,0.00000,9.00000,6.14249
macron,french,175.00000,6.76939,25.85165,66.77059,0.00000,7.00000,4.69218
north korea,kim jong,75.00000,1.26985,59.06220,66.08245,0.00000,9.00000,5.88416
north korea,jong,76.00000,1.30527,58.22541,66.05878,0.00000,9.00000,5.86358
mamdani,mayor,165.00000,6.60211,24.99202,65.73369,0.00000,14.00000,4.64340
beach,palm,49.00000,0.57267,85.56400,65.01091,0.00000,10.00000,6.41893
spacex,starlink,47.00000,0.51867,90.61685,64.97423,0.00000,5.00000,6.50171
vance,vice,106.00000,2.63056,40.29556,64.96141,0.00000,11.00000,5.33255
