term,month,neighbors
epstein,2026-01,blanche (25.6x); clinton (25.6x); testify (24.0x); hillary clinton (22.6x); hillary (20.0x); contempt (20.0x); clintons (19.6x); jeffrey (14.9x); releases (13.1x); million (12.5x); documents (12.4x); release (11.1x); released (7.8x); justice department (7.7x); probe (7.5x); file (7.2x); justice (6.6x); elon musk (6.5x); hold (6.2x); department (6.0x)
epstein,2026-02,links (7.8x); probe (6.8x); agree (6.1x); survivors (5.7x); testifies (5.6x); survivor (5.6x); hillary clinton (5.4x); clinton (5.3x); handling (5.2x); clintons (5.2x); hillary (5.2x); jeffrey (5.1x); ties (5.1x); lutnick (5.1x); howard (5.0x); deposition (4.7x); comer (4.6x); ro (4.6x); victims (4.6x); file (4.6x)
epstein,2026-03,deposition (20.1x); mexico (18.6x); hillary clinton (16.4x); hillary (16.4x); clinton (16.2x); probe (15.8x); oversight (14.3x); released (13.5x); ties (13.4x); subpoena (12.1x); committee (11.2x); allegations (10.7x); jeffrey (10.5x); testimony (8.2x); docs (7.9x); guard (7.7x); bondi (7.6x); testify (7.3x); clintons (7.1x); pam (7.0x)
epstein,2026-04,survivors (24.5x); survivor (21.2x); ties (19.4x); denies (18.2x); testify (15.0x); jeffrey (14.5x); lady (12.7x); relationship (11.1x); statement (9.9x); melania (7.7x); surprise (6.7x); pam (6.3x); pam bondi (6.3x); bondi (6.1x); khanna (5.1x); questions (3.7x); firing (3.6x); king charles (3.4x); charles (3.4x); doj (3.1x)
epstein,2026-05,howard (22.7x); lutnick (21.5x); suicide (20.7x); pam (20.2x); pam bondi (20.2x); jeffrey (20.0x); bondi (18.2x); note (16.2x); testimony (15.7x); oversight (13.3x); survivors (11.9x); survivor (10.2x); released (9.7x); hearing (9.7x); todd (8.6x); blanche (7.4x); investigation (7.4x); revealed (5.7x); questions (5.0x); bombshell (4.8x)
epstein,2026-06,jeffrey (23.4x); gates (22.4x); bondi (15.2x); ties (12.8x); testimony (11.8x); oversight (10.1x); nyt (10.0x); probe (9.5x); leak (8.1x); testifies (7.6x); black (7.5x); release (7.1x); ag (6.1x); todd blanche (5.7x); todd (5.5x); blanche (5.1x); bombshell (4.7x); investigation (4.4x); congress (4.2x); drops (3.2x)
epstein,2026-07,victims (12.1x); survivor (10.0x); survivors (9.8x); todd blanche (6.5x); todd (6.5x); meeting (5.7x); vance (5.1x); blanche (5.0x); ag (3.9x); confirmation (3.9x); confirmation hearing (3.7x); doj (3.5x); investigation (3.0x); hearing (2.7x)
epstein,2026-08,doj (5.4x); todd blanche (4.5x); todd (4.4x); lawsuit (3.5x); blanche (3.4x); judge (3.4x); bombshell (2.5x)
epstein,2026-09,
iran,2026-01,supreme leader (16.8x); carrier (9.9x); locked (9.3x); heading (9.2x); warships (8.5x); stopping (6.7x); middle east (6.3x); airspace (6.3x); intensify (6.2x); stopped (5.6x); blackout (5.5x); unrest (5.5x); tehran (5.5x); death toll (5.4x); toll (5.3x); irgc (5.2x); khamenei (5.1x); rises (5.1x); options (5.1x); protests (5.0x)
iran,2026-02,oman (11.2x); araghchi (9.0x); regime change (6.3x); prepared (6.2x); supreme leader (6.0x); us-israel (5.7x); happen (5.7x); operations (5.6x); retaliates (5.5x); ali khamenei (5.5x); diplomacy (5.5x); negotiations (5.5x); happy (5.4x); builds (5.4x); epic fury (5.3x); talks (5.2x); drills (5.1x); strike (4.9x); nuclear (4.8x); carrier (4.7x)
iran,2026-03,proposal (3.3x); witkoff (3.0x); resigns (2.9x); messages (2.7x); negotiations (2.5x); deadline (2.5x); insists (2.4x); plants (2.4x); quits (2.3x); options (2.3x); dismisses (2.3x); diego (2.2x); hand (2.2x); pauses (2.2x); afraid (2.1x); caine (2.1x); striking (2.1x); mixed (2.1x); rejects (2.1x); touts (2.1x)
iran,2026-04,supreme leader (3.0x); commercial (3.0x); closes (2.8x); caine (2.8x); leverage (2.8x); extends (2.8x); seizes (2.7x); reached (2.7x); options (2.7x); vessels (2.7x); agrees (2.7x); sean (2.6x); deadline (2.5x); agreed (2.5x); fighter jet (2.5x); proposal (2.5x); playing (2.5x); cancels (2.4x); negotiations (2.4x); downed (2.4x)
iran,2026-05,totally (6.2x); unacceptable (5.1x); negotiations (4.4x); proposal (4.4x); centcom (4.4x); caine (4.2x); options (4.2x); supreme leader (4.1x); progress (4.0x); lt (4.0x); peace (3.8x); pauses (3.6x); uranium (3.6x); clock (3.6x); reopen (3.5x); quickly (3.5x); usa (3.5x); deal (3.5x); epic fury (3.4x); offer (3.3x)
iran,2026-06,doha (6.5x); resolution (5.1x); centcom (5.1x); retaliatory (4.9x); halt (4.7x); insists (4.7x); cargo (4.6x); mojtaba khamenei (4.4x); agreed (4.4x); negotiations (4.3x); ballistic missiles (4.1x); uranium (4.1x); bahrain (4.0x); downed (4.0x); supreme leader (4.0x); retaliation (3.9x); exchange (3.9x); leverage (3.9x); retaliates (3.8x); progress (3.7x)
iran,2026-07,negotiations (6.7x); supreme leader (6.2x); ali khamenei (6.2x); ayatollah (6.2x); gas prices (5.4x); ali (5.3x); centcom (5.2x); doha (5.2x); options (5.0x); escalating (4.9x); crowds (4.7x); airstrikes (4.6x); night (4.6x); oman (4.4x); farewell (4.4x); khamenei (4.3x); ceasefire (4.2x); retired (4.2x); chance (4.2x); retaliates (4.2x)
iran,2026-08,reopening (6.8x); supreme leader (6.6x); barron (5.6x); options (5.5x); khamenei (5.3x); d-day (5.2x); negotiations (5.1x); mou (5.1x); strait of hormuz (5.1x); strait (5.0x); economic (4.8x); deadline (4.8x); oman (4.7x); scott bessent (4.7x); araghchi (4.5x); chance (4.5x); bessent (4.3x); threats (4.3x); warfare (4.3x); sanctions (4.3x)
iran,2026-09,tehran (5.6x); ships (5.4x); escalate (5.4x); damaged (5.3x); wedding (5.2x); submarine (5.2x); strait of hormuz (5.1x); tankers (5.1x); conflict (5.0x); retaliation (4.8x); zone (4.7x); tanker (4.5x); gulf (4.4x); pressure (4.4x); kuwait (4.3x); kharg island (4.1x); kharg (4.0x); strait (4.0x); jordan (4.0x); hormuz (3.9x)
war,2026-01,powers (24.1x); resolution (23.8x); russia-ukraine (17.8x); sudan (16.3x); zone (10.9x); civil (7.6x); room (6.9x); declares (6.4x); senate (4.7x); vote (4.6x); ready (4.5x); ukraine (4.4x); prepares (4.0x); hegseth (4.0x); end (3.7x); imminent (3.5x); coming (3.3x); slams (2.8x); zelensky (2.7x); trade (2.6x)
war,2026-02,fourth (12.6x); russia-ukraine (9.6x); civil (7.5x); anniversary (7.3x); imminent (6.9x); escalates (6.3x); regional (4.7x); declares (4.4x); years (4.4x); us-iran (4.4x); open (4.0x); fears (4.0x); hegseth (3.9x); crimes (3.6x); afghanistan (3.6x); looms (3.5x); ukraine (3.2x); khamenei (3.1x); room (2.9x); alert (2.8x)
war,2026-03,powers (4.1x); resigns (4.1x); resolution (3.5x); rages (3.3x); ending (3.3x); sean (3.0x); won (3.0x); request (3.0x); u-turn (3.0x); iii (2.9x); enters (2.9x); goals (2.9x); spirals (2.8x); fuels (2.7x); end (2.7x); crimes (2.7x); drives (2.7x); started (2.7x); civil (2.6x); mixed (2.6x)
war,2026-04,sudan (5.8x); room (5.3x); started (5.0x); crimes (4.9x); veterans (4.7x); powers (4.5x); civil (4.2x); cost (4.0x); drives (3.8x); ending (3.5x); impact (3.3x); inflation (3.2x); machine (3.1x); pete hegseth (3.1x); professor (3.1x); end (3.0x); costs (3.0x); words (3.0x); steve (3.0x); gas prices (2.9x)
war,2026-05,civil (8.0x); powers (6.7x); russia-ukraine (6.3x); ending (6.2x); room (5.9x); end (5.9x); caine (4.9x); cost (4.9x); deadline (4.4x); secy (4.1x); costs (4.0x); region (3.7x); steve (3.7x); enters (3.6x); asia (3.6x); resume (3.4x); hegseth (3.3x); qatar (3.3x); won (3.3x); pete hegseth (3.2x)
war,2026-06,resolution (12.7x); powers (10.7x); civil (7.9x); halt (7.4x); end (7.0x); votes (6.2x); ending (5.4x); pete hegseth (5.1x); iran-us (5.0x); rebuke (5.0x); crimes (4.9x); costs (4.6x); vote (4.6x); pete (4.5x); room (4.4x); zelenskyy (4.2x); start (3.9x); passes (3.9x); asia (3.8x); update (3.7x)
