term,n_titles,degree,strength,betweenness,community
strikes,4953,100,179.22612,0.02398,0
hormuz,5008,86,177.60427,0.01713,0
oil,3683,83,173.67631,0.02355,0
iranian,2870,78,147.54815,0.01722,0
attack,4619,76,139.45819,0.01469,0
strait,2858,56,134.92658,0.00639,0
israel,6484,67,119.25068,0.01487,0
strait of hormuz,2421,45,112.26858,0.00425,0
strike,2639,62,110.28696,0.00930,0
drone,1770,49,106.38126,0.00463,0
missile,1869,53,104.27183,0.00545,0
israeli,2212,43,101.05861,0.00562,0
launches,1532,43,101.05248,0.00748,0
near,1408,48,99.60381,0.01097,0
nuclear,2356,41,97.15543,0.00714,0
ukraine,3957,54,92.39447,0.00966,0
missiles,1383,40,88.92658,0.00294,0
saudi,1175,36,87.01350,0.00612,0
military,3767,46,86.50563,0.00533,0
red,1407,28,85.79858,0.00767,0
hit,2453,44,81.58405,0.00433,0
attacks,2676,41,81.29169,0.00252,0
south,1508,27,78.33010,0.00351,0
base,894,31,77.16478,0.00347,0
hits,1885,38,76.44959,0.00477,0
russia,4789,50,75.15758,0.00707,0
ship,877,27,73.44079,0.00562,0
russian,1870,37,72.73736,0.00537,0
sea,726,26,70.59302,0.00187,0
kuwait,508,29,69.93415,0.00116,0
gulf,1172,33,69.24197,0.00196,0
lebanon,1706,34,68.57319,0.00294,0
kyiv,1073,30,67.99291,0.00196,0
uae,897,28,67.56060,0.00368,0
threatens,1734,31,64.40360,0.00300,0
gaza,1300,25,63.61935,0.00198,0
netanyahu,1776,29,62.58330,0.00727,0
navy,881,22,62.11057,0.00223,0
troops,1541,28,59.67041,0.00414,0
north,672,17,54.49666,0.00055,0
blockade,1140,23,53.20645,0.00161,0
tanker,456,19,51.74905,0.00117,0
houthis,435,17,51.19256,0.00100,0
drones,1030,25,50.27663,0.00077,0
targets,1228,27,49.73910,0.00278,0
korea,637,15,46.23622,0.00052,0
hezbollah,700,18,41.30993,0.00021,0
kill,787,17,40.64220,0.00342,0
bases,700,19,40.59322,0.00063,0
north korea,299,11,40.23732,0.00020,0
control,1370,15,40.03489,0.00215,0
claims,2218,21,39.26220,0.00338,0
qatar,437,14,39.18311,0.00034,0
daughter,289,8,39.03160,0.00011,0
oman,333,14,38.90648,0.00135,0
saudi arabia,514,15,38.48175,0.00056,0
bahrain,256,13,38.35415,0.00012,0
arabia,518,14,37.36902,0.00048,0
kim,357,9,37.19127,0.00009,0
jordan,495,15,36.70181,0.00177,0
explosions,322,12,36.23129,0.00107,0
turkey,464,12,35.96826,0.00081,0
bank,582,11,35.22948,0.00049,0
yemen,280,11,34.09353,0.00009,0
ships,609,14,33.73709,0.00025,0
kim jong,180,7,33.22922,0.00003,0
jong,183,7,33.10642,0.00003,0
tankers,293,11,32.67231,0.00008,0
palestinians,271,10,32.35687,0.00063,0
west,2220,12,32.29372,0.00106,0
moscow,683,19,32.21957,0.00161,0
