term,n_titles,degree,strength,betweenness,community
epstein,3040,67,129.17940,0.14463,0
hearing,772,22,53.13628,0.06013,0
doj,1323,27,49.74217,0.03789,0
files,961,16,34.39994,0.00485,0
blanche,670,13,28.17014,0.01681,0
dhs,392,10,27.67085,0.00949,0
epstein files,764,13,27.35795,0.00158,0
fired,320,11,27.24594,0.01026,0
ag,301,10,25.04757,0.01942,0
bondi,654,10,24.93668,0.00990,0
noem,590,8,20.96371,0.00635,0
todd blanche,315,8,19.73170,0.00464,0
todd,320,8,19.67332,0.00465,0
rep,718,7,18.49713,0.00505,0
smith,284,5,16.17706,0.00414,0
testimony,173,4,13.02584,0.00139,0
pam bondi,367,6,12.20688,0.00122,0
pam,373,6,12.16411,0.00122,0
drops,1016,6,11.78739,0.01087,0
husband,61,3,11.41719,0.00003,0
release,220,4,10.34987,0.00008,0
bombshell,1048,5,9.73133,0.00353,0
shots,101,3,9.65931,0.00228,0
attorney,188,4,9.62838,0.00019,0
kristi noem,399,3,9.45006,0.00018,0
kristi,405,3,9.42752,0.00018,0
howard,51,2,8.57595,0.00000,0
confirmation,106,3,8.40228,0.00001,0
lutnick,86,2,8.07230,0.00000,0
khanna,155,3,7.74760,0.00250,0
pick,160,2,7.59149,0.00246,0
names,106,3,7.52695,0.00008,0
released,136,3,7.46545,0.00008,0
jack smith,136,2,7.08105,0.00008,0
admits,526,3,6.89161,0.00410,0
jack,163,2,6.88131,0.00008,0
fires,364,3,6.87138,0.00668,0
reveal,398,4,6.79290,0.00156,0
investigation,356,3,6.76704,0.00016,0
comey,97,2,5.68116,0.00000,0
clinton,198,2,5.61858,0.00000,0
criminal,219,2,5.61046,0.00000,0
melania,511,3,5.51122,0.00246,0
indictment,85,2,5.46374,0.00000,0
deposition,96,2,5.40892,0.00000,0
firing,160,2,5.17245,0.00001,0
survivors,177,2,5.03555,0.00000,0
probe,216,2,4.87593,0.00000,0
bomb,439,2,4.76501,0.00000,0
mullin,110,1,4.63598,0.00000,0
dni,54,1,4.34969,0.00000,0
finally,749,2,4.32644,0.00246,0
subpoena,55,1,4.21504,0.00000,0
dave,120,1,4.05883,0.00000,0
adam,169,1,3.79551,0.00000,0
shutdown,156,1,3.64944,0.00000,0
garcia,60,1,3.62415,0.00000,0
defeat,279,1,3.34076,0.00000,0
note,40,1,3.24023,0.00000,0
fallout,147,2,3.14190,0.01259,0
ro,135,1,2.95779,0.00000,0
ro khanna,132,1,2.95779,0.00000,0
survivor,129,1,2.95089,0.00000,0
comer,53,1,2.94927,0.00000,0
snaps,193,1,2.84119,0.00000,0
lawyers,79,1,2.81064,0.00000,0
jeffrey,197,1,2.54100,0.00000,0
nomination,75,1,2.52220,0.00000,0
impeachment,179,1,2.50324,0.00000,0
charges,148,1,2.43492,0.00000,0
confirmation hearing,51,1,2.41763,0.00000,0
testify,97,1,2.37306,0.00000,0
coverup,58,1,2.36421,0.00000,0
class,86,1,2.29584,0.00000,0
victims,115,1,2.28558,0.00000,0
clintons,44,1,2.27877,0.00000,0
documents,66,1,2.24258,0.00000,0
relationship,103,1,2.20698,0.00000,0
file,49,1,2.20265,0.00000,0
testifies,104,1,2.18745,0.00000,0
explosive,385,1,2.18337,0.00000,0
gates,53,1,2.17963,0.00000,0
natalie,142,1,2.17499,0.00000,0
docs,61,1,2.15732,0.00000,0
targets,303,1,2.13541,0.00000,0
ties,160,1,2.12542,0.00000,0
cover-up,164,1,2.08966,0.00000,0
hillary,123,1,2.07398,0.00000,0
hillary clinton,97,1,1.96612,0.00000,0
cover,165,1,1.87677,0.00000,0
expose,159,1,1.84478,0.00000,0
hiding,170,1,1.83963,0.00000,0
billionaire,131,1,1.80644,0.00000,0
massie,176,1,1.77694,0.00000,0
prosecutor,129,1,1.73318,0.00000,0
officials,314,1,1.62093,0.00000,0
drop,163,1,1.58979,0.00000,0
lawyer,249,1,1.51402,0.00000,0
million,234,1,1.48390,0.00000,0
maxwell,110,1,1.46668,0.00000,0
silence,207,1,1.21204,0.00000,0
court,1428,19,36.39853,0.04621,1
supreme,854,12,26.69620,0.01409,1
deal,1268,15,26.28261,0.04192,1
iran,12392,19,23.51121,0.02758,1
nuclear,803,10,23.07492,0.02744,1
supreme court,738,10,22.07602,0.00804,1
talks,930,10,21.53575,0.01233,1
peace,591,8,19.70298,0.01219,1
canada,562,8,19.40444,0.01498,1
scotus,370,8,18.92593,0.00298,1
tariffs,289,7,16.95615,0.02209,1
greenland,640,9,16.92433,0.00752,1
voting,336,7,16.62021,0.00431,1
goes,1207,5,16.09382,0.00820,1
uk,939,9,15.90407,0.01215,1
trade,361,6,15.08620,0.00958,1
pm,385,6,14.58359,0.00575,1
khamenei,386,5,13.02199,0.00574,1
threatens,685,5,12.61655,0.00833,1
power,719,5,12.56116,0.00248,1
voting rights,129,5,12.26376,0.00091,1
ruling,316,5,11.88951,0.00188,1
act,316,4,11.80012,0.00169,1
starmer,623,6,11.77519,0.00423,1
tariff,271,5,11.55399,0.00556,1
birthright citizenship,124,4,9.23880,0.00018,1
citizenship,161,4,9.18841,0.00018,1
birthright,146,4,9.14611,0.00018,1
plant,63,2,8.19541,0.00102,1
mail-in,73,2,8.08158,0.00082,1
leader,502,3,7.76527,0.00226,1
resigns,132,3,7.75819,0.00297,1
us-iran,264,4,7.74313,0.00078,1
prize,58,2,7.60718,0.00000,1
nobel,49,2,7.24379,0.00000,1
decision,157,3,6.57535,0.00007,1
hasan,489,3,6.37177,0.00246,1
threat,745,4,6.03322,0.00479,1
supreme leader,103,2,5.61228,0.00000,1
rights,291,2,5.19588,0.00009,1
maduro,387,3,5.04619,0.00244,1
cenk,135,2,4.83374,0.00000,1
threats,317,2,4.77283,0.00065,1
ballot,62,1,4.09077,0.00000,1
grab,93,1,4.06473,0.00000,1
tehran,499,3,4.05660,0.00225,1
weapons,201,2,3.99357,0.00000,1
keir starmer,207,2,3.99214,0.00000,1
silent,137,1,3.81978,0.00000,1
insurrection act,40,1,3.75290,0.00000,1
rails,112,1,3.73846,0.00000,1
keir,222,2,3.73253,0.00000,1
insurrection,62,1,3.64159,0.00000,1
mojtaba,137,1,3.62554,0.00000,1
official,419,1,3.60337,0.00000,1
carney,142,1,3.41501,0.00000,1
fail,146,1,3.24663,0.00000,1
site,105,1,3.21671,0.00000,1
round,66,1,2.92327,0.00000,1
rules,130,1,2.86453,0.00000,1
public,459,1,2.82097,0.00000,1
danish,33,1,2.68735,0.00000,1
wrong,344,1,2.67325,0.00000,1
mehdi,104,1,2.51109,0.00000,1
denmark,66,1,2.49574,0.00000,1
losses,114,1,2.48555,0.00000,1
make,332,1,2.43693,0.00000,1
resign,110,1,2.20821,0.00000,1
burnham,300,1,2.12950,0.00000,1
ban,196,1,1.96468,0.00000,1
pakistan,187,1,1.95285,0.00000,1
collapses,515,1,1.83050,0.00000,1
options,57,1,1.82382,0.00000,1
blows,417,1,1.74813,0.00000,1
vance,1065,1,1.44372,0.00000,1
wedding,53,1,1.43324,0.00000,1
claims,505,1,1.43152,0.00000,1
negotiations,178,1,1.42850,0.00000,1
resume,34,1,1.26616,0.00000,1
regime change,107,1,1.23579,0.00000,1
assets,40,1,1.22758,0.00000,1
professor,114,1,1.21856,0.00000,1
deadline,105,1,1.10363,0.00000,1
uranium,37,1,1.04948,0.00000,1
surrender,203,1,1.03453,0.00000,1
mess,92,1,1.00491,0.00000,1
senate,873,20,46.62128,0.03682,2
election,1023,15,35.13392,0.02331,2
primary,269,12,30.78341,0.00923,2
gop,1472,15,28.73189,0.01916,2
texas,432,11,28.50270,0.00577,2
talarico,214,6,20.71816,0.00326,2
dems,654,9,20.35840,0.01199,2
republicans,1321,10,19.93624,0.00732,2
faces,600,6,19.69260,0.01362,2
win,506,8,18.80301,0.01348,2
midterms,502,7,17.33470,0.01354,2
democrats,732,8,15.48765,0.01218,2
maine,134,5,13.72826,0.00744,2
race,358,4,13.56632,0.00099,2
michigan,205,5,12.53076,0.00019,2
voters,555,6,11.85717,0.00931,2
dem,726,5,11.84505,0.00175,2
sister,50,3,11.62998,0.00164,2
graham,625,4,11.56509,0.00899,2
turn,440,4,11.52700,0.00562,2
vote,403,6,11.07080,0.00798,2
funeral,152,3,10.59367,0.00164,2
midterm,351,4,10.53634,0.00088,2
lindsey,382,3,10.37097,0.00000,2
lindsey graham,351,3,10.33320,0.00000,2
young,160,3,9.88395,0.00309,2
el-sayed,268,4,9.85809,0.00035,2
ahead,341,3,9.81754,0.00064,2
funding,215,4,9.40488,0.00737,2
party,589,4,9.21228,0.00469,2
death,599,3,8.42188,0.00164,2
senator,336,3,8.37098,0.00115,2
revolt,274,3,8.24618,0.00486,2
platner,324,3,8.08385,0.00029,2
elections,408,2,7.61521,0.00000,2
candidate,257,3,7.42191,0.00005,2
paxton,150,2,7.37876,0.00000,2
ken paxton,96,2,7.01992,0.00000,2
results,94,2,6.92356,0.00000,2
ken,146,2,6.86338,0.00000,2
abdul,269,3,6.78926,0.00000,2
green,155,2,6.68682,0.00082,2
men,235,2,6.66088,0.00000,2
special,237,2,6.18646,0.00082,2
republican,631,2,5.83578,0.00003,2
democratic,265,2,5.71891,0.00246,2
black,821,3,4.82589,0.00257,2
abdul el-sayed,196,2,4.65410,0.00000,2
women,260,2,4.49378,0.00019,2
scrutiny,57,1,4.44917,0.00000,2
al,202,1,4.38875,0.00000,2
allegations,140,2,4.32664,0.00047,2
congressman,138,2,4.17914,0.00730,2
backlash,248,1,4.16885,0.00000,2
takes,460,1,4.14333,0.00000,2
governor,173,1,3.94963,0.00000,2
interference,49,1,3.69402,0.00000,2
flip,108,1,3.52051,0.00000,2
steal,89,1,3.47072,0.00000,2
scheme,427,2,3.45416,0.00235,2
coverage,203,1,3.37505,0.00000,2
senators,151,1,3.33622,0.00000,2
crockett,110,1,3.32140,0.00000,2
wins,239,1,3.20771,0.00000,2
people,793,1,3.00639,0.00000,2
georgia,137,1,2.99693,0.00000,2
socialists,51,1,2.99499,0.00000,2
graham platner,189,1,2.71685,0.00000,2
convention,139,1,2.63692,0.00000,2
california,156,1,2.50033,0.00000,2
abandon,116,1,2.22670,0.00000,2
ice,2917,48,85.33628,0.09756,3
