term,n_titles,degree,strength,betweenness,community
trump,20212,170,242.33899,0.12331,0
iran,17478,131,172.94178,0.06412,0
hormuz,2947,64,139.77838,0.03124,0
says,7121,78,124.88531,0.05746,0
deal,2750,60,115.58284,0.05133,0
strait,1590,34,88.42716,0.00641,0
strait of hormuz,1380,31,84.05359,0.00462,0
greenland,997,24,46.46288,0.00953,0
signs,321,10,43.05535,0.00078,0
threatens,848,20,42.20823,0.00947,0
blockade,599,13,31.08816,0.00068,0
halftime,48,6,25.42849,0.00124,0
allies,419,10,24.82342,0.00276,0
warns,1639,13,23.37893,0.00171,0
deadline,281,8,23.00647,0.00255,0
vows,488,10,22.82587,0.00202,0
tankers,158,7,21.22964,0.00009,0
ships,317,9,20.67684,0.00032,0
oman,224,7,20.43251,0.00014,0
bros,94,4,20.31201,0.00355,0
order,389,8,20.11451,0.00444,0
orders,312,5,18.01686,0.00095,0
help,461,8,17.38803,0.00694,0
bad,217,5,16.62052,0.01093,0
control,429,7,16.47021,0.00077,0
warner,101,3,16.28819,0.00000,0
reopen,125,5,16.09517,0.00000,0
don't,321,5,15.72342,0.00110,0
bad bunny,75,4,15.70224,0.00000,0
bunny,78,4,15.69644,0.00000,0
executive,200,4,15.22469,0.00002,0
super bowl,141,4,14.98022,0.00124,0
super,201,4,14.94994,0.00123,0
bowl,156,4,14.94384,0.00123,0
european,271,5,14.88122,0.00021,0
retaliation,157,5,14.17369,0.00002,0
reopening,74,4,13.36093,0.00000,0
secure,79,4,13.19683,0.00036,0
closed,101,4,13.07054,0.00000,0
vessel,118,4,12.24491,0.00000,0
vessels,96,4,11.78742,0.00000,0
paramount,67,2,11.32757,0.00000,0
union,605,4,11.26313,0.00021,0
issues,526,3,11.22153,0.00272,0
oval office,90,3,11.20364,0.00000,0
oval,91,3,11.18925,0.00000,0
traffic,139,3,11.14405,0.00000,0
mines,65,3,10.77281,0.00000,0
warning,978,3,10.75813,0.00215,0
want,243,3,10.63204,0.00000,0
netflix,111,2,10.50498,0.00000,0
response,379,4,10.30069,0.00002,0
shipping,139,3,10.03731,0.00000,0
closes,111,3,9.88298,0.00000,0
expert,348,3,9.44827,0.00091,0
navy,345,4,9.25467,0.00000,0
message,376,2,9.14966,0.00054,0
ready,346,5,8.97687,0.00076,0
looms,149,2,8.83494,0.00001,0
signed,71,4,8.83408,0.00062,0
reached,92,4,8.74190,0.00062,0
open,586,3,8.71843,0.00000,0
executive order,90,2,8.60120,0.00000,0
wants,411,4,8.58140,0.00043,0
doesn't,206,3,8.10444,0.00037,0
make,496,3,7.80051,0.00000,0
sends,321,2,7.46035,0.00107,0
framework,72,3,7.43770,0.00000,0
signals,272,5,7.35509,0.00085,0
nears,125,2,7.28269,0.00000,0
clayton,47,2,7.23394,0.00054,0
we're,160,2,7.04835,0.00000,0
met,91,2,6.97398,0.00054,0
reach,247,3,6.65350,0.00000,0
closure,87,2,6.55991,0.00000,0
going,330,2,6.42802,0.00000,0
push,594,3,6.02731,0.00018,0
arctic,117,3,5.87795,0.00014,0
jay,55,1,5.78160,0.00000,0
office,369,2,5.64439,0.00000,0
revenge,107,2,5.61522,0.00000,0
denmark,181,3,5.58154,0.00029,0
explains,580,2,5.54939,0.00030,0
gala,75,1,5.33765,0.00000,0
ultimatum,170,2,5.31629,0.00087,0
think,129,1,5.07733,0.00000,0
standoff,148,2,4.77972,0.00012,0
escalation,182,3,4.65426,0.00001,0
he'll,81,2,4.63128,0.00029,0
risks,210,2,4.62556,0.00027,0
agreed,71,2,4.52490,0.00029,0
strong,267,1,4.35293,0.00000,0
danish,85,2,4.25337,0.00000,0
takeover,130,2,4.21808,0.00000,0
project freedom,57,2,4.21617,0.00022,0
legal,221,1,4.17563,0.00000,0
administration,399,2,4.13230,0.00127,0
territory,89,1,3.57315,0.00000,0
urgent,101,1,3.55990,0.00000,0
pauses,70,2,3.51294,0.00024,0
insists,55,2,3.49267,0.00024,0
safe,167,2,3.45474,0.00010,0
know,838,1,3.21862,0.00000,0
asked,95,2,3.16824,0.00029,0
happen,65,2,3.00105,0.00024,0
analyst,165,2,2.99691,0.00009,0
surrender,78,2,2.98804,0.00024,0
chance,77,2,2.87085,0.00024,0
warships,120,2,2.82606,0.00000,0
weeks,171,2,2.81521,0.00009,0
hasn't,38,1,2.72632,0.00000,0
prepared,49,1,2.72533,0.00000,0
hopes,159,1,2.61072,0.00000,0
potential,252,1,2.52156,0.00000,0
needed,59,1,2.36487,0.00000,0
won't,350,1,2.36094,0.00000,0
foreign policy,74,2,2.33988,0.00024,0
we'll,66,2,2.30404,0.00024,0
