term,n_titles,degree,strength,betweenness,community
iran,5886,76,109.51227,0.16065,0
war,2170,21,38.49860,0.02425,0
deal,877,18,35.18220,0.06064,0
oil,488,12,31.13505,0.01186,0
nuclear,358,7,22.58106,0.02495,0
hormuz,600,8,17.64114,0.00559,0
china,739,7,16.27706,0.00334,0
talks,494,6,15.99993,0.01077,0
peace,395,7,15.87256,0.01314,0
goes,744,5,14.12715,0.00872,0
strait,527,6,13.76898,0.00573,0
vote,309,4,13.45443,0.00559,0
announces,356,7,12.48679,0.04315,0
details,629,5,11.66252,0.01565,0
strait of hormuz,451,5,11.22655,0.00312,0
trade,184,5,11.14680,0.00408,0
economic,283,5,10.92816,0.00322,0
venezuela,381,5,10.80939,0.00327,0
plan,527,4,10.37132,0.00804,0
secret,370,4,10.17093,0.00477,0
open,233,3,9.34062,0.00000,0
weapon,88,3,9.09472,0.00269,0
sense,97,2,8.59023,0.00092,0
navy,188,3,8.36126,0.00261,0
blockade,207,4,8.34785,0.00000,0
powers,65,2,8.07991,0.00383,0
us-iran,112,3,7.38652,0.00056,0
contempt,72,2,7.18633,0.00042,0
exposed,783,4,6.63406,0.00728,0
make,389,2,6.45274,0.00184,0
d-day,31,2,6.04468,0.00000,0
revealed,281,2,5.99424,0.00029,0
weapons,83,2,5.89986,0.00000,0
went,196,2,5.86383,0.01234,0
tankers,55,2,5.84414,0.00000,0
seal,59,1,5.13964,0.00000,0
ships,94,2,5.09333,0.00000,0
common,69,1,4.89344,0.00000,0
pakistan,69,2,4.81053,0.00000,0
end,502,3,4.69038,0.00041,0
hit,322,2,4.67931,0.00092,0
culture,197,2,4.56104,0.00092,0
shocking,383,2,4.48429,0.00261,0
reveals,827,2,4.38628,0.00520,0
night,164,2,4.32577,0.00261,0
escalates,82,2,4.28504,0.00000,0
threatens,201,3,4.21388,0.00564,0
middle,259,2,4.21375,0.00092,0
unveils,126,1,4.10186,0.00000,0
emerge,49,1,3.98663,0.00000,0
tanker,68,1,3.98316,0.00000,0
trip,107,2,3.97472,0.00060,0
declares,141,2,3.78793,0.00000,0
hard,158,1,3.62614,0.00000,0
earth,90,1,3.61981,0.00000,0
late,70,1,3.30197,0.00000,0
rails,44,1,3.24825,0.00000,0
class,82,1,3.19379,0.00000,0
civil,162,1,3.13622,0.00000,0
earthquake,119,1,2.91528,0.00000,0
threat,399,2,2.85194,0.00051,0
gas,189,1,2.82053,0.00000,0
vows,140,2,2.79837,0.00380,0
warns,647,2,2.76155,0.00051,0
taiwan,65,1,2.69267,0.00000,0
control,306,1,2.68957,0.00000,0
cancel,62,1,2.63156,0.00000,0
rant,96,1,2.52986,0.00000,0
strategy,197,2,2.46427,0.00381,0
moment,526,1,2.15917,0.00000,0
negotiations,121,1,2.12778,0.00000,0
uranium,34,1,2.01705,0.00000,0
