phrase,word_a,word_b,gap,titles,channels,npmi,bound_pair
white house,white,house,0,3552,149,0.8426,True
strait of hormuz,strait,hormuz,1,2421,106,0.8117,False
world cup,world,cup,0,2200,113,0.7057,False
supreme court,supreme,court,0,1927,136,0.8253,True
jd vance,jd,vance,0,1483,130,0.877,True
middle east,middle,east,0,1471,95,0.9566,True
epstein files,epstein,files,0,1395,148,0.6795,False
press conference,press,conference,0,1324,65,0.777,False
charlie kirk,charlie,kirk,0,1145,117,0.9144,True
lindsay clancy,lindsay,clancy,0,1101,94,0.9606,True
nancy guthrie,nancy,guthrie,0,1053,39,0.877,True
artemis ii,artemis,ii,0,931,44,0.966,True
lindsey graham,lindsey,graham,0,865,127,0.8396,True
let talk,let,talk,0,784,13,0.8019,True
elon musk,elon,musk,0,781,113,0.9227,True
pete hegseth,pete,hegseth,0,702,92,0.7744,False
kristi noem,kristi,noem,0,675,106,0.9216,True
prime minister,prime,minister,0,670,58,0.744,False
pam bondi,pam,bondi,0,668,113,0.9077,True
marco rubio,marco,rubio,0,644,85,0.8336,False
todd blanche,todd,blanche,0,638,69,0.8833,True
social media,social,media,0,615,99,0.7198,False
kash patel,kash,patel,0,583,92,0.9435,True
keir starmer,keir,starmer,0,562,58,0.8342,False
candace owens,candace,owens,0,562,77,0.94,True
air force,air,force,0,530,59,0.665,False
tucker carlson,tucker,carlson,0,525,111,0.9084,True
karoline leavitt,karoline,leavitt,0,521,64,0.9105,True
pope leo,pope,leo,0,518,57,0.9321,True
saudi arabia,saudi,arabia,0,514,53,0.8673,False
supreme leader,supreme,leader,0,511,50,0.5413,False
don lemon,don,lemon,0,509,113,0.9594,True
gas prices,gas,prices,0,493,75,0.6773,False
ilhan omar,ilhan,omar,0,478,87,0.9563,True
king charles,king,charles,0,477,58,0.8629,False
zohran mamdani,zohran,mamdani,0,475,87,0.7398,False
rfk jr,rfk,jr,0,456,84,0.9109,True
graham platner,graham,platner,0,455,101,0.713,False
birthright citizenship,birthright,citizenship,0,444,94,0.9394,True
alex pretti,alex,pretti,0,441,91,0.8277,False
press briefing,press,briefing,0,440,30,0.54,False
xi jinping,xi,jinping,0,433,37,0.8136,False
tyler robinson,tyler,robinson,0,431,61,0.9117,True
karmelo anthony,karmelo,anthony,0,417,71,0.9349,True
correspondents dinner,correspondents,dinner,0,415,60,0.8878,True
