term,n_titles,acf_lag1_residual,mean_channels_per_day
trump,67070,0.3610,74.7821
iran,35756,0.6942,39.9961
war,18950,0.5689,29.3035
says,11117,0.1811,19.6576
world,8860,0.3866,13.6809
america,7795,0.3432,16.9416
israel,6484,0.3842,13.9572
president,6327,0.1898,11.9300
ice,6183,0.6065,14.6654
house,5754,0.3902,13.8677
amid,5348,0.1344,10.0817
epstein,5196,0.5211,12.7549
hormuz,5008,0.5325,8.7237
strikes,4953,0.5680,10.0467
breaking,4923,0.0496,12.1984
deal,4895,0.5345,10.8093
russia,4789,0.2001,7.4008
attack,4615,0.3332,10.8171
china,4542,0.4669,9.8132
india,4503,0.1270,3.6848
pm,4386,0.2596,4.9844
white,4354,0.2845,12.3268
talks,4199,0.3099,8.8132
ai,4046,0.0245,10.0973
ukraine,3957,0.3472,7.3307
military,3767,0.2535,9.8833
maga,3696,0.1548,10.8249
oil,3683,0.3758,8.5331
day,3605,0.1967,9.7938
court,3583,0.3624,9.6265
white house,3552,0.3065,9.6693
putin,3509,0.2294,5.1712
big,3448,0.0861,7.8638
shooting,3089,0.4572,6.5097
election,2993,0.4137,8.5992
state,2936,0.3845,8.2257
uk,2897,0.3659,7.0739
warns,2881,0.2304,7.2490
iranian,2870,0.4183,7.0350
calls,2862,0.0439,8.9844
strait,2858,0.5320,6.8366
nato,2852,0.4538,5.0739
modi,2837,0.2179,2.0973
senate,2833,0.4767,7.3852
crisis,2784,-0.0043,7.2957
gets,2764,0.0211,9.2568
democrats,2748,0.2124,9.0195
vance,2745,0.4801,7.5875
people,2744,0.1051,9.1518
gop,2735,0.2553,7.8405
american,2731,0.2045,8.1984
attacks,2675,0.2829,7.6070
venezuela,2663,0.4937,4.6070
strike,2639,0.3756,6.5603
case,2611,0.4920,7.4981
press,2581,0.0408,6.1712
major,2549,0.0398,8.1012
massive,2548,0.0638,7.6576
report,2531,-0.0042,6.8794
plan,2509,0.0405,8.0661
peace,2469,0.5088,6.1868
supreme,2469,0.4034,6.5136
hit,2453,0.2146,6.9144
strait of hormuz,2421,0.5254,5.9183
warning,2417,0.2256,6.6304
media,2415,-0.0224,7.5214
holds,2395,0.0782,4.9533
speech,2372,0.2465,6.3969
