term,n_titles,n_channels,is_phrase,phrase_words
trump,67071,245,False,
iran,35757,233,False,
war,18953,247,False,
says,11117,180,False,
world,8861,204,False,
america,7795,231,False,
israel,6484,172,False,
president,6327,158,False,
ice,6184,217,False,
house,5754,176,False,
amid,5348,79,False,
epstein,5196,208,False,
hormuz,5008,120,False,
strikes,4953,127,False,
breaking,4923,160,False,
deal,4895,161,False,
russia,4789,101,False,
attack,4619,176,False,
china,4542,157,False,
india,4503,51,False,
pm,4386,67,False,
white,4357,191,False,
talks,4199,121,False,
ai,4046,181,False,
ukraine,3957,95,False,
military,3767,147,False,
maga,3696,183,False,
oil,3683,136,False,
day,3605,166,False,
court,3583,178,False,
white house,3552,149,True,white|house
putin,3509,77,False,
big,3448,179,False,
shooting,3090,151,False,
election,2993,161,False,
state,2937,191,False,
uk,2897,139,False,
warns,2881,112,False,
iranian,2870,127,False,
calls,2864,173,False,
strait,2858,114,False,
nato,2852,106,False,
modi,2837,28,False,
senate,2833,136,False,
crisis,2784,165,False,
gets,2769,185,False,
democrats,2748,164,False,
people,2745,196,False,
vance,2745,148,False,
gop,2735,116,False,
american,2731,191,False,
attacks,2676,158,False,
venezuela,2663,163,False,
strike,2639,110,False,
case,2611,159,False,
press,2581,106,False,
massive,2551,137,False,
major,2549,122,False,
report,2531,131,False,
plan,2512,173,False,
peace,2470,135,False,
supreme,2469,146,False,
hit,2453,140,False,
strait of hormuz,2421,106,True,strait|hormuz
warning,2417,131,False,
media,2415,184,False,
holds,2395,65,False,
speech,2373,168,False,
goes,2368,170,False,
ceasefire,2359,122,False,
nuclear,2356,139,False,
killed,2341,125,False,
hegseth,2330,119,False,
doj,2317,112,False,
times,2302,118,False,
police,2271,124,False,
speaks,2271,117,False,
cup,2268,113,False,
global,2242,126,False,
power,2241,167,False,
conference,2237,84,False,
west,2220,120,False,
claims,2218,134,False,
israeli,2212,99,False,
world cup,2200,113,True,world|cup
congress,2197,142,False,
trade,2151,92,False,
summit,2147,72,False,
security,2146,105,False,
inside,2117,160,False,
chief,2111,104,False,
end,2103,181,False,
exposed,2087,177,False,
republicans,2079,146,False,
donald,2045,108,False,
files,2043,171,False,
us-iran,2043,46,False,
death,2034,172,False,
hearing,2034,111,False,
protest,2030,124,False,
minister,2029,76,False,
black,1997,150,False,
meeting,1994,97,False,
minnesota,1983,146,False,
ahead,1977,73,False,
reveals,1976,147,False,
reacts,1975,104,False,
minneapolis,1967,141,False,
threat,1960,141,False,
americans,1957,156,False,
secret,1934,171,False,
supreme court,1927,136,True,supreme|court
debate,1916,165,False,
europe,1906,115,False,
air,1905,119,False,
greenland,1902,140,False,
leader,1900,122,False,
mamdani,1889,145,False,
rep,1887,99,False,
hits,1885,109,False,
russian,1870,75,False,
missile,1869,70,False,
deadly,1843,85,False,
