creator,genre,all_caps,selective_caps,title_case,sentence_case,mixed_other,short_other,n_titles,caps_any,low_n,group,organisation,clipper
@BadEmpanadaLive,streams,1.0,0.0,0.0,0.0,0.0,0.0,1,1.0,True,left,BadEmpanada,False
@BadFaithPodcast,streams,0.0,1.0,0.0,0.0,0.0,0.0,1,1.0,True,left,Bad Faith,False
@DrSteveTurleyTV,streams,0.0,1.0,0.0,0.0,0.0,0.0,29,1.0,True,right,Steve Turley,False
@HasanAbi,streams,1.0,0.0,0.0,0.0,0.0,0.0,7,1.0,True,left,HasanAbi,False
@JacksonHinkleOfficial,streams,0.9342105263157895,0.06578947368421052,0.0,0.0,0.0,0.0,76,1.0,False,neutral,Jackson Hinkle,False
@JesseKellyDC,streams,0.0,1.0,0.0,0.0,0.0,0.0,1,1.0,True,right,Jesse Kelly,False
@LeejaMiller,streams,0.0,1.0,0.0,0.0,0.0,0.0,1,1.0,True,left,Leeja Miller,False
@SabbySabs,streams,1.0,0.0,0.0,0.0,0.0,0.0,98,1.0,False,left,Sabby Sabs,False
@SecularTalk,streams,1.0,0.0,0.0,0.0,0.0,0.0,1,1.0,True,left,Kyle Kulinski,False
@Timcast,streams,0.0,1.0,0.0,0.0,0.0,0.0,5,1.0,True,right,Timcast,False
@Vaush,streams,0.0,1.0,0.0,0.0,0.0,0.0,1,1.0,True,left,Vaush,False
@Xanderhal,streams,1.0,0.0,0.0,0.0,0.0,0.0,101,1.0,False,left,Xanderhal,False
@adammockler,streams,0.0,1.0,0.0,0.0,0.0,0.0,2,1.0,True,left,Adam Mockler,False
@harryjsisson,streams,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,3,1.0,True,left,Harry Sisson,False
@joerogan,streams,0.0,1.0,0.0,0.0,0.0,0.0,1,1.0,True,neutral,Joe Rogan,False
@katiephangnews,streams,0.022727272727272728,0.9772727272727273,0.0,0.0,0.0,0.0,44,1.0,True,left,MeidasTouch Network,False
@wethefifth,streams,0.0,1.0,0.0,0.0,0.0,0.0,2,1.0,True,neutral,The Fifth Column,False
@DannyHaiphongYT,streams,0.0,0.990909090909091,0.00909090909090909,0.0,0.0,0.0,220,0.990909090909091,False,left,Danny Haiphong,False
@TimcastIRL,streams,0.013422818791946308,0.9731543624161074,0.013422818791946308,0.0,0.0,0.0,149,0.9865771812080537,False,right,Timcast,False
@RealAmericasVoice,streams,0.9576547231270358,0.019543973941368076,0.016938110749185668,0.003908794788273616,0.0,0.001954397394136808,1535,0.9771986970684039,False,right,Real America's Voice,False
@DueDissidence,streams,0.0,0.9619047619047619,0.0380952380952381,0.0,0.0,0.0,105,0.9619047619047619,False,left,Due Dissidence,False
@LukeBeasley,streams,0.2764227642276423,0.6788617886178862,0.032520325203252036,0.012195121951219513,0.0,0.0,246,0.9552845528455285,False,left,Luke Beasley,False
@MeidasTouch,streams,0.06825938566552901,0.8754266211604096,0.05460750853242321,0.0017064846416382253,0.0,0.0,586,0.9436860068259386,False,left,MeidasTouch Network,False
@HasanabiClips,streams,0.0,0.9375,0.0,0.0,0.0,0.0625,32,0.9375,True,left,HasanAbi,True
@StatusCoup,streams,0.013157894736842105,0.9210526315789473,0.06578947368421052,0.0,0.0,0.0,152,0.9342105263157895,False,left,Status Coup,False
@briantylercohen,streams,0.3,0.6,0.0,0.1,0.0,0.0,10,0.8999999999999999,True,left,Brian Tyler Cohen,False
@VivaFrei,streams,0.0,0.8775510204081632,0.12244897959183673,0.0,0.0,0.0,49,0.8775510204081632,True,right,Viva Frei,False
@TimcastNews,streams,0.0,0.875,0.125,0.0,0.0,0.0,8,0.875,True,right,Timcast,False
@deanwithrs,streams,0.0,0.8446215139442231,0.11952191235059761,0.035856573705179286,0.0,0.0,251,0.8446215139442231,False,left,Dean Withers,False
@TheOfficerTatum,streams,0.005208333333333333,0.828125,0.16666666666666666,0.0,0.0,0.0,192,0.8333333333333334,False,right,Officer Tatum,False
@bennyjohnson,streams,0.0,0.7839506172839507,0.21604938271604937,0.0,0.0,0.0,162,0.7839506172839507,False,right,Benny Johnson,False
@LegalAFMTN,streams,0.022222222222222223,0.7555555555555555,0.2,0.022222222222222223,0.0,0.0,45,0.7777777777777778,True,left,MeidasTouch Network,False
@RobertGouveiaEsq,streams,0.005509641873278237,0.7630853994490359,0.23140495867768596,0.0,0.0,0.0,363,0.7685950413223142,False,right,Robert Gouveia,False
@NovaraMedia,streams,0.0,0.75,0.25,0.0,0.0,0.0,4,0.75,True,left,Novara Media,False
@dollemore,streams,0.0,0.75,0.25,0.0,0.0,0.0,4,0.75,True,left,Jesse Dollemore,False
@marclamonthillnetwork,streams,0.0,0.7448275862068966,0.25517241379310346,0.0,0.0,0.0,145,0.7448275862068966,False,left,Marc Lamont Hill,False
@lizwheeler,streams,0.0,0.7164179104477612,0.26865671641791045,0.014925373134328358,0.0,0.0,67,0.7164179104477612,False,right,Liz Wheeler,False
@TheYoungTurks,streams,0.02481389578163772,0.6774193548387096,0.27543424317617865,0.0024813895781637717,0.0,0.019851116625310174,403,0.7022332506203474,False,left,TYT Network,False
@thejimmydoreshow,streams,0.0,0.6944444444444444,0.2962962962962963,0.009259259259259259,0.0,0.0,108,0.6944444444444444,False,neutral,Jimmy Dore,False
@AnaEscobarShow,streams,0.06451612903225806,0.5806451612903226,0.3548387096774194,0.0,0.0,0.0,31,0.6451612903225807,True,right,Ana Escobar,False
@TimesNowWorld,streams,0.0007074637424831977,0.6388397594623275,0.3455960382030421,0.014503006720905553,0.00035373187124159886,0.0,2827,0.6395472232048107,False,neutral,Times Group,False
@LIVESNEAKO,streams,0.36231884057971014,0.2463768115942029,0.2463768115942029,0.10144927536231885,0.0,0.043478260869565216,69,0.6086956521739131,False,neutral,SNEAKO,False
@TheLincolnProject,streams,0.0,0.6071428571428571,0.39285714285714285,0.0,0.0,0.0,28,0.6071428571428571,True,left,Lincoln Project,False
@RestPoliticsUS,streams,0.4,0.2,0.4,0.0,0.0,0.0,5,0.6000000000000001,True,left,The Rest Is Politics US,False
@chicksonright,streams,0.0,0.5804597701149425,0.41954022988505746,0.0,0.0,0.0,174,0.5804597701149425,False,right,Chicks on the Right,False
@TheSerfTimes,streams,0.01020408163265306,0.5612244897959183,0.02040816326530612,0.40816326530612246,0.0,0.0,98,0.5714285714285714,False,left,Serf Times,False
@TheDonLemonShow,streams,0.0,0.5702917771883289,0.4297082228116711,0.0,0.0,0.0,377,0.5702917771883289,False,left,Don Lemon,False
@RedactedNews,streams,0.08823529411764706,0.47794117647058826,0.3897058823529412,0.04411764705882353,0.0,0.0,136,0.5661764705882353,False,right,Redacted,False
@oann,streams,0.5361842105263158,0.02631578947368421,0.42105263157894735,0.01644736842105263,0.0,0.0,304,0.5625,False,right,OAN,False
@AfterPartyEmily,streams,0.0,0.5352112676056338,0.4647887323943662,0.0,0.0,0.0,71,0.5352112676056338,False,right,Emily Jashinsky,False
@FreshFitMiami,streams,0.0136986301369863,0.5205479452054794,0.4520547945205479,0.0136986301369863,0.0,0.0,73,0.5342465753424657,False,right,Fresh & Fit,False
