creator,genre,word,kind,pattern,count,share
@60minutes,videos,minutes,suffix,# minutes full episodes,48,0.1595
@60minutes,videos,full,suffix,# minutes full episodes,48,0.1595
@60minutes,videos,episodes,suffix,# minutes full episodes,48,0.1595
@60minutes,videos,minutes,suffix,# minutes,38,0.1262
@60minutes,videos,minutes,suffix,# minutes archive,74,0.2458
@60minutes,videos,archive,suffix,# minutes archive,74,0.2458
@60minutes,videos,sunday,suffix,sunday on # minutes,41,0.1362
@60minutes,videos,minutes,suffix,sunday on # minutes,41,0.1362
@ABCNews,streams,live,prefix,live: abc news live,216,0.3949
@ABCNews,streams,abc,prefix,live: abc news live,216,0.3949
@ABCNews,streams,news,prefix,live: abc news live,216,0.3949
@ABCNews,streams,live,prefix,live: abc news live,216,0.3949
@ABCNews,streams,abc,suffix,abc news,216,0.3949
@ABCNews,streams,news,suffix,abc news,216,0.3949
@ANINewsIndia,streams,bjp,suffix,bjp,496,0.0689
@AnthonyBrianLogan,streams,abl,colon,🔴 abl live,48,1.0
@AnthonyBrianLogan,streams,live,colon,🔴 abl live,48,1.0
@BBCNews,videos,the,suffix,the global story,127,0.054
@BBCNews,videos,global,suffix,the global story,127,0.054
@BBCNews,videos,story,suffix,the global story,127,0.054
@BBCNews,videos,bbc,suffix,bbc news,1698,0.7219
@BBCNews,videos,news,suffix,bbc news,1698,0.7219
@BBCNews,videos,bbc,suffix,bbc newscast,213,0.0906
@BBCNews,videos,newscast,suffix,bbc newscast,213,0.0906
@BBCNews,videos,global,suffix,global news podcast,162,0.0689
@BBCNews,videos,news,suffix,global news podcast,162,0.0689
@BBCNews,videos,podcast,suffix,global news podcast,162,0.0689
@CBSNews,streams,full,suffix,full coverage,47,0.1358
@CBSNews,streams,coverage,suffix,full coverage,47,0.1358
@ClubRandomPodcast,videos,club,suffix,club random with bill maher,37,0.2
@ClubRandomPodcast,videos,random,suffix,club random with bill maher,37,0.2
@ClubRandomPodcast,videos,with,suffix,club random with bill maher,37,0.2
@ClubRandomPodcast,videos,bill,suffix,club random with bill maher,37,0.2
@ClubRandomPodcast,videos,maher,suffix,club random with bill maher,37,0.2
@DailyDenims,videos,denims,colon,denims,200,0.9302
@DarkHorsePod,videos,darkhorse,suffix,darkhorse #,30,0.4615
@EzraKleinShow,videos,the,suffix,the ezra klein show,58,0.9667
@EzraKleinShow,videos,ezra,suffix,the ezra klein show,58,0.9667
@EzraKleinShow,videos,klein,suffix,the ezra klein show,58,0.9667
@EzraKleinShow,videos,show,suffix,the ezra klein show,58,0.9667
@Firstpost,streams,iran,colon,us iran war live,498,0.0587
@Firstpost,streams,war,colon,us iran war live,498,0.0587
@Firstpost,streams,live,colon,us iran war live,498,0.0587
@Firstpost,videos,vantage,prefix,vantage on firstpost,1274,0.1322
@Firstpost,videos,firstpost,prefix,vantage on firstpost,1274,0.1322
@Firstpost,videos,firstpost,prefix,firstpost america,574,0.0596
@Firstpost,videos,america,prefix,firstpost america,574,0.0596
@Firstpost,videos,firstpost,prefix,firstpost live,764,0.0793
@Firstpost,videos,live,prefix,firstpost live,764,0.0793
@Firstpost,videos,firstpost,prefix,firstpost africa,563,0.0584
@Firstpost,videos,africa,prefix,firstpost africa,563,0.0584
@Firstpost,videos,vantage,suffix,vantage on firstpost,1517,0.1574
@Firstpost,videos,firstpost,suffix,vantage on firstpost,1517,0.1574
@Firstpost,videos,firstpost,suffix,firstpost america,962,0.0998
@Firstpost,videos,america,suffix,firstpost america,962,0.0998
@Firstpost,videos,spotlight,suffix,spotlight,635,0.0659
@Firstpost,videos,first,suffix,first sports with rupha ramani,630,0.0654
@Firstpost,videos,sports,suffix,first sports with rupha ramani,630,0.0654
