creator,platform,genre,n_rows,n_unique,n_balanced,n_with_views,first_month,last_month,n_norm_fallback,repeat_share,low_n,channel_name,channel_follower_count,channel_is_verified
@60minutes,youtube,videos,301,301,301,297,2026-01,2026-09,0,0.0,False,60 Minutes,4170000.0,True
@ABCNews,youtube,streams,582,547,547,582,2026-01,2026-09,239,0.0601,False,ABC News,19800000.0,True
@ABCNews,youtube,videos,7549,7521,2500,7549,2026-01,2026-09,1,0.0037,False,ABC News,19800000.0,True
@ANINewsIndia,youtube,streams,7337,7202,2500,7337,2026-01,2026-09,0,0.0184,False,ANI News,9760000.0,True
@ANINewsIndia,youtube,videos,11635,11623,2500,11635,2026-01,2026-09,0,0.001,False,ANI News,9760000.0,True
@ActualJusticeWarrior,youtube,videos,368,368,368,368,2026-01,2026-09,0,0.0,False,Actual Justice Warrior,517000.0,True
@AfterPartyEmily,youtube,streams,71,71,71,71,2026-01,2026-09,0,0.0,False,After Party with Emily Jashinsky,145000.0,True
@AfterPartyEmily,youtube,videos,393,393,393,393,2026-01,2026-09,0,0.0,False,After Party with Emily Jashinsky,145000.0,True
@AlexStein99,youtube,streams,41,41,41,41,2026-01,2026-08,0,0.0,True,Alex Stein,369000.0,
@AlexStein99,youtube,videos,82,82,82,82,2026-01,2026-09,0,0.0,False,Alex Stein,369000.0,
@AnaEscobarShow,youtube,streams,31,31,31,31,2026-07,2026-09,0,0.0,True,Ana Escobar,9440.0,
@AnaEscobarShow,youtube,videos,32,32,32,31,2026-05,2026-09,0,0.0,True,Ana Escobar,9440.0,
@AndWeKnowOfficial-o9b,youtube,videos,184,184,184,184,2026-01,2026-09,0,0.0,False,And We Know Official,16100.0,
@AndrewKlavan,youtube,streams,2,2,2,2,2026-01,2026-02,0,0.0,True,Andrew Klavan,813000.0,True
@AndrewKlavan,youtube,videos,183,183,183,183,2026-01,2026-09,0,0.0,False,Andrew Klavan,813000.0,True
