creator,genre,n_unique,political_share,weak_share,group,organisation,clipper
@60minutes,videos,301,0.8803986710963455,0.2558139534883721,neutral,CBS News,False
@ABCNews,streams,547,0.9414990859232175,0.010968921389396709,neutral,ABC News,False
@ABCNews,videos,7521,0.8256880733944955,0.27070868235606965,neutral,ABC News,False
@ANINewsIndia,streams,7202,0.9612607608997501,0.053457372951957786,neutral,ANI,False
@ANINewsIndia,videos,11623,0.9293641916888927,0.22765206917319109,neutral,ANI,False
@ActualJusticeWarrior,videos,368,0.9483695652173914,0.296195652173913,right,Actual Justice Warrior,False
@AfterPartyEmily,streams,71,0.9436619718309859,0.014084507042253521,right,Emily Jashinsky,False
@AfterPartyEmily,videos,393,0.9618320610687023,0.04834605597964377,right,Emily Jashinsky,False
@AlexStein99,streams,41,0.926829268292683,0.24390243902439024,right,Alex Stein,False
@AlexStein99,videos,82,0.9390243902439024,0.2682926829268293,right,Alex Stein,False
@AnaEscobarShow,streams,31,0.7096774193548387,0.3225806451612903,right,Ana Escobar,False
@AnaEscobarShow,videos,32,0.9375,0.0625,right,Ana Escobar,False
@AndWeKnowOfficial-o9b,videos,184,0.9402173913043478,0.10869565217391304,right,And We Know,False
@AndrewKlavan,streams,2,1.0,0.0,right,Daily Wire,False
@AndrewKlavan,videos,183,0.9344262295081968,0.25136612021857924,right,Daily Wire,False
@AnthonyBrianLogan,streams,48,0.9791666666666666,0.0,right,Anthony Brian Logan,False
@AnthonyBrianLogan,videos,233,0.944206008583691,0.19313304721030042,right,Anthony Brian Logan,False
@AsmonTV,videos,825,0.7854545454545454,0.35393939393939394,right,Asmongold,True
@AssociatedPress,streams,1098,0.8597449908925319,0.08925318761384335,neutral,Associated Press,False
@AssociatedPress,videos,5262,0.8418852147472444,0.31908019764348156,neutral,Associated Press,False
@BBCNews,videos,2352,0.8656462585034014,0.19600340136054423,neutral,BBC,False
@BadEmpanadaLive,streams,1,1.0,0.0,left,BadEmpanada,False
@BadEmpanadaLive,videos,274,0.9562043795620438,0.20802919708029197,left,BadEmpanada,False
@BadFaithPodcast,streams,1,1.0,0.0,left,Bad Faith,False
@BadFaithPodcast,videos,77,0.974025974025974,0.012987012987012988,left,Bad Faith,False
@BelleRanch,videos,770,0.990909090909091,0.023376623376623377,left,Belle of the Ranch,False
@BenShapiro,streams,16,0.9375,0.25,right,Daily Wire,False
@BenShapiro,videos,506,0.9604743083003953,0.13438735177865613,right,Daily Wire,False
@BlackConservativePerspective,streams,1,1.0,0.0,right,Black Conservative Perspective,False
@BlackConservativePerspective,videos,1192,0.9865771812080537,0.01761744966442953,right,Black Conservative Perspective,False
@BlaireWhiteX,videos,10,0.9,0.2,right,Blaire White,False
@BlazeTV,streams,14,1.0,0.0,right,Blaze Media,False
@BlazeTV,videos,829,0.97708082026538,0.04101326899879373,right,Blaze Media,False
@BreakThroughNews,streams,56,1.0,0.08928571428571429,left,BreakThrough News,False
@BreakThroughNews,videos,234,0.9829059829059829,0.029914529914529916,left,BreakThrough News,False
@BrittanyVenti,streams,16,0.8125,0.375,neutral,Brittany Venti,False
@BrittanyVenti,videos,50,0.9,0.74,neutral,Brittany Venti,False
@CBSNews,streams,346,0.838150289017341,0.08959537572254335,neutral,CBS News,False
@CBSNews,videos,7956,0.8685268979386627,0.18790849673202614,neutral,CBS News,False
@CNN,streams,93,0.7741935483870968,0.17204301075268819,left,CNN,False
@CNN,videos,1638,0.8998778998778999,0.11172161172161173,left,CNN,False
@CamHigby,streams,59,1.0,0.11864406779661017,right,Cam Higby,False
@CamHigby,videos,174,1.0,0.05172413793103448,right,Cam Higby,False
@CashJordan,videos,299,0.9966555183946488,0.016722408026755852,right,Cash Jordan,False
@CaspianReport,videos,25,1.0,0.0,neutral,CaspianReport,False
@ChadPrather1,streams,190,0.8421052631578947,0.24210526315789474,right,Chad Prather,False
@ChadPrather1,videos,152,0.875,0.11842105263157894,right,Chad Prather,False
@Channel5YouTube,videos,42,0.9285714285714286,0.19047619047619047,left,Channel 5,False
@ClipsCandaceOwens,videos,192,0.96875,0.24479166666666666,neutral,Candace Owens,True
@ClubRandomPodcast,videos,185,0.9675675675675676,0.16216216216216217,neutral,Bill Maher,False
@ColeHastings,videos,30,0.9333333333333333,0.16666666666666666,right,Cole Hastings,False
@ColemanHughesOfficial,videos,52,0.9423076923076923,0.057692307692307696,right,Coleman Hughes,False
@CoreyGilShusterAskProject,streams,2,1.0,0.0,neutral,Ask Project,False
@CoreyGilShusterAskProject,videos,49,0.9591836734693877,0.3877551020408163,neutral,Ask Project,False
@DailyDenims,videos,215,0.7767441860465116,0.20465116279069767,left,Denims,True
@DannyHaiphongYT,streams,220,1.0,0.0,left,Danny Haiphong,False
@DannyHaiphongYT,videos,53,1.0,0.0,left,Danny Haiphong,False
@DarkHorsePod,streams,35,0.9428571428571428,0.6,right,DarkHorse,False
@DarkHorsePod,videos,65,0.8769230769230769,0.23076923076923078,right,DarkHorse,False
@DemocracyDocket,streams,4,1.0,0.0,left,Democracy Docket,False
@DemocracyDocket,videos,122,1.0,0.01639344262295082,left,Democracy Docket,False
@DemocracyNow,streams,1,1.0,0.0,left,Democracy Now!,False
@DemocracyNow,videos,767,0.7392438070404173,0.0469361147327249,left,Democracy Now!,False
@DestinyDGGClips,videos,191,0.6701570680628273,0.2879581151832461,right,Destiny,True
@DoubleDownNews,videos,64,0.96875,0.09375,left,Double Down News,False
@DrSteveTurleyTV,streams,29,1.0,0.034482758620689655,right,Steve Turley,False
@DrSteveTurleyTV,videos,417,0.9928057553956835,0.014388489208633094,right,Steve Turley,False
@DropSiteNews,streams,42,1.0,0.023809523809523808,left,Drop Site,False
@DropSiteNews,videos,198,0.9949494949494949,0.06565656565656566,left,Drop Site,False
@DueDissidence,streams,105,0.9904761904761905,0.02857142857142857,left,Due Dissidence,False
@DueDissidence,videos,596,0.9832214765100671,0.09563758389261745,left,Due Dissidence,False
@DylanBurnsLIVE,streams,3,1.0,0.0,left,Dylan Burns,False
@DylanBurnsLIVE,videos,175,0.9828571428571429,0.08,left,Dylan Burns,False
@EzraKleinShow,streams,1,1.0,0.0,left,New York Times,False
@EzraKleinShow,videos,60,0.9166666666666666,0.16666666666666666,left,New York Times,False
@FarronBalanced,streams,178,1.0,0.016853932584269662,left,Farron Balanced,False
@FarronBalanced,videos,1705,0.9976539589442815,0.04750733137829912,left,Farron Balanced,False
@FinancialTimes,videos,36,0.9166666666666666,0.3055555555555556,neutral,Financial Times,False
@Firstpost,streams,8485,0.9373011196228639,0.05621685327047731,neutral,Network18,False
@Firstpost,videos,9637,0.931721490090277,0.14942409463525994,neutral,Network18,False
@FleccasTalks,videos,288,0.8541666666666666,0.6736111111111112,right,Fleccas Talks,False
@Forbes,streams,3,0.0,0.0,neutral,Forbes,False
@Forbes,videos,1196,0.7591973244147158,0.27508361204013376,neutral,Forbes,False
@Forthepeoplepodcast305,streams,44,0.9772727272727273,0.13636363636363635,left,Niko House,False
@Forthepeoplepodcast305,videos,111,0.963963963963964,0.06306306306306306,left,Niko House,False
@FoxNews,streams,597,0.932998324958124,0.08877721943048576,right,Fox News,False
@FoxNews,videos,7727,0.9261032742332083,0.11867477675682671,right,Fox News,False
@FoxNewsChannelClips,videos,5421,0.9059214167127836,0.16675890057185022,right,Fox News,True
@FreshFitMiami,streams,73,0.9315068493150684,0.4246575342465753,right,Fresh & Fit,False
