creator,genre,kind,template,n_titles,share
@60minutes,videos,leading,,12,0.0399
@60minutes,videos,leading,<ENT> | <ENT>,10,0.0332
@60minutes,videos,leading,<ENT> : the,6,0.0199
@60minutes,videos,leading,<ENT> 's <ENT>,6,0.0199
@60minutes,videos,leading,extended interview :,5,0.0166
@60minutes,videos,trailing,<ENT> on <ENT>,44,0.1462
@60minutes,videos,trailing,minutes full episodes,33,0.1096
@60minutes,videos,trailing,<ENT> | <ENT>,15,0.0498
@60minutes,videos,trailing,,12,0.0399
@60minutes,videos,trailing,| # minutes,7,0.0233
@ABCNews,streams,leading,live : <ENT>,291,0.532
@ABCNews,streams,leading,live : president,39,0.0713
@ABCNews,streams,leading,president <ENT> delivers,13,0.0238
@ABCNews,streams,leading,president <ENT> holds,8,0.0146
@ABCNews,streams,leading,president <ENT> meets,7,0.0128
@ABCNews,streams,trailing,<ENT> | <ENT>,216,0.3949
@ABCNews,streams,trailing,<ENT> : live,31,0.0567
@ABCNews,streams,trailing,live : <ENT>,23,0.042
@ABCNews,streams,trailing,<ENT> press briefing,8,0.0146
@ABCNews,streams,trailing,<ENT> # <ENT>,7,0.0128
@ABCNews,videos,leading,,366,0.0487
@ABCNews,videos,leading,good morning america,265,0.0352
@ABCNews,videos,leading,<ENT> <ENT> with,235,0.0312
@ABCNews,videos,leading,<ENT> to start,131,0.0174
@ABCNews,videos,leading,<ENT> and <ENT>,51,0.0068
@ABCNews,videos,trailing,,366,0.0487
@ABCNews,videos,trailing,<ENT> with <ENT>,285,0.0379
@ABCNews,videos,trailing,need to know,275,0.0366
@ABCNews,videos,trailing,america full broadcast,252,0.0335
@ABCNews,videos,trailing,start your day,131,0.0174
@ANINewsIndia,streams,leading,live : <ENT>,1437,0.1995
@ANINewsIndia,streams,leading,watch live :,720,0.1
@ANINewsIndia,streams,leading,watch : <ENT>,331,0.046
@ANINewsIndia,streams,leading,live : pm,215,0.0299
@ANINewsIndia,streams,leading,live : cm,94,0.0131
@ANINewsIndia,streams,trailing,<ENT> | <ENT>,1144,0.1588
@ANINewsIndia,streams,trailing,<ENT> # <ENT>,196,0.0272
@ANINewsIndia,streams,trailing,<ENT> in <ENT>,157,0.0218
@ANINewsIndia,streams,trailing,<ENT> i <ENT>,81,0.0112
@ANINewsIndia,streams,trailing,| pm modi,71,0.0099
@ANINewsIndia,videos,leading,watch : <ENT>,155,0.0133
@ANINewsIndia,videos,leading,<ENT> # <ENT>,148,0.0127
@ANINewsIndia,videos,leading,<ENT> president <ENT>,148,0.0127
@ANINewsIndia,videos,leading,watch ! <ENT>,140,0.012
@ANINewsIndia,videos,leading,must watch !,119,0.0102
@ANINewsIndia,videos,trailing,<ENT> in <ENT>,314,0.027
@ANINewsIndia,videos,trailing,<ENT> | <ENT>,136,0.0117
@ANINewsIndia,videos,trailing,<ENT> # <ENT>,130,0.0112
@ANINewsIndia,videos,trailing,<ENT> at <ENT>,112,0.0096
@ANINewsIndia,videos,trailing,with smita prakash,56,0.0048
@ActualJusticeWarrior,videos,leading,,35,0.0951
@ActualJusticeWarrior,videos,trailing,,35,0.0951
@ActualJusticeWarrior,videos,trailing,over for <ENT>,4,0.0109
@AfterPartyEmily,streams,leading,<ENT> # <ENT>,18,0.2535
@AfterPartyEmily,streams,leading,<ENT> 's <ENT>,4,0.0563
@AfterPartyEmily,streams,trailing,# w/ <ENT>,13,0.1831
@AfterPartyEmily,streams,trailing,# with <ENT>,5,0.0704
@AfterPartyEmily,videos,leading,the truth about,23,0.0585
@AfterPartyEmily,videos,leading,the <ENT> about,10,0.0254
@AfterPartyEmily,videos,leading,<ENT> and <ENT>,6,0.0153
@AfterPartyEmily,videos,leading,<ENT> on <ENT>,5,0.0127
@AfterPartyEmily,videos,leading,the real reason,5,0.0127
@AfterPartyEmily,videos,trailing,# with <ENT>,123,0.313
@AfterPartyEmily,videos,trailing,# w/ <ENT>,21,0.0534
@AfterPartyEmily,videos,trailing,<ENT> and <ENT>,8,0.0204
@AfterPartyEmily,videos,trailing,<ENT> and inez,5,0.0127
@AfterPartyEmily,videos,trailing,,4,0.0102
@AlexStein99,streams,trailing,<ENT> ? !,4,0.0976
@AlexStein99,videos,leading,protest chaos :,4,0.0488
@AlexStein99,videos,trailing,and <ENT> !,4,0.0488
@AnaEscobarShow,videos,trailing,the <ENT> brief,7,0.2188
@AndWeKnowOfficial-o9b,videos,leading,<ENT> # <ENT>,9,0.0489
@AndWeKnowOfficial-o9b,videos,trailing,# pray !,111,0.6033
@AndWeKnowOfficial-o9b,videos,trailing,# <ENT> !,15,0.0815
@AndWeKnowOfficial-o9b,videos,trailing,<ENT> # pray,6,0.0326
@AndWeKnowOfficial-o9b,videos,trailing,! pray !,5,0.0272
@AndWeKnowOfficial-o9b,videos,trailing,? pray !,4,0.0217
@AndrewKlavan,videos,leading,,17,0.0929
@AndrewKlavan,videos,leading,klavans on <ENT>,7,0.0383
@AndrewKlavan,videos,trailing,,17,0.0929
@AndrewKlavan,videos,trailing,w / <ENT>,11,0.0601
@AndrewKlavan,videos,trailing,klavans on <ENT>,4,0.0219
@AnthonyBrianLogan,streams,leading,<ENT> # <ENT>,16,0.3333
@AnthonyBrianLogan,streams,trailing,and more !,46,0.9583
@AnthonyBrianLogan,videos,leading,instagram abl live,17,0.073
@AnthonyBrianLogan,videos,leading,,9,0.0386
@AnthonyBrianLogan,videos,leading,<ENT> <ENT> !,4,0.0172
@AnthonyBrianLogan,videos,leading,<ENT> 's <ENT>,4,0.0172
@AnthonyBrianLogan,videos,leading,<ENT> mayor <ENT>,4,0.0172
@AnthonyBrianLogan,videos,trailing,me anything !,17,0.073
@AnthonyBrianLogan,videos,trailing,<ENT> <ENT> !,11,0.0472
@AnthonyBrianLogan,videos,trailing,,9,0.0386
@AnthonyBrianLogan,videos,trailing,in <ENT> !,8,0.0343
@AnthonyBrianLogan,videos,trailing,for <ENT> !,4,0.0172
@AsmonTV,videos,leading,what the f*ck,23,0.0279
@AsmonTV,videos,leading,this is the,17,0.0206
@AsmonTV,videos,leading,so i tried,17,0.0206
@AsmonTV,videos,leading,this is genuinely,9,0.0109
@AsmonTV,videos,leading,this is a,8,0.0097
@AsmonTV,videos,trailing,in <ENT> #,11,0.0133
@AsmonTV,videos,trailing,this game #,9,0.0109
@AsmonTV,videos,trailing,<ENT> ? ?,7,0.0085
@AsmonTV,videos,trailing,for this #,6,0.0073
@AsmonTV,videos,trailing,about this #,6,0.0073
@AssociatedPress,streams,leading,live : <ENT>,478,0.4353
@AssociatedPress,streams,leading,live : trump,91,0.0829
@AssociatedPress,streams,leading,live : pope,32,0.0291
@AssociatedPress,streams,leading,<ENT> vs <ENT>,28,0.0255
@AssociatedPress,streams,leading,live : outside,14,0.0128
@AssociatedPress,streams,trailing,<ENT> in <ENT>,37,0.0337
@AssociatedPress,streams,trailing,( full ),32,0.0291
@AssociatedPress,streams,trailing,<ENT> trial <ENT>,18,0.0164
@AssociatedPress,streams,trailing,of <ENT> <ENT>,16,0.0146
@AssociatedPress,streams,trailing,a press conference,13,0.0118
@AssociatedPress,videos,leading,<ENT> says <ENT>,170,0.0323
@AssociatedPress,videos,leading,<ENT> and <ENT>,120,0.0228
@AssociatedPress,videos,leading,<ENT> says he,112,0.0213
@AssociatedPress,videos,leading,<ENT> 's <ENT>,52,0.0099
@AssociatedPress,videos,leading,<ENT> says the,36,0.0068
@AssociatedPress,videos,trailing,<ENT> in <ENT>,103,0.0196
@AssociatedPress,videos,trailing,<ENT> # <ENT>,73,0.0139
@AssociatedPress,videos,trailing,# <ENT> says,45,0.0086
@AssociatedPress,videos,trailing,<ENT> and <ENT>,41,0.0078
@AssociatedPress,videos,trailing,| <ENT> interview,34,0.0065
@BBCNews,videos,leading,<ENT> and <ENT>,64,0.0272
@BBCNews,videos,leading,<ENT> says <ENT>,44,0.0187
@BBCNews,videos,leading,<ENT> - <ENT>,26,0.0111
@BBCNews,videos,leading,<ENT> president <ENT>,21,0.0089
@BBCNews,videos,leading,<ENT> says it,12,0.0051
@BBCNews,videos,trailing,? | <ENT>,272,0.1156
@BBCNews,videos,trailing,<ENT> | <ENT>,56,0.0238
@BBCNews,videos,trailing,the global story,47,0.02
@BBCNews,videos,trailing,| <ENT> americast,29,0.0123
@BBCNews,videos,trailing,<ENT> and <ENT>,20,0.0085
@BadEmpanadaLive,videos,leading,,27,0.0985
@BadEmpanadaLive,videos,leading,<ENT> is a,7,0.0255
@BadEmpanadaLive,videos,leading,<ENT> in <ENT>,5,0.0182
@BadEmpanadaLive,videos,leading,<ENT> is <ENT>,4,0.0146
@BadEmpanadaLive,videos,trailing,,27,0.0985
@BadFaithPodcast,videos,trailing,w/ <ENT> ),59,0.7662
@BelleRanch,videos,leading,let 's talk,768,0.9974
@BelleRanch,videos,trailing,and <ENT> #,43,0.0558
@BelleRanch,videos,trailing,the <ENT> #,27,0.0351
@BelleRanch,videos,trailing,in <ENT> #,26,0.0338
@BelleRanch,videos,trailing,for <ENT> #,14,0.0182
@BelleRanch,videos,trailing,on <ENT> #,10,0.013
@BenShapiro,videos,leading,,46,0.0909
@BenShapiro,videos,leading,<ENT> 's <ENT>,7,0.0138
@BenShapiro,videos,leading,<ENT> on <ENT>,6,0.0119
@BenShapiro,videos,leading,<ENT> and <ENT>,5,0.0099
@BenShapiro,videos,leading,<ENT> reacts to,5,0.0099
@BenShapiro,videos,trailing,,46,0.0909
@BenShapiro,videos,trailing,<ENT> 's <ENT>,4,0.0079
@BenShapiro,videos,trailing,<ENT> in <ENT>,4,0.0079
@BenShapiro,videos,trailing,<ENT> ? !,4,0.0079
@BlackConservativePerspective,videos,leading,woke <ENT> mayor,15,0.0126
@BlackConservativePerspective,videos,leading,<ENT> and <ENT>,13,0.0109
@BlackConservativePerspective,videos,leading,<ENT> after <ENT>,11,0.0092
@BlackConservativePerspective,videos,leading,<ENT> shuts down,10,0.0084
@BlackConservativePerspective,videos,leading,<ENT> down over,10,0.0084
@BlackConservativePerspective,videos,trailing,in <ENT> !,20,0.0168
@BlackConservativePerspective,videos,trailing,on <ENT> !,19,0.0159
@BlackConservativePerspective,videos,trailing,after <ENT> !,18,0.0151
@BlackConservativePerspective,videos,trailing,to <ENT> !,16,0.0134
@BlackConservativePerspective,videos,trailing,for <ENT> !,15,0.0126
@BlaireWhiteX,videos,leading,,4,0.4
@BlaireWhiteX,videos,trailing,,4,0.4
@BlazeTV,videos,leading,<ENT> 's <ENT>,12,0.0145
@BlazeTV,videos,leading,<ENT> in <ENT>,10,0.0121
@BlazeTV,videos,leading,the truth about,10,0.0121
@BlazeTV,videos,leading,""" <ENT> !",9,0.0109
@BlazeTV,videos,leading,must - see,8,0.0097
@BlazeTV,videos,trailing,! | <ENT>,22,0.0265
@BlazeTV,videos,trailing,<ENT> in <ENT>,16,0.0193
@BlazeTV,videos,trailing,<ENT> | <ENT>,10,0.0121
@BlazeTV,videos,trailing,in <ENT> !,10,0.0121
@BlazeTV,videos,trailing,| new <ENT>,9,0.0109
