creator,channel_name,platform,organisation,clipper,subscribers,n_videos,n_streams,low_n_videos,low_n_streams,note
@60minutes,60 Minutes,youtube,CBS News,False,4170000.0,325,0,False,True,
@ABCNews,ABC News,youtube,ABC News,False,19800000.0,7971,590,False,False,
@ANINewsIndia,ANI News,youtube,ANI,False,9760000.0,12279,7579,False,False,India
@ActualJusticeWarrior,Actual Justice Warrior,youtube,Actual Justice Warrior,False,517000.0,392,1,False,True,
@AfterPartyEmily,After Party with Emily Jashinsky,youtube,Emily Jashinsky,False,145000.0,410,74,False,False,formerly Breaking Points
@AlexStein99,Alex Stein,youtube,Alex Stein,False,369000.0,87,41,False,True,prank comedian
@AnaEscobarShow,Ana Escobar,youtube,Ana Escobar,False,9440.0,32,31,True,True,
@AndWeKnowOfficial-o9b,And We Know Official,youtube,And We Know,False,16100.0,185,0,False,True,
@AndrewKlavan,Andrew Klavan,youtube,Daily Wire,False,813000.0,196,3,False,True,
@AnthonyBrianLogan,Anthony Brian Logan,youtube,Anthony Brian Logan,False,1080000.0,248,52,False,False,
@AsmonTV,Asmongold TV,youtube,Asmongold,True,4690000.0,875,0,False,True,run by Daily Dose of Asmongold / CatDany per description; gaming + politics reaction
@AssociatedPress,Associated Press,youtube,Associated Press,False,4650000.0,5572,1151,False,False,
@BBCNews,BBC News,youtube,BBC,False,20100000.0,2440,0,False,True,
@BadEmpanadaLive,BadEmpanada Live,youtube,BadEmpanada,False,100000.0,298,1,False,True,
@BadFaithPodcast,Bad Faith,youtube,Bad Faith,False,187000.0,81,1,False,True,
@BelleRanch,Belle of the Ranch,youtube,Belle of the Ranch,False,877000.0,822,0,False,True,
@BenShapiro,Ben Shapiro,youtube,Daily Wire,False,6980000.0,525,17,False,True,
@BlackConservativePerspective,Black Conservative Perspective,youtube,Black Conservative Perspective,False,1000000.0,1271,1,False,True,
@BlaireWhiteX,Blaire White,youtube,Blaire White,False,1540000.0,11,0,True,True,culture commentary
@BlazeTV,BlazeTV,youtube,Blaze Media,False,2230000.0,868,14,False,True,
@BreakThroughNews,BreakThrough News,youtube,BreakThrough News,False,1080000.0,242,57,False,False,
@BrittanyVenti,Brittany Venti,youtube,Brittany Venti,False,241000.0,55,19,False,True,culture commentary
@CBSNews,CBS News,youtube,CBS News,False,7080000.0,8322,368,False,False,
@CNN,CNN,youtube,CNN,False,19800000.0,1757,94,False,False,
@CamHigby,Cam Higby,youtube,Cam Higby,False,280000.0,186,59,False,False,debates
@CashJordan,Cash Jordan,youtube,Cash Jordan,False,1750000.0,299,0,False,True,
@CaspianReport,CaspianReport,youtube,CaspianReport,False,1850000.0,25,0,True,True,
@ChadPrather1,Chad Prather,youtube,Chad Prather,False,496000.0,160,201,False,False,faith + humour
@Channel5YouTube,Channel 5 with Andrew Callaghan,youtube,Channel 5,False,3700000.0,43,0,True,True,documentary journalism
@ClipsCandaceOwens,Candace Clips,youtube,Candace Owens,True,161000.0,192,0,False,True,official clips channel
@ClubRandomPodcast,Club Random Podcast,youtube,Bill Maher,False,890000.0,197,0,False,True,
@ColeHastings,Cole Hastings,youtube,Cole Hastings,False,879000.0,32,0,True,True,
@ColemanHughesOfficial,Coleman Hughes,youtube,Coleman Hughes,False,265000.0,54,0,False,True,
@CoreyGilShusterAskProject,Corey Gil-Shuster,youtube,Ask Project,False,374000.0,53,2,False,True,vox-pop interviews Israel/Palestine
@DailyDenims,Daily Denims,youtube,Denims,True,11400.0,215,0,False,True,unofficial fan-run channel per description
@DannyHaiphongYT,Danny Haiphong,youtube,Danny Haiphong,False,683000.0,64,227,False,False,geopolitics streams
@DarkHorsePod,Bret Weinstein,youtube,DarkHorse,False,551000.0,70,38,False,True,
@DemocracyDocket,Democracy Docket,youtube,Democracy Docket,False,793000.0,129,4,False,True,
@DemocracyNow,Democracy Now!,youtube,Democracy Now!,False,3390000.0,814,1,False,True,
@DestinyDGGClips,Destiny DGG Clips,youtube,Destiny,True,11800.0,209,0,False,True,fan channel
@DoubleDownNews,Double Down News,youtube,Double Down News,False,1200000.0,66,0,False,True,UK
@DrSteveTurleyTV,Dr. Steve Turley,youtube,Steve Turley,False,1670000.0,442,31,False,True,
@DropSiteNews,Drop Site News,youtube,Drop Site,False,219000.0,204,43,False,True,
@DueDissidence,Due Dissidence,youtube,Due Dissidence,False,134000.0,643,112,False,False,
@DylanBurnsLIVE,DylanBurnsLIVE,youtube,Dylan Burns,False,45200.0,190,3,False,True,Ukraine coverage
