creator,genre,month,n_titles,lane,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F1_controlled,F2_controlled,F3_controlled,F4_controlled,F5_controlled,F6_controlled,F7_controlled,F8_controlled,F9_controlled,F10_controlled,F11_controlled,F12_controlled
@60minutes,videos,2026-01,39,us_legacy_tv,1.458945856930453,-0.8905641207523972,-0.321298456783178,-0.19311705618842662,0.40199075758334474,0.1725798840473078,0.8315750450028211,3.044465339562173,-0.35014341390884235,0.35201376912460697,-1.072861540050703,-0.5144890200892853,1.025115780114876,-0.5230346614714344,-0.46106340605203844,-0.01777131458454378,0.45432066095023343,0.0036422166623391095,0.4301607692138917,2.4927042198691525,-0.27129351994074236,0.22724423199476193,-0.9635548139173614,-0.553182815239987
@60minutes,videos,2026-02,31,us_legacy_tv,0.8441222077030663,-1.1991336063231512,-0.271109105052354,-0.15921567432687636,0.6331397664372888,-0.5859574824994525,1.420563634638575,1.7460542793736809,-0.6665084105554739,0.9883982178431459,-0.9123856107066641,-0.2609475378915633,0.37346396106760393,-0.933316690756377,-0.512760662759798,0.0020454191693973526,0.7662442462411819,-0.2594214478895751,0.8429372290578003,1.2608010088890451,-0.5484557043821309,0.713069672436985,-1.1760353800375387,-0.30820415062987117
@60minutes,videos,2026-03,51,us_legacy_tv,1.3978367859984628,-1.3433365856844333,-0.16339133659177602,-0.053384252336712415,0.2351522209232678,-0.7312936894944193,1.086057400029061,3.0534138039278846,-0.0917986696071255,-0.029296732671545315,-0.8783051172740866,-0.513149832740174,1.2328621320598576,-1.1015046406270625,-0.30514959654939766,0.023479695997135692,0.30378804118862474,-0.749645387505785,0.698748690670942,2.6384491569191484,-0.047451675229339844,-0.3929092493183511,-1.0043454583736973,-0.8794836908351344
@60minutes,videos,2026-04,62,us_legacy_tv,1.4983992252749594,-0.7613578662240883,-0.14185004033716608,-0.07462314247781998,0.15544208736305806,-0.6003949483878868,1.2361657773642343,2.7713292479587235,-0.23384577748211377,0.06646233633701683,-0.06450091068430264,-0.24655192778602436,0.9518917837470096,-0.21244717387510645,-0.3161072158103904,0.03984665948151954,0.14244499964325305,-0.43055499308179773,1.2105492341340107,1.838762446747556,-0.27566019029194144,-0.06311842950754469,0.047195337301286035,-0.3115776877497637
@60minutes,videos,2026-05,51,us_legacy_tv,0.8281493913681633,-1.2326974091140737,-0.08641077764218358,-0.1847884567516146,0.3003472490898682,0.04657966178372355,1.0372205716303249,2.6913227224167158,-0.4008032713694418,0.14042525774722783,-0.8904828349715923,-0.23745174481701978,0.5705011551966828,-0.7832938094267792,-0.1846237910395267,-0.08088685332346894,0.3718133197613156,0.09936179011983348,0.9017171177536996,2.0798747737476386,-0.35705126199814124,-0.05560567716273059,-0.8779514159267334,-0.2349229399255576
@60minutes,videos,2026-06,24,us_legacy_tv,1.5306865734494124,-0.7515640662458954,-0.0733933754614804,-0.03819723485860392,0.7760376298907152,-0.031600049985587186,1.0880409060826606,2.494228503591134,-0.14078859860572868,0.8775894162896045,-0.9757037643969034,-0.8657791875815337,0.9048620911772692,-0.37165194611039887,-0.09078191545075597,0.036713133506709184,0.6839432131768007,-0.209887416375754,1.1170726611438122,2.099246445492509,-0.22517550921107296,0.6082080845396137,-1.0394020643633906,-0.7083388481623665
@60minutes,videos,2026-08,18,us_legacy_tv,1.2960802514553136,-1.485083935875193,-0.3601063516588767,-0.31445213562070357,-0.6086793471077111,-0.669464102792464,1.0179071257762657,2.134427623452873,-0.39513017349701557,-0.8287212411151863,-2.077108267840891,0.08707916506128521,1.2274991248716303,-1.3774464976422418,-0.375939853516959,-0.1925741020691524,-0.5991501894704215,-0.4452983861198738,0.7136545517449506,1.8502480223447055,-0.2227846322296337,-0.9485466298503401,-1.9278783356568054,0.19022672028156398
@60minutes,videos,2026-09,46,us_legacy_tv,1.1280319461110884,1.0462839541570277,-0.19186766311702183,-0.001874234463806722,0.37448534165277686,-1.2351699073557014,1.2019317526254694,3.256718717811054,-0.26297438444207266,0.8850199886844184,-0.1796286248823268,-0.33723141217988606,0.6208448261762037,0.7890509388322732,-0.2619324406917526,0.019366336421761034,0.1817156496242962,-0.9673211308644795,0.7796964774972822,1.2213000246160621,-0.12755937878425558,0.44703365161794606,-0.18745321562827205,-0.3749564722741912
@ABCNews,streams,2026-01,76,us_legacy_tv,0.8392716146029954,0.8877648518458963,4.137461430482725,-0.4565818723244581,-0.741466697408401,0.4157693995945137,0.06125611797007766,0.1562159812649867,0.6313413049489583,-0.9845190419920828,-1.7531806974604927,-0.07591996929231806,0.3210393846462307,1.6260422136729358,2.8190644458587926,-0.16185325959671482,-0.0774818960548505,0.2359432933055289,0.1041416693050469,-1.447054194280577,0.06417055319445301,-0.6446236896918753,-0.6615326931296235,-0.17699258983898059
@ABCNews,streams,2026-02,95,us_legacy_tv,0.8738256196159959,1.2705739519520554,4.108738260590668,-0.5147860268820681,-0.8585228054944739,0.6161648790321359,0.4829557519642653,0.145093401573924,0.5548217994771238,-1.0973313583302533,-1.4325212862311387,-0.2199759692689793,0.32297174826066594,1.9124077035485476,2.850969429138283,-0.2449004008652409,-0.2277272096702344,0.36624580228023784,0.418436157602714,-1.1326543668964533,0.14641145860475271,-0.7928472789079902,-0.6259213612753928,-0.30068558711278764
