genre,titles,kind,group,n_creators,n_style_clusters,largest_cluster_share,members
videos,all,channel group split across style clusters,left,105,10,0.286,https://rumble.com/c/GGreenwald (S0); @LeejaMiller (S0); @TheAtlantic (S0); @ajplus (S0); @MikeFromPA (S0); @Xanderhal (S0); @Vox (S0); @Vaush (S0); @UnHerd (S0); @TheVaushPit (S0); @Politicon (S0); @PoliticsGirl (S0); @RestPoliticsUS (S0); @TheHumanistReport (S0); @SMN (S0); @zeteo (S0); @chriscuomo (S0); @HasanAbi (S0); @TheDailyBeast (S0); @nytimes (S0); @GeopoliticalEconomyReport (S0); @thomhartmann (S0); @BreakThroughNews (S0); @jimacosta (S0); @EzraKleinShow (S0); @thedavidpakmanshow (S0); @samharrisorg (S0); @judgingfreedom (S0); @franifio (S0); @nousnetwork (S0); @StatusCoup (S1); @SecularTalk (S1); @DailyDenims (S1); @LegalAFMTN (S1); @katiephangnews (S1); @deanwithrs (S1); @briantylercohen (S1); @MeidasTouch (S1); @LukeBeasley (S1); @DoubleDownNews (S1); @TheDamageReport (S2); @usefulidiots (S2); @breakingpoints (S2); @adammockler (S2); @TheLincolnProject (S2); @TheMajorityReport (S2); @TheMichaelCohenShow (S2); @ponderingpolitics (S2); @TheYoungTurks (S2); @harryjsisson (S2); @destiny (S2); @BadEmpanadaLive (S2); @SabbySabs (S2); @GlennKirschner2 (S2); @DylanBurnsLIVE (S2); @DueDissidence (S2); @JackCocchiarellaShow (S2); @LegalEagle (S2); @Forthepeoplepodcast305 (S2); @NYTPodcasts (S2); @NovaraMedia (S2); @OwenJonesTalks (S2); @FarronBalanced (S2); @PTLRadioShow (S2); @OwenReport (S2); @PiscoLitty (S2); @RebelHQ (S2); @thewarningwithsteveschmidt (S3); @moreperfectunion (S3); @TheEconomist (S3); @rolandsmartin (S4); @timesofindia (S4); @DemocracyNow (S4); @BelleRanch (S5); @DemocracyDocket (S6); @podsaveamerica (S6); @DropSiteNews (S6); @marclamonthillnetwork (S6); @lovettorleaveitpodcast (S6); @underthedesknews (S6); @BadFaithPodcast (S6); @therationalnational (S6); @DannyHaiphongYT (S6); @dollemore (S6); @TheDonLemonShow (S6); @RonPlacone (S6); @HasanReactionsfanTwo (S6); @HasanabiClips (S6); @TheJoyReidShow (S6); @cafedotcom (S6); @bulwarkmedia (S6); @JamarlThomas (S6); @PoliticsJOE (S6); @LeverNews (S6); @fastpoliticspodcast (S6); @TheRealTabithaSpeaks (S6); @TheSerfTimes (S6); @aaronparnas1 (S7); @thegrayzone7996 (S9); @CNN (S9); @aljazeeraenglish (S9); @msnow (S9); @NPR (S9); @SkyNews (S9); @HasanAbiVODs3 (S10)
videos,all,channel group split across style clusters,neutral,38,8,0.316,@wsj (S0); @hutch (S0); @KimIversen (S0); @TimesNowWorld (S1); @JacksonHinkleOfficial (S1); @joerogan (S2); @destinyhqclips (S2); @ZeihanonGeopolitics (S2); @BrittanyVenti (S2); @ClipsCandaceOwens (S2); @TimDillonShow (S2); @LIVESNEAKO (S2); @CoreyGilShusterAskProject (S3); @PiersMorganUncensored (S4); @newyorker (S6); @wethefifth (S6); @Semafor (S6); @axios (S6); @ClubRandomPodcast (S6); @markets (S6); @TuckerCarlson (S6); @thejimmydoreshow (S6); @ABCNews (S9); @ANINewsIndia (S9); @AssociatedPress (S9); @thehill (S9); @USATODAY (S9); @TechCrunch (S9); @Reuters (S9); @POLITICO (S9); @NewsNation (S9); @NBCNews (S9); @BBCNews (S9); @CBSNews (S9); @Firstpost (S10); @Forbes (S10); @chinainsights-r2w (S10); @60minutes (S10)
videos,all,channel group split across style clusters,right,96,8,0.375,@LiberalHivemind (S0); @JillianMichaels (S0); @JustPearlyThings (S0); @StevenCrowder (S0); @MarkDice (S0); @MattWalsh (S0); @X22Report-y5y (S0); @MrTariqNasheed (S0); @Tim_Black (S0); @ZubyMusic (S0); @OfficialSaharTV (S0); @TheBrianKilmeadeShow (S0); @RealDanBongino (S0); @RebelNewsOnline (S0); @RedactedNews (S0); @RileyGaines (S0); @TheAmalaEkpunobi (S0); @RufoandLomez (S0); @Styxhexenhammer666 (S0); @OutKick (S0); @bbrettcooper (S0); @StosselTV (S0); @FreshFitMiami (S0); https://rumble.com/c/TheAlexJonesShowLive (S0); @AlexStein99 (S0); @theisabelbrown (S0); @AndrewKlavan (S0); @nationalreview (S0); @BenShapiro (S0); @CamHigby (S0); @ChadPrather1 (S0); @morebridgetphetasy (S0); @ColemanHughesOfficial (S0); @dineshdsouza (S0); @glennbeck (S0); @DestinyDGGClips (S0); @TimcastIRL (S1); @FleccasTalks (S1); @DrSteveTurleyTV (S1); @TimcastNews (S1); @TheOfficerTatum (S1); @BlackConservativePerspective (S1); @TheQuartering (S1); @Timcast (S1); @The_Crucible (S2); @XAVIAER (S2); @newdiscourses (S2); @chicksonright (S2); @lizwheeler (S2); @SydneyWatson (S2); @marklevinshow (S2); @ThePodcastoftheLotusEaters (S2); @ActualJusticeWarrior (S2); @RobertGouveiaEsq (S2); https://rumble.com/c/russellbrand (S2); @GrahamAllen (S2); @JesseKellyDC (S2); @SaltyCracker (S2); @PartOfTheProblem (S2); @AsmonTV (S2); https://rumble.com/c/nickjfuentes (S2); @BlazeTV (S4); @CashJordan (S4); @VivaFrei (S4); @lonerboxlive (S4); @bennyjohnson (S4); @jlptalk (S4); @oann (S6); @turningpointusa (S6); @nypost (S6); @AnthonyBrianLogan (S6); @winston_marshall (S6); @DarkHorsePod (S6); @laurenchenclips (S6); @AfterPartyEmily (S6); @triggerpod (S6); @RubinReport (S6); @clayandbuck (S6); @TheAdamCarollaShow1 (S6); @HangOutwithSeanHannity (S6); @MLChristiansen (S6); @MegynKelly (S6); @TomiLahrenIsFearless (S6); @MichaelKnowles (S6); @MichaelMaliceofficial (S6); @MyronGainesX (S6); @fightbackpodcast (S6); @PragerU (S6); @RealAlexClark (S6); @RealAmericasVoice (S6); @RSBN (S7); @AndWeKnowOfficial-o9b (S8); https://rumble.com/c/BannonsWarRoom (S8); @FoxNews (S9); @FoxNewsChannelClips (S9); @NewsmaxTV (S9)
videos,all,style cluster spanning channel groups,S0,69,3,0.522,@BreakThroughNews (left); @EzraKleinShow (left); @GeopoliticalEconomyReport (left); @HasanAbi (left); @LeejaMiller (left); @MikeFromPA (left); @Politicon (left); @PoliticsGirl (left); @RestPoliticsUS (left); @SMN (left); @TheAtlantic (left); @TheDailyBeast (left); @TheHumanistReport (left); @TheVaushPit (left); @UnHerd (left); @Vaush (left); @Vox (left); @Xanderhal (left); @ajplus (left); @chriscuomo (left); @franifio (left); @jimacosta (left); @judgingfreedom (left); @nousnetwork (left); @nytimes (left); @samharrisorg (left); @thedavidpakmanshow (left); @thomhartmann (left); @zeteo (left); https://rumble.com/c/GGreenwald (left); @KimIversen (neutral); @hutch (neutral); @wsj (neutral); @AlexStein99 (right); @AndrewKlavan (right); @BenShapiro (right); @CamHigby (right); @ChadPrather1 (right); @ColemanHughesOfficial (right); @DestinyDGGClips (right); @FreshFitMiami (right); @JillianMichaels (right); @JustPearlyThings (right); @LiberalHivemind (right); @MarkDice (right); @MattWalsh (right); @MrTariqNasheed (right); @OfficialSaharTV (right); @OutKick (right); @RealDanBongino (right); @RebelNewsOnline (right); @RedactedNews (right); @RileyGaines (right); @RufoandLomez (right); @StevenCrowder (right); @StosselTV (right); @Styxhexenhammer666 (right); @TheAmalaEkpunobi (right); @TheBrianKilmeadeShow (right); @Tim_Black (right); @X22Report-y5y (right); @ZubyMusic (right); @bbrettcooper (right); @dineshdsouza (right); @glennbeck (right); @morebridgetphetasy (right); @nationalreview (right); @theisabelbrown (right); https://rumble.com/c/TheAlexJonesShowLive (right)
videos,all,style cluster spanning channel groups,S1,20,3,0.5,@DailyDenims (left); @DoubleDownNews (left); @LegalAFMTN (left); @LukeBeasley (left); @MeidasTouch (left); @SecularTalk (left); @StatusCoup (left); @briantylercohen (left); @deanwithrs (left); @katiephangnews (left); @JacksonHinkleOfficial (neutral); @TimesNowWorld (neutral); @BlackConservativePerspective (right); @DrSteveTurleyTV (right); @FleccasTalks (right); @TheOfficerTatum (right); @TheQuartering (right); @Timcast (right); @TimcastIRL (right); @TimcastNews (right)
videos,all,style cluster spanning channel groups,S2,51,3,0.529,@BadEmpanadaLive (left); @DueDissidence (left); @DylanBurnsLIVE (left); @FarronBalanced (left); @Forthepeoplepodcast305 (left); @GlennKirschner2 (left); @JackCocchiarellaShow (left); @LegalEagle (left); @NYTPodcasts (left); @NovaraMedia (left); @OwenJonesTalks (left); @OwenReport (left); @PTLRadioShow (left); @PiscoLitty (left); @RebelHQ (left); @SabbySabs (left); @TheDamageReport (left); @TheLincolnProject (left); @TheMajorityReport (left); @TheMichaelCohenShow (left); @TheYoungTurks (left); @adammockler (left); @breakingpoints (left); @destiny (left); @harryjsisson (left); @ponderingpolitics (left); @usefulidiots (left); @BrittanyVenti (neutral); @ClipsCandaceOwens (neutral); @LIVESNEAKO (neutral); @TimDillonShow (neutral); @ZeihanonGeopolitics (neutral); @destinyhqclips (neutral); @joerogan (neutral); @ActualJusticeWarrior (right); @AsmonTV (right); @GrahamAllen (right); @JesseKellyDC (right); @PartOfTheProblem (right); @RobertGouveiaEsq (right); @SaltyCracker (right); @SydneyWatson (right); @ThePodcastoftheLotusEaters (right); @The_Crucible (right); @XAVIAER (right); @chicksonright (right); @lizwheeler (right); @marklevinshow (right); @newdiscourses (right); https://rumble.com/c/nickjfuentes (right); https://rumble.com/c/russellbrand (right)
videos,all,style cluster spanning channel groups,S3,4,2,0.75,@TheEconomist (left); @moreperfectunion (left); @thewarningwithsteveschmidt (left); @CoreyGilShusterAskProject (neutral)
videos,all,style cluster spanning channel groups,S4,10,3,0.6,@DemocracyNow (left); @rolandsmartin (left); @timesofindia (left); @PiersMorganUncensored (neutral); @BlazeTV (right); @CashJordan (right); @VivaFrei (right); @bennyjohnson (right); @jlptalk (right); @lonerboxlive (right)
videos,all,style cluster spanning channel groups,S6,54,3,0.426,@BadFaithPodcast (left); @DannyHaiphongYT (left); @DemocracyDocket (left); @DropSiteNews (left); @HasanReactionsfanTwo (left); @HasanabiClips (left); @JamarlThomas (left); @LeverNews (left); @PoliticsJOE (left); @RonPlacone (left); @TheDonLemonShow (left); @TheJoyReidShow (left); @TheRealTabithaSpeaks (left); @TheSerfTimes (left); @bulwarkmedia (left); @cafedotcom (left); @dollemore (left); @fastpoliticspodcast (left); @lovettorleaveitpodcast (left); @marclamonthillnetwork (left); @podsaveamerica (left); @therationalnational (left); @underthedesknews (left); @ClubRandomPodcast (neutral); @Semafor (neutral); @TuckerCarlson (neutral); @axios (neutral); @markets (neutral); @newyorker (neutral); @thejimmydoreshow (neutral); @wethefifth (neutral); @AfterPartyEmily (right); @AnthonyBrianLogan (right); @DarkHorsePod (right); @HangOutwithSeanHannity (right); @MLChristiansen (right); @MegynKelly (right); @MichaelKnowles (right); @MichaelMaliceofficial (right); @MyronGainesX (right); @PragerU (right); @RealAlexClark (right); @RealAmericasVoice (right); @RubinReport (right); @TheAdamCarollaShow1 (right); @TomiLahrenIsFearless (right); @clayandbuck (right); @fightbackpodcast (right); @laurenchenclips (right); @nypost (right); @oann (right); @triggerpod (right); @turningpointusa (right); @winston_marshall (right)
videos,all,style cluster spanning channel groups,S7,2,2,0.5,@aaronparnas1 (left); @RSBN (right)
