genre,titles,kind,group,n_creators,n_style_clusters,largest_cluster_share,members
videos,all,lane split across style clusters,centrist_heterodox,10,4,0.4,@KimIversen (S0); @RestPoliticsUS (S0); @UnHerd (S0); @chriscuomo (S0); @TheLincolnProject (S2); https://rumble.com/c/russellbrand (S2); @thewarningwithsteveschmidt (S3); @DarkHorsePod (S6); @bulwarkmedia (S6); @wethefifth (S6)
videos,all,lane split across style clusters,explainer_geopolitics,3,3,0.333,@nousnetwork (S0); @ZeihanonGeopolitics (S2); @CoreyGilShusterAskProject (S3)
videos,all,lane split across style clusters,humour_satire,6,3,0.5,@AlexStein99 (S0); @SMN (S0); @franifio (S0); @TimDillonShow (S2); @RonPlacone (S6); @lovettorleaveitpodcast (S6)
videos,all,lane split across style clusters,independent_digital_news,19,8,0.316,@BreakThroughNews (S0); @zeteo (S0); @RebelNewsOnline (S0); @GeopoliticalEconomyReport (S0); @RedactedNews (S0); https://rumble.com/c/GGreenwald (S0); @DoubleDownNews (S1); @StatusCoup (S1); @NovaraMedia (S2); @breakingpoints (S2); @moreperfectunion (S3); @DemocracyNow (S4); @rolandsmartin (S4); @LeverNews (S6); @PoliticsJOE (S6); @underthedesknews (S6); @DropSiteNews (S6); @thegrayzone7996 (S9); @chinainsights-r2w (S10)
videos,all,lane split across style clusters,interview_podcast,19,4,0.421,@ColemanHughesOfficial (S0); @EzraKleinShow (S0); @samharrisorg (S0); @JillianMichaels (S0); @morebridgetphetasy (S0); @Politicon (S0); @judgingfreedom (S0); @ZubyMusic (S0); @usefulidiots (S2); @joerogan (S2); @PiersMorganUncensored (S4); @BadFaithPodcast (S6); @triggerpod (S6); @TheAdamCarollaShow1 (S6); @MichaelMaliceofficial (S6); @HangOutwithSeanHannity (S6); @ClubRandomPodcast (S6); @TuckerCarlson (S6); @winston_marshall (S6)
videos,all,lane split across style clusters,left_commentary,40,6,0.375,@thomhartmann (S0); @thedavidpakmanshow (S0); @Tim_Black (S0); @MrTariqNasheed (S0); @jimacosta (S0); @TheHumanistReport (S0); @PoliticsGirl (S0); @LukeBeasley (S1); @MeidasTouch (S1); @briantylercohen (S1); @katiephangnews (S1); @SecularTalk (S1); @TheYoungTurks (S2); @harryjsisson (S2); @TheMichaelCohenShow (S2); @TheMajorityReport (S2); @RebelHQ (S2); @SabbySabs (S2); @PTLRadioShow (S2); @OwenJonesTalks (S2); @ponderingpolitics (S2); @JackCocchiarellaShow (S2); @Forthepeoplepodcast305 (S2); @FarronBalanced (S2); @DueDissidence (S2); @TheDamageReport (S2); @adammockler (S2); @BelleRanch (S5); @dollemore (S6); @fastpoliticspodcast (S6); @TheRealTabithaSpeaks (S6); @therationalnational (S6); @TheDonLemonShow (S6); @marclamonthillnetwork (S6); @podsaveamerica (S6); @JamarlThomas (S6); @DannyHaiphongYT (S6); @thejimmydoreshow (S6); @TheJoyReidShow (S6); @aaronparnas1 (S7)
videos,all,lane split across style clusters,legal_institutional,8,5,0.375,@LeejaMiller (S0); @LegalAFMTN (S1); @GlennKirschner2 (S2); @LegalEagle (S2); @RobertGouveiaEsq (S2); @VivaFrei (S4); @DemocracyDocket (S6); @cafedotcom (S6)
videos,all,lane split across style clusters,right_commentary,69,6,0.362,@RileyGaines (S0); @StevenCrowder (S0); @RufoandLomez (S0); @TheAmalaEkpunobi (S0); https://rumble.com/c/TheAlexJonesShowLive (S0); @RealDanBongino (S0); @TheBrianKilmeadeShow (S0); @OutKick (S0); @OfficialSaharTV (S0); @MattWalsh (S0); @MarkDice (S0); @X22Report-y5y (S0); @LiberalHivemind (S0); @StosselTV (S0); @bbrettcooper (S0); @JustPearlyThings (S0); @glennbeck (S0); @theisabelbrown (S0); @AndrewKlavan (S0); @BenShapiro (S0); @FreshFitMiami (S0); @CamHigby (S0); @Styxhexenhammer666 (S0); @ChadPrather1 (S0); @dineshdsouza (S0); @JacksonHinkleOfficial (S1); @DrSteveTurleyTV (S1); @BlackConservativePerspective (S1); @TheQuartering (S1); @TheOfficerTatum (S1); @Timcast (S1); @TimcastIRL (S1); @TimcastNews (S1); @FleccasTalks (S1); @ThePodcastoftheLotusEaters (S2); @chicksonright (S2); @marklevinshow (S2); @XAVIAER (S2); @newdiscourses (S2); @lizwheeler (S2); @ActualJusticeWarrior (S2); @ClipsCandaceOwens (S2); @BrittanyVenti (S2); @SydneyWatson (S2); @GrahamAllen (S2); @JesseKellyDC (S2); https://rumble.com/c/nickjfuentes (S2); @OwenReport (S2); @PartOfTheProblem (S2); @bennyjohnson (S4); @BlazeTV (S4); @CashJordan (S4); @jlptalk (S4); @MichaelKnowles (S6); @turningpointusa (S6); @AfterPartyEmily (S6); @AnthonyBrianLogan (S6); @laurenchenclips (S6); @fightbackpodcast (S6); @MyronGainesX (S6); @clayandbuck (S6); @PragerU (S6); @MLChristiansen (S6); @TomiLahrenIsFearless (S6); @MegynKelly (S6); @RealAlexClark (S6); @RubinReport (S6); @AndWeKnowOfficial-o9b (S8); https://rumble.com/c/BannonsWarRoom (S8)
videos,all,lane split across style clusters,right_tv_network,4,3,0.5,@RealAmericasVoice (S6); @oann (S6); @RSBN (S7); @NewsmaxTV (S9)
videos,all,lane split across style clusters,streamer_reaction,23,6,0.391,@DestinyDGGClips (S0); @HasanAbi (S0); @Xanderhal (S0); @Vaush (S0); @MikeFromPA (S0); @hutch (S0); @TheVaushPit (S0); @DailyDenims (S1); @deanwithrs (S1); @AsmonTV (S2); @destinyhqclips (S2); @destiny (S2); @The_Crucible (S2); @PiscoLitty (S2); @SaltyCracker (S2); @LIVESNEAKO (S2); @DylanBurnsLIVE (S2); @BadEmpanadaLive (S2); @lonerboxlive (S4); @HasanabiClips (S6); @HasanReactionsfanTwo (S6); @TheSerfTimes (S6); @HasanAbiVODs3 (S10)
videos,all,lane split across style clusters,us_legacy_tv,9,2,0.889,@ABCNews (S9); @CBSNews (S9); @CNN (S9); @FoxNews (S9); @FoxNewsChannelClips (S9); @NBCNews (S9); @NewsNation (S9); @msnow (S9); @60minutes (S10)
videos,all,lane split across style clusters,us_press_print_digital,18,5,0.333,@wsj (S0); @nytimes (S0); @TheAtlantic (S0); @TheDailyBeast (S0); @nationalreview (S0); @Vox (S0); @NYTPodcasts (S2); @nypost (S6); @Semafor (S6); @newyorker (S6); @axios (S6); @markets (S6); @USATODAY (S9); @TechCrunch (S9); @POLITICO (S9); @NPR (S9); @thehill (S9); @Forbes (S10)
videos,all,lane split across style clusters,wire_international,11,6,0.545,@ajplus (S0); @TimesNowWorld (S1); @TheEconomist (S3); @timesofindia (S4); @ANINewsIndia (S9); @AssociatedPress (S9); @BBCNews (S9); @Reuters (S9); @SkyNews (S9); @aljazeeraenglish (S9); @Firstpost (S10)
