creator,genre,month,n_titles,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F1_controlled,F2_controlled,F3_controlled,F4_controlled,F5_controlled,F6_controlled,F7_controlled,F8_controlled,F9_controlled,F10_controlled,F11_controlled,F12_controlled,lane,organisation,clipper,curiosity_gap,outrage,humor,question,breaking_live,episode_show,interview_guest,reaction,confrontation,listicle,howto_explainer,partial_month,low_n
@60minutes,videos,2026-01,39,1.458945856930453,-0.8905641207523972,-0.321298456783178,-0.1931170561884266,0.4019907575833447,0.1725798840473078,0.8315750450028211,3.044465339562173,-0.3501434139088423,0.3520137691246069,-1.072861540050703,-0.5144890200892853,1.025115780114876,-0.5230346614714344,-0.4610634060520384,-0.0177713145845437,0.4543206609502334,0.0036422166623391,0.4301607692138917,2.4927042198691525,-0.2712935199407423,0.2272442319947619,-0.9635548139173614,-0.553182815239987,us_legacy_tv,CBS News,False,0.0,0.07692307692307693,0.0,0.10256410256410256,0.0,0.0,0.05128205128205128,0.0,0.0,0.0,0.02564102564102564,False,False
@60minutes,videos,2026-02,31,0.8441222077030663,-1.1991336063231512,-0.271109105052354,-0.1592156743268763,0.6331397664372888,-0.5859574824994525,1.420563634638575,1.7460542793736809,-0.6665084105554739,0.988398217843146,-0.912385610706664,-0.2609475378915633,0.3734639610676039,-0.933316690756377,-0.512760662759798,0.0020454191693973,0.7662442462411819,-0.2594214478895751,0.8429372290578003,1.2608010088890451,-0.5484557043821309,0.713069672436985,-1.1760353800375387,-0.3082041506298711,us_legacy_tv,CBS News,False,0.03225806451612903,0.0967741935483871,0.0,0.12903225806451613,0.0,0.0,0.03225806451612903,0.0,0.0,0.0,0.0,False,False
@60minutes,videos,2026-03,51,1.3978367859984628,-1.3433365856844333,-0.163391336591776,-0.0533842523367124,0.2351522209232678,-0.7312936894944193,1.086057400029061,3.0534138039278846,-0.0917986696071255,-0.0292967326715453,-0.8783051172740866,-0.513149832740174,1.2328621320598576,-1.1015046406270623,-0.3051495965493976,0.0234796959971356,0.3037880411886247,-0.749645387505785,0.698748690670942,2.6384491569191484,-0.0474516752293398,-0.3929092493183511,-1.0043454583736973,-0.8794836908351344,us_legacy_tv,CBS News,False,0.0,0.17647058823529413,0.0,0.11764705882352941,0.0196078431372549,0.0,0.09803921568627451,0.0196078431372549,0.0392156862745098,0.0,0.0392156862745098,False,False
@60minutes,videos,2026-04,62,1.4983992252749594,-0.7613578662240883,-0.141850040337166,-0.0746231424778199,0.155442087363058,-0.6003949483878868,1.2361657773642345,2.7713292479587235,-0.2338457774821137,0.0664623363370168,-0.0645009106843026,-0.2465519277860243,0.9518917837470096,-0.2124471738751064,-0.3161072158103904,0.0398466594815195,0.142444999643253,-0.4305549930817977,1.2105492341340107,1.838762446747556,-0.2756601902919414,-0.0631184295075446,0.047195337301286,-0.3115776877497637,us_legacy_tv,CBS News,False,0.016129032258064516,0.06451612903225806,0.0,0.08064516129032258,0.0,0.0,0.03225806451612903,0.0,0.016129032258064516,0.0,0.03225806451612903,False,False
@60minutes,videos,2026-05,51,0.8281493913681633,-1.2326974091140737,-0.0864107776421835,-0.1847884567516146,0.3003472490898682,0.0465796617837235,1.0372205716303249,2.691322722416716,-0.4008032713694418,0.1404252577472278,-0.8904828349715923,-0.2374517448170197,0.5705011551966828,-0.7832938094267792,-0.1846237910395267,-0.0808868533234689,0.3718133197613156,0.0993617901198334,0.9017171177536996,2.079874773747638,-0.3570512619981412,-0.0556056771627305,-0.8779514159267334,-0.2349229399255576,us_legacy_tv,CBS News,False,0.0,0.23529411764705882,0.0,0.0784313725490196,0.0,0.0,0.13725490196078433,0.0,0.0,0.0,0.0,False,False
@60minutes,videos,2026-06,24,1.5306865734494124,-0.7515640662458954,-0.0733933754614804,-0.0381972348586039,0.7760376298907152,-0.0316000499855871,1.0880409060826606,2.494228503591134,-0.1407885986057286,0.8775894162896045,-0.9757037643969034,-0.8657791875815337,0.9048620911772692,-0.3716519461103988,-0.0907819154507559,0.0367131335067091,0.6839432131768007,-0.209887416375754,1.1170726611438122,2.099246445492509,-0.2251755092110729,0.6082080845396137,-1.0394020643633906,-0.7083388481623665,us_legacy_tv,CBS News,False,0.0,0.041666666666666664,0.0,0.125,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,0.041666666666666664,False,False
@60minutes,videos,2026-08,18,1.2960802514553136,-1.485083935875193,-0.3601063516588767,-0.3144521356207035,-0.6086793471077111,-0.669464102792464,1.0179071257762655,2.134427623452873,-0.3951301734970155,-0.8287212411151863,-2.077108267840891,0.0870791650612852,1.2274991248716305,-1.3774464976422418,-0.375939853516959,-0.1925741020691524,-0.5991501894704215,-0.4452983861198738,0.7136545517449506,1.8502480223447055,-0.2227846322296337,-0.94854662985034,-1.9278783356568057,0.1902267202815639,us_legacy_tv,CBS News,False,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
@60minutes,videos,2026-09,46,1.1280319461110884,1.0462839541570277,-0.1918676631170218,-0.0018742344638067,0.3744853416527768,-1.2351699073557014,1.2019317526254694,3.256718717811054,-0.2629743844420726,0.8850199886844184,-0.1796286248823268,-0.337231412179886,0.6208448261762037,0.7890509388322732,-0.2619324406917526,0.019366336421761,0.1817156496242962,-0.9673211308644796,0.7796964774972822,1.221300024616062,-0.1275593787842555,0.447033651617946,-0.187453215628272,-0.3749564722741912,us_legacy_tv,CBS News,False,0.043478260869565216,0.043478260869565216,0.0,0.06521739130434782,0.0,0.021739130434782608,0.021739130434782608,0.0,0.021739130434782608,0.0,0.043478260869565216,True,False
@ABCNews,streams,2026-01,76,0.8392716146029954,0.8877648518458963,4.137461430482725,-0.4565818723244581,-0.741466697408401,0.4157693995945137,0.0612561179700776,0.1562159812649867,0.6313413049489583,-0.9845190419920828,-1.7531806974604929,-0.075919969292318,0.3210393846462307,1.6260422136729358,2.819064445858793,-0.1618532595967148,-0.0774818960548505,0.2359432933055289,0.1041416693050469,-1.447054194280577,0.064170553194453,-0.6446236896918753,-0.6615326931296235,-0.1769925898389805,us_legacy_tv,ABC News,False,0.013157894736842105,0.06578947368421052,0.0,0.0,0.9342105263157895,0.0,0.039473684210526314,0.0,0.0,0.0,0.0,False,False
@ABCNews,streams,2026-02,95,0.8738256196159959,1.2705739519520554,4.108738260590668,-0.5147860268820681,-0.8585228054944739,0.6161648790321359,0.4829557519642653,0.145093401573924,0.5548217994771238,-1.0973313583302533,-1.4325212862311387,-0.2199759692689793,0.3229717482606659,1.9124077035485476,2.850969429138283,-0.2449004008652409,-0.2277272096702344,0.3662458022802378,0.418436157602714,-1.1326543668964533,0.1464114586047527,-0.7928472789079902,-0.6259213612753928,-0.3006855871127876,us_legacy_tv,ABC News,False,0.021052631578947368,0.031578947368421054,0.0,0.0,0.9052631578947369,0.0,0.06315789473684211,0.0,0.0,0.0,0.0,False,False
@ABCNews,streams,2026-03,70,1.1494534203499276,0.5486316284630327,3.7501435981525786,-0.5363897200544671,-0.8009215277979584,0.1803565938884173,0.3850266816503935,0.0916561910161013,0.2153252556155338,-0.8937282904609166,-0.6103175784698892,-0.1668186033902804,0.7938091613763401,1.1510034988595936,2.608227320684623,-0.324733042606258,-0.2151129808806018,-0.1480528581032903,0.3466608959769441,-1.179999587607968,-0.1853480411478383,-0.7823054628192064,0.2134544573238328,-0.5013626626292309,us_legacy_tv,ABC News,False,0.02857142857142857,0.14285714285714285,0.0,0.0,0.8571428571428571,0.0,0.08571428571428572,0.014285714285714285,0.014285714285714285,0.0,0.0,False,False
@ABCNews,streams,2026-04,73,0.9342407567842348,-0.2431631645590564,3.8691040724604,-0.38239584720437,-0.7574648072889255,-0.0791443970684893,-0.0756633719561661,-0.0133137312531155,1.0838836511356824,-1.059080376778836,-1.657711061505084,-0.4673257567293043,0.1389559966896973,0.5453642168249527,2.3972023019384134,-0.0634396223708721,-0.0806225544169598,0.0249143056390123,-0.1878791249618118,-1.671626915064827,0.4955137472366485,-0.6133196981510456,-0.6696811434695672,-0.4780457713775178,us_legacy_tv,ABC News,False,0.0,0.0136986301369863,0.0,0.0,0.863013698630137,0.0,0.0273972602739726,0.0,0.0136986301369863,0.0,0.0,False,False
@ABCNews,streams,2026-05,71,0.9843932040227942,1.226157704517657,3.7937529840936546,-0.5607086441123983,-0.8711278225287495,0.6031530503930994,0.0750473861599299,0.3089794668834582,1.2367321906852116,-1.1477660650158974,-1.072980398191083,-0.0819897339918778,0.4743810883815057,1.9352174878635864,2.4798792166124524,-0.2940890680390945,-0.2452141591622239,0.4872602441592594,0.1697525108640295,-1.3076333401454523,0.665178823814557,-0.7816890113911682,-0.0070851003220499,-0.2353678318578518,us_legacy_tv,ABC News,False,0.014084507042253521,0.08450704225352113,0.0,0.0,0.8169014084507042,0.0,0.056338028169014086,0.0,0.0,0.0,0.0,False,False
@ABCNews,streams,2026-06,49,0.7282906757248019,1.1370957479469548,4.873683649815425,-0.3592049400673849,-0.780612921474287,0.3347140170796569,-0.9706250142170452,0.4496692853826378,2.0763386110333215,-1.3185754205673896,-2.891198588287058,-0.1253130235001574,-0.0651437238349639,2.3299098938266867,3.234937932835851,-0.0039054968508193,-0.0697033902769354,0.448902623357479,-0.4466071785345813,-2.079115391489193,1.0985392963468057,-0.6649148895990842,-1.0292032417387131,-0.1561040448832883,us_legacy_tv,ABC News,False,0.0,0.04081632653061224,0.0,0.0,0.9387755102040817,0.0,0.0,0.0,0.0,0.0,0.0,False,False
@ABCNews,streams,2026-07,50,0.6899626425461985,1.1067281966803486,3.9251857684507168,-0.4445258990497259,-0.7422307501643108,0.4144521393470325,-0.7648710925676514,0.6433842108696433,1.7134880454070842,-1.165027120617862,-2.583378264899956,0.0723265304439265,-0.0337950269651805,2.122747371449656,2.382972027643804,-0.1219385627493973,-0.0586715902162551,0.3106630882407596,-0.2532818880191924,-1.5723725824482864,0.7221168924035787,-0.5708925768249893,-1.0588843320363506,0.0597648268257094,us_legacy_tv,ABC News,False,0.0,0.0,0.0,0.0,0.92,0.0,0.06,0.0,0.0,0.0,0.0,False,False
@ABCNews,streams,2026-08,73,0.5428059171730417,1.000452578740378,3.9731367145740473,-0.2856503683331171,-0.7177993761379646,0.6165588440441326,-0.5896289247363765,0.547478167304432,1.4851802971515524,-1.1864398941763203,-2.232799662586617,-0.0902415349357652,-0.1120076061041224,1.9486469420398964,2.456646162545394,0.0211177920897669,-0.0572800776531894,0.5007411929351594,-0.2212352223454166,-1.549094575992488,0.6417868281203007,-0.6542580276655379,-0.7046467896545014,-0.1118102378581291,us_legacy_tv,ABC News,False,0.0,0.0273972602739726,0.0,0.0,0.8904109589041096,0.0,0.0410958904109589,0.0136986301369863,0.0136986301369863,0.0,0.0,False,False
