group,genre,month,n_creators,n_titles,F1_controlled,F2_controlled,F3_controlled,F4_controlled,F5_controlled,F6_controlled,F7_controlled,F8_controlled,F9_controlled,F10_controlled,F11_controlled,F12_controlled,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,curiosity_gap,outrage,humor,question,breaking_live,episode_show,interview_guest,reaction,confrontation,listicle,howto_explainer,partial_month
left,streams,2026-01,21,1320,-0.2019669078531183,-0.42003385583068414,0.26209649390284373,-0.20173134128145898,-0.28073490112033866,0.5308938339520157,-0.14952576656870678,0.12125477353278705,-0.21553799034009063,-0.5252060195017639,0.003694264643074324,-0.01756692442377426,-0.47726667215896257,-0.422734419385366,0.4668933783856846,-0.2569241183706243,-0.5379883142737845,0.5466867278645946,0.2304509557244578,0.12580283468403652,-0.24720137100358847,-0.20791949035586046,0.14184689637679493,0.1784088714469326,0.02261371169331124,0.6578474373284785,0.0,0.08988337349952755,0.22151169337071136,0.06635176651305683,0.11720472982136194,0.020800783537202047,0.1404309411495598,0.0,0.02674532491336077,False
left,streams,2026-02,18,1047,-0.06349427194377213,-0.21126981717850535,0.33780837077103176,-0.09869636343606991,-0.18071969873654362,0.41618202977506996,-0.15472872335283414,-0.13664869002479849,0.03289315787595392,-0.4180915720265194,0.1916950628018009,-0.11559378580343505,-0.2712256984710322,-0.23567115261082433,0.5432327187142824,-0.15735424440490808,-0.4804293864833213,0.674032817013631,0.13415416966761662,-0.16446385646810682,0.12811445736754198,-0.21561368828629102,0.3791411969013895,-0.06005853935729429,0.03105210284140821,0.6736716403538227,0.00019630938358853554,0.09218600672270977,0.22431152398879328,0.07486631016042782,0.1408928429668561,0.025582584251768195,0.11149974593089802,0.0,0.019627503998291686,False
left,streams,2026-03,22,1143,-0.5988035745531554,-0.2471966178291477,0.289987070200026,-0.09694773365622676,-0.11609036877670822,0.6252617312150975,-0.4186094897283962,-0.07250989386405093,-0.04757622666628942,-0.34457271784761484,0.0033947976413917376,0.04338021798328497,-0.9470407468410561,-0.24281612283737752,0.4414719714909326,-0.12698392452030227,-0.3441708042677313,0.7614961098186178,-0.10252127801121946,-0.08798613196102795,-0.034012397489957796,-0.01792044815541223,0.17463889028637675,0.5705884655302403,0.010841134016173334,0.6562298077935482,0.0036894923258559624,0.09846106462148524,0.18518081409664508,0.06445123503947034,0.18275282024619424,0.011434543308325107,0.15505236988363066,0.0,0.0223067521506575,False
left,streams,2026-04,25,1269,-0.3591136564744569,-0.3475276710924662,0.23798803403903038,-0.191858728059431,-0.2521224462497009,0.562535390365031,-0.23088250628319432,-0.14298278042390608,-0.05475743558966897,-0.33031382735758547,-0.03844421868820695,-0.04035376038965095,-0.5646754997023052,-0.3434014809458867,0.4102895381050276,-0.17294464158283904,-0.5006579688996751,0.6953654577891484,0.06952363121363161,-0.15949824671646987,0.04157002282731903,-0.13845456997071695,0.10117728070980193,0.28777353550743984,0.024266306680079834,0.6556252686317291,0.0,0.09997852674600118,0.19537528734506318,0.07382967418930172,0.16310003052993294,0.013758108492515807,0.1267929852277949,0.0,0.028353526596456725,False
left,streams,2026-05,24,1102,-0.2729031831516162,-0.3300158203783446,0.3073168710651431,-0.07817579556213482,-0.2287815478365375,0.5507918819539265,-0.23172725311109887,0.016866728571706555,-0.21789121118106683,-0.3343973712702859,-0.2094631795551731,0.049151672288918,-0.31426729465565545,-0.35522682995581695,0.45174238563985253,-0.0964274961657219,-0.43115361753807074,0.6090614790245494,0.0610996714225912,0.10395302317075694,-0.18126765655171995,-0.1278806623186802,-0.017018283736106466,0.31114766007421524,0.03265025780504957,0.5854740225155833,0.002969858156028369,0.10079992821350094,0.1996989436576,0.07726404800872887,0.17338691773148704,0.01215487333203111,0.12957443924356596,0.0,0.03509719062426623,False
left,streams,2026-06,25,1278,-0.1431240815696614,-0.30839079792035207,0.23752383390433557,-0.12284203412069931,-0.18460873936865124,0.6690328323754886,-0.09520488094540956,0.05252115774910156,-0.0009069501551236581,-0.28095231378571833,0.06837303285336618,-0.08169494829708387,-0.3246924318260684,-0.29922303332966993,0.3600645117301181,-0.1708512254237048,-0.4462132271648256,0.7818297591422706,0.2576322960854307,0.055497168443235836,0.029542915753628912,-0.09341251310527982,0.25545367709535083,0.1352277537850578,0.02045057442816332,0.6536148747029382,0.00014336917562724014,0.11482017583520443,0.19850443706256515,0.07331263858093126,0.13269013693000034,0.015377841166670568,0.14217764512967196,0.0,0.022218199587862596,False
left,streams,2026-07,24,1245,-0.35033151030788373,-0.29658670572640355,0.18410826870678665,-0.08521146382038723,-0.27121263970648307,0.5574472989896938,-0.21652101252889422,0.10235005688128647,0.020456673067481484,-0.2722555222297988,-0.16001160116381719,0.004557315436944488,-0.5240442185799599,-0.3145257825556966,0.3148088708059883,-0.12133862160942505,-0.5023928181165039,0.6966854637506414,0.10913767100946857,0.15893202438315104,0.04266661659532459,-0.06713473196900231,0.11509040714072782,0.18751890119420148,0.024452655666591896,0.6557074274647009,0.0,0.11626927278232131,0.1953578678248836,0.07019966371394554,0.14742104539889736,0.015670998405751004,0.11442401124927698,0.0,0.03286358641937192,False
left,streams,2026-08,21,983,-0.17386648733127869,-0.2833981921411077,0.0981613180236085,-0.006430695343496535,-0.29041879140757354,0.588573809322353,-0.3496574739547905,-0.13781749482779918,-0.06919921168562697,-0.3823671549763917,-0.10181152254283694,-0.08043484013226322,-0.3479365479110264,-0.36047736284446136,0.2319538804312923,-0.03759293016652686,-0.5454158739880144,0.6905970689751105,-0.058564451597985255,0.10628676371054671,0.038112178768488505,-0.22487728900043086,0.0033942218627317075,0.11317550691230653,0.03007828992373961,0.6467286793181897,0.0,0.09653491120945701,0.15767922395795306,0.10877761069007093,0.12845483043269154,0.021990402903028138,0.10367152938882619,0.0,0.029778362894588812,False
left,streams,2026-09,9,281,-0.46450113637152124,-0.7023395927004539,0.4609078061678715,0.059945267653936735,-0.4817979072958014,0.5440443304357809,-0.04907072243962153,0.23859788311170574,0.19717742119969298,-0.20929939645696236,0.1679134709409575,-0.09137389586412932,-0.7319604165274386,-0.6514017347798072,0.5092483421743647,0.025821447922200574,-0.7034454995722936,0.6829757605681368,0.3010447458695329,0.37970953433536664,0.17796755395770084,0.09648194992621363,0.3421236692053015,0.20281989384277666,0.013026819923371647,0.7544487015751383,0.0,0.08097449591702466,0.26220200085142614,0.05185185185185185,0.11730717133015983,0.023007856341189674,0.11966697627617168,0.0,0.012892817059483726,True
left,videos,2026-01,76,9433,-0.01064344790397668,-0.15237459610380902,-0.2584601879631719,0.0025484487161278983,0.31793169799851784,-0.1835440390887667,-0.28411156410187605,-0.09238935185216231,0.10534600158373274,-0.14920319420610245,-0.2752363994970316,-0.051589930421636725,-0.2547718430920375,-0.13467200289709444,-0.2220829311984225,0.034676289277278574,0.09950850653236096,-0.22402336697571512,-0.0003477560565127399,-0.046369747082174444,0.19646030092253017,0.030043391278613652,-0.18493472724821367,0.041354612800138836,0.03537846445948969,0.7016944103642233,0.003915823183491358,0.11947016922476274,0.03774802109245821,0.03967098720690312,0.08949705138991686,0.031226040587887752,0.07946559023956878,0.0002767789037811921,0.06035370749841997,False
