level,group,genre,measure,n_months,spearman_trend,p,first_month_value,last_full_month_value
group,left,streams,F1_controlled,9,-0.183,0.6368,-0.202,-0.1739
group,left,streams,F2_controlled,9,-0.2,0.6059,-0.42,-0.2834
group,left,streams,F3_controlled,9,-0.233,0.5457,0.2621,0.0982
group,left,streams,F4_controlled,9,0.783,0.0125,-0.2017,-0.0064
group,left,streams,F5_controlled,9,-0.567,0.1116,-0.2807,-0.2904
group,left,streams,F6_controlled,9,0.317,0.4064,0.5309,0.5886
group,left,streams,F7_controlled,9,0.133,0.7324,-0.1495,-0.3497
group,left,streams,F8_controlled,9,0.2,0.6059,0.1213,-0.1378
group,left,streams,F9_controlled,9,0.317,0.4064,-0.2155,-0.0692
group,left,streams,F10_controlled,9,0.733,0.0246,-0.5252,-0.3824
group,left,streams,F11_controlled,9,-0.217,0.5755,0.0037,-0.1018
group,left,streams,F12_controlled,9,-0.183,0.6368,-0.0176,-0.0804
group,left,streams,curiosity_gap,9,-0.05,0.8984,0.0226,0.0301
group,left,streams,outrage,9,-0.217,0.5755,0.6578,0.6467
group,left,streams,humor,9,-0.383,0.3084,0.0,0.0
group,left,videos,F1_controlled,9,-0.067,0.8647,-0.0106,-0.0164
group,left,videos,F2_controlled,9,0.7,0.0358,-0.1524,-0.0959
group,left,videos,F3_controlled,9,0.533,0.1392,-0.2585,-0.22
group,left,videos,F4_controlled,9,0.733,0.0246,0.0025,0.0532
group,left,videos,F5_controlled,9,-0.017,0.9661,0.3179,0.402
group,left,videos,F6_controlled,9,0.35,0.3558,-0.1835,-0.1598
group,left,videos,F7_controlled,9,-0.133,0.7324,-0.2841,-0.3828
group,left,videos,F8_controlled,9,0.417,0.2646,-0.0924,-0.1562
group,left,videos,F9_controlled,9,-0.433,0.244,0.1053,-0.0712
group,left,videos,F10_controlled,9,0.15,0.7001,-0.1492,-0.1688
group,left,videos,F11_controlled,9,-0.35,0.3558,-0.2752,-0.3047
group,left,videos,F12_controlled,9,-0.383,0.3085,-0.0516,-0.0599
group,left,videos,curiosity_gap,9,0.783,0.0125,0.0354,0.0405
