creator,genre,predictor,coef_per_sd,se_hc3,p,n,r2,r2_adj,n_topic_dummies,group,organisation,clipper,subscribers
@60minutes,videos,F1,-0.04468926446208343,0.12735504340527315,0.7256611345032937,321,0.29595667872868003,0.1807495897933732,22,neutral,CBS News,False,4170000.0
@60minutes,videos,F2,-0.10075103547393066,0.11918998818575811,0.39794458590647375,321,0.29595667872868003,0.1807495897933732,22,neutral,CBS News,False,4170000.0
@60minutes,videos,F3,0.12021484875425711,0.1119921273849289,0.2830816762987677,321,0.29595667872868003,0.1807495897933732,22,neutral,CBS News,False,4170000.0
@60minutes,videos,F4,-0.22535847375819396,0.11112778820169664,0.04256822111135227,321,0.29595667872868003,0.1807495897933732,22,neutral,CBS News,False,4170000.0
@60minutes,videos,F5,-0.04649046963500447,0.10495027863502816,0.6577829908407038,321,0.29595667872868003,0.1807495897933732,22,neutral,CBS News,False,4170000.0
@60minutes,videos,F6,-0.05121199551803138,0.10822429133450943,0.6360687782944827,321,0.29595667872868003,0.1807495897933732,22,neutral,CBS News,False,4170000.0
@60minutes,videos,F7,0.40185668214435555,0.10327501893077397,9.977782494954658e-05,321,0.29595667872868003,0.1807495897933732,22,neutral,CBS News,False,4170000.0
@60minutes,videos,F8,-0.07521196544593006,0.11211181423380434,0.5023061188442384,321,0.29595667872868003,0.1807495897933732,22,neutral,CBS News,False,4170000.0
@60minutes,videos,F9,0.17515625873327523,0.12836771036357422,0.17241388544042735,321,0.29595667872868003,0.1807495897933732,22,neutral,CBS News,False,4170000.0
@60minutes,videos,F10,-0.001410428100097616,0.11088184449140609,0.9898511026422955,321,0.29595667872868003,0.1807495897933732,22,neutral,CBS News,False,4170000.0
@60minutes,videos,F11,-0.07086842492030054,0.15145135112957997,0.6398356208461604,321,0.29595667872868003,0.1807495897933732,22,neutral,CBS News,False,4170000.0
@60minutes,videos,F12,-0.15837632979923777,0.11372794465750842,0.1637439913430624,321,0.29595667872868003,0.1807495897933732,22,neutral,CBS News,False,4170000.0
@60minutes,videos,curiosity_gap,-0.0380747064352399,0.0739562104055429,0.6066734200904474,321,0.29595667872868003,0.1807495897933732,22,neutral,CBS News,False,4170000.0
@60minutes,videos,outrage,0.09916111312447637,0.08921927720833542,0.26638266931099364,321,0.29595667872868003,0.1807495897933732,22,neutral,CBS News,False,4170000.0
@60minutes,videos,n_tokens,0.5571332576523068,0.1345928591468181,3.482201206950009e-05,321,0.29595667872868003,0.1807495897933732,22,neutral,CBS News,False,4170000.0
@ABCNews,streams,F1,0.12146559758265801,0.07221872053628442,0.09258573113621285,590,0.500258889538381,0.463847879668682,17,neutral,ABC News,False,19800000.0
@ABCNews,streams,F2,0.06913303999521231,0.0656057842722481,0.2919907954731511,590,0.500258889538381,0.463847879668682,17,neutral,ABC News,False,19800000.0
@ABCNews,streams,F3,0.026991960007669846,0.10889624859090691,0.804236080259208,590,0.500258889538381,0.463847879668682,17,neutral,ABC News,False,19800000.0
@ABCNews,streams,F4,0.04874695478888652,0.08042665611816681,0.5444453910923088,590,0.500258889538381,0.463847879668682,17,neutral,ABC News,False,19800000.0
@ABCNews,streams,F5,0.03646681584005895,0.06744426261455028,0.5887174138038422,590,0.500258889538381,0.463847879668682,17,neutral,ABC News,False,19800000.0
@ABCNews,streams,F6,0.10195124227042825,0.06561027662516852,0.1202103319223298,590,0.500258889538381,0.463847879668682,17,neutral,ABC News,False,19800000.0
@ABCNews,streams,F7,-0.3919488156834301,0.1366485862241399,0.004126871149691316,590,0.500258889538381,0.463847879668682,17,neutral,ABC News,False,19800000.0
@ABCNews,streams,F8,0.08465646508453195,0.06812085593811347,0.21396391544872884,590,0.500258889538381,0.463847879668682,17,neutral,ABC News,False,19800000.0
@ABCNews,streams,F9,-0.08519062909687802,0.1246476079772578,0.4943214124228209,590,0.500258889538381,0.463847879668682,17,neutral,ABC News,False,19800000.0
@ABCNews,streams,F10,0.16878172773614042,0.08277140643782054,0.04143697076241226,590,0.500258889538381,0.463847879668682,17,neutral,ABC News,False,19800000.0
@ABCNews,streams,F11,-0.038475776154132224,0.17177221926299105,0.8227627435072427,590,0.500258889538381,0.463847879668682,17,neutral,ABC News,False,19800000.0
@ABCNews,streams,F12,-0.05773330155728873,0.07167166426153677,0.4205169128771732,590,0.500258889538381,0.463847879668682,17,neutral,ABC News,False,19800000.0
@ABCNews,streams,curiosity_gap,-0.04697487706209025,0.05728756389679711,0.412225315291443,590,0.500258889538381,0.463847879668682,17,neutral,ABC News,False,19800000.0
@ABCNews,streams,outrage,0.12577721597575153,0.06475320036136933,0.052087575219441004,590,0.500258889538381,0.463847879668682,17,neutral,ABC News,False,19800000.0
@ABCNews,streams,n_tokens,-0.1673624392694062,0.13598371300231737,0.21841504829807246,590,0.500258889538381,0.463847879668682,17,neutral,ABC News,False,19800000.0
@ABCNews,videos,F1,-0.1453186838409184,0.025215074015849718,8.255001324484672e-09,7971,0.2566541463737956,0.23732409199268167,178,neutral,ABC News,False,19800000.0
@ABCNews,videos,F2,-0.05714287143414583,0.021549676811099747,0.008009214043384533,7971,0.2566541463737956,0.23732409199268167,178,neutral,ABC News,False,19800000.0
@ABCNews,videos,F3,0.05157821369615468,0.0202774063555395,0.01097073090739605,7971,0.2566541463737956,0.23732409199268167,178,neutral,ABC News,False,19800000.0
@ABCNews,videos,F4,0.03549513867826738,0.02248922818245594,0.11449272556153606,7971,0.2566541463737956,0.23732409199268167,178,neutral,ABC News,False,19800000.0
@ABCNews,videos,F5,-0.15138084657460743,0.01793452148299707,3.1530272009027916e-17,7971,0.2566541463737956,0.23732409199268167,178,neutral,ABC News,False,19800000.0
@ABCNews,videos,F6,0.0940769924345656,0.022249891480826196,2.3556828906157322e-05,7971,0.2566541463737956,0.23732409199268167,178,neutral,ABC News,False,19800000.0
@ABCNews,videos,F7,-0.0465142349627442,0.024307792078224023,0.05567736631079534,7971,0.2566541463737956,0.23732409199268167,178,neutral,ABC News,False,19800000.0
