group,genre,predictor,n_creators,median_coef_per_sd,q25,q75,share_positive,share_sig_positive,share_sig_negative,share_same_sign_as_median,median_r2
ALL,streams,F1,56.0,-0.0161495929360201,-0.07330644761691349,0.004720596173674069,0.30357142857142855,0.017857142857142856,0.03571428571428571,0.6964285714285714,0.39782898502163255
ALL,streams,F10,56.0,0.013922181481098361,-0.022225085365634393,0.042131457409755546,0.5535714285714286,0.017857142857142856,0.07142857142857142,0.5535714285714286,0.39782898502163255
ALL,streams,F11,56.0,0.01665874193461335,-0.022392661569824727,0.047787406272039305,0.625,0.05357142857142857,0.017857142857142856,0.625,0.39782898502163255
ALL,streams,F12,56.0,0.000954443413667197,-0.028300036099601134,0.03032925541656545,0.5,0.03571428571428571,0.05357142857142857,0.5,0.39782898502163255
ALL,streams,F2,56.0,0.006732793592947969,-0.017186062589745685,0.03412355012819214,0.5892857142857143,0.07142857142857142,0.03571428571428571,0.5892857142857143,0.39782898502163255
ALL,streams,F3,56.0,0.0031037165360415994,-0.03224083164886534,0.05265898003791559,0.5535714285714286,0.08928571428571429,0.10714285714285714,0.5535714285714286,0.39782898502163255
ALL,streams,F4,56.0,0.01110956215674433,-0.020962779088824587,0.03978589574677939,0.6071428571428571,0.125,0.017857142857142856,0.6071428571428571,0.39782898502163255
ALL,streams,F5,56.0,0.003423193437250352,-0.046861350461626844,0.048391180503589676,0.5535714285714286,0.07142857142857142,0.05357142857142857,0.5535714285714286,0.39782898502163255
ALL,streams,F6,56.0,0.018631022828201067,-0.006400500877689674,0.07975987020717878,0.6607142857142857,0.14285714285714285,0.07142857142857142,0.6607142857142857,0.39782898502163255
ALL,streams,F7,56.0,-0.004564633202777085,-0.05129604461272739,0.019578879002930337,0.4642857142857143,0.017857142857142856,0.125,0.5357142857142857,0.39782898502163255
ALL,streams,F8,56.0,0.0032471695330412303,-0.0246964586698164,0.04570972015383873,0.5,0.08928571428571429,0.05357142857142857,0.5,0.39782898502163255
ALL,streams,F9,56.0,0.010897988349993032,-0.02904618094022033,0.04059700482473073,0.5714285714285714,0.03571428571428571,0.017857142857142856,0.5714285714285714,0.39782898502163255
ALL,streams,curiosity_gap,52.0,0.0014942578199827958,-0.01789542598104982,0.026480731398263874,0.5192307692307693,0.09615384615384616,0.057692307692307696,0.5192307692307693,0.391512926654604
ALL,streams,humor,13.0,0.005538087037767092,-0.0013250446757526485,0.016953485189248385,0.6153846153846154,0.0,0.0,0.6153846153846154,0.3848034860163775
ALL,streams,n_tokens,56.0,-0.0060024405161539784,-0.04910189407948992,0.047966218458619946,0.44642857142857145,0.08928571428571429,0.07142857142857142,0.5535714285714286,0.39782898502163255
ALL,streams,outrage,56.0,0.04713106451875402,0.017137848219526963,0.09747429562212748,0.8392857142857143,0.16071428571428573,0.0,0.8392857142857143,0.39782898502163255
ALL,videos,F1,188.0,-0.0215875348364201,-0.06508470267287557,0.02075469608182204,0.35638297872340424,0.0425531914893617,0.14893617021276595,0.6436170212765957,0.28456824640242573
ALL,videos,F10,188.0,-0.007984047079974299,-0.04688910130118847,0.03132118294712583,0.44148936170212766,0.031914893617021274,0.11170212765957446,0.5585106382978723,0.28456824640242573
ALL,videos,F11,188.0,-0.00676248658307782,-0.056280051408187586,0.04052748125176401,0.46808510638297873,0.06382978723404255,0.11702127659574468,0.5319148936170213,0.28456824640242573
ALL,videos,F12,188.0,-0.03138678232882344,-0.09474199114914504,0.0077060105274916225,0.2872340425531915,0.031914893617021274,0.1595744680851064,0.7127659574468085,0.28456824640242573
ALL,videos,F2,188.0,0.013510057886014865,-0.02510906882488867,0.06575557409928673,0.6063829787234043,0.09574468085106383,0.047872340425531915,0.6063829787234043,0.28456824640242573
ALL,videos,F3,188.0,-0.002868640078712334,-0.049546098185087276,0.03749653023513325,0.4734042553191489,0.0851063829787234,0.09574468085106383,0.526595744680851,0.28456824640242573
ALL,videos,F4,188.0,0.01776405038967796,-0.011316701029573733,0.05640155191462606,0.6808510638297872,0.1276595744680851,0.031914893617021274,0.6808510638297872,0.28456824640242573
ALL,videos,F5,188.0,-0.022220575684781488,-0.05956056109285178,0.017878859307874077,0.3829787234042553,0.05319148936170213,0.10638297872340426,0.6170212765957447,0.28456824640242573
ALL,videos,F6,188.0,0.02489249697389334,-0.014936490888781434,0.07744843702230118,0.6276595744680851,0.15425531914893617,0.026595744680851064,0.6276595744680851,0.28456824640242573
ALL,videos,F7,188.0,-0.017567534029947138,-0.069116180865399,0.018872451148003934,0.3723404255319149,0.06382978723404255,0.10106382978723404,0.6276595744680851,0.28456824640242573
ALL,videos,F8,188.0,-0.006556372351357153,-0.053274515956490645,0.034065084713730535,0.44680851063829785,0.05851063829787234,0.10638297872340426,0.5531914893617021,0.28456824640242573
ALL,videos,F9,188.0,0.01834095876312415,-0.020414892925911407,0.05961895706563067,0.6436170212765957,0.09574468085106383,0.03723404255319149,0.6436170212765957,0.28456824640242573
ALL,videos,curiosity_gap,185.0,0.008224392381435797,-0.022066147515139467,0.038279610574371445,0.5783783783783784,0.05405405405405406,0.010810810810810811,0.5783783783783784,0.28055965657339854
ALL,videos,humor,89.0,0.008198722308690787,-0.024915783966324462,0.025319611359123084,0.5280898876404494,0.10112359550561797,0.0449438202247191,0.5280898876404494,0.25362416775469265
ALL,videos,n_tokens,188.0,0.010025699546468994,-0.05066607599615097,0.06743399138724654,0.5478723404255319,0.1595744680851064,0.09574468085106383,0.5478723404255319,0.28456824640242573
ALL,videos,outrage,188.0,0.03841068319336448,0.003003627738422627,0.09418209428172816,0.7553191489361702,0.22872340425531915,0.005319148936170213,0.7553191489361702,0.28456824640242573
left,streams,F1,24.0,-0.0487551141379966,-0.08342539765000602,-0.009813842574378652,0.125,0.0,0.08333333333333333,0.875,0.389448678603354
