kind,entity,key,n_titles_balanced,share_of_balanced_titles,n_creators,share_by_group,outrage_share,overall_outrage_share,outrage_ratio,surface_forms
person,Trump,trump,7277,0.0402,197,left (5.6%); neutral (3.7%); right (2.2%),0.666,0.563,1.18,Trump (3754); Donald Trump (1021); Trump PANICS (405); Melania Trump (105)
person,Hegseth,hegseth,1054,0.0058,106,left (0.8%); neutral (0.7%); right (0.2%),0.578,0.563,1.03,Hegseth (525); Pete Hegseth (361); HEGSETH (9); Full Pete Hegseth (7)
person,Hormuz,hormuz,1041,0.0058,85,neutral (1.0%); left (0.5%); right (0.3%),0.492,0.563,0.87,Hormuz (987); HORMUZ (17); Reopen Hormuz (7); Will Hormuz (3)
person,Putin,putin,888,0.0049,62,neutral (0.9%); left (0.5%); right (0.1%),0.685,0.563,1.22,Putin (723); PUTIN (47); Vladimir Putin (42); Vladimir Putin LIVE (6)
person,JD Vance,vance,858,0.0047,120,left (0.5%); neutral (0.5%); right (0.4%),0.57,0.563,1.01,JD Vance (612); Vance (75); VP Vance (15); Joyce Vance (12)
person,Charlie Kirk,kirk,748,0.0041,116,right (0.8%); neutral (0.3%); left (0.2%),0.541,0.563,0.96,Charlie Kirk (538); Erika Kirk (132); Kirk (27); Charlie Kirk Show (9)
person,Mamdani,mamdani,718,0.004,112,right (0.7%); neutral (0.3%); left (0.2%),0.698,0.563,1.24,Mamdani (365); Zohran Mamdani (268); Zohran Mamdani LIVE (8); mamdani (4)
person,Netanyahu,netanyahu,708,0.0039,109,neutral (0.5%); left (0.5%); right (0.2%),0.733,0.563,1.3,Netanyahu (565); Benjamin Netanyahu (54); Bibi Netanyahu (7); Warns Netanyahu (6)
person,Lindsey Graham,graham,647,0.0036,124,left (0.4%); neutral (0.4%); right (0.3%),0.459,0.563,0.82,Lindsey Graham (470); Graham (71); Darline Graham (48); Franklin Graham (8)
person,Epstein,epstein,624,0.0034,108,left (0.4%); neutral (0.4%); right (0.2%),0.726,0.563,1.29,Epstein (387); Jeffrey Epstein (128); Trump’s Epstein (11); Trump Epstein (6)
person,Nancy Guthrie,guthrie,579,0.0032,33,neutral (0.7%); right (0.4%); left (0.0%),0.171,0.563,0.3,Nancy Guthrie (385); Guthrie (123); Savannah Guthrie (58); Annie Guthrie (4)
person,Kristi Noem,noem,536,0.003,103,left (0.5%); neutral (0.2%); right (0.2%),0.743,0.563,1.32,Kristi Noem (429); Noem (45); Barbie Kristi Noem (6); Bryon Noem (5)
person,Brian Shapiro,shapiro,515,0.0028,76,left (0.5%); right (0.1%); neutral (0.1%),0.757,0.563,1.34,Brian Shapiro (262); Ben Shapiro (170); Josh Shapiro (28); Shapiro (6)
person,Karoline Leavitt,leavitt,479,0.0026,53,left (0.3%); right (0.2%); neutral (0.2%),0.476,0.563,0.85,Karoline Leavitt (300); Leavitt (100); LEAVITT (13); Karoline Leavitt LIVE (13)
person,Mike Johnson,johnson,477,0.0026,87,left (0.3%); right (0.2%); neutral (0.2%),0.587,0.563,1.04,Mike Johnson (122); Larry Johnson (114); Johnson (75); Ron Johnson (44)
