feature,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,communality,F1_varimax,F2_varimax,F3_varimax,F4_varimax,F5_varimax,F6_varimax,F7_varimax,F8_varimax,F9_varimax,F10_varimax,F11_varimax,F12_varimax
n_chars_mean,-0.1861,0.2455,0.1629,0.0082,-0.0546,0.3024,0.0726,0.0935,-0.2115,0.2224,0.5499,0.0942,0.6353,-0.3705,0.2465,0.2282,-0.0162,0.3647,0.4711,0.0643,0.1886,0.3057,-0.2769,0.2057,0.2181
mean_word_len_mean,-0.1426,-0.3349,-0.0024,-0.1798,-0.1714,0.0984,0.3723,-0.2287,-0.1936,0.0349,0.1272,-0.1289,0.4663,-0.5294,0.0431,0.0009,-0.2216,0.0049,0.1391,-0.168,-0.2129,0.0735,-0.1719,-0.2984,-0.001
allcaps_word_share_mean,-0.1299,-0.0216,0.0567,-0.0195,-0.0769,0.0551,0.0192,0.012,0.9478,-0.0039,0.0158,-0.0132,0.9292,0.0111,0.4363,0.1546,-0.2549,0.0018,-0.1122,-0.0151,-0.0237,-0.07,0.837,-0.0672,-0.0254
has_allcaps_word_p100,-0.3104,0.0036,0.2813,0.0027,-0.1948,0.0764,-0.1214,0.0188,0.4733,0.0346,0.1529,-0.1651,0.5102,-0.036,0.561,0.337,-0.2997,-0.0583,0.0842,-0.0237,0.0149,0.0233,0.3721,-0.1207,0.0073
full_caps_title_p100,0.0434,0.0373,-0.0277,-0.024,-0.0059,0.067,0.0723,0.0061,0.8438,-0.0122,-0.0762,0.0429,0.7342,0.08,0.1958,0.0567,-0.1494,0.0623,-0.13,-0.0175,-0.0333,-0.0866,0.772,-0.0198,-0.0357
cap_token_share_mean,-0.2087,-0.176,-0.0211,-0.179,-0.0161,0.0723,-0.708,-0.0068,0.18,-0.0406,-0.0236,-0.0265,0.6492,0.1744,0.4351,-0.033,0.0147,-0.6207,0.1585,-0.201,0.0194,-0.0614,0.0712,0.1833,0.0195
q_mark_p100,-0.0503,0.0125,-0.0227,-0.05,0.4803,0.0912,-0.1009,0.0306,0.0337,0.0722,0.0633,0.069,0.2709,0.0265,0.0233,-0.0394,0.47,-0.0194,0.0718,-0.0361,0.0369,0.0686,-0.0087,0.1668,0.0474
excl_p100,-0.241,-0.0429,-0.069,0.0591,0.023,0.0361,-0.1234,-0.0623,0.2301,-0.0692,0.3108,-0.1603,0.2692,-0.0304,0.4718,-0.0232,-0.0175,-0.0713,0.0738,0.0326,-0.0472,-0.0531,0.1311,-0.0638,0.1784
multi_punct_p100,-0.1812,0.0036,-0.0069,0.0893,0.0528,-0.0161,-0.0761,-0.0174,0.217,-0.1482,0.1892,-0.0752,0.1605,0.0255,0.3268,0.0244,0.0082,-0.0272,-0.0254,0.0708,-0.0219,-0.1382,0.1536,-0.0324,0.0917
colon_p100,0.0006,-0.0348,0.795,-0.1216,-0.0202,-0.0071,-0.0114,-0.0215,-0.0439,0.1803,0.0221,0.1001,0.694,-0.1771,-0.0962,0.7824,-0.06,0.0372,0.0702,-0.0554,0.0049,0.1758,-0.0469,0.0435,-0.0217
