feature,family,text,definition,aggregation
n_chars,length,norm,characters,mean (_mean)
n_tokens,length,norm,word tokens,mean (_mean)
mean_word_len,length,norm,mean characters per word token,mean (_mean)
n_chars_raw,length,raw,characters of the raw title,mean (_mean)
allcaps_word_share,case,norm,share of 2+-letter words in ALL CAPS,mean (_mean)
has_allcaps_word,case,norm,any 3+-letter ALL-CAPS word,rate per 100 titles (_p100)
full_caps_title,case,norm,>60% of words ALL CAPS,rate per 100 titles (_p100)
cap_token_share,case,norm,share of non-initial words starting upper-case (title-case tendency),mean (_mean)
lowercase_start,case,norm,first letter lower-case,rate per 100 titles (_p100)
q_mark,punctuation,norm,contains ?,rate per 100 titles (_p100)
excl,punctuation,norm,contains !,rate per 100 titles (_p100)
multi_punct,punctuation,norm,!! ?? ?! runs,rate per 100 titles (_p100)
colon,punctuation,norm,contains :,rate per 100 titles (_p100)
pipe,punctuation,norm,contains | (after brand stripping),rate per 100 titles (_p100)
ellipsis,punctuation,norm,.. ... or …,rate per 100 titles (_p100)
trailing_ellipsis,punctuation,norm,ends with an ellipsis,rate per 100 titles (_p100)
quotes,punctuation,norm,double or paired single quotes,rate per 100 titles (_p100)
brackets,punctuation,norm,( ) [ ],rate per 100 titles (_p100)
dash,punctuation,norm,spaced dash or em dash,rate per 100 titles (_p100)
emoji_count,punctuation,norm,emoji characters,rate per 100 titles (_p100)
emoji,punctuation,norm,any emoji,rate per 100 titles (_p100)
digit,punctuation,norm,any digit,rate per 100 titles (_p100)
dollar,punctuation,norm,$,rate per 100 titles (_p100)
percent,punctuation,norm,%,rate per 100 titles (_p100)
comma,punctuation,norm,",",rate per 100 titles (_p100)
period_end,punctuation,norm,ends with a full stop,rate per 100 titles (_p100)
year_mention,punctuation,norm,a 19xx/20xx year,rate per 100 titles (_p100)
hashtag,punctuation,raw,#tag (raw),rate per 100 titles (_p100)
at_mention,punctuation,raw,@handle (raw),rate per 100 titles (_p100)
first_sg,address,norm,I / me / my ...,rate per 100 titles (_p100)
first_pl,address,norm,we / us / our / let's,rate per 100 titles (_p100)
second_person,address,norm,you / your ...,rate per 100 titles (_p100)
contraction,address,norm,count of n't / 're / 've / 'll / 'd / 'm / it's-type contractions,rate per 100 titles (_p100)
imperative,address,norm,first word in the imperative lexicon or a base-form verb,rate per 100 titles (_p100)
q_word_start,address,norm,starts with a question word or auxiliary,rate per 100 titles (_p100)
wh_any,address,norm,any wh-word,rate per 100 titles (_p100)
intensifier,lexicon,norm,"count, lexicons.INTENSIFIERS",rate per 100 titles (_p100)
superlative,lexicon,norm,"count, lexicons.SUPERLATIVES + JJS/RBS tags",rate per 100 titles (_p100)
shock_word,lexicon,norm,"count, lexicons.SHOCK_WORDS",rate per 100 titles (_p100)
pos_eval,lexicon,norm,"count, lexicons.POS_EVAL",rate per 100 titles (_p100)
neg_eval,lexicon,norm,"count, lexicons.NEG_EVAL",rate per 100 titles (_p100)
negation,lexicon,norm,any word in lexicons.NEGATION,rate per 100 titles (_p100)
violence_verb,lexicon,norm,"count, lexicons.VIOLENCE_VERBS + VIOLENCE_PHRASES (slams, destroys, exposed ...)",rate per 100 titles (_p100)
hedge,lexicon,norm,any word in lexicons.HEDGES,rate per 100 titles (_p100)
discourse_marker,lexicon,norm,"any word in lexicons.DISCOURSE (let's, chat, okay, lol ...)",rate per 100 titles (_p100)
nominalisation,lexicon,norm,count of -tion/-sion/-ment/-ness/-ity/-ance/-ence/-ism/-ship/-hood words (7+ letters),rate per 100 titles (_p100)
n_person,entities,norm (truecased for NER),PERSON entities,rate per 100 titles (_p100)
n_org,entities,norm (truecased for NER),ORG entities,rate per 100 titles (_p100)
n_gpe,entities,norm (truecased for NER),GPE/NORP/LOC entities,rate per 100 titles (_p100)
has_person,entities,norm (truecased for NER),any PERSON entity,rate per 100 titles (_p100)
entity_first,entities,norm (truecased for NER),title starts with a named entity,rate per 100 titles (_p100)
how_to,markers,norm,'how to' / 'how I/we/you',rate per 100 titles (_p100)
explainer,markers,norm,explained / explainer / breakdown / what is / the truth about ...,rate per 100 titles (_p100)
why_marker,markers,norm,"starts with why, or 'reason'",rate per 100 titles (_p100)
curiosity_lex,markers,norm,"lexicons.CURIOSITY_PHRASES (here's why, you won't believe, this is insane ...)",rate per 100 titles (_p100)
fwd_ref_start,markers,norm,starts with this/he/they/... and names no entity,rate per 100 titles (_p100)
listicle,markers,norm,N things/reasons/ways ...,rate per 100 titles (_p100)
reaction_lex,markers,norm,reacts to / responds to / reaction,rate per 100 titles (_p100)
interview_lex,markers,norm,with / w/ / ft. / joins / interview,rate per 100 titles (_p100)
confrontation_lex,markers,norm,vs / debate / destroys / owns / clash ...,rate per 100 titles (_p100)
lead_colon_label,raw_structure,raw,"leading ALL-CAPS label followed by a colon (BREAKING:, LIVE:)",rate per 100 titles (_p100)
lead_breaking,raw_structure,raw,starts with BREAKING / JUST IN / DEVELOPING / ALERT / URGENT / EXCLUSIVE,rate per 100 titles (_p100)
lead_live,raw_structure,raw,starts with LIVE / WATCH / REPLAY,rate per 100 titles (_p100)
pipe_segments_raw,raw_structure,raw,number of |-separated segments of the raw title,mean (_mean)
colon_segments_raw,raw_structure,raw,colons in the raw title,mean (_mean)
brackets_raw,raw_structure,raw,brackets in the raw title,rate per 100 titles (_p100)
brand_stripped,raw_structure,raw,a brand/episode/date pattern was stripped from this title,rate per 100 titles (_p100)
episode_raw,raw_structure,raw,episode number in the raw title,rate per 100 titles (_p100)
date_raw,raw_structure,raw,date stamp in the raw title,rate per 100 titles (_p100)
quoted_speech,raw_structure,norm,a quoted span of 2+ words,rate per 100 titles (_p100)
