category,scope,creator,title
question,corpus,@ABCNews,How Sysco acquiring Restaurant Depot could shake up the food industry
question,corpus,@nytimes,How Americans Are Struggling With Rising Healthcare Costs
question,corpus,@SkyNews,Is Trump about to bring down NATO? | Trump100
question,left,@nytimes,How Americans Are Struggling With Rising Healthcare Costs
question,left,@SkyNews,Is Trump about to bring down NATO? | Trump100
question,left,@LegalAFMTN,Trump ORDERS DOJ to Not Produce Handwritten Notes of his Alleged 13 year old Abuse Victim?!?
question,neutral,@ABCNews,How Sysco acquiring Restaurant Depot could shake up the food industry
question,neutral,@TechCrunch,How a Crisis Turned Julia Hartz Into the CEO Eventbrite Needed l Build Mode
question,neutral,@BBCNews,Is social media having its 'Big Tobacco' moment?  | The Global Story
question,right,@FoxNews,‘The Five’: Are Gen Z women turning SOUR on men?
question,right,@NewsmaxTV,'Allahu Akbar'-yelling maniac stabs people: 'What did you think was going to happen?' | Finnerty
question,right,@StevenCrowder,Is She Lying
breaking_live,corpus,@StatusCoup,BREAKING: LIVE ICE Protests as Lawsuit Filed to SHUT DOWN Delaney Hall ICE Prison
breaking_live,corpus,@TimesNowWorld,FRANCE WILDFIRE LIVE | Mega-Fire 4x Size Of Paris Out Of Control Near Bordeaux | TIMES NOW WORLD
breaking_live,corpus,@Firstpost,"LIVE: 'US Aims For $1.5 Trillion Defence Budget,' Says Hegseth at NATO Defence Ministers' Meet"
breaking_live,left,@StatusCoup,BREAKING: LIVE ICE Protests as Lawsuit Filed to SHUT DOWN Delaney Hall ICE Prison
breaking_live,left,@timesofindia,BREAKING: 150+ U.S. Soldiers Suffer Traumatic Brain Injuries In Iran Attacks | Toll Crosses 600
breaking_live,left,@MeidasTouch,LIVE: Trump TORCHED as WORLD STRIKES BACK in Davos
breaking_live,neutral,@TimesNowWorld,FRANCE WILDFIRE LIVE | Mega-Fire 4x Size Of Paris Out Of Control Near Bordeaux | TIMES NOW WORLD
breaking_live,neutral,@Firstpost,"LIVE: 'US Aims For $1.5 Trillion Defence Budget,' Says Hegseth at NATO Defence Ministers' Meet"
breaking_live,neutral,@ANINewsIndia,LIVE: FM Nirmala Sitharaman LIVE: 37th Foundation Day of Sidbi | India | Banking |Economy
breaking_live,right,https://rumble.com/c/TheAlexJonesShowLive,EXCLUSIVE GEOPOLITICAL UPDATE: WORLD AT WAR!
breaking_live,right,@FoxNews,JUST IN: US military FIRES on Iranian oil tanker trying to break blockade
breaking_live,right,@TheOfficerTatum,LIVE: Nolan Wells Family Attorney CAUGHT LYING In NEW Press Conference? | Officer Tatum Show EP 345
episode_show,corpus,@markets,Micron Earnings Spark Global Tech Rebound | Daybreak Europe 6/25/2026
episode_show,corpus,@TheDamageReport,"The Damage Report: April 20, 2026"
episode_show,corpus,@ABCNews,"Vance Warns Pope To ""Be Careful"" On Theology - What You Need To Know - April 15th, 2026"
episode_show,left,@TheDamageReport,"The Damage Report: April 20, 2026"
episode_show,left,@TheYoungTurks,"TYT Hour 2: June 2, 2026"
episode_show,left,@LukeBeasley,SHE'S SPEAKING OUT - Members Only Bonus Show 03/19/2026
episode_show,neutral,@markets,Micron Earnings Spark Global Tech Rebound | Daybreak Europe 6/25/2026
episode_show,neutral,@ABCNews,"Vance Warns Pope To ""Be Careful"" On Theology - What You Need To Know - April 15th, 2026"
episode_show,neutral,@joerogan,Joe Rogan Experience #2552 - Ehsan Ahmad & Deric Poston
episode_show,right,@RealDanBongino,Shake Up At the DOJ (Ep. 2488)
episode_show,right,@jlptalk,"Are You an Outlaw? | ""In the Name of Jesus."" Why Pray? Pretend God Is Real | JLP Thu 8/27/26"
episode_show,right,@RSBN,WATCH: Senator Grassley Delivers His Opening Statement in the Oversight Hearing - 03/03/26
interview_guest,corpus,@underthedesknews,FULL TOP STORY: Sen. Graham Conspired w/ Israel to DESTROY the International Criminal Court
interview_guest,corpus,@NBCNews,Father reunites with five daughters after months overseas
interview_guest,corpus,@timesofindia,"‘Taco Welcome’: Barred From US, Iran Football Boss Joins Emotional Mexico Crowd | FIFA World Cup"
interview_guest,left,@underthedesknews,FULL TOP STORY: Sen. Graham Conspired w/ Israel to DESTROY the International Criminal Court
interview_guest,left,@timesofindia,"‘Taco Welcome’: Barred From US, Iran Football Boss Joins Emotional Mexico Crowd | FIFA World Cup"
interview_guest,left,@podsaveamerica,"Can We Ever Trust the Polls? (w/ Nate Silver, Clare Malone & Galen Druke)"
interview_guest,neutral,@NBCNews,Father reunites with five daughters after months overseas
interview_guest,neutral,@ABCNews,Behind the scenes with Jennifer Lopez as she prepares for her Las Vegas residency
interview_guest,neutral,@CBSNews,Nancy Guthrie's family renews plea with potential abductors after ransom deadline passes
interview_guest,right,@NewsmaxTV,Iran’s actions with Hormuz could signal China to follow suit: Robert Wilkie | Wake Up America
interview_guest,right,@RSBN,FULL SPEECH: VP Vance Fires Up Bangor Maine Crowd with Powerful Remarks - 05/14/26
interview_guest,right,@RealAmericasVoice,IRAN ROCKETS & WAR UPDATES: METAXAS REVOLUTION BOOK W/ TONY LYONS | WAR ROOM AM W STEVE BANNON
reaction,corpus,@Firstpost,US-Iran War Ceasefire LIVE: Iranians and Americans Reacts to Trump's Ceasefire Announcement | N18G
reaction,corpus,@wethefifth,Media Insiders React to the Scott Pelley 60 Minutes Drama - The Fifth Column
reaction,corpus,@msnow,'This is about Trump': Elections expert reacts to Virginia redistricting measure passing
reaction,left,@msnow,'This is about Trump': Elections expert reacts to Virginia redistricting measure passing
reaction,left,@HasanReactionsfanTwo,Luigi Mangione Pleads GUILTY | Hasanabi Reacts
reaction,left,@TheYoungTurks,"Kristi Noem OUT, Cenk & Ana React"
reaction,neutral,@Firstpost,US-Iran War Ceasefire LIVE: Iranians and Americans Reacts to Trump's Ceasefire Announcement | N18G
reaction,neutral,@wethefifth,Media Insiders React to the Scott Pelley 60 Minutes Drama - The Fifth Column
reaction,neutral,@ANINewsIndia,"Former HM Chidambaram delivers fiery 12-minute response to Union Budget 2026, slams key policies"
reaction,right,@JustPearlyThings,Reacting to Red Pill Crowder  He's Almost There. . .Almost
reaction,right,@ThePodcastoftheLotusEaters,Farage Responds to Restore
reaction,right,@bennyjohnson,"Greta Throws Unhinged Meltdown to Save Communist Cuba, Internet Reacts... 😂"
confrontation,corpus,@Firstpost,Red Fort Attack LIVE: Pakistan's Terror Lies Busted As JeM’s Hand Emerge in Lal Qila Blast
