creator,genre,n_unique,question,breaking_live,episode_show,interview_guest,reaction,confrontation,listicle,howto_explainer,curiosity_gap,outrage,humor,low_n,group,organisation,clipper,level,n_creators
@60minutes,videos,325.0,0.08923076923076922,0.003076923076923077,0.003076923076923077,0.05846153846153846,0.003076923076923077,0.012307692307692308,0.0,0.024615384615384615,0.012307692307692308,0.11692307692307692,0.0,False,neutral,CBS News,False,creator,
@ABCNews,streams,590.0,0.0,0.8728813559322034,0.0,0.04915254237288136,0.003389830508474576,0.006779661016949152,0.0,0.0,0.010169491525423728,0.05084745762711865,0.0,False,neutral,ABC News,False,creator,
@ABCNews,videos,7971.0,0.04767281395057082,0.003763643206624012,0.14138752979550873,0.10186927612595659,0.011040020072763768,0.026094592899259816,0.00012545477355413375,0.057583741061347386,0.010663655752101367,0.2201731275875047,0.0003763643206624012,False,neutral,ABC News,False,creator,
@ANINewsIndia,streams,7579.0,0.002111096450719092,0.7312310331178256,0.0,0.08035360865549544,0.019923472753661433,0.04354136429608128,0.0,0.002374983507058979,0.07058978757091965,0.2479218894313234,0.0002638870563398865,False,neutral,ANI,False,creator,
@ANINewsIndia,videos,12279.0,0.04910823356950892,0.07280723185927193,0.0016287971333170453,0.1008225425523251,0.023780438146428863,0.0593696555094063,0.002117436273312159,0.022558840296441077,0.024269077286423975,0.37372750223959605,0.0003257594266634091,False,neutral,ANI,False,creator,
@ActualJusticeWarrior,streams,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,right,Actual Justice Warrior,False,creator,
@ActualJusticeWarrior,videos,392.0,0.007653061224489796,0.0,0.0,0.02295918367346939,0.0,0.14285714285714285,0.0,0.012755102040816327,0.00510204081632653,0.8801020408163265,0.0,False,right,Actual Justice Warrior,False,creator,
@AfterPartyEmily,streams,74.0,0.10810810810810811,0.013513513513513514,0.0,0.5945945945945946,0.013513513513513514,0.22972972972972974,0.0,0.08108108108108109,0.013513513513513514,0.4189189189189189,0.0,False,right,Emily Jashinsky,False,creator,
@AfterPartyEmily,videos,410.0,0.29024390243902437,0.01707317073170732,0.0,0.5097560975609756,0.014634146341463415,0.1073170731707317,0.0,0.3097560975609756,0.01707317073170732,0.5073170731707317,0.0024390243902439024,False,right,Emily Jashinsky,False,creator,
@AlexStein99,streams,41.0,0.1951219512195122,0.0,0.0,0.6097560975609756,0.024390243902439025,0.07317073170731707,0.0,0.07317073170731707,0.04878048780487805,0.24390243902439024,0.0,True,right,Alex Stein,False,creator,
@AlexStein99,videos,87.0,0.10344827586206896,0.011494252873563218,0.0,0.06896551724137931,0.011494252873563218,0.06896551724137931,0.0,0.04597701149425287,0.011494252873563218,0.4367816091954023,0.0,False,right,Alex Stein,False,creator,
@AnaEscobarShow,streams,31.0,0.2903225806451613,0.0,0.0,0.0967741935483871,0.03225806451612903,0.03225806451612903,0.0,0.22580645161290322,0.06451612903225806,0.12903225806451613,0.0,True,right,Ana Escobar,False,creator,
@AnaEscobarShow,videos,32.0,0.40625,0.03125,0.0,0.0625,0.03125,0.0625,0.0,0.3125,0.21875,0.375,0.0,True,right,Ana Escobar,False,creator,
@AndWeKnowOfficial-o9b,videos,185.0,0.17297297297297298,0.0,1.0,0.032432432432432434,0.005405405405405406,0.06486486486486487,0.0,0.03783783783783784,0.04864864864864865,0.7945945945945946,0.0,False,right,And We Know,False,creator,
@AndrewKlavan,streams,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,True,right,Daily Wire,False,creator,
@AndrewKlavan,videos,196.0,0.3163265306122449,0.00510204081632653,0.2193877551020408,0.1989795918367347,0.05102040816326531,0.04591836734693878,0.0,0.18877551020408162,0.025510204081632654,0.3163265306122449,0.04081632653061224,False,right,Daily Wire,False,creator,
@AnthonyBrianLogan,streams,52.0,0.09615384615384616,1.0,0.0,0.0,0.038461538461538464,0.21153846153846154,0.0,0.0,0.038461538461538464,0.5,0.0,False,right,Anthony Brian Logan,False,creator,
@AnthonyBrianLogan,videos,248.0,0.13709677419354838,0.06854838709677419,0.06854838709677419,0.05241935483870968,0.004032258064516129,0.056451612903225805,0.0,0.028225806451612902,0.04435483870967742,0.7620967741935484,0.0,False,right,Anthony Brian Logan,False,creator,
@AsmonTV,videos,875.0,0.06285714285714286,0.0,0.0,0.016,0.005714285714285714,0.012571428571428572,0.0,0.02057142857142857,0.144,0.49257142857142855,0.006857142857142857,False,right,Asmongold,True,creator,
@AssociatedPress,streams,1151.0,0.0,0.9834926151172894,0.0017376194613379669,0.05647263249348393,0.0069504778453518675,0.06168549087749783,0.0,0.0026064291920069507,0.02432667245873154,0.10165073848827107,0.0008688097306689834,False,neutral,Associated Press,False,creator,
@AssociatedPress,videos,5572.0,0.0208183776022972,0.004307250538406317,0.0017946877243359654,0.07788944723618091,0.029971284996410625,0.036791098348887295,0.0005384063173007897,0.014357501794687724,0.01256281407035176,0.29971284996410624,0.0014357501794687725,False,neutral,Associated Press,False,creator,
@BBCNews,videos,2440.0,0.2913934426229508,0.002459016393442623,0.0,0.075,0.009836065573770493,0.018852459016393444,0.0,0.09754098360655737,0.056557377049180325,0.31434426229508194,0.0,False,neutral,BBC,False,creator,
@BadEmpanadaLive,streams,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,left,BadEmpanada,False,creator,
@BadEmpanadaLive,videos,298.0,0.16778523489932887,0.0,0.0,0.030201342281879196,0.010067114093959731,0.03691275167785235,0.0,0.02348993288590604,0.050335570469798654,0.697986577181208,0.003355704697986577,False,left,BadEmpanada,False,creator,
@BadFaithPodcast,streams,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,True,left,Bad Faith,False,creator,
@BadFaithPodcast,videos,81.0,0.32098765432098764,0.024691358024691357,0.0,0.9012345679012346,0.0,0.12345679012345678,0.0,0.06172839506172839,0.024691358024691357,0.5185185185185185,0.0,False,left,Bad Faith,False,creator,
@BelleRanch,videos,822.0,0.0012165450121654502,0.0036496350364963502,0.0,0.031630170316301706,0.004866180048661801,0.031630170316301706,0.004866180048661801,0.0413625304136253,0.08394160583941605,0.19951338199513383,0.0024330900243309003,False,left,Belle of the Ranch,False,creator,
@BenShapiro,streams,17.0,0.17647058823529413,0.17647058823529413,0.0,0.058823529411764705,0.0,0.058823529411764705,0.0,0.11764705882352941,0.0,0.5294117647058824,0.058823529411764705,True,right,Daily Wire,False,creator,
@BenShapiro,videos,525.0,0.16,0.013333333333333334,0.0038095238095238095,0.02095238095238095,0.05333333333333334,0.05904761904761905,0.0038095238095238095,0.10857142857142857,0.0380952380952381,0.6133333333333333,0.005714285714285714,False,right,Daily Wire,False,creator,
@BlackConservativePerspective,streams,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,right,Black Conservative Perspective,False,creator,
@BlackConservativePerspective,videos,1271.0,0.0007867820613690008,0.003147128245476003,0.0,0.11880409126671912,0.004720692368214005,0.1872541306058222,0.0,0.024390243902439025,0.011801730920535013,0.992918961447679,0.0015735641227380016,False,right,Black Conservative Perspective,False,creator,
@BlaireWhiteX,videos,11.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.7272727272727273,0.0,True,right,Blaire White,False,creator,
@BlazeTV,streams,14.0,0.21428571428571427,0.8571428571428571,0.07142857142857142,0.14285714285714285,0.0,0.07142857142857142,0.0,0.07142857142857142,0.0,0.0,0.0,True,right,Blaze Media,False,creator,
@BlazeTV,videos,868.0,0.21658986175115208,0.019585253456221197,0.004608294930875576,0.09331797235023041,0.02880184331797235,0.08870967741935484,0.0,0.15898617511520738,0.04723502304147465,0.7350230414746544,0.0,False,right,Blaze Media,False,creator,
@BreakThroughNews,streams,57.0,0.21052631578947367,0.5964912280701754,0.0,0.12280701754385964,0.0,0.07017543859649122,0.0,0.05263157894736842,0.017543859649122806,0.631578947368421,0.0,False,left,BreakThrough News,False,creator,
@BreakThroughNews,videos,242.0,0.256198347107438,0.0,0.02066115702479339,0.30578512396694213,0.012396694214876033,0.06198347107438017,0.0,0.15702479338842976,0.012396694214876033,0.6074380165289256,0.0,False,left,BreakThrough News,False,creator,
@BrittanyVenti,streams,19.0,0.2631578947368421,0.0,0.0,0.05263157894736842,0.0,0.10526315789473684,0.0,0.05263157894736842,0.10526315789473684,0.7368421052631579,0.0,True,neutral,Brittany Venti,False,creator,
@BrittanyVenti,videos,55.0,0.2,0.0,0.0,0.07272727272727272,0.03636363636363636,0.10909090909090909,0.0,0.12727272727272726,0.01818181818181818,0.45454545454545453,0.0,False,neutral,Brittany Venti,False,creator,
@CBSNews,streams,368.0,0.0,0.010869565217391304,0.0,0.08695652173913043,0.008152173913043478,0.010869565217391304,0.0,0.008152173913043478,0.008152173913043478,0.14130434782608695,0.0,False,neutral,CBS News,False,creator,
@CBSNews,videos,8322.0,0.08856044220139389,0.04313866858928142,0.0002403268445085316,0.07810622446527277,0.03568853640951694,0.037611151165585194,0.0002403268445085316,0.04830569574621485,0.01285748618120644,0.25006008171112715,0.0,False,neutral,CBS News,False,creator,
@CNN,streams,94.0,0.0,0.0,0.0,0.0851063829787234,0.010638297872340425,0.02127659574468085,0.0,0.02127659574468085,0.010638297872340425,0.0851063829787234,0.0,False,left,CNN,False,creator,
@CNN,videos,1757.0,0.1906659077973819,0.0022766078542970974,0.0005691519635742744,0.05293113261240751,0.05748434832100171,0.06772908366533864,0.003414911781445646,0.08708025042686397,0.015367103016505406,0.3597040409789414,0.00398406374501992,False,left,CNN,False,creator,
@CamHigby,streams,59.0,0.01694915254237288,0.3728813559322034,0.01694915254237288,0.15254237288135594,0.0,0.2711864406779661,0.0,0.0,0.01694915254237288,0.6779661016949152,0.0,False,right,Cam Higby,False,creator,
@CamHigby,videos,186.0,0.010752688172043012,0.03763440860215054,0.0,0.04838709677419355,0.005376344086021506,0.1774193548387097,0.0,0.07526881720430108,0.026881720430107527,0.8118279569892473,0.0,False,right,Cam Higby,False,creator,
@CashJordan,videos,299.0,0.0,0.016722408026755852,0.0,0.010033444816053512,0.006688963210702341,0.020066889632107024,0.0,0.0,0.06354515050167224,0.9832775919732442,0.0,False,right,Cash Jordan,False,creator,
@CaspianReport,videos,25.0,0.72,0.0,0.0,0.08,0.0,0.04,0.0,0.36,0.08,0.48,0.0,True,neutral,CaspianReport,False,creator,
