genre,titles,group,n_creators,within_group_distance,between_group_distance,cohesion_ratio
videos,all,left,105,4.621,4.575,1.01
videos,all,neutral,37,4.643,4.721,0.984
videos,all,right,95,4.317,4.544,0.95
videos,political,left,104,4.611,4.575,1.008
videos,political,neutral,35,4.748,4.789,0.992
videos,political,right,91,4.275,4.54,0.942
streams,all,left,33,4.436,4.678,0.948
streams,all,neutral,16,4.071,4.632,0.879
streams,all,right,28,5.118,4.826,1.06
streams,political,left,33,4.386,4.688,0.936
streams,political,neutral,15,4.244,4.737,0.896
streams,political,right,28,5.06,4.826,1.048
