creator,genre,n_videos,median_views,mean_views,gini,top10_share,top1_share,alpha,xmin,n_tail,lr_vs_lognormal,lr_p,powerlaw_like,zipf_views_all,zipf_views_head,group,organisation,clipper,subscribers,F1_controlled,F2_controlled,F3_controlled,F4_controlled,F5_controlled,F6_controlled,F7_controlled,F8_controlled,F9_controlled,F10_controlled,F11_controlled,F12_controlled,curiosity_gap,outrage,humor
@60minutes,videos,321,76000.0,258577.8816199377,0.6933872529152628,0.5353750143066256,0.12409115278271399,1.9264044199503485,136000.0,134,-2.4654212430825146,0.013685225673254824,False,1.4888276542830854,0.46716241647007567,neutral,CBS News,False,4170000.0,0.8653153128943453,-0.4999310404836011,-0.3123872947623032,-0.0083258176723846,0.3061763076287916,-0.375807263901558,0.8466510877478002,1.962657047494581,-0.2481904522206303,0.0836213814299313,-0.71826174130486,-0.4398483133343272,0.0123076923076923,0.1169230769230769,0.0
@ABCNews,streams,626,42000.0,64175.23961661342,0.5590090169222898,0.45109113673871215,0.15681901343416216,2.546537049860118,41000.0,326,-0.3761862525625483,0.7067784349435573,False,0.9805167444395209,0.7764409975434372,neutral,ABC News,False,19800000.0,0.2407346043136153,1.6708272317318271,2.620566223065133,-0.1555325627307248,-0.1404106953078361,0.2841756578848714,0.0329081349992168,-1.4667949080864116,0.4509856392198973,-0.682222518240348,-0.5500245618364251,-0.2570003257757188,0.0101694915254237,0.0508474576271186,0.0
@ABCNews,videos,8002,22000.0,103439.2855536116,0.7731647875102088,0.6778212580267203,0.1854489251472721,1.919391216422657,60000.0,2407,-5.971399782353789,2.3522653956883123e-09,False,1.5484271301659844,0.6338784038837261,neutral,ABC News,False,19800000.0,0.6939130909902936,0.1240117273146245,-0.639873529117817,-0.168404932908581,0.072949676564472,-0.5575460970941757,1.309352000442203,-0.3024805648592412,-0.546314121340153,0.1197204594406192,0.0901216274199587,-0.2134037899804111,0.0106636557521013,0.2201731275875047,0.0003763643206624
@ANINewsIndia,streams,7717,2600.0,8302.006738369833,0.7098309101877206,0.6184347016711644,0.2656454957659208,2.5081690768468428,49000.0,202,-0.4782003467087936,0.6325076157817447,False,1.1549392314992644,0.7480509133984429,neutral,ANI,False,9760000.0,0.0256499365921001,0.0235655963450153,1.645857782607837,0.0316498885576112,-0.2680879836026779,0.6551301879044809,0.2525564801925267,-0.0426344981519211,-0.0864867126449811,-0.4721337166602899,0.0048938865176645,0.1601685071170502,0.0705897875709196,0.2479218894313234,0.0002638870563398
@ANINewsIndia,videos,12296,3600.0,18146.357839947952,0.7933624520570275,0.707814670506765,0.29518981639637115,2.396929285884653,102000.0,421,-1.9523078215305527,0.05090166940507766,False,1.4742216885625463,0.7789842907708291,neutral,ANI,False,9760000.0,0.3242426531677205,0.6648272134084616,-0.8603473947184501,-0.0193447920133817,-0.1505198441994541,0.1705514894951615,0.8523331900556501,0.0896878980569082,-0.1159172059126952,1.2175600446709232,0.7090275493738755,0.2607702945757382,0.0242690772864239,0.373727502239596,0.0003257594266634
@ActualJusticeWarrior,videos,392,62000.0,81486.47959183673,0.3422557327300933,0.27079739658826585,0.050402752428567406,2.891923870240862,65000.0,191,-2.4842410539008215,0.012982789156792171,False,0.5794093727050754,0.3078559064826282,right,Actual Justice Warrior,False,517000.0,-1.120746098246488,-1.1824493121797637,-0.7091773673838138,-0.7114931735602594,-0.7758872810166452,-0.4313713611412621,-0.1701396658410346,-0.6745681411231502,-0.0799036668755199,-0.7571382571128185,-0.7352863743886068,-0.6765786529398031,0.0051020408163265,0.8801020408163265,0.0
@AfterPartyEmily,videos,410,16000.0,28685.175609756097,0.5583863752244976,0.41561367382591263,0.13459829084828553,2.9808408780655355,49000.0,67,-0.27897090500487753,0.7802671531415087,False,1.0186847157262005,0.5381418921490888,right,Emily Jashinsky,False,145000.0,-0.202596141601952,0.4795015284316584,-0.1474064004321375,0.0173453873024866,2.1643474480856755,1.1521849423998087,-0.6640031396593354,-0.1011754094188714,-0.976888221862465,-0.0192598808007156,1.0549537775324116,-0.2864961875058683,0.0170731707317073,0.5073170731707317,0.0024390243902439
@AndWeKnowOfficial-o9b,videos,185,5000.0,4961.4162162162165,0.2561941861718952,0.18630251606450643,0.023968744756837083,2.9941957969922472,3400.0,146,-5.184391598150565,2.1672115109088072e-07,False,0.4746057138041071,0.14517009571022882,right,And We Know,False,16100.0,1.0183744447264556,-0.2342300875895244,-0.2109502275096351,-0.0204253857220366,-0.9617634107149792,-0.1070552550146836,0.0940541528783134,0.6412776473116825,2.54480298859512,-0.5571286588308533,4.467156444754448,0.3463527319495007,0.0486486486486486,0.7945945945945946,0.0
@AndrewKlavan,videos,196,14000.0,24233.163265306124,0.5502097232349368,0.4210792260563825,0.08842663747184033,2.38482556318288,17000.0,91,-0.9540845224564349,0.3400408599470691,False,1.0195237316940755,0.3938747508806334,right,Daily Wire,False,813000.0,0.4815465546358631,-0.3006223845143976,-0.3568940999279657,-0.2816582773055581,1.960740782600427,-0.5681850671965358,-0.6993755982739828,-0.2378787780149886,-0.2573426474222532,-0.7842644573934112,-0.1008641967790481,0.242753615488843,0.0255102040816326,0.3163265306122449,0.0408163265306122
@AnthonyBrianLogan,videos,248,14500.0,21791.129032258064,0.4726071776909477,0.36379112542096886,0.11546574886199623,2.7748161360318173,20000.0,90,-0.4807381181001466,0.6307026360564552,False,0.8513667380310765,0.6075140602063999,right,Anthony Brian Logan,False,1080000.0,-0.0802550581340303,-0.3430904652106215,-0.5576107107268198,-0.3135649934614407,-0.3402052840588649,-0.0367984703970849,-0.8234922545175807,0.200626352955168,-0.0106496162009382,-0.5702378569757467,0.2266874283825413,-0.2224747277118862,0.0443548387096774,0.7620967741935484,0.0
