genre,titles,lane,n_creators,within_lane_distance,between_lane_distance,cohesion_ratio
videos,all,centrist_heterodox,10,3.981,4.398,0.905
videos,all,explainer_geopolitics,3,6.035,5.45,1.107
videos,all,humour_satire,6,3.785,4.307,0.879
videos,all,independent_digital_news,19,4.387,4.502,0.975
videos,all,interview_podcast,19,4.135,4.459,0.927
videos,all,left_commentary,40,4.586,4.64,0.988
videos,all,legal_institutional,8,4.186,4.302,0.973
videos,all,right_commentary,69,4.24,4.472,0.948
videos,all,right_tv_network,4,5.688,5.31,1.071
videos,all,streamer_reaction,23,3.741,4.333,0.863
videos,all,us_legacy_tv,9,3.302,4.926,0.67
videos,all,us_press_print_digital,18,4.138,4.588,0.902
videos,all,wire_international,11,5.147,5.29,0.973
videos,political,centrist_heterodox,10,4.044,4.428,0.913
videos,political,explainer_geopolitics,3,6.052,5.44,1.112
videos,political,humour_satire,6,3.719,4.277,0.869
videos,political,independent_digital_news,19,4.451,4.532,0.982
videos,political,interview_podcast,19,4.221,4.511,0.936
videos,political,left_commentary,40,4.563,4.637,0.984
videos,political,legal_institutional,8,4.196,4.309,0.974
videos,political,right_commentary,67,4.292,4.487,0.956
videos,political,right_tv_network,4,5.61,5.293,1.06
videos,political,streamer_reaction,22,3.348,4.203,0.797
videos,political,us_legacy_tv,9,3.49,5.012,0.696
videos,political,us_press_print_digital,17,4.034,4.605,0.876
videos,political,wire_international,10,5.052,5.381,0.939
streams,all,centrist_heterodox,2,3.0,4.0,0.75
streams,all,independent_digital_news,6,4.205,4.422,0.951
streams,all,interview_podcast,2,4.325,4.477,0.966
streams,all,left_commentary,18,4.683,4.707,0.995
streams,all,legal_institutional,3,3.285,4.549,0.722
streams,all,right_commentary,19,5.254,4.947,1.062
streams,all,right_tv_network,4,4.787,4.704,1.018
streams,all,streamer_reaction,6,4.638,4.596,1.009
streams,all,us_legacy_tv,7,3.654,4.853,0.753
streams,all,us_press_print_digital,4,3.205,4.374,0.733
streams,all,wire_international,7,4.41,4.736,0.931
streams,political,centrist_heterodox,2,2.928,3.993,0.733
streams,political,independent_digital_news,6,4.128,4.402,0.938
streams,political,interview_podcast,2,4.33,4.496,0.963
streams,political,left_commentary,18,4.644,4.705,0.987
streams,political,legal_institutional,2,4.89,4.883,1.002
streams,political,right_commentary,19,5.117,4.909,1.042
streams,political,right_tv_network,4,4.81,4.694,1.025
streams,political,streamer_reaction,5,4.587,4.664,0.984
streams,political,us_legacy_tv,7,3.85,5.019,0.767
streams,political,us_press_print_digital,4,3.122,4.363,0.716
streams,political,wire_international,7,4.429,4.739,0.934
