creator,channel_name,platform,lane,organisation,clipper,subscribers,n_videos,n_streams,low_n_videos,low_n_streams,note,status
@60minutes,60 Minutes,youtube,us_legacy_tv,CBS News,False,4170000.0,325,0,False,True,,proposed
@ABCNews,ABC News,youtube,us_legacy_tv,ABC News,False,19800000.0,7971,590,False,False,,proposed
@ANINewsIndia,ANI News,youtube,wire_international,ANI,False,9760000.0,12279,7579,False,False,India,proposed
@ActualJusticeWarrior,Actual Justice Warrior,youtube,right_commentary,Actual Justice Warrior,False,517000.0,392,1,False,True,,proposed
@AfterPartyEmily,After Party with Emily Jashinsky,youtube,right_commentary,Emily Jashinsky,False,145000.0,410,74,False,False,right-populist; formerly Breaking Points,proposed
@AlexStein99,Alex Stein,youtube,humour_satire,Alex Stein,False,369000.0,87,41,False,True,"prank comedian, right",proposed
@AnaEscobarShow,Ana Escobar,youtube,right_commentary,Ana Escobar,False,9440.0,32,31,True,True,,proposed
@AndWeKnowOfficial-o9b,And We Know Official,youtube,right_commentary,And We Know,False,16100.0,185,0,False,True,conspiracy,proposed
@AndrewKlavan,Andrew Klavan,youtube,right_commentary,Daily Wire,False,813000.0,196,3,False,True,,proposed
@AnthonyBrianLogan,Anthony Brian Logan,youtube,right_commentary,Anthony Brian Logan,False,1080000.0,248,52,False,False,,proposed
@AsmonTV,Asmongold TV,youtube,streamer_reaction,Asmongold,True,4690000.0,875,0,False,True,run by Daily Dose of Asmongold / CatDany per description; gaming + politics reaction,proposed
@AssociatedPress,Associated Press,youtube,wire_international,Associated Press,False,4650000.0,5572,1151,False,False,,proposed
@BBCNews,BBC News,youtube,wire_international,BBC,False,20100000.0,2440,0,False,True,,proposed
@BadEmpanadaLive,BadEmpanada Live,youtube,streamer_reaction,BadEmpanada,False,100000.0,298,1,False,True,,proposed
@BadFaithPodcast,Bad Faith,youtube,interview_podcast,Bad Faith,False,187000.0,81,1,False,True,left,proposed
@BelleRanch,Belle of the Ranch,youtube,left_commentary,Belle of the Ranch,False,877000.0,822,0,False,True,,proposed
@BenShapiro,Ben Shapiro,youtube,right_commentary,Daily Wire,False,6980000.0,525,17,False,True,,proposed
@BlackConservativePerspective,Black Conservative Perspective,youtube,right_commentary,Black Conservative Perspective,False,1000000.0,1271,1,False,True,,proposed
@BlaireWhiteX,Blaire White,youtube,right_commentary,Blaire White,False,1540000.0,11,0,True,True,culture,proposed
@BlazeTV,BlazeTV,youtube,right_commentary,Blaze Media,False,2230000.0,868,14,False,True,,proposed
@BreakThroughNews,BreakThrough News,youtube,independent_digital_news,BreakThrough News,False,1080000.0,242,57,False,False,left,proposed
@BrittanyVenti,Brittany Venti,youtube,right_commentary,Brittany Venti,False,241000.0,55,19,False,True,culture,proposed
@CBSNews,CBS News,youtube,us_legacy_tv,CBS News,False,7080000.0,8322,368,False,False,,proposed
@CNN,CNN,youtube,us_legacy_tv,CNN,False,19800000.0,1757,94,False,False,,proposed
@CamHigby,Cam Higby,youtube,right_commentary,Cam Higby,False,280000.0,186,59,False,False,debates,proposed
@CashJordan,Cash Jordan,youtube,right_commentary,Cash Jordan,False,1750000.0,299,0,False,True,,proposed
@CaspianReport,CaspianReport,youtube,explainer_geopolitics,CaspianReport,False,1850000.0,25,0,True,True,,proposed
@ChadPrather1,Chad Prather,youtube,right_commentary,Chad Prather,False,496000.0,160,201,False,False,faith + humour,proposed
@Channel5YouTube,Channel 5 with Andrew Callaghan,youtube,independent_digital_news,Channel 5,False,3700000.0,43,0,True,True,documentary journalism,proposed
@ClipsCandaceOwens,Candace Clips,youtube,right_commentary,Candace Owens,True,161000.0,192,0,False,True,official clips channel,proposed
