row_id,creator,lane,title_raw,label_pass1,label_shuffled
543,@AsmonTV,streamer_reaction,California is losing $180 BILLION..,neither,right
857,@AsmonTV,streamer_reaction,You won't see this on the mainstream news..,right,neither
953,@BenShapiro,right_commentary,One Year Since Charlie Kirk’s Murder... What The Hell Happened?!,right,neither
1229,@BenShapiro,right_commentary,The True Meaning of Memorial Day | Nick Freitas & Ben Shapiro,neither,right
1283,@BenShapiro,right_commentary,The Most Dangerous Power Grab in Modern American History,neither,left
1449,@BenShapiro,right_commentary,2026 SHOCK: Trump DEPOSES Maduro!,neither,right
1490,@ClipsCandaceOwens,right_commentary,"""I'm A Political Refugee"" | Candace x Stephen A",neither,right
1492,@ClipsCandaceOwens,right_commentary,Remembering Charlie: POWER,neither,right
1493,@ClipsCandaceOwens,right_commentary,Remembering Charlie: HOMECOMING,neither,right
1579,@ClipsCandaceOwens,right_commentary,Jared & Ivanka's Albanian Island | The Dark Truth,neither,left
1581,@ClipsCandaceOwens,right_commentary,The Timeline of Lies | The Charlie Kirk Case,neither,right
1599,@ClipsCandaceOwens,right_commentary,The October 7 Experience Is TERRIFIYING...,neither,right
1608,@ClipsCandaceOwens,right_commentary,Politics Has Changed Forever | Candace Owens x Dave Smith,neither,right
1626,@ClipsCandaceOwens,right_commentary,Erika Kirk CANNOT Get Her Story Straight...,neither,left
1641,@ClipsCandaceOwens,right_commentary,The Return of Post-9/11 Propaganda...,neither,left
1658,@ClipsCandaceOwens,right_commentary,Pam Bondi: YOU'RE FIRED!,neither,left
1659,@ClipsCandaceOwens,right_commentary,TPUSA’s Schrödinger’s Charlie Kirk Footage...,neither,left
1665,@ClipsCandaceOwens,right_commentary,They’re LYING About Tyler Robinson & Charlie Kirk...,right,neither
1892,@HasanAbi,streamer_reaction,SUSAN COLLINS IS DOOMED,left,neither
2052,@HasanAbi,streamer_reaction,ASMONGOLD IS WRONG ABOUT EVERYTHING,left,neither
2077,@HasanAbi,streamer_reaction,I'm Getting Canceled for Helping Cuba...,left,neither
2241,@HasanAbi,streamer_reaction,"ISRAEL IS WORKING WITH ""THE LEFT"" TO BAN ME?",neither,right
2275,@HasanAbi,streamer_reaction,BREAKING: NYC Is Now ‘Under Sharia Law’,left,right
2366,@HasanAbiVODs3,streamer_reaction,"HasanAbi July 31, 2026 – Michigan IRL w/ Abdul El-Sayed, Adam Hamawy &more; call w/ Donovan McKinney",neither,left
2379,@HasanAbiVODs3,streamer_reaction,"HasanAbi July 18, 2026 – speaking at the College Dems of America Convention, D.C. Day 2",left,neither
2388,@HasanAbiVODs3,streamer_reaction,"HasanAbi July 9, 2026 – Platner drops out, Texas ICE killing",neither,left
2444,@HasanAbiVODs3,streamer_reaction,"HasanAbi May 14, 2026 – Trump in China, Utah Rep. candidate Nate Blouin visits, CA Governors debate",neither,left
2451,@HasanAbiVODs3,streamer_reaction,"HasanAbi May 7, 2026 – In San Francisco, Rally w/ Saikat Chakrabarti",neither,left
2457,@HasanAbiVODs3,streamer_reaction,"HasanAbi May 1, 2026 – in St. Louis, Rally with Cori Bush",left,neither
2510,@LukeBeasley,left_commentary,Trump’s Family Just LEAKED HIS SECRET!,left,neither
2632,@LukeBeasley,left_commentary,Candace Owens Debate SHOCKS EVERYONE!,neither,right
3119,@LukeBeasley,left_commentary,INSANE Third Trump Term BOMBSHELL!,left,neither
3151,@LukeBeasley,left_commentary,"DEAR BARRON TRUMP, DON’T F*** WITH ME… OKAY?!",left,neither
3204,@LukeBeasley,left_commentary,"Alex Jones Staffer QUITS, LEAKS THIS DIRT ABOUT ALEX!",left,neither
3605,@LukeBeasley,left_commentary,EMERGENCY EPISODE: INVASION OF VENEZUELA - Members Only Main Show 01/03/2026,left,neither
3671,@LukeBeasley,left_commentary,OH SH*T: Tucker’s SHOCK SECRET CHAT With Bobby’s LOVER GOES PUBLIC!,left,neither
3930,@MattWalsh,right_commentary,Mothers Who Hate Their Kids Are Going VIRAL. Here's What I Think | Ep. 1829,right,neither
4039,@MattWalsh,right_commentary,We Did A Deep Dive Into Why U.S. Scientists Are Vanishing,neither,left
4066,@MattWalsh,right_commentary,What Schools Don't Teach You About American Indians,neither,left
4125,@MattWalsh,right_commentary,What Schools Don't Teach You About Slavery,neither,left
4238,@MegynKelly,right_commentary,Megyn Kelly Remembers Charlie Kirk on One Year Anniversary of His Assassination,neither,right
4708,@MegynKelly,right_commentary,"Serena Williams and Naomi Osaka's Selfishness and Poor Sportsmanship at Wimbledon, with Rob Finnerty",neither,right
4768,@MegynKelly,right_commentary,VP JD Vance x Megyn Kelly - The FULL Interview,neither,right
4828,@MegynKelly,right_commentary,"The Truth About ""Cheating"" in LA Mayor Race",neither,right
5098,@MegynKelly,right_commentary,"Comey Indicted Over ""86 47,"" Massive MN Fraud Raid, King Charles Addresses Congress: AM Update 4/29",neither,right
7858,@MeidasTouch,left_commentary,MTG Gets REVENGE on Trump and LEADS BOYCOTT!!!,left,neither
7945,@MeidasTouch,left_commentary,Iran GIVES FINAL WARNING to Trump on CEASEFIRE VIOLATIONS!!!,left,neither
7980,@MeidasTouch,left_commentary,Fox TURN ON TRUMP after SHOCK FIRING,left,neither
8296,@MeidasTouch,left_commentary,All HELL BREAKS LOOSE as Trump TRAPPED by US ENEMIES!!!,left,neither
10051,@MichaelKnowles,right_commentary,Republicans May Get Slaughtered In The Elections If This Is True,neither,left
10103,@MichaelKnowles,right_commentary,"Knowles REACTS To Christian Music: ""Demons"" By Josiah Queen",neither,right
10166,@MichaelKnowles,right_commentary,WORST Ruling Ever: The Supreme Court Betrays America,right,neither
10322,@MichaelKnowles,right_commentary,A Catholic & Protestant Discuss Christianity & Nationalism: Michael Knowles ft. Doug Wilson,neither,right
10355,@MichaelKnowles,right_commentary,The Oscars Take A Swing At TPUSA,right,neither
10378,@MichaelKnowles,right_commentary,WATCH: Driver Tries To RUN OVER Cop In North Carolina,neither,right
10391,@MichaelKnowles,right_commentary,What Will Happen? State Of The Union Predictions With Michael Knowles & Isabel Brown,neither,right
10447,@MichaelKnowles,right_commentary,Why Is It Only Minneapolis? Why Is It Always Minneapolis?,right,neither
10678,@PartOfTheProblem,right_commentary,Dave Smith | Netanyahu Knew | Part Of The Problem 1441,neither,left
10706,@PartOfTheProblem,right_commentary,Dave Smith | J.D. Can't Sell This | Part Of The Problem 1413,left,neither
10742,@PartOfTheProblem,right_commentary,Dave Smith | Dan Bongino the Fraud | Part Of The Problem 1377,left,neither
10750,@PartOfTheProblem,right_commentary,Dave Smith | A Response to Pathetic Ben Shapiro | Part Of The Problem 1369,left,neither
10755,@PartOfTheProblem,right_commentary,Dave Smith | Trump to Sell War at the SOTU | Part Of The Problem 1364,left,neither
10756,@PartOfTheProblem,right_commentary,Dave Smith | Tucker Eviscerates Huckabee | Part Of The Problem 1363,right,neither
10759,@PartOfTheProblem,right_commentary,Dave Smith | Pam Bondi is Cooked | Part Of The Problem 1360,left,right
10762,@PartOfTheProblem,right_commentary,Dave Smith | Kash Patel is Pathetic | Part Of The Problem 1357,left,neither
10779,@PartOfTheProblem,right_commentary,Dave Smith | The Turning Points USA Spectacle | Part Of The Problem 1340,left,neither
10815,@SecularTalk,left_commentary,BRUTAL EXPOSÉ PROVES FETTERMAN IS F*CKED | The Kyle Kulinski Show,neither,left
12224,@SecularTalk,left_commentary,Nick Fuentes & Roseanne Barr GO TO WAR & It Turns UGLY | The Kyle Kulinski Show,neither,left
12334,@StevenCrowder,right_commentary,Canada is a National Security Threat,neither,right
12349,@StevenCrowder,right_commentary,The $400K Childcare Hoax,right,neither
12386,@StevenCrowder,right_commentary,The Truth About the Great Replacement,right,neither
12402,@StevenCrowder,right_commentary,The Media Is Lying to You About This,right,neither
13373,@TheMajorityReport,left_commentary,Melania Trump's Robot Presentation Freaks Everyone Out,left,neither
13702,@TheMajorityReport,left_commentary,"Ossoff Rips ""Epstein"" Billionaires For Creating Wealth Inequality",left,neither
13825,@TheMajorityReport,left_commentary,The Next Socialist In Congress? | Claire Valdez | TMR,left,neither
14498,@TheYoungTurks,left_commentary,Joe Kent Makes Dan Bongino CRASH OUT,left,neither
14733,@TheYoungTurks,left_commentary,Israel SPIKES Trump's Deal With Hamas,left,neither
16430,@TheYoungTurks,left_commentary,WILD Epstein Takes from Alex Jones & Michael Tracey,left,neither
17130,@TheYoungTurks,left_commentary,Bari Weiss Takes HEAT For Erika Kirk Town Hall,left,neither
17631,@TimDillonShow,humour_satire,"Eric Swalwell, The Great Layoff, & We Endorse Katie Porter | The Tim Dillon Show #492",left,neither
17632,@TimDillonShow,humour_satire,Bonus Episode #330 - Canvassing For Katie Porter (ft Ray Kump) - The Tim Dillon Show,left,neither
17677,@Timcast,right_commentary,THESE WOMEN ARE INSANE,neither,right
17685,@Timcast,right_commentary,TRUMP SAYS ENOUGH,neither,right
17806,@Timcast,right_commentary,THEY STOPPED ANOTHER ASSASSIANTION ATTEMPT,neither,right
17813,@Timcast,right_commentary,"Renee Good Shooting Was SELF DEFENSE, Lawyer Explains Why",right,left
17863,@TuckerCarlson,interview_podcast,Trump Becomes the Very Thing He Swore to Destroy. And It Might Cost Us Our Country.,neither,left
17868,@TuckerCarlson,interview_podcast,The Totalitarian Surveillance State Grows as a New Movement Rises From the Ashes of MAGA,neither,left
17880,@TuckerCarlson,interview_podcast,"Exposing the Lies of 9/11, JFK, Gaza, and How America Is Being Pushed Toward Nuclear War",neither,left
17885,@TuckerCarlson,interview_podcast,BREAKING: Congress Moves to Commit Treason and Allow Israel to Forever Enslave America’s Military,neither,left
17903,@TuckerCarlson,interview_podcast,"'Ethical Hacker' Hacks Tucker Live on the Podcast, and Exposes the Satanic Cults Lurking Online",right,neither
17911,@TuckerCarlson,interview_podcast,"Rep. Thomas Massie: Battling the Treachery of Trump’s Republican Party, AIPAC, and the Epstein Class",neither,left
17928,@TuckerCarlson,interview_podcast,"Dave Smith: Mossad, WWII Myths, FBI Cover-Ups, and Trump’s Critical Next Move in Iran",neither,right
17938,@TuckerCarlson,interview_podcast,Are Christians Required to Pledge Loyalty to Bibi Netanyahu? Carrie Prejean Boller & Tucker Respond.,neither,right
17954,@TuckerCarlson,interview_podcast,The Shocking Reality of the Treatment of Christians in the Holy Land by US-Funded Israel,right,left
17956,@TuckerCarlson,interview_podcast,"Cenk Uygur: Epstein, JFK, 9-11, Israel’s Terrorism and the Consequences of Opposing It",neither,left
17969,@TuckerCarlson,interview_podcast,The Private Equity Veterinary Scam Making You Poorer and Killing Your Pets,neither,left
18063,@Vaush,streamer_reaction,The Interview With Platner's Victim Is Disturbing,neither,right
18260,@Vaush,streamer_reaction,Is PRESIDENT TUCKER CARLSON In Our Future?,neither,right
18279,@Vaush,streamer_reaction,Trump Has Gone Full Israeli Double Agent,left,right
18313,@Vaush,streamer_reaction,Everyone Really Does Hate The Democrats,right,neither
18480,@adammockler,left_commentary,Adam Mockler LETS IT SLIP on Stage...,neither,right
18540,@adammockler,left_commentary,Trump Sports Game Takes DARK TURN,left,neither
18867,@adammockler,left_commentary,Massie Drops FINAL BOMB on Trump,left,neither
19348,@adammockler,left_commentary,Karoline Drops BOMB about Melania FAIL,left,neither
19498,@adammockler,left_commentary,Trump CANCELS EVERYTHING after NEW EPSTEIN LEAK,neither,left
19794,@bennyjohnson,right_commentary,"🚨Something INSANE Just Happened In Iran…Oil is Collapsing, Stock Market Roaring | It’s Finally Over…",right,neither
19953,@bennyjohnson,right_commentary,🚨Trump Strikes Iranian NUCLEAR Power Plant in ARMAGEDDON Move | Declares Ceasefire OVER: 'Finished…’,right,neither
19964,@bennyjohnson,right_commentary,Mitch McConnell Provides Hysterical 'Proof of Life' Evidence After Brain Dead Report | Internet on🔥,right,neither
20266,@bennyjohnson,right_commentary,"🚨Trump Announces US Military Has KILLED The Leader of ISIS, The Footage is INSANE…",neither,right
20300,@bennyjohnson,right_commentary,🚨BREAKING: Putin and Zelensky Announce Russia-Ukraine War is ENDING | Trump DEAL Changes World...,right,neither
20717,@bennyjohnson,right_commentary,Bill Clinton EXPLODES! Screams Truth About Trump and Epstien,neither,left
20807,@bennyjohnson,right_commentary,Watch Kid Rock Convert To Christ LIVE on stage…,neither,right
20933,@bennyjohnson,right_commentary,"Jon Stewart TURNS On Clintons, DEMANDS Bill And Hillary Testify on Epstein: ‘They Know Everything…’",right,neither
21362,@breakingpoints,independent_digital_news,Mearsheimer On Trump: 'HE LOST THE WAR',left,neither
21366,@breakingpoints,independent_digital_news,Bibi SPITS IN TRUMP'S FACE On Gaza Peace Deal,left,neither
21548,@breakingpoints,independent_digital_news,Iran Talks Nearly BLOWUP After Trump Threatens Negotiators,left,neither
21663,@breakingpoints,independent_digital_news,Ryan EXPOSES INSANE SCHUMER AI $9 Million SCREWUP,neither,right
21710,@breakingpoints,independent_digital_news,DEMS Prep NUCLEAR OPTION After VA Maps Struck Down,neither,right
21943,@breakingpoints,independent_digital_news,TOP Iranian Official ASSASSINATED By Israel As 200 US Troops Wounded,neither,left
21981,@breakingpoints,independent_digital_news,White House REFUSES TO RULE OUT DRAFT For Iran,neither,left
21986,@breakingpoints,independent_digital_news,"Congress BACKS IRAN WAR: Massie UNLOADS, Schumer CAVES",neither,left
22552,@briantylercohen,left_commentary,OMG: Trump's SHOCKING announcement about America 250 | Another Day,left,neither
22660,@briantylercohen,left_commentary,Trump’s Epstein SECRET surges into news,neither,left
22817,@briantylercohen,left_commentary,Marc Elias asked if he’d be next attorney general 👀,left,neither
23410,@deanwithrs,streamer_reaction,MAGA Man Unmasks HIMSELF In DEFENSE Of Trump,left,neither
23470,@deanwithrs,streamer_reaction,Brainwashed MAGA Immigrant Believes She's NOT Part of the PROBLEM,left,right
23974,@destiny,streamer_reaction,The Most DERANGED Witch Hunt I've Ever Seen,neither,right
23978,@destiny,streamer_reaction,Hasan Fan Tries To Trap Democrat... It Backfires,neither,right
23979,@destiny,streamer_reaction,His Lies Are Finally Catching Up,neither,left
24135,@destiny,streamer_reaction,Jon Stewart's Got A Bad Take On The Economy,neither,right
24147,@destiny,streamer_reaction,"Destiny Confronts ""Free Speech Absolutism""",left,neither
24185,@glennbeck,right_commentary,Big Tech Wants Your Town... Here’s How To Make Them Pay For It,neither,left
24292,@glennbeck,right_commentary,The Miraculous Failure That SAVED America in World War II,neither,right
24304,@glennbeck,right_commentary,Is The UK On The Verge of Civil War?! It's Closer Than You Think...,neither,right
24308,@glennbeck,right_commentary,Trump Just Played the Ultimate Power Move In Growing Feud With Senate Republicans,right,neither
24376,@glennbeck,right_commentary,I Could Get BANNED From Britain for Saying THIS?!,neither,right
24594,@glennbeck,right_commentary,"""PEACE THROUGH STRENGTH"": Why Trump seized a ""Russian flagged"" oil tanker",neither,right
24785,@hutch,streamer_reaction,James Carville Picks FIGHT With Hasan Piker While Pod Save America Continues To Sanewash,right,left
24798,@hutch,streamer_reaction,Destiny Utterly Humiliates George Santos,left,neither
24805,@hutch,streamer_reaction,All of Hasan's Candidates Won,neither,left
24809,@hutch,streamer_reaction,One of the most HILARIOUS interviews I've ever seen (feat. Taylor Lorenz),right,neither
24814,@hutch,streamer_reaction,All of Hasan's Candidates Lost,neither,right
24844,@hutch,streamer_reaction,TIM MILLER Joins Lib & Learn! (Best Episode Yet?),neither,left
24860,@hutch,streamer_reaction,The Media Has NO IDEA What To Do With Hasan,neither,left
24877,@hutch,streamer_reaction,You Will Not Believe Why This Guy Thinks I'm Racist,neither,right
24896,@hutch,streamer_reaction,My fellow libs have gone INSANE,neither,right
24905,@hutch,streamer_reaction,Hasan Might Be Shocking His Dog Again,neither,right
24908,@hutch,streamer_reaction,Comedian Stacy Cay's BASED Take On Hasan,neither,right
25326,@podsaveamerica,left_commentary,NEW Details About Trump's Relationship with Israel Exposed in SHOCKING Report,left,neither
25372,@podsaveamerica,left_commentary,Trump Hit with EPSTEIN BOMBSHELL from Former Ally,left,neither
25452,@podsaveamerica,left_commentary,"OnlyFriends: Marco Rubio Defends the War, Trump Rants to Kids, Obama on Colbert",neither,left
25778,@podsaveamerica,left_commentary,Political Experts React to Democrats’ BEST New Ads,left,neither
26079,@ponderingpolitics,left_commentary,Fox News CONFRONTS Trump TO HIS FACE,left,neither
26362,@ponderingpolitics,left_commentary,🚨 BREAKING: Trump ERUPTS as Iran SHOOTS DOWN US chopper,left,neither
26585,@ponderingpolitics,left_commentary,BREAKING: Supreme Court SHOCK ORDER SCREWS Trump,neither,left
26740,@ponderingpolitics,left_commentary,MUST SEE: Candace Owens HITS Trump WHERE IT HURTS,left,neither
27048,@ponderingpolitics,left_commentary,Fox News DROPS BOMB on Trump on LIVE TV,left,neither
27280,@ponderingpolitics,left_commentary,🚨 Karoline Leavitt STUNS THE WORLD with Trump News,neither,right
27362,@samharrisorg,interview_podcast,The Democratic Party Has a Reckoning Coming,right,neither
27384,@samharrisorg,interview_podcast,"More From Sam: The Iran War, American Amorality, Addressing Hopelessness, Tucker, and More (Ep. 462)",neither,left
27487,@thedavidpakmanshow,left_commentary,Trump’s tool ACTUALLY DOES IT,left,neither
27826,@thedavidpakmanshow,left_commentary,This couldn’t have ended much worse,left,neither
27970,@thedavidpakmanshow,left_commentary,OOPS: JD Vance says NOT SO FAST to Trump,left,neither
28265,@thedavidpakmanshow,left_commentary,She did NOT expect him to DESTROY her question,neither,right
28302,@thedavidpakmanshow,left_commentary,WHOA: AOC just FIGURED OUT Trump,right,left
28307,@thedavidpakmanshow,left_commentary,THEY’RE IMPEACHING HEGSETH,left,neither
28382,@thedavidpakmanshow,left_commentary,DON JR & KAROLINE ARE COMING AFTER ME,left,neither
28490,@thedavidpakmanshow,left_commentary,Is it time to finally do it to Trump?,left,neither
28762,@thedavidpakmanshow,left_commentary,The look on Trump's face when he realizes what happened,left,neither
28885,@thedavidpakmanshow,left_commentary,Fascism expert has FLED THE COUNTRY,left,neither
28901,@thedavidpakmanshow,left_commentary,KRISTI NOEM IS GETTING IMPEACHED,left,neither
29090,@triggerpod,interview_podcast,Comedian DESTROYS Every Triggernometry Guest - Tony Lapidus,neither,left
29154,@triggerpod,interview_podcast,The Great British Delusion - Konstantin Kisin,neither,right
29352,@MLChristiansen,right_commentary,The Illegal Chinese Biolab Strikes Again | Biohazard Home Raided in Las Vegas,neither,right
29356,@MLChristiansen,right_commentary,Come and Get Me Pam Bondi! | Will She Actually Bring Charges Against Don Lemon and Company?,neither,left
29622,@TheOfficerTatum,right_commentary,Carnival Cruise To BAN Black People After This?,right,neither
30260,@therationalnational,left_commentary,No Deal! Mark Carney Rejects Trump's Proposal As Canada Holds Strong,neither,left
30269,@therationalnational,left_commentary,Pierre Poilievre Loses Another While NDP Gain,left,neither
30304,@therationalnational,left_commentary,Two Big UFC Fighters Rip Trump Over White House Event,left,neither
30319,@therationalnational,left_commentary,Mark Carney Shows Us His True Colours,neither,right
30350,@therationalnational,left_commentary,Canada Tops ‘Morality’ Survey Of 25 Countries. Guess Who's Last.,left,neither
30353,@therationalnational,left_commentary,Trump Starts War With Iran & Mark Carney Betrays Own Davos Speech With Response,left,neither
30409,@SecondThought,left_commentary,Corporations Are Tracking Your Face…And It’s Getting Worse,left,neither
30415,@SecondThought,left_commentary,The New Red Scare is Here,left,neither
30520,@bulwarkmedia,centrist_heterodox,The Data Center Backlash Could Start Costing People Elections (w/ Nathaniel Rich),neither,left
30693,@bulwarkmedia,centrist_heterodox,Even Susan Glasser Is Losing Hope | Bulwark Daily,neither,left
31210,@bulwarkmedia,centrist_heterodox,Tim Miller: The White House Just Threatened Me,left,neither
31341,@bulwarkmedia,centrist_heterodox,$5 Gas Is Just the Beginning. It Gets MUCH Worse. | The Next Level,neither,right
31491,@bulwarkmedia,centrist_heterodox,Trump’s Biggest Fans Turned on Him (w/ David Pakman),neither,left
31938,@bulwarkmedia,centrist_heterodox,Mark Hertling and Ruben Gallego: A Rush to War | The Bulwark Podcast,neither,left
32271,@bulwarkmedia,centrist_heterodox,Trump Is Now Deeply Unpopular Nationwide | Secret Podcast,neither,left
32367,@bulwarkmedia,centrist_heterodox,Venezuela Was Not Liberated (w/ Quico Toro) | Mona Charen Show,neither,left
32411,@bulwarkmedia,centrist_heterodox,Did a Government Insider Make $400K off the Venezuela Invasion? (w/ Rep. Ritchie Torres),neither,left
32447,@bulwarkmedia,centrist_heterodox,The Culture Is Abandoning Trump (w/ John Heilemann) | The Bulwark Podcast,neither,left
32789,@LeejaMiller,legal_institutional,"Manifest Destiny Includes Canada, Too",left,right
32790,@LeejaMiller,legal_institutional,Why Is The US Obsessed With Cuba?,left,neither
32792,@LeejaMiller,legal_institutional,The New Red Scare,left,neither
32807,@LeejaMiller,legal_institutional,Is Property Damage Ever Justified?,left,neither
32809,@LeejaMiller,legal_institutional,Tax Resistance 101,left,neither
32811,@LeejaMiller,legal_institutional,America's Hasan Piker Problem,neither,right
32817,@LeejaMiller,legal_institutional,Jared Kushner's War,left,neither
32818,@LeejaMiller,legal_institutional,The Death Of America's Soft Power,left,neither
32826,@LeejaMiller,legal_institutional,The Epstein Files Should Radicalize You,neither,left
32859,@PiersMorganUncensored,interview_podcast,"“TYPICAL LIBTARD!” Trump 007 Escape, Greta PRAISES Piers Morgan + Mao Debate w/ Victor Davis-Hanson",neither,right
32878,@PiersMorganUncensored,interview_podcast,"""DON'T Want My Kids Living Under Chinese Rule!"" Kevin O'Leary vs Steve Keen | Economy Debate",neither,right
32885,@PiersMorganUncensored,interview_podcast,EXCLUSIVE: 'Netanyahu Is FASCIST!' + Ehud Barak Breaks Silence On Shock Epstein Claims,neither,left
32893,@PiersMorganUncensored,interview_podcast,"'I'll NEVER Apologize To Trump!"" Marjorie Taylor Greene | Plus Piers Morgan CALLS OUT Conricus!",neither,right
32915,@PiersMorganUncensored,interview_podcast,"""Tragic And OBSCENE!"" Is Henry Nowak Death The New George Floyd? + Iran War Debate",neither,right
32916,@PiersMorganUncensored,interview_podcast,"""DISGUSTING!"" Gaza Flotilla Detainees on Israel 'Abuse' | Norman Finkelstein on 'Nazi' Post",neither,left
32921,@PiersMorganUncensored,interview_podcast,"'He BETRAYED MAGA!' Tim Dillon On Donald Trump, Tucker Carlson, Iran, Israel & More",right,neither
32941,@PiersMorganUncensored,interview_podcast,“A Sense Of BETRAYAL!” Trump ‘Folds’ On Iran + Valentina Gomez BANNED From UK,neither,right
