creator,lane,n_titles,score_shuffled,score_pass1,change,side_shuffled,side_pass1
@katmabu,left_commentary,16,-0.8125,-0.4375,-0.375,left,left
@MrReaganUSA,right_commentary,16,0.5625,0.875,-0.3125,right,right
@GrahamAllen,right_commentary,50,0.24,0.44,-0.2,right,right
@LastWeekTonight,humour_satire,16,-0.1875,0.0,-0.1875,left,neither / unclear
@doomscrollpodcast,interview_podcast,16,-0.375,-0.1875,-0.1875,left,left
@JustPearlyThings,right_commentary,50,0.36,0.52,-0.16000000000000003,right,right
https://rumble.com/c/nickjfuentes,right_commentary,50,0.24,0.4,-0.16000000000000003,right,right
@TuckerCarlson,interview_podcast,50,0.04,0.2,-0.16,neither / unclear,right
@TheJoyReidShow,left_commentary,50,-0.7,-0.54,-0.15999999999999992,left,left
@OwenReport,right_commentary,50,-0.22,-0.08,-0.14,left,left
@MattBernstein1,left_commentary,16,-0.4375,-0.3125,-0.125,left,left
@theGuardian,wire_international,16,-0.1875,-0.0625,-0.125,left,left
@OfficialSaharTV,right_commentary,50,0.82,0.94,-0.12,right,right
@FleccasTalks,right_commentary,50,0.24,0.36,-0.12,right,right
@bulwarkmedia,centrist_heterodox,50,-0.62,-0.5,-0.12,left,left
@KimIversen,centrist_heterodox,50,-0.02,0.08,-0.1,neither / unclear,right
@BrittanyVenti,right_commentary,50,-0.02,0.08,-0.1,neither / unclear,right
@thewarningwithsteveschmidt,centrist_heterodox,50,-0.84,-0.74,-0.09999999999999998,left,left
@morebridgetphetasy,interview_podcast,50,0.14,0.24,-0.09999999999999998,right,right
@rolandsmartin,independent_digital_news,50,-0.72,-0.62,-0.09999999999999998,left,left
@Shoe0nHead,centrist_heterodox,10,0.6,0.7,-0.09999999999999998,right,right
@winston_marshall,interview_podcast,50,0.4,0.5,-0.09999999999999998,right,right
@HasanReactionsfanTwo,streamer_reaction,50,-0.66,-0.56,-0.09999999999999998,left,left
@TheDailyBeast,us_press_print_digital,50,-0.9,-0.82,-0.08000000000000007,left,left
@The_Crucible,streamer_reaction,50,0.06,0.14,-0.08000000000000002,right,right
@marclamonthillnetwork,left_commentary,50,-0.38,-0.3,-0.08000000000000002,left,left
@nytimes,us_press_print_digital,50,-0.14,-0.06,-0.08000000000000002,left,left
@RebelNewsOnline,independent_digital_news,50,0.42,0.5,-0.08000000000000002,right,right
@UnHerd,centrist_heterodox,50,-0.16,-0.08,-0.08,left,left
@FreshFitMiami,right_commentary,50,0.14,0.22,-0.07999999999999999,right,right
@ThePodcastoftheLotusEaters,right_commentary,50,0.14,0.22,-0.07999999999999999,right,right
@MarkDice,right_commentary,50,0.54,0.62,-0.07999999999999996,right,right
@bennyjohnson,right_commentary,50,0.68,0.76,-0.07999999999999996,right,right
@MattWalsh,right_commentary,50,0.34,0.42,-0.07999999999999996,right,right
@ModernDayDebate,streamer_reaction,16,-0.0625,0.0,-0.0625,left,neither / unclear
@PerunAU,explainer_geopolitics,16,-0.0625,0.0,-0.0625,left,neither / unclear
@mikhaila,interview_podcast,16,0.125,0.1875,-0.0625,right,right
@nationalreview,us_press_print_digital,50,0.74,0.8,-0.06000000000000005,right,right
@VivaFrei,legal_institutional,50,0.58,0.64,-0.06000000000000005,right,right
@fastpoliticspodcast,left_commentary,50,-0.88,-0.82,-0.06000000000000005,left,left
@PTLRadioShow,left_commentary,50,-0.76,-0.7,-0.06000000000000005,left,left
@TheEconomist,wire_international,50,-0.1,-0.04,-0.060000000000000005,left,neither / unclear
@HasanabiClips,streamer_reaction,50,-0.4,-0.34,-0.06,left,left
@LegalEagle,legal_institutional,50,-0.44,-0.38,-0.06,left,left
@BlackConservativePerspective,right_commentary,50,0.9,0.96,-0.05999999999999994,right,right
@StevenCrowder,right_commentary,50,0.3,0.34,-0.040000000000000036,right,right
