group,month,n_titles,n_creators,partisan_share,left_share,right_share,score
left,2026-01,582,115,0.5412,0.5034,0.0378,-0.4656
left,2026-02,646,114,0.5557,0.5248,0.031,-0.4938
left,2026-03,616,116,0.5438,0.5195,0.0244,-0.4951
left,2026-04,620,117,0.5129,0.4823,0.0306,-0.4516
left,2026-05,681,118,0.5007,0.4655,0.0352,-0.4302
left,2026-06,636,117,0.5708,0.5299,0.0409,-0.489
left,2026-07,645,118,0.5116,0.476,0.0357,-0.4403
left,2026-08,607,121,0.4942,0.4679,0.0264,-0.4415
left,2026-09,479,114,0.5344,0.499,0.0355,-0.4635
neutral,2026-01,201,38,0.1294,0.0647,0.0647,0.0
neutral,2026-02,218,38,0.1101,0.0413,0.0688,0.0275
neutral,2026-03,217,38,0.1382,0.0645,0.0737,0.0092
neutral,2026-04,220,41,0.0909,0.0636,0.0273,-0.0364
neutral,2026-05,236,39,0.1271,0.072,0.0551,-0.0169
neutral,2026-06,241,41,0.1245,0.0705,0.0539,-0.0166
neutral,2026-07,226,41,0.1283,0.0575,0.0708,0.0133
neutral,2026-08,228,41,0.1447,0.0614,0.0833,0.0219
neutral,2026-09,166,40,0.1084,0.0723,0.0361,-0.0361
right,2026-01,559,103,0.5063,0.0411,0.4651,0.424
right,2026-02,573,106,0.5201,0.0401,0.4799,0.4398
right,2026-03,556,107,0.5054,0.0378,0.4676,0.4299
right,2026-04,594,106,0.4815,0.0404,0.4411,0.4007
right,2026-05,602,110,0.4734,0.0332,0.4402,0.407
right,2026-06,622,110,0.4968,0.0434,0.4534,0.41
right,2026-07,552,106,0.4601,0.0217,0.4384,0.4167
right,2026-08,571,107,0.5114,0.0263,0.4851,0.4588
right,2026-09,434,106,0.4263,0.0253,0.4009,0.3756
