lane,n_creators,label_claude_code_opus_score_mean,label_claude_code_opus_neither_mean,mean_score
left_commentary,48,-0.5229224537037037,0.372494212962963,-0.5229224537037037
independent_digital_news,20,-0.37625000000000003,0.50575,-0.37625000000000003
legal_institutional,9,-0.25027777777777777,0.35194444444444445,-0.25027777777777777
humour_satire,8,-0.238125,0.600625,-0.238125
streamer_reaction,26,-0.16576923076923078,0.625,-0.16576923076923078
centrist_heterodox,12,-0.15958333333333333,0.5495833333333333,-0.15958333333333333
wire_international,14,-0.06482142857142857,0.9123214285714286,-0.06482142857142857
us_press_print_digital,19,-0.05828947368421052,0.8280263157894737,-0.05828947368421052
explainer_geopolitics,7,-0.047692307692307694,0.8781868131868132,-0.047692307692307694
interview_podcast,23,-0.005760869565217394,0.6596739130434782,-0.005760869565217394
us_legacy_tv,9,0.011111111111111108,0.8288888888888889,0.011111111111111108
right_tv_network,4,0.405,0.585,0.405
right_commentary,75,0.439930303030303,0.4756696969696969,0.439930303030303
