lane,month,n_titles,n_creators,partisan_share,left_share,right_share,score
centrist_heterodox,2026-01,56,12,0.4286,0.375,0.0536,-0.3214
centrist_heterodox,2026-02,59,12,0.4237,0.3051,0.1186,-0.1864
centrist_heterodox,2026-03,58,12,0.4138,0.3448,0.069,-0.2759
centrist_heterodox,2026-04,58,12,0.4138,0.3448,0.069,-0.2759
centrist_heterodox,2026-05,66,12,0.4091,0.3485,0.0606,-0.2879
centrist_heterodox,2026-06,67,11,0.4925,0.3731,0.1194,-0.2537
centrist_heterodox,2026-07,52,11,0.4808,0.3077,0.1731,-0.1346
centrist_heterodox,2026-08,67,12,0.5373,0.3284,0.209,-0.1194
centrist_heterodox,2026-09,43,12,0.3721,0.3256,0.0465,-0.2791
explainer_geopolitics,2026-01,25,7,0.04,0.04,0.0,-0.04
explainer_geopolitics,2026-02,24,6,0.0417,0.0417,0.0,-0.0417
explainer_geopolitics,2026-03,25,7,0.12,0.04,0.08,0.04
explainer_geopolitics,2026-04,16,6,0.125,0.125,0.0,-0.125
explainer_geopolitics,2026-05,20,7,0.25,0.15,0.1,-0.05
explainer_geopolitics,2026-06,22,6,0.1818,0.1818,0.0,-0.1818
explainer_geopolitics,2026-07,23,6,0.1739,0.087,0.087,0.0
explainer_geopolitics,2026-08,34,7,0.1471,0.0882,0.0588,-0.0294
explainer_geopolitics,2026-09,22,7,0.0909,0.0909,0.0,-0.0909
humour_satire,2026-01,32,7,0.4375,0.375,0.0625,-0.3125
humour_satire,2026-02,30,7,0.5333,0.4,0.1333,-0.2667
humour_satire,2026-03,29,7,0.5172,0.4828,0.0345,-0.4483
humour_satire,2026-04,44,7,0.4091,0.2727,0.1364,-0.1364
humour_satire,2026-05,42,8,0.3571,0.2857,0.0714,-0.2143
humour_satire,2026-06,38,8,0.4211,0.4211,0.0,-0.4211
humour_satire,2026-07,50,8,0.48,0.42,0.06,-0.36
humour_satire,2026-08,41,8,0.4878,0.3415,0.1463,-0.1951
humour_satire,2026-09,26,7,0.3462,0.2308,0.1154,-0.1154
independent_digital_news,2026-01,107,20,0.4953,0.4486,0.0467,-0.4019
independent_digital_news,2026-02,117,19,0.4188,0.359,0.0598,-0.2991
independent_digital_news,2026-03,110,20,0.6091,0.5545,0.0545,-0.5
independent_digital_news,2026-04,105,20,0.581,0.5048,0.0762,-0.4286
independent_digital_news,2026-05,123,20,0.4715,0.3984,0.0732,-0.3252
independent_digital_news,2026-06,113,20,0.4867,0.4336,0.0531,-0.3805
