creator,n_titles,lexicon_score,judge_score,lexicon_group,judge_group
@aaronparnas1,50,-1.0,-0.92,left,left
@TheDailyBeast,50,-0.88,-0.9,left,left
@deanwithrs,50,-0.64,-0.9,left,left
@fastpoliticspodcast,50,-0.74,-0.88,left,left
@DemocracyDocket,50,-0.54,-0.88,left,left
@LegalAFMTN,50,-0.84,-0.88,left,left
@MeidasTouch,50,-0.86,-0.84,left,left
@dollemore,50,-0.88,-0.84,left,left
@SecularTalk,50,-0.52,-0.84,left,left
@thewarningwithsteveschmidt,50,-0.64,-0.84,left,left
@FarronBalanced,50,-0.8,-0.82,left,left
@briantylercohen,50,-0.86,-0.82,left,left
@katmabu,16,-0.0625,-0.8125,left,left
@katiephangnews,50,-0.78,-0.8,left,left
@JackCocchiarellaShow,50,-0.8,-0.8,left,left
@RebelHQ,50,-0.6,-0.8,left,left
@TheHumanistReport,50,-0.2,-0.78,left,left
@Lunaoi,9,-0.4444444444444444,-0.7777777777777778,left,left
@PTLRadioShow,50,-0.62,-0.76,left,left
@GlennKirschner2,50,-0.68,-0.74,left,left
@rolandsmartin,50,0.12,-0.72,right,left
@harryjsisson,50,-0.86,-0.72,left,left
@StatusCoup,50,-0.7,-0.72,left,left
@BreakThroughNews,50,-0.54,-0.72,left,left
@ponderingpolitics,50,-0.82,-0.7,left,left
@TheJoyReidShow,50,0.02,-0.7,neutral,left
@YaBoiHakim,16,0.125,-0.6875,right,left
@TheMajorityReport,50,-0.38,-0.68,left,left
@DannyHaiphongYT,50,-0.98,-0.66,left,left
@HasanReactionsfanTwo,50,-0.58,-0.66,left,left
@TheDamageReport,50,-0.44,-0.64,left,left
@revleftradio,16,-0.0625,-0.625,left,left
@thegrayzone7996,50,-0.46,-0.62,left,left
@podsaveamerica,50,-0.58,-0.62,left,left
@bulwarkmedia,50,-0.48,-0.62,left,left
@GeopoliticalEconomyReport,50,-0.38,-0.6,left,left
@TheDonLemonShow,50,-0.48,-0.6,left,left
@SMN,50,-0.2,-0.6,left,left
@lovettorleaveitpodcast,50,-0.4,-0.6,left,left
@zeteo,50,-0.24,-0.6,left,left
@jimacosta,50,-0.48,-0.58,left,left
@thedavidpakmanshow,50,-0.66,-0.58,left,left
@DoubleDownNews,50,-0.54,-0.58,left,left
@adammockler,50,-0.78,-0.56,left,left
@LukeBeasley,50,-0.64,-0.56,left,left
@TheLincolnProject,50,-0.32,-0.56,left,left
@thomhartmann,50,-0.48,-0.56,left,left
@usefulidiots,50,-0.52,-0.54,left,left
@BadFaithPodcast,50,0.02,-0.54,neutral,left
@RestPoliticsUS,50,-0.66,-0.54,left,left
@msnow,50,-0.4,-0.54,left,left
@TheMichaelCohenShow,50,-0.7,-0.54,left,left
@DemocracyNow,50,-0.64,-0.52,left,left
@cafedotcom,50,-0.48,-0.52,left,left
@LeverNews,50,-0.2,-0.52,left,left
@OwenJonesTalks,50,-0.4,-0.5,left,left
@breakingpoints,50,-0.48,-0.5,left,left
@evanjmez,16,-0.375,-0.5,left,left
@Xanderhal,50,-0.02,-0.5,neutral,left
@DailyDenims,50,-0.18,-0.44,left,left
@LegalEagle,50,-0.22,-0.44,left,left
@MattBernstein1,16,0.0625,-0.4375,right,left
@LeejaMiller,50,-0.04,-0.42,neutral,left
@RonPlacone,50,-0.24,-0.42,left,left
@chriscuomo,50,-0.5,-0.42,left,left
@therationalnational,50,-0.02,-0.42,neutral,left
@HasanabiClips,50,-0.72,-0.4,left,left
@Politicon,50,-0.44,-0.4,left,left
@marclamonthillnetwork,50,-0.1,-0.38,left,left
@franifio,50,-0.16,-0.38,left,left
@DropSiteNews,50,-0.66,-0.38,left,left
@doomscrollpodcast,16,0.1875,-0.375,right,left
@DueDissidence,50,-0.22,-0.36,left,left
@BelleRanch,50,-0.56,-0.36,left,left
@JamarlThomas,50,-0.3,-0.36,left,left
@NovaraMedia,50,-0.24,-0.36,left,left
@Forthepeoplepodcast305,50,-0.6,-0.32,left,left
@underthedesknews,50,-0.1,-0.32,left,left
@ajplus,50,-0.38,-0.32,left,left
@SecondThought,16,-0.125,-0.3125,left,left
@Vaush,50,-0.12,-0.3,left,left
@PiscoLitty,50,-0.02,-0.3,neutral,left
@TheSerfTimes,50,-0.12,-0.3,left,left
@MikeFromPA,50,0.22,-0.28,right,left
https://rumble.com/c/GGreenwald,50,-0.06,-0.28,left,left
@moreperfectunion,50,0.04,-0.28,neutral,left
@TheYoungTurks,50,-0.46,-0.26,left,left
@TheAtlantic,50,-0.28,-0.26,left,left
@PoliticsJOE,50,0.02,-0.24,neutral,left
@HasanAbi,50,-0.08,-0.24,left,left
@nousnetwork,50,0.14,-0.22,right,left
@OwenReport,50,-0.34,-0.22,left,left
@EzraKleinShow,50,-0.18,-0.22,left,left
@destiny,50,-0.14,-0.2,left,left
@NYTOpinion,16,0.0625,-0.1875,right,left
@theGuardian,16,0.25,-0.1875,right,left
@LastWeekTonight,16,0.0,-0.1875,neutral,left
@notsoErudite,16,0.125,-0.1875,right,left
@PoliticsGirl,50,0.1,-0.18,right,left
@judgingfreedom,50,-0.46,-0.18,left,left
@SabbySabs,50,-0.3,-0.16,left,left
@UnHerd,50,-0.16,-0.16,left,left
@HasanAbiVODs3,50,-0.76,-0.16,left,left
@johnnyharris,13,0.15384615384615385,-0.15384615384615385,right,left
@BadEmpanadaLive,50,-0.12,-0.14,left,left
@nytimes,50,-0.12,-0.14,left,left
@TheRealTabithaSpeaks,50,-0.1,-0.14,left,left
@Channel5YouTube,16,0.0625,-0.125,right,left
@NYTPodcasts,50,-0.46,-0.12,left,left
@DylanBurnsLIVE,50,-0.2,-0.12,left,left
@TheVaushPit,50,-0.08,-0.1,left,left
@timesofindia,50,-0.68,-0.1,left,left
@samharrisorg,50,-0.2,-0.1,left,left
@TheEconomist,50,-0.26,-0.1,left,left
@Vox,50,0.14,-0.1,right,left
@NPR,50,0.02,-0.08,neutral,left
@CNN,50,-0.5,-0.08,left,left
@NickCruseRBN,16,0.0,-0.0625,neutral,left
@PerunAU,16,-0.375,-0.0625,left,left
@ModernDayDebate,16,-0.25,-0.0625,left,left
@SkyNews,50,-0.1,-0.06,left,left
@aljazeeraenglish,50,-0.48,-0.06,left,left
@USATODAY,50,-0.46,-0.04,left,neutral
@NBCNews,50,-0.28,-0.04,left,neutral
@newyorker,50,-0.06,-0.04,left,neutral
@JacksonHinkleOfficial,50,-0.38,-0.04,left,neutral
@Forbes,50,0.0,-0.04,neutral,neutral
@POLITICO,50,-0.46,-0.04,left,neutral
