row_id,creator,lane,label,lexicon_class,n_left_words,n_right_words,fold
10678,@PartOfTheProblem,right_commentary,left,neither,0,0,0
10681,@PartOfTheProblem,right_commentary,neither,left,2,0,0
10683,@PartOfTheProblem,right_commentary,neither,left,1,0,0
10689,@PartOfTheProblem,right_commentary,neither,right,0,1,0
10690,@PartOfTheProblem,right_commentary,neither,neither,0,0,0
10692,@PartOfTheProblem,right_commentary,right,neither,0,0,0
10695,@PartOfTheProblem,right_commentary,right,right,0,1,0
10697,@PartOfTheProblem,right_commentary,neither,right,0,1,0
10699,@PartOfTheProblem,right_commentary,neither,neither,0,0,0
10703,@PartOfTheProblem,right_commentary,neither,neither,0,0,0
10706,@PartOfTheProblem,right_commentary,neither,neither,0,0,0
10708,@PartOfTheProblem,right_commentary,neither,left,1,0,0
10711,@PartOfTheProblem,right_commentary,neither,left,1,0,0
10713,@PartOfTheProblem,right_commentary,neither,left,1,0,0
10715,@PartOfTheProblem,right_commentary,neither,left,2,0,0
10716,@PartOfTheProblem,right_commentary,neither,neither,0,0,0
10717,@PartOfTheProblem,right_commentary,neither,neither,0,0,0
10720,@PartOfTheProblem,right_commentary,neither,neither,0,0,0
10724,@PartOfTheProblem,right_commentary,neither,right,0,1,0
10729,@PartOfTheProblem,right_commentary,neither,neither,0,0,0
10730,@PartOfTheProblem,right_commentary,neither,right,0,2,0
10731,@PartOfTheProblem,right_commentary,neither,neither,0,0,0
10733,@PartOfTheProblem,right_commentary,right,neither,0,0,0
10734,@PartOfTheProblem,right_commentary,neither,neither,0,0,0
10736,@PartOfTheProblem,right_commentary,neither,neither,0,0,0
10737,@PartOfTheProblem,right_commentary,neither,neither,0,0,0
10738,@PartOfTheProblem,right_commentary,neither,left,1,0,0
10739,@PartOfTheProblem,right_commentary,neither,neither,0,0,0
10740,@PartOfTheProblem,right_commentary,right,left,1,0,0
10741,@PartOfTheProblem,right_commentary,neither,left,1,0,0
10742,@PartOfTheProblem,right_commentary,neither,right,0,1,0
10744,@PartOfTheProblem,right_commentary,neither,left,1,0,0
10745,@PartOfTheProblem,right_commentary,neither,left,1,0,0
10748,@PartOfTheProblem,right_commentary,neither,neither,0,0,0
10749,@PartOfTheProblem,right_commentary,neither,right,0,1,0
10750,@PartOfTheProblem,right_commentary,neither,neither,0,0,0
10755,@PartOfTheProblem,right_commentary,neither,left,2,0,0
10756,@PartOfTheProblem,right_commentary,neither,neither,0,0,0
10759,@PartOfTheProblem,right_commentary,right,neither,0,0,0
10762,@PartOfTheProblem,right_commentary,neither,neither,0,0,0
10763,@PartOfTheProblem,right_commentary,neither,left,2,0,0
10764,@PartOfTheProblem,right_commentary,neither,neither,0,0,0
10765,@PartOfTheProblem,right_commentary,neither,left,1,0,0
10766,@PartOfTheProblem,right_commentary,neither,left,1,0,0
10770,@PartOfTheProblem,right_commentary,neither,neither,0,0,0
10771,@PartOfTheProblem,right_commentary,neither,neither,0,0,0
10775,@PartOfTheProblem,right_commentary,neither,right,0,1,0
10776,@PartOfTheProblem,right_commentary,right,right,0,2,0
10778,@PartOfTheProblem,right_commentary,neither,neither,0,0,0
10779,@PartOfTheProblem,right_commentary,neither,neither,0,0,0
17978,@Vaush,streamer_reaction,neither,neither,0,0,0
17984,@Vaush,streamer_reaction,left,left,1,0,0
17990,@Vaush,streamer_reaction,neither,neither,0,0,0
17991,@Vaush,streamer_reaction,neither,right,0,1,0
18007,@Vaush,streamer_reaction,left,right,0,1,0
18016,@Vaush,streamer_reaction,left,neither,0,0,0
18017,@Vaush,streamer_reaction,left,left,1,0,0
18062,@Vaush,streamer_reaction,left,left,3,0,0
18063,@Vaush,streamer_reaction,right,neither,0,0,0
18069,@Vaush,streamer_reaction,neither,neither,0,0,0
18077,@Vaush,streamer_reaction,left,neither,1,1,0
18083,@Vaush,streamer_reaction,left,left,2,0,0
18094,@Vaush,streamer_reaction,left,neither,0,0,0
18098,@Vaush,streamer_reaction,neither,neither,0,0,0
18108,@Vaush,streamer_reaction,left,left,1,0,0
18113,@Vaush,streamer_reaction,left,neither,0,0,0
18115,@Vaush,streamer_reaction,neither,neither,0,0,0
18119,@Vaush,streamer_reaction,neither,neither,0,0,0
18133,@Vaush,streamer_reaction,left,left,1,0,0
18149,@Vaush,streamer_reaction,left,left,1,0,0
18157,@Vaush,streamer_reaction,neither,neither,0,0,0
18162,@Vaush,streamer_reaction,neither,right,0,1,0
18170,@Vaush,streamer_reaction,neither,neither,0,0,0
18171,@Vaush,streamer_reaction,neither,neither,0,0,0
18184,@Vaush,streamer_reaction,left,left,1,0,0
18191,@Vaush,streamer_reaction,neither,neither,0,0,0
18193,@Vaush,streamer_reaction,left,neither,0,0,0
18205,@Vaush,streamer_reaction,left,neither,2,2,0
18225,@Vaush,streamer_reaction,neither,neither,0,0,0
18244,@Vaush,streamer_reaction,left,left,3,0,0
18247,@Vaush,streamer_reaction,neither,left,1,0,0
18260,@Vaush,streamer_reaction,right,neither,0,0,0
18264,@Vaush,streamer_reaction,neither,left,1,0,0
18274,@Vaush,streamer_reaction,neither,right,0,1,0
18275,@Vaush,streamer_reaction,neither,neither,0,0,0
18279,@Vaush,streamer_reaction,right,left,2,0,0
18285,@Vaush,streamer_reaction,neither,right,0,1,0
18302,@Vaush,streamer_reaction,neither,neither,1,1,0
18307,@Vaush,streamer_reaction,neither,neither,0,0,0
18313,@Vaush,streamer_reaction,neither,right,0,1,0
18321,@Vaush,streamer_reaction,neither,neither,0,0,0
18342,@Vaush,streamer_reaction,left,left,2,0,0
18343,@Vaush,streamer_reaction,left,left,1,0,0
18353,@Vaush,streamer_reaction,neither,neither,0,0,0
18367,@Vaush,streamer_reaction,right,right,0,1,0
18373,@Vaush,streamer_reaction,left,right,0,1,0
18387,@Vaush,streamer_reaction,neither,left,2,0,0
18391,@Vaush,streamer_reaction,neither,left,1,0,0
18411,@Vaush,streamer_reaction,neither,right,0,1,0
18425,@Vaush,streamer_reaction,neither,neither,0,0,0
19637,@bennyjohnson,right_commentary,right,left,4,0,0
19644,@bennyjohnson,right_commentary,neither,right,1,2,0
19650,@bennyjohnson,right_commentary,right,neither,0,0,0
19755,@bennyjohnson,right_commentary,right,neither,1,1,0
19794,@bennyjohnson,right_commentary,neither,left,2,0,0
19860,@bennyjohnson,right_commentary,right,neither,1,1,0
19898,@bennyjohnson,right_commentary,right,left,3,0,0
19927,@bennyjohnson,right_commentary,right,left,3,0,0
19953,@bennyjohnson,right_commentary,neither,left,1,0,0
19964,@bennyjohnson,right_commentary,neither,neither,0,0,0
19966,@bennyjohnson,right_commentary,right,left,2,0,0
19969,@bennyjohnson,right_commentary,neither,neither,0,0,0
20102,@bennyjohnson,right_commentary,right,right,1,3,0
20112,@bennyjohnson,right_commentary,neither,left,1,0,0
20169,@bennyjohnson,right_commentary,right,neither,0,0,0
20186,@bennyjohnson,right_commentary,right,neither,1,1,0
20218,@bennyjohnson,right_commentary,right,right,0,2,0
20261,@bennyjohnson,right_commentary,right,neither,0,0,0
20266,@bennyjohnson,right_commentary,right,left,1,0,0
20280,@bennyjohnson,right_commentary,right,left,3,0,0
20300,@bennyjohnson,right_commentary,neither,left,4,0,0
20308,@bennyjohnson,right_commentary,right,right,0,2,0
20319,@bennyjohnson,right_commentary,left,left,2,0,0
20326,@bennyjohnson,right_commentary,neither,right,0,1,0
