comparison,word,log_odds_right_vs_left,z,count_right,count_left,word_class
opus,fraud,1.942,5.982,67,10,right
opus,women,1.4607,5.697,72,18,right
opus,democrats,1.1088,5.654,94,34,right
opus,woke,2.5299,5.28,52,4,right
opus,left,1.2006,4.994,67,22,right
opus,charlie,1.5171,4.867,51,12,right
opus,california,1.8822,4.819,44,7,right
opus,america,0.6479,4.28,115,67,right
opus,kirk,1.1307,4.211,51,18,right
opus,democrat,1.3095,4.087,41,12,right
opus,trans,1.869,4.038,31,5,right
opus,black,0.7573,3.898,75,39,right
opus,leftist,1.9803,3.876,28,4,right
opus,pray,3.2571,3.844,33,1,right
opus,liberal,1.6042,3.679,28,6,right
opus,newsom,1.492,3.644,29,7,right
opus,islam,3.1396,3.61,28,1,right
opus,biden,1.3654,3.506,29,8,right
opus,somali,2.3842,3.457,22,2,right
opus,levin,1.9799,3.356,21,3,right
opus,nick,1.3884,3.346,26,7,right
opus,gavin,1.5904,3.324,23,5,right
opus,muslim,1.5904,3.324,23,5,right
opus,fauci,1.4586,3.284,24,6,right
opus,mamdani,0.8912,3.28,42,19,right
opus,men,1.2195,3.254,28,9,right
opus,leftists,1.7142,3.253,21,4,right
opus,race,1.5485,3.22,22,5,right
opus,mayor,1.4182,3.177,23,6,right
opus,myron,2.883,3.164,20,1,right
opus,karmelo,2.2069,3.134,18,2,right
opus,shirley,2.1557,3.043,17,2,right
opus,student,1.6204,3.041,19,4,right
opus,people,0.6743,2.997,53,30,right
opus,liberals,2.101,2.948,16,2,right
opus,jlp,4.451,2.934,33,0,right
opus,deep,1.5695,2.927,18,4,right
opus,view,2.0425,2.847,15,2,right
opus,modern,1.7286,2.846,16,3,right
opus,nyc,1.2851,2.827,20,6,right
opus,media,0.6922,2.818,45,25,right
opus,dei,2.6487,2.808,15,1,right
opus,viral,1.0714,2.796,24,9,right
opus,anthony,1.3583,2.755,18,5,right
opus,racism,2.5908,2.725,14,1,right
opus,pratt,2.5908,2.725,14,1,right
opus,ilhan,2.5908,2.725,14,1,right
opus,lib,2.5908,2.725,14,1,right
opus,illegal,0.8257,2.67,31,15,right
opus,spencer,2.5279,2.638,13,1,right
opus,sports,2.5279,2.638,13,1,right
opus,omar,2.5279,2.638,13,1,right
opus,wife,1.9116,2.625,13,2,right
opus,best,1.9116,2.625,13,2,right
opus,anti-ice,1.9116,2.625,13,2,right
opus,banned,1.9116,2.625,13,2,right
opus,covid,1.9116,2.625,13,2,right
opus,hollywood,1.9116,2.625,13,2,right
opus,chinese,1.9116,2.625,13,2,right
opus,culture,1.9116,2.625,13,2,right
opus,fbi,0.8656,2.624,28,13,right
opus,mark,0.8656,2.624,28,13,right
opus,warning,1.6036,2.601,14,3,right
opus,minnesota,0.7387,2.575,34,18,right
opus,abortion,2.4592,2.544,12,1,right
opus,immigrant,2.4592,2.544,12,1,right
opus,wnba,1.8378,2.502,12,2,right
opus,jack,1.8378,2.502,12,2,right
opus,dems,0.8304,2.501,27,13,right
opus,canada,0.8304,2.501,27,13,right
opus,mass,0.9289,2.496,23,10,right
opus,kids,1.0092,2.458,20,8,right
opus,tim,1.0092,2.458,20,8,right
opus,free,0.8779,2.453,24,11,right
opus,year,1.757,2.37,11,2,right
opus,city,1.757,2.37,11,2,right
opus,they're,0.8859,2.364,22,10,right
opus,need,1.1841,2.343,15,5,right
opus,ds,4.4504,2.341,21,0,right
opus,muslims,2.3,2.335,10,1,right
opus,gaines,2.3,2.335,10,1,right
opus,nation,2.3,2.335,10,1,right
opus,governor,2.3,2.335,10,1,right
opus,problem,0.9597,2.319,19,8,right
opus,freedom,1.2606,2.256,13,4,right
opus,warns,1.2606,2.256,13,4,right
opus,glenn,1.6681,2.226,10,2,right
opus,britain,1.6681,2.226,10,2,right
opus,walz,4.4502,2.226,19,0,right
opus,gen,2.2064,2.216,9,1,right
opus,arrests,2.2064,2.216,9,1,right
opus,brown,2.2064,2.216,9,1,right
opus,la,2.2064,2.216,9,1,right
opus,happened,2.2064,2.216,9,1,right
opus,amfest,2.2064,2.216,9,1,right
opus,saved,2.2064,2.216,9,1,right
opus,police,0.9075,2.174,18,8,right
opus,truth,0.4931,2.112,44,30,right
opus,swalwell,4.4501,2.106,17,0,right
opus,eric,1.184,2.096,12,4,right
opus,mom,1.184,2.096,12,4,right
opus,western,2.1006,2.084,8,1,right
opus,gold,2.1006,2.084,8,1,right
opus,boy,2.1006,2.084,8,1,right
opus,allegations,2.1006,2.084,8,1,right
opus,ayatollah,2.1006,2.084,8,1,right
opus,tour,2.1006,2.084,8,1,right
opus,daycare,2.1006,2.084,8,1,right
opus,trapped,2.1006,2.084,8,1,right
opus,chicago,2.1006,2.084,8,1,right
opus,riley,1.5691,2.069,9,2,right
opus,church,1.5691,2.069,9,2,right
opus,crockett,1.5691,2.069,9,2,right
opus,great,1.0467,2.028,13,5,right
opus,aoc,0.8522,2.022,17,8,right
opus,make,0.7094,2.008,22,12,right
opus,believe,1.2847,1.998,10,3,right
opus,pride,1.2847,1.998,10,3,right
opus,radical,1.2847,1.998,10,3,right
opus,conservatives,1.2847,1.998,10,3,right
opus,alex,0.6443,1.945,24,14,neither
opus,street,1.9793,1.937,7,1,neither
opus,austin,1.9793,1.937,7,1,neither
opus,word,1.9793,1.937,7,1,neither
opus,hammer,1.9793,1.937,7,1,neither
opus,happening,1.9793,1.937,7,1,neither
opus,force,1.9793,1.937,7,1,neither
opus,gang,1.9793,1.937,7,1,neither
opus,students,1.9793,1.937,7,1,neither
opus,shooter,1.9793,1.937,7,1,neither
opus,christianity,1.9793,1.937,7,1,neither
opus,clark,1.9793,1.937,7,1,neither
opus,conservative,1.1005,1.923,11,4,neither
opus,violent,1.1005,1.923,11,4,neither
opus,million,0.8602,1.912,15,7,neither
opus,splc,4.45,1.911,14,0,neither
opus,tomi,4.45,1.911,14,0,neither
opus,cb,4.45,1.911,14,0,neither
opus,ready,1.4579,1.895,8,2,neither
opus,saving,1.4579,1.895,8,2,neither
opus,facts,1.4579,1.895,8,2,neither
opus,narrative,1.4579,1.895,8,2,neither
opus,maher,1.4579,1.895,8,2,neither
opus,agenda,0.9695,1.855,12,5,neither
opus,jewish,0.9695,1.855,12,5,neither
opus,american,0.475,1.85,36,25,neither
opus,lahren,4.4499,1.841,13,0,neither
opus,economic,0.7382,1.819,17,9,neither
opus,attacked,1.1839,1.815,9,3,neither
opus,anti-israel,1.1839,1.815,9,3,neither
opus,i'm,1.1839,1.815,9,3,neither
opus,immigrants,1.1839,1.815,9,3,neither
