a,b,n_shared_words,kappa,exact_agreement,both_partisan,same_side_when_both_partisan,z_spearman,left_left,left_neither,left_right,neither_left,neither_neither,neither_right,right_left,right_neither,right_right,side_switchers
qwen,gemma,1928,0.2455,0.9077,35,0.9429,0.3437,24,30,1,66,1717,70,1,10,9,"biden (-2.2 / +2.3), trump (+2.8 / -11.5)"
qwen,opus,1849,0.0991,0.8653,27,0.4815,0.1004,7,39,9,73,1587,114,5,9,6,"left (-3.9 / +5.0), aoc (-3.7 / +2.2), piker (-3.6 / +2.5), black (-3.3 / +3.9), progressive (-2.9 / +2.0), mamdani (-2.7 / +3.5), biden (-2.2 / +3.6), didn't (-2.1 / +2.1), abortion (-2.1 / +2.8), kristi (+2.0 / -2.9), noem (+2.1 / -3.1), fox (+2.5 / -4.3), gop (+2.6 / -2.4), trump (+2.8 / -21.3)"
qwen,consensus,856,0.2691,0.9159,16,0.9375,0.6839,8,38,0,14,769,9,1,10,7,trump (+2.8 / -10.1)
qwen,lanes,1932,0.0107,0.3991,51,0.549,0.0601,18,22,15,478,743,636,8,2,10,"left (-3.9 / +8.6), black (-3.3 / +8.5), violence (-3.1 / +2.4), mamdani (-2.7 / +13.4), zohran (-2.6 / +2.5), palestinian (-2.5 / +4.9), palestine (-2.3 / +2.3), making (-2.3 / +2.7), terror (-2.3 / +4.3), biden (-2.2 / +2.4), dark (-2.1 / +2.0), abortion (-2.1 / +5.4), didn't (-2.1 / +2.8), family (-2.0 / +3.0), happened (-2.0 / +5.4), kristi (+2.0 / -10.4), insane (+2.0 / -4.5), noem (+2.1 / -11.8), goes (+2.3 / -6.2), republican (+2.4 / -9.9), fox (+2.5 / -20.8), gop (+2.6 / -10.3), trump (+2.8 / -84.7)"
gemma,opus,2548,0.3348,0.9046,77,0.8701,0.554,30,56,5,50,2238,88,5,39,37,"piker (-3.8 / +2.5), aoc (-3.1 / +2.2), black (-3.0 / +3.9), progressive (-2.1 / +2.0), left (-2.0 / +5.0), bondi (+2.0 / -2.1), pam (+2.1 / -2.1), vance (+2.9 / -3.4), jd (+3.3 / -3.1), hegseth (+3.5 / -2.7)"
gemma,consensus,856,0.2249,0.8516,23,1.0,0.6818,12,53,0,11,706,5,0,58,11,
gemma,lanes,3119,0.0696,0.4954,138,0.8261,0.3627,55,24,9,552,1431,967,15,7,59,"zohran (-3.7 / +2.5), black (-3.0 / +8.5), political (-2.8 / +5.3), palestine (-2.5 / +2.3), revolution (-2.0 / +6.2), reacts (-2.0 / +7.7), minneapolis (-2.0 / +5.8), left (-2.0 / +8.6), activists (-2.0 / +5.5), bondi (+2.0 / -10.8), canada (+2.1 / -4.1), pam (+2.1 / -7.9), shut (+2.1 / -2.2), fires (+2.3 / -2.0), piers (+2.3 / -6.1), pete (+2.3 / -9.1), issues (+2.5 / -3.4), says (+2.6 / -4.0), morgan (+2.6 / -5.7), republican (+2.8 / -9.9), massie (+2.8 / -4.1), vance (+2.9 / -10.8), jd (+3.3 / -7.1), hegseth (+3.5 / -15.2)"
opus,consensus,856,0.2965,0.8376,35,1.0,0.7259,20,42,0,3,682,1,0,93,15,
opus,lanes,2656,0.127,0.497,192,0.9635,0.5986,69,8,5,514,1135,795,2,12,116,"asmongold (-2.3 / +2.7), reacts (-2.2 / +7.7), strait (-2.1 / +2.2), china (-2.1 / +5.9), tech (-2.1 / +2.5), fires (+2.0 / -2.0), canada (+2.5 / -4.1)"
consensus,lanes,854,0.0536,0.3431,37,0.9459,0.4896,21,1,1,216,258,341,1,1,14,"palestinian (-2.0 / +4.9), canada (+2.0 / -4.1)"
