row_id,creator,title_raw,label_record,label_repeat
462,@AsmonTV,What the f**k is happening in London??,neither,right
464,@AsmonTV,Former FBI director is done..,right,neither
953,@BenShapiro,One Year Since Charlie Kirk’s Murder... What The Hell Happened?!,neither,right
1199,@BenShapiro,Trump’s Escalation Against Iran Explained,neither,left
1229,@BenShapiro,The True Meaning of Memorial Day | Nick Freitas & Ben Shapiro,right,neither
1283,@BenShapiro,The Most Dangerous Power Grab in Modern American History,left,neither
1318,@BenShapiro,Ben Shapiro vs. 2026 Movie Trailers,neither,right
1322,@BenShapiro,"Trump Proposes Peace, Guess What Iran Said?",right,neither
1449,@BenShapiro,2026 SHOCK: Trump DEPOSES Maduro!,right,neither
1489,@ClipsCandaceOwens,"My Friend, Charlie | 1993 - 2025",neither,right
1490,@ClipsCandaceOwens,"""I'm A Political Refugee"" | Candace x Stephen A",right,neither
1579,@ClipsCandaceOwens,Jared & Ivanka's Albanian Island | The Dark Truth,left,neither
1588,@ClipsCandaceOwens,“Erika’s Safe. They Just Wanted Charlie”,neither,right
1599,@ClipsCandaceOwens,The October 7 Experience Is TERRIFIYING...,right,neither
1608,@ClipsCandaceOwens,Politics Has Changed Forever | Candace Owens x Dave Smith,right,neither
1628,@ClipsCandaceOwens,The Hadid Family Story In Palestine,neither,left
1658,@ClipsCandaceOwens,Pam Bondi: YOU'RE FIRED!,left,neither
1892,@HasanAbi,SUSAN COLLINS IS DOOMED,neither,left
1928,@HasanAbi,She Wants to Unseat Another “Do-Nothing” Democrat,left,neither
2189,@HasanAbi,This is beyond racist..,left,neither
2366,@HasanAbiVODs3,"HasanAbi July 31, 2026 – Michigan IRL w/ Abdul El-Sayed, Adam Hamawy &more; call w/ Donovan McKinney",left,neither
2416,@HasanAbiVODs3,"HasanAbi June 11, 2026 – Knicks Win, IRL at NYC DSA Rally with Noah Kulwin",left,neither
2432,@HasanAbiVODs3,"HasanAbi May 26, 2026 – Stavros Halkias visits, NYC Day 4",neither,left
2444,@HasanAbiVODs3,"HasanAbi May 14, 2026 – Trump in China, Utah Rep. candidate Nate Blouin visits, CA Governors debate",left,neither
2451,@HasanAbiVODs3,"HasanAbi May 7, 2026 – In San Francisco, Rally w/ Saikat Chakrabarti",left,neither
2457,@HasanAbiVODs3,"HasanAbi May 1, 2026 – in St. Louis, Rally with Cori Bush",neither,left
2632,@LukeBeasley,Candace Owens Debate SHOCKS EVERYONE!,right,neither
3671,@LukeBeasley,OH SH*T: Tucker’s SHOCK SECRET CHAT With Bobby’s LOVER GOES PUBLIC!,neither,left
3930,@MattWalsh,Mothers Who Hate Their Kids Are Going VIRAL. Here's What I Think | Ep. 1829,neither,right
3973,@MattWalsh,We Investigated The INSANE Loophole That Lets Killers Walk Free | Ep. 1804,right,neither
4017,@MattWalsh,It's Happening. Politicians Can Now Take Your Home From You.,right,neither
4066,@MattWalsh,What Schools Don't Teach You About American Indians,left,neither
4120,@MattWalsh,Catching Up With Brett Cooper | Ep. 1737,neither,right
4125,@MattWalsh,What Schools Don't Teach You About Slavery,left,neither
4173,@MattWalsh,Matt Walsh Reacts To The Trans Athlete SCOTUS Hearing | Ep. 1717,neither,right
4238,@MegynKelly,Megyn Kelly Remembers Charlie Kirk on One Year Anniversary of His Assassination,right,neither
4708,@MegynKelly,"Serena Williams and Naomi Osaka's Selfishness and Poor Sportsmanship at Wimbledon, with Rob Finnerty",right,neither
4746,@MegynKelly,"Tucker Carlson Says He’s Leaving GOP, How World Cup Renewed American Patriotism, w/ Halperin & More",neither,right
4768,@MegynKelly,VP JD Vance x Megyn Kelly - The FULL Interview,right,neither
4828,@MegynKelly,"The Truth About ""Cheating"" in LA Mayor Race",right,neither
7980,@MeidasTouch,Fox TURN ON TRUMP after SHOCK FIRING,neither,left
10051,@MichaelKnowles,Republicans May Get Slaughtered In The Elections If This Is True,left,neither
10095,@MichaelKnowles,What The Lindsay Clancy Trial Reveals About Women In America,neither,right
10103,@MichaelKnowles,"Knowles REACTS To Christian Music: ""Demons"" By Josiah Queen",right,neither
10322,@MichaelKnowles,A Catholic & Protestant Discuss Christianity & Nationalism: Michael Knowles ft. Doug Wilson,right,neither
10378,@MichaelKnowles,WATCH: Driver Tries To RUN OVER Cop In North Carolina,right,neither
10391,@MichaelKnowles,What Will Happen? State Of The Union Predictions With Michael Knowles & Isabel Brown,right,neither
10496,@MichaelKnowles,Merry Christmas: Let’s Talk About The End of the World - Michael Knowles & Bishop Barron EXPLAIN,neither,right
10678,@PartOfTheProblem,Dave Smith | Netanyahu Knew | Part Of The Problem 1441,left,neither
10699,@PartOfTheProblem,Dave Smith | The Populist Moment | Part Of The Problem 1420,neither,right
10729,@PartOfTheProblem,Dave Smith | Censorship is Coming | Part Of The Problem 1390,neither,right
10745,@PartOfTheProblem,Dave Smith | Shameless War Propaganda | Part Of The Problem 1374,neither,left
10750,@PartOfTheProblem,Dave Smith | A Response to Pathetic Ben Shapiro | Part Of The Problem 1369,neither,left
10759,@PartOfTheProblem,Dave Smith | Pam Bondi is Cooked | Part Of The Problem 1360,right,neither
10762,@PartOfTheProblem,Dave Smith | Kash Patel is Pathetic | Part Of The Problem 1357,neither,left
10770,@PartOfTheProblem,Dave Smith | It Was Always About Regime Change | Part Of The Problem 1349,neither,left
10815,@SecularTalk,BRUTAL EXPOSÉ PROVES FETTERMAN IS F*CKED | The Kyle Kulinski Show,left,neither
12224,@SecularTalk,Nick Fuentes & Roseanne Barr GO TO WAR & It Turns UGLY | The Kyle Kulinski Show,left,neither
12324,@StevenCrowder,Candace is Selling You Bullsh*t,neither,left
12334,@StevenCrowder,Canada is a National Security Threat,right,neither
12347,@StevenCrowder,These Broads Will Ruin Your Life,right,neither
12349,@StevenCrowder,The $400K Childcare Hoax,neither,right
12350,@StevenCrowder,The Dumbest Protest in American History,right,neither
12386,@StevenCrowder,The Truth About the Great Replacement,neither,right
12401,@StevenCrowder,The Case for Tribalism,neither,right
12838,@TheMajorityReport,"""Sit It Out"": Joy Reid Urges Voters To Use Leverage With Dem Party Over Platner",left,neither
13373,@TheMajorityReport,Melania Trump's Robot Presentation Freaks Everyone Out,neither,left
