creator,n_titles,score_record,score_repeat,change,group_record,group_repeat,group
@NickCruseRBN,16,-0.0625,-0.375,-0.3125,left,left,left
@PhillipScottPodcast,16,0.25,0.0625,-0.1875,right,right,right
@thehill,50,0.04,-0.12,-0.16,neutral,left,neutral
@Xanderhal,50,-0.5,-0.64,-0.14,left,left,left
@SecondThought,16,-0.3125,-0.4375,-0.125,left,left,left
@Unpacked,16,0.0625,-0.0625,-0.125,right,left,right
@Lunaoi,9,-0.7777777777777778,-0.8888888888888888,-0.11111111111111105,left,left,left
@ColemanHughesOfficial,50,0.3,0.2,-0.09999999999999998,right,right,right
@AndrewKlavan,50,0.44,0.34,-0.09999999999999998,right,right,right
@clayandbuck,50,0.6,0.5,-0.09999999999999998,right,right,right
@BadFaithPodcast,50,-0.54,-0.64,-0.09999999999999998,left,left,left
@BlaireWhiteX,11,0.7272727272727273,0.6363636363636364,-0.09090909090909094,right,right,right
@FarronBalanced,50,-0.82,-0.9,-0.08000000000000007,left,left,left
@PiersMorganUncensored,50,0.04,-0.04,-0.08,neutral,neutral,neutral
@KimIversen,50,-0.02,-0.1,-0.08,neutral,left,neutral
@AlexStein99,50,0.22,0.14,-0.07999999999999999,right,right,right
@RileyGaines,50,0.6,0.52,-0.07999999999999996,right,right,right
@DannyHaiphongYT,50,-0.66,-0.74,-0.07999999999999996,left,left,left
@LeverNews,50,-0.52,-0.6,-0.07999999999999996,left,left,left
@johnnyharris,13,-0.15384615384615385,-0.23076923076923078,-0.07692307692307693,left,left,left
@evanjmez,16,-0.5,-0.5625,-0.0625,left,left,left
@ColeHastings,16,0.125,0.0625,-0.0625,right,right,right
@revleftradio,16,-0.625,-0.6875,-0.0625,left,left,left
@RekietaLaw,16,0.1875,0.125,-0.0625,right,right,right
@PrisonPlanetLive,16,0.1875,0.125,-0.0625,right,right,right
@MattBernstein1,16,-0.4375,-0.5,-0.0625,left,left,left
@podsaveamerica,50,-0.62,-0.68,-0.06000000000000005,left,left,left
@glennbeck,50,0.56,0.5,-0.06000000000000005,right,right,right
@thedavidpakmanshow,50,-0.58,-0.64,-0.06000000000000005,left,left,left
@destiny,50,-0.2,-0.26,-0.06,left,left,left
@DarkHorsePod,50,0.3,0.24,-0.06,right,right,right
@MegynKelly,50,0.38,0.32,-0.06,right,right,right
@TheVaushPit,50,-0.1,-0.16,-0.06,left,left,left
@DylanBurnsLIVE,50,-0.12,-0.18,-0.06,left,left,left
@Tim_Black,50,0.12,0.06,-0.06,right,right,right
@DropSiteNews,50,-0.38,-0.44,-0.06,left,left,left
@fightbackpodcast,50,0.22,0.16,-0.06,right,right,right
@MyronGainesX,50,0.38,0.32,-0.06,right,right,right
@PiscoLitty,50,-0.3,-0.36,-0.06,left,left,left
@TheMajorityReport,50,-0.68,-0.74,-0.05999999999999994,left,left,left
@JackCocchiarellaShow,50,-0.8,-0.86,-0.05999999999999994,left,left,left
@LiberalHivemind,50,0.28,0.24,-0.040000000000000036,right,right,right
@GlennKirschner2,50,-0.74,-0.78,-0.040000000000000036,left,left,left
https://rumble.com/c/BannonsWarRoom,50,0.68,0.64,-0.040000000000000036,right,right,right
@ponderingpolitics,50,-0.7,-0.74,-0.040000000000000036,left,left,left
@TheSerfTimes,50,-0.3,-0.34,-0.040000000000000036,left,left,left
@cafedotcom,50,-0.52,-0.56,-0.040000000000000036,left,left,left
@TomiLahrenIsFearless,50,0.54,0.5,-0.040000000000000036,right,right,right
@LeejaMiller,50,-0.42,-0.46,-0.040000000000000036,left,left,left
@RealAmericasVoice,50,0.54,0.5,-0.040000000000000036,right,right,right
@RealDanBongino,50,0.34,0.3,-0.040000000000000036,right,right,right
@CashJordan,50,0.88,0.84,-0.040000000000000036,right,right,right
@StosselTV,50,0.64,0.6,-0.040000000000000036,right,right,right
@DemocracyNow,50,-0.52,-0.56,-0.040000000000000036,left,left,left
@MarkDice,50,0.54,0.5,-0.040000000000000036,right,right,right
@EzraKleinShow,50,-0.22,-0.26,-0.04000000000000001,left,left,left
@OutKick,50,0.26,0.22,-0.04000000000000001,right,right,right
@PartOfTheProblem,50,0.1,0.06,-0.04000000000000001,right,right,right
@TimcastIRL,50,0.22,0.18,-0.04000000000000001,right,right,right
@hutch,50,0.02,-0.02,-0.04,neutral,neutral,neutral
@USATODAY,50,-0.04,-0.08,-0.04,neutral,left,neutral
@destinyhqclips,50,-0.02,-0.06,-0.039999999999999994,neutral,left,neutral
@thejimmydoreshow,50,-0.02,-0.06,-0.039999999999999994,neutral,left,neutral
@lonerboxlive,50,0.06,0.02,-0.039999999999999994,right,neutral,right
@ChadPrather1,50,0.48,0.44,-0.03999999999999998,right,right,right
@Forthepeoplepodcast305,50,-0.32,-0.36,-0.03999999999999998,left,left,left
@TheRealTabithaSpeaks,50,-0.14,-0.18,-0.03999999999999998,left,left,left
https://rumble.com/c/TheAlexJonesShowLive,50,0.3,0.26,-0.03999999999999998,right,right,right
@MrTariqNasheed,50,0.18,0.14,-0.03999999999999998,right,right,right
https://rumble.com/c/nickjfuentes,50,0.24,0.2,-0.03999999999999998,right,right,right
