creator,n_base,n_topup,score_base,score_topup,score_all,group_base,group_all,change,group
@TheOfficerTatum,16,34,0.875,0.35294117647058826,0.52,right,right,-0.355,right
@TheHumanistReport,16,34,-0.5,-0.9117647058823529,-0.78,left,left,-0.28,left
@MarkDice,16,34,0.8125,0.4117647058823529,0.54,right,right,-0.27249999999999996,right
@winston_marshall,16,34,0.625,0.29411764705882354,0.4,right,right,-0.22499999999999998,right
@RufoandLomez,16,34,0.5625,0.23529411764705882,0.34,right,right,-0.22249999999999998,right
@AlexStein99,16,34,0.4375,0.11764705882352941,0.22,right,right,-0.2175,right
@cafedotcom,16,34,-0.3125,-0.6176470588235294,-0.52,left,left,-0.20750000000000002,left
@ponderingpolitics,16,34,-0.5,-0.7941176470588235,-0.7,left,left,-0.19999999999999996,left
@MrTariqNasheed,16,34,0.375,0.08823529411764706,0.18,right,right,-0.195,right
@bennyjohnson,16,34,0.875,0.5882352941176471,0.68,right,right,-0.19499999999999995,right
@podsaveamerica,16,34,-0.4375,-0.7058823529411765,-0.62,left,left,-0.1825,left
@thegrayzone7996,16,34,-0.4375,-0.7058823529411765,-0.62,left,left,-0.1825,left
@MLChristiansen,16,34,0.875,0.6176470588235294,0.7,right,right,-0.17500000000000004,right
@BelleRanch,16,34,-0.1875,-0.4411764705882353,-0.36,left,left,-0.1725,left
@hutch,16,34,0.1875,-0.058823529411764705,0.02,right,neutral,-0.1675,neutral
@JacksonHinkleOfficial,16,34,0.125,-0.11764705882352941,-0.04,right,neutral,-0.165,neutral
@ActualJusticeWarrior,16,34,0.9375,0.7058823529411765,0.78,right,right,-0.15749999999999997,right
@clayandbuck,16,34,0.75,0.5294117647058824,0.6,right,right,-0.15000000000000002,right
@PartOfTheProblem,16,34,0.25,0.029411764705882353,0.1,right,right,-0.15,right
@BrittanyVenti,16,34,0.125,-0.08823529411764706,-0.02,right,neutral,-0.145,neutral
@thejimmydoreshow,16,34,0.125,-0.08823529411764706,-0.02,right,neutral,-0.145,neutral
@RebelNewsOnline,16,34,0.5625,0.35294117647058826,0.42,right,right,-0.14250000000000002,right
@StevenCrowder,16,34,0.4375,0.23529411764705882,0.3,right,right,-0.1375,right
https://rumble.com/c/nickjfuentes,16,34,0.375,0.17647058823529413,0.24,right,right,-0.135,right
@ajplus,16,34,-0.1875,-0.38235294117647056,-0.32,left,left,-0.1325,left
@franifio,16,34,-0.25,-0.4411764705882353,-0.38,left,left,-0.13,left
@lonerboxlive,16,34,0.1875,0.0,0.06,right,right,-0.1275,right
@thomhartmann,16,34,-0.4375,-0.6176470588235294,-0.56,left,left,-0.12250000000000005,left
@adammockler,16,34,-0.4375,-0.6176470588235294,-0.56,left,left,-0.12250000000000005,left
@therationalnational,16,34,-0.3125,-0.47058823529411764,-0.42,left,left,-0.10749999999999998,left
@TheMichaelCohenShow,16,34,-0.4375,-0.5882352941176471,-0.54,left,left,-0.10250000000000004,left
@usefulidiots,16,34,-0.4375,-0.5882352941176471,-0.54,left,left,-0.10250000000000004,left
@samharrisorg,16,34,0.0,-0.14705882352941177,-0.1,neutral,left,-0.1,left
@GeopoliticalEconomyReport,16,34,-0.5,-0.6470588235294118,-0.6,left,left,-0.09999999999999998,left
@BlackConservativePerspective,16,34,1.0,0.8529411764705882,0.9,right,right,-0.09999999999999998,right
@UnHerd,16,34,-0.0625,-0.20588235294117646,-0.16,left,left,-0.0975,left
@harryjsisson,16,34,-0.625,-0.7647058823529411,-0.72,left,left,-0.09499999999999997,left
https://rumble.com/c/GGreenwald,16,34,-0.1875,-0.3235294117647059,-0.28,left,left,-0.09250000000000003,left
@Styxhexenhammer666,16,34,0.3125,0.17647058823529413,0.22,right,right,-0.0925,right
@triggerpod,16,34,0.25,0.11764705882352941,0.16,right,right,-0.09,right
@BlazeTV,16,34,0.75,0.6176470588235294,0.66,right,right,-0.08999999999999997,right
@DestinyDGGClips,16,34,0.1875,0.058823529411764705,0.1,right,right,-0.0875,right
@ClipsCandaceOwens,16,34,0.125,0.0,0.04,right,neutral,-0.08499999999999999,neutral
@thehill,16,34,0.125,0.0,0.04,right,neutral,-0.08499999999999999,neutral
@LeverNews,16,34,-0.4375,-0.5588235294117647,-0.52,left,left,-0.08250000000000002,left
@TimesNowWorld,16,34,0.0625,-0.058823529411764705,-0.02,right,neutral,-0.0825,neutral
@KimIversen,16,34,0.0625,-0.058823529411764705,-0.02,right,neutral,-0.0825,neutral
@JillianMichaels,16,34,0.5,0.38235294117647056,0.42,right,right,-0.08000000000000002,right
@TheBrianKilmeadeShow,16,34,0.5,0.38235294117647056,0.42,right,right,-0.08000000000000002,right
@NPR,16,34,0.0,-0.11764705882352941,-0.08,neutral,left,-0.08,left
@jimacosta,16,34,-0.5,-0.6176470588235294,-0.58,left,left,-0.07999999999999996,left
@JustPearlyThings,16,34,0.4375,0.3235294117647059,0.36,right,right,-0.07750000000000001,right
@TimcastNews,16,34,0.4375,0.3235294117647059,0.36,right,right,-0.07750000000000001,right
@destiny,16,34,-0.125,-0.23529411764705882,-0.2,left,left,-0.07500000000000001,left
@ColemanHughesOfficial,16,34,0.375,0.2647058823529412,0.3,right,right,-0.07500000000000001,right
@TheJoyReidShow,16,34,-0.625,-0.7352941176470589,-0.7,left,left,-0.07499999999999996,left
@TheAtlantic,16,34,-0.1875,-0.29411764705882354,-0.26,left,left,-0.07250000000000001,left
@underthedesknews,16,34,-0.25,-0.35294117647058826,-0.32,left,left,-0.07,left
https://rumble.com/c/BannonsWarRoom,16,34,0.75,0.6470588235294118,0.68,right,right,-0.06999999999999995,right
@AsmonTV,16,34,0.1875,0.08823529411764706,0.12,right,right,-0.0675,right
@LegalEagle,16,34,-0.375,-0.47058823529411764,-0.44,left,left,-0.065,left
@ABCNews,16,34,0.0625,-0.029411764705882353,0.0,right,neutral,-0.0625,neutral
@Xanderhal,16,34,-0.4375,-0.5294117647058824,-0.5,left,left,-0.0625,left
@SkyNews,16,34,0.0,-0.08823529411764706,-0.06,neutral,left,-0.06,left
@AndrewKlavan,16,34,0.5,0.4117647058823529,0.44,right,right,-0.06,right
@BenShapiro,16,34,0.4375,0.35294117647058826,0.38,right,right,-0.057499999999999996,right
@CamHigby,16,34,0.9375,0.8529411764705882,0.88,right,right,-0.057499999999999996,right
@NYTPodcasts,16,34,-0.0625,-0.14705882352941177,-0.12,left,left,-0.057499999999999996,left
@FoxNews,16,34,0.4375,0.35294117647058826,0.38,right,right,-0.057499999999999996,right
@OfficialSaharTV,16,34,0.875,0.7941176470588235,0.82,right,right,-0.05500000000000005,right
@judgingfreedom,16,34,-0.125,-0.20588235294117646,-0.18,left,left,-0.05499999999999999,left
@bbrettcooper,16,34,0.3125,0.23529411764705882,0.26,right,right,-0.05249999999999999,right
@RebelHQ,16,34,-0.75,-0.8235294117647058,-0.8,left,left,-0.050000000000000044,left
@NovaraMedia,16,34,-0.3125,-0.38235294117647056,-0.36,left,left,-0.04749999999999999,left
@JamarlThomas,16,34,-0.3125,-0.38235294117647056,-0.36,left,left,-0.04749999999999999,left
@RedactedNews,16,34,0.1875,0.11764705882352941,0.14,right,right,-0.04749999999999999,right
@DueDissidence,16,34,-0.3125,-0.38235294117647056,-0.36,left,left,-0.04749999999999999,left
@chriscuomo,16,34,-0.375,-0.4411764705882353,-0.42,left,left,-0.044999999999999984,left
@ZeihanonGeopolitics,16,34,0.0625,0.0,0.02,right,neutral,-0.042499999999999996,neutral
@ClubRandomPodcast,16,34,0.0625,0.0,0.02,right,neutral,-0.042499999999999996,neutral
@XAVIAER,16,34,0.5625,0.5,0.52,right,right,-0.04249999999999998,right
@RestPoliticsUS,16,34,-0.5,-0.5588235294117647,-0.54,left,left,-0.040000000000000036,left
@POLITICO,16,34,0.0,-0.058823529411764705,-0.04,neutral,neutral,-0.04,neutral
@newyorker,16,34,0.0,-0.058823529411764705,-0.04,neutral,neutral,-0.04,neutral
@USATODAY,16,34,0.0,-0.058823529411764705,-0.04,neutral,neutral,-0.04,neutral
@lizwheeler,16,34,0.5,0.4411764705882353,0.46,right,right,-0.03999999999999998,right
@TheEconomist,16,34,-0.0625,-0.11764705882352941,-0.1,left,left,-0.037500000000000006,left
@SMN,16,34,-0.5625,-0.6176470588235294,-0.6,left,left,-0.03749999999999998,left
@lovettorleaveitpodcast,16,34,-0.5625,-0.6176470588235294,-0.6,left,left,-0.03749999999999998,left
@AndWeKnowOfficial-o9b,16,34,0.875,0.8235294117647058,0.84,right,right,-0.03500000000000003,right
@SabbySabs,16,34,-0.125,-0.17647058823529413,-0.16,left,left,-0.035,left
@FoxNewsChannelClips,16,34,0.375,0.3235294117647059,0.34,right,right,-0.034999999999999976,right
@Timcast,16,34,0.375,0.3235294117647059,0.34,right,right,-0.034999999999999976,right
@OwenReport,16,34,-0.1875,-0.23529411764705882,-0.22,left,left,-0.0325,left
@nousnetwork,16,34,-0.1875,-0.23529411764705882,-0.22,left,left,-0.0325,left
@HangOutwithSeanHannity,16,34,0.3125,0.2647058823529412,0.28,right,right,-0.03249999999999997,right
@oann,16,34,0.3125,0.2647058823529412,0.28,right,right,-0.03249999999999997,right
@rolandsmartin,16,34,-0.6875,-0.7352941176470589,-0.72,left,left,-0.03249999999999997,left
@LiberalHivemind,16,34,0.3125,0.2647058823529412,0.28,right,right,-0.03249999999999997,right
@StatusCoup,16,34,-0.6875,-0.7352941176470589,-0.72,left,left,-0.03249999999999997,left
@DrSteveTurleyTV,16,34,0.75,0.7058823529411765,0.72,right,right,-0.030000000000000027,right
@moreperfectunion,16,34,-0.25,-0.29411764705882354,-0.28,left,left,-0.030000000000000027,left
@TimcastIRL,16,34,0.25,0.20588235294117646,0.22,right,right,-0.03,right
@fightbackpodcast,16,34,0.25,0.20588235294117646,0.22,right,right,-0.03,right
@MeidasTouch,16,34,-0.8125,-0.8529411764705882,-0.84,left,left,-0.02749999999999997,left
@SecularTalk,16,34,-0.8125,-0.8529411764705882,-0.84,left,left,-0.02749999999999997,left
@Politicon,16,34,-0.375,-0.4117647058823529,-0.4,left,left,-0.025000000000000022,left
@HasanabiClips,16,34,-0.375,-0.4117647058823529,-0.4,left,left,-0.025000000000000022,left
@deanwithrs,16,34,-0.875,-0.9117647058823529,-0.9,left,left,-0.025000000000000022,left
@TuckerCarlson,16,34,0.0625,0.029411764705882353,0.04,right,neutral,-0.0225,neutral
@NewsmaxTV,16,34,0.5625,0.5294117647058824,0.54,right,right,-0.022499999999999964,right
@DemocracyNow,16,34,-0.5,-0.5294117647058824,-0.52,left,left,-0.020000000000000018,left
@markets,16,34,0.0,-0.029411764705882353,-0.02,neutral,neutral,-0.02,neutral
@Reuters,16,34,0.0,-0.029411764705882353,-0.02,neutral,neutral,-0.02,neutral
@Firstpost,16,34,0.0,-0.029411764705882353,-0.02,neutral,neutral,-0.02,neutral
@CNN,16,34,-0.0625,-0.08823529411764706,-0.08,left,left,-0.0175,left
@BadEmpanadaLive,16,34,-0.125,-0.14705882352941177,-0.14,left,left,-0.015000000000000013,left
@RobertGouveiaEsq,16,34,0.875,0.8529411764705882,0.86,right,right,-0.015000000000000013,right
@nytimes,16,34,-0.125,-0.14705882352941177,-0.14,left,left,-0.015000000000000013,left
@DarkHorsePod,16,34,0.3125,0.29411764705882354,0.3,right,right,-0.012500000000000011,right
@nationalreview,16,34,0.75,0.7352941176470589,0.74,right,right,-0.010000000000000009,right
@GrahamAllen,16,34,0.25,0.23529411764705882,0.24,right,right,-0.010000000000000009,right
@TheYoungTurks,16,34,-0.25,-0.2647058823529412,-0.26,left,left,-0.010000000000000009,left
@FarronBalanced,16,34,-0.8125,-0.8235294117647058,-0.82,left,left,-0.007499999999999951,left
@marclamonthillnetwork,16,34,-0.375,-0.38235294117647056,-0.38,left,left,-0.0050000000000000044,left
@fastpoliticspodcast,16,34,-0.875,-0.8823529411764706,-0.88,left,left,-0.0050000000000000044,left
@nypost,16,34,0.0625,0.058823529411764705,0.06,right,right,-0.0025000000000000022,right
@The_Crucible,16,34,0.0625,0.058823529411764705,0.06,right,right,-0.0025000000000000022,right
@DailyDenims,16,34,-0.4375,-0.4411764705882353,-0.44,left,left,-0.0025000000000000022,left
@MichaelKnowles,16,34,0.5625,0.5588235294117647,0.56,right,right,-0.0024999999999999467,right
@TimDillonShow,16,34,0.0,0.0,0.0,neutral,neutral,0.0,neutral
@axios,16,34,0.0,0.0,0.0,neutral,neutral,0.0,neutral
@wsj,16,34,0.0,0.0,0.0,neutral,neutral,0.0,neutral
@joerogan,16,34,0.0,0.0,0.0,neutral,neutral,0.0,neutral
@60minutes,16,34,0.0,0.0,0.0,neutral,neutral,0.0,neutral
@OwenJonesTalks,16,34,-0.5,-0.5,-0.5,left,left,0.0,left
@CBSNews,16,34,0.0,0.0,0.0,neutral,neutral,0.0,neutral
@ANINewsIndia,16,34,0.0,0.0,0.0,neutral,neutral,0.0,neutral
@BBCNews,16,34,0.0,0.0,0.0,neutral,neutral,0.0,neutral
@TechCrunch,16,34,0.0,0.0,0.0,neutral,neutral,0.0,neutral
@TheLincolnProject,16,34,-0.5625,-0.5588235294117647,-0.56,left,left,0.0024999999999999467,left
@ZubyMusic,16,34,0.375,0.38235294117647056,0.38,right,right,0.0050000000000000044,right
@bulwarkmedia,16,34,-0.625,-0.6176470588235294,-0.62,left,left,0.0050000000000000044,left
@MegynKelly,16,34,0.375,0.38235294117647056,0.38,right,right,0.0050000000000000044,right
@TheMajorityReport,16,34,-0.6875,-0.6764705882352942,-0.68,left,left,0.007499999999999951,left
@newdiscourses,16,34,0.25,0.2647058823529412,0.26,right,right,0.010000000000000009,right
@RSBN,16,34,0.25,0.2647058823529412,0.26,right,right,0.010000000000000009,right
@GlennKirschner2,16,34,-0.75,-0.7352941176470589,-0.74,left,left,0.010000000000000009,left
@TheAdamCarollaShow1,16,34,0.25,0.2647058823529412,0.26,right,right,0.010000000000000009,right
@JackCocchiarellaShow,16,34,-0.8125,-0.7941176470588235,-0.8,left,left,0.012499999999999956,left
@katiephangnews,16,34,-0.8125,-0.7941176470588235,-0.8,left,left,0.012499999999999956,left
@TheSerfTimes,16,34,-0.3125,-0.29411764705882354,-0.3,left,left,0.012500000000000011,left
@Vaush,16,34,-0.3125,-0.29411764705882354,-0.3,left,left,0.012500000000000011,left
@FreshFitMiami,16,34,0.125,0.14705882352941177,0.14,right,right,0.015000000000000013,right
@ThePodcastoftheLotusEaters,16,34,0.125,0.14705882352941177,0.14,right,right,0.015000000000000013,right
@marklevinshow,16,34,0.5625,0.5882352941176471,0.58,right,right,0.01749999999999996,right
@VivaFrei,16,34,0.5625,0.5882352941176471,0.58,right,right,0.01749999999999996,right
@aaronparnas1,16,34,-0.9375,-0.9117647058823529,-0.92,left,left,0.01749999999999996,left
@Semafor,16,34,0.0,0.029411764705882353,0.02,neutral,neutral,0.02,neutral
@wethefifth,16,34,0.0,0.029411764705882353,0.02,neutral,neutral,0.02,neutral
@msnow,16,34,-0.5625,-0.5294117647058824,-0.54,left,left,0.022499999999999964,left
@BadFaithPodcast,16,34,-0.5625,-0.5294117647058824,-0.54,left,left,0.022499999999999964,left
@X22Report-y5y,16,34,0.9375,0.9705882352941176,0.96,right,right,0.022499999999999964,right
@NBCNews,16,34,-0.0625,-0.029411764705882353,-0.04,left,neutral,0.0225,neutral
@Forbes,16,34,-0.0625,-0.029411764705882353,-0.04,left,neutral,0.0225,neutral
@timesofindia,16,34,-0.125,-0.08823529411764706,-0.1,left,left,0.024999999999999994,left
@TheVaushPit,16,34,-0.125,-0.08823529411764706,-0.1,left,left,0.024999999999999994,left
@Vox,16,34,-0.125,-0.08823529411764706,-0.1,left,left,0.024999999999999994,left
@TheQuartering,16,34,0.375,0.4117647058823529,0.4,right,right,0.025000000000000022,right
@zeteo,16,34,-0.625,-0.5882352941176471,-0.6,left,left,0.025000000000000022,left
@EzraKleinShow,16,34,-0.25,-0.20588235294117646,-0.22,left,left,0.03,left
@BreakThroughNews,16,34,-0.75,-0.7058823529411765,-0.72,left,left,0.030000000000000027,left
@chicksonright,16,34,0.25,0.29411764705882354,0.28,right,right,0.030000000000000027,right
@RubinReport,16,34,0.625,0.6764705882352942,0.66,right,right,0.03500000000000003,right
@dollemore,16,34,-0.875,-0.8235294117647058,-0.84,left,left,0.03500000000000003,left
@TheAmalaEkpunobi,16,34,0.5625,0.6176470588235294,0.6,right,right,0.03749999999999998,right
@NewsNation,16,34,0.0,0.058823529411764705,0.04,neutral,neutral,0.04,neutral
@theisabelbrown,16,34,0.5,0.5588235294117647,0.54,right,right,0.040000000000000036,right
@RealAmericasVoice,16,34,0.5,0.5588235294117647,0.54,right,right,0.040000000000000036,right
@LIVESNEAKO,16,34,-0.0625,0.0,-0.02,left,neutral,0.042499999999999996,neutral
@AssociatedPress,16,34,-0.0625,0.0,-0.02,left,neutral,0.042499999999999996,neutral
@AnthonyBrianLogan,16,34,0.375,0.4411764705882353,0.42,right,right,0.044999999999999984,right
@TheRealTabithaSpeaks,16,34,-0.1875,-0.11764705882352941,-0.14,left,left,0.04749999999999999,left
@Forthepeoplepodcast305,16,34,-0.375,-0.29411764705882354,-0.32,left,left,0.05499999999999999,left
@briantylercohen,16,34,-0.875,-0.7941176470588235,-0.82,left,left,0.05500000000000005,left
@LegalAFMTN,16,34,-0.9375,-0.8529411764705882,-0.88,left,left,0.057499999999999996,left
@DemocracyDocket,16,34,-0.9375,-0.8529411764705882,-0.88,left,left,0.057499999999999996,left
@DropSiteNews,16,34,-0.4375,-0.35294117647058826,-0.38,left,left,0.057499999999999996,left
@Tim_Black,16,34,0.0625,0.14705882352941177,0.12,right,right,0.057499999999999996,right
@glennbeck,16,34,0.5,0.5882352941176471,0.56,right,right,0.06000000000000005,right
@chinainsights-r2w,16,34,-0.0625,0.029411764705882353,0.0,left,neutral,0.0625,neutral
@breakingpoints,16,34,-0.5625,-0.47058823529411764,-0.5,left,left,0.0625,left
@AfterPartyEmily,16,34,0.4375,0.5294117647058824,0.5,right,right,0.0625,right
@LukeBeasley,16,34,-0.625,-0.5294117647058824,-0.56,left,left,0.06499999999999995,left
@aljazeeraenglish,16,34,-0.125,-0.029411764705882353,-0.06,left,left,0.065,left
@DylanBurnsLIVE,16,34,-0.1875,-0.08823529411764706,-0.12,left,left,0.0675,left
@PoliticsGirl,16,34,-0.25,-0.14705882352941177,-0.18,left,left,0.07,left
@dineshdsouza,16,34,0.25,0.35294117647058826,0.32,right,right,0.07,right
@laurenchenclips,16,34,0.25,0.35294117647058826,0.32,right,right,0.07,right
@HasanAbi,16,34,-0.3125,-0.20588235294117646,-0.24,left,left,0.07250000000000001,left
https://rumble.com/c/russellbrand,16,34,0.125,0.23529411764705882,0.2,right,right,0.07500000000000001,right
@morebridgetphetasy,16,34,0.0625,0.17647058823529413,0.14,right,right,0.07750000000000001,right
@StosselTV,16,34,0.5625,0.6764705882352942,0.64,right,right,0.07750000000000001,right
@RonPlacone,16,34,-0.5,-0.38235294117647056,-0.42,left,left,0.08000000000000002,left
@DannyHaiphongYT,16,34,-0.75,-0.6176470588235294,-0.66,left,left,0.08999999999999997,left
@HasanReactionsfanTwo,16,34,-0.75,-0.6176470588235294,-0.66,left,left,0.08999999999999997,left
@RealDanBongino,16,34,0.25,0.38235294117647056,0.34,right,right,0.09000000000000002,right
@turningpointusa,16,34,0.625,0.7647058823529411,0.72,right,right,0.09499999999999997,right
@MichaelMaliceofficial,16,34,0.125,0.2647058823529412,0.22,right,right,0.095,right
@RealAlexClark,16,34,0.0625,0.20588235294117646,0.16,right,right,0.0975,right
@TheDailyBeast,16,34,-1.0,-0.8529411764705882,-0.9,left,left,0.09999999999999998,left
@RileyGaines,16,34,0.5,0.6470588235294118,0.6,right,right,0.09999999999999998,right
@destinyhqclips,16,34,-0.125,0.029411764705882353,-0.02,left,neutral,0.105,neutral
@SydneyWatson,16,34,0.3125,0.47058823529411764,0.42,right,right,0.10749999999999998,right
@DoubleDownNews,16,34,-0.6875,-0.5294117647058824,-0.58,left,left,0.10750000000000004,left
https://rumble.com/c/TheAlexJonesShowLive,16,34,0.1875,0.35294117647058826,0.3,right,right,0.11249999999999999,right
@PTLRadioShow,16,34,-0.875,-0.7058823529411765,-0.76,left,left,0.11499999999999999,left
@CashJordan,16,34,0.75,0.9411764705882353,0.88,right,right,0.13,right
@MyronGainesX,16,34,0.25,0.4411764705882353,0.38,right,right,0.13,right
@PoliticsJOE,16,34,-0.375,-0.17647058823529413,-0.24,left,left,0.135,left
@PiscoLitty,16,34,-0.4375,-0.23529411764705882,-0.3,left,left,0.1375,left
@jlptalk,16,34,0.5,0.7058823529411765,0.64,right,right,0.14,right
@JesseKellyDC,16,34,0.4375,0.6470588235294118,0.58,right,right,0.14249999999999996,right
@LeejaMiller,16,34,-0.5625,-0.35294117647058826,-0.42,left,left,0.14250000000000002,left
@CoreyGilShusterAskProject,16,34,-0.125,0.08823529411764706,0.02,left,neutral,0.145,neutral
@MattWalsh,16,34,0.1875,0.4117647058823529,0.34,right,right,0.15250000000000002,right
@MikeFromPA,16,34,-0.4375,-0.20588235294117646,-0.28,left,left,0.15749999999999997,left
@PragerU,16,34,0.5,0.7352941176470589,0.66,right,right,0.16000000000000003,right
@SaltyCracker,16,34,0.5,0.7352941176470589,0.66,right,right,0.16000000000000003,right
@thewarningwithsteveschmidt,16,34,-1.0,-0.7647058823529411,-0.84,left,left,0.16000000000000003,left
@PiersMorganUncensored,16,34,-0.125,0.11764705882352941,0.04,left,neutral,0.165,neutral
@TomiLahrenIsFearless,16,34,0.375,0.6176470588235294,0.54,right,right,0.16500000000000004,right
@thedavidpakmanshow,16,34,-0.75,-0.5,-0.58,left,left,0.17000000000000004,left
@FleccasTalks,16,34,0.0625,0.3235294117647059,0.24,right,right,0.1775,right
@OutKick,16,34,0.0625,0.35294117647058826,0.26,right,right,0.1975,right
@HasanAbiVODs3,16,34,-0.375,-0.058823529411764705,-0.16,left,left,0.215,left
@TheDamageReport,16,34,-0.875,-0.5294117647058824,-0.64,left,left,0.235,left
@TheDonLemonShow,16,34,-0.875,-0.47058823529411764,-0.6,left,left,0.275,left
@ChadPrather1,16,34,0.1875,0.6176470588235294,0.48,right,right,0.2925,right
