row_id,creator,run,title_raw,label_first,label_shuffled
543,@AsmonTV,2,California is losing $180 BILLION..,neither,right
857,@AsmonTV,2,You won't see this on the mainstream news..,right,neither
953,@BenShapiro,2,One Year Since Charlie Kirk’s Murder... What The Hell Happened?!,right,neither
1229,@BenShapiro,1,The True Meaning of Memorial Day | Nick Freitas & Ben Shapiro,neither,right
1283,@BenShapiro,2,The Most Dangerous Power Grab in Modern American History,neither,left
1449,@BenShapiro,2,2026 SHOCK: Trump DEPOSES Maduro!,neither,right
1490,@ClipsCandaceOwens,1,"""I'm A Political Refugee"" | Candace x Stephen A",neither,right
1492,@ClipsCandaceOwens,2,Remembering Charlie: POWER,neither,right
1493,@ClipsCandaceOwens,2,Remembering Charlie: HOMECOMING,neither,right
1579,@ClipsCandaceOwens,2,Jared & Ivanka's Albanian Island | The Dark Truth,neither,left
1581,@ClipsCandaceOwens,1,The Timeline of Lies | The Charlie Kirk Case,neither,right
1599,@ClipsCandaceOwens,1,The October 7 Experience Is TERRIFIYING...,neither,right
1608,@ClipsCandaceOwens,2,Politics Has Changed Forever | Candace Owens x Dave Smith,neither,right
1626,@ClipsCandaceOwens,2,Erika Kirk CANNOT Get Her Story Straight...,neither,left
1641,@ClipsCandaceOwens,1,The Return of Post-9/11 Propaganda...,neither,left
1658,@ClipsCandaceOwens,2,Pam Bondi: YOU'RE FIRED!,neither,left
1659,@ClipsCandaceOwens,1,TPUSA’s Schrödinger’s Charlie Kirk Footage...,neither,left
1665,@ClipsCandaceOwens,2,They’re LYING About Tyler Robinson & Charlie Kirk...,right,neither
1892,@HasanAbi,2,SUSAN COLLINS IS DOOMED,left,neither
2052,@HasanAbi,1,ASMONGOLD IS WRONG ABOUT EVERYTHING,left,neither
2077,@HasanAbi,1,I'm Getting Canceled for Helping Cuba...,left,neither
2241,@HasanAbi,2,"ISRAEL IS WORKING WITH ""THE LEFT"" TO BAN ME?",neither,right
2275,@HasanAbi,2,BREAKING: NYC Is Now ‘Under Sharia Law’,left,right
2366,@HasanAbiVODs3,1,"HasanAbi July 31, 2026 – Michigan IRL w/ Abdul El-Sayed, Adam Hamawy &more; call w/ Donovan McKinney",neither,left
2379,@HasanAbiVODs3,1,"HasanAbi July 18, 2026 – speaking at the College Dems of America Convention, D.C. Day 2",left,neither
2388,@HasanAbiVODs3,2,"HasanAbi July 9, 2026 – Platner drops out, Texas ICE killing",neither,left
2444,@HasanAbiVODs3,1,"HasanAbi May 14, 2026 – Trump in China, Utah Rep. candidate Nate Blouin visits, CA Governors debate",neither,left
2451,@HasanAbiVODs3,2,"HasanAbi May 7, 2026 – In San Francisco, Rally w/ Saikat Chakrabarti",neither,left
2457,@HasanAbiVODs3,1,"HasanAbi May 1, 2026 – in St. Louis, Rally with Cori Bush",left,neither
2510,@LukeBeasley,2,Trump’s Family Just LEAKED HIS SECRET!,left,neither
