creator,n_titles,score_first,score_shuffled,change,group_first,group_shuffled,group
@katmabu,16,-0.4375,-0.8125,-0.375,left,left,left
@MrReaganUSA,16,0.875,0.5625,-0.3125,right,right,right
@GrahamAllen,50,0.44,0.24,-0.2,right,right,right
@LastWeekTonight,16,0.0,-0.1875,-0.1875,neutral,left,left
@doomscrollpodcast,16,-0.1875,-0.375,-0.1875,left,left,left
@JustPearlyThings,50,0.52,0.36,-0.16000000000000003,right,right,right
https://rumble.com/c/nickjfuentes,50,0.4,0.24,-0.16000000000000003,right,right,right
@TuckerCarlson,50,0.2,0.04,-0.16,right,neutral,neutral
@TheJoyReidShow,50,-0.54,-0.7,-0.15999999999999992,left,left,left
@OwenReport,50,-0.08,-0.22,-0.14,left,left,left
@MattBernstein1,16,-0.3125,-0.4375,-0.125,left,left,left
@theGuardian,16,-0.0625,-0.1875,-0.125,left,left,left
@OfficialSaharTV,50,0.94,0.82,-0.12,right,right,right
@FleccasTalks,50,0.36,0.24,-0.12,right,right,right
@bulwarkmedia,50,-0.5,-0.62,-0.12,left,left,left
@KimIversen,50,0.08,-0.02,-0.1,right,neutral,neutral
@BrittanyVenti,50,0.08,-0.02,-0.1,right,neutral,neutral
@thewarningwithsteveschmidt,50,-0.74,-0.84,-0.09999999999999998,left,left,left
@morebridgetphetasy,50,0.24,0.14,-0.09999999999999998,right,right,right
@rolandsmartin,50,-0.62,-0.72,-0.09999999999999998,left,left,left
@Shoe0nHead,10,0.7,0.6,-0.09999999999999998,right,right,right
@winston_marshall,50,0.5,0.4,-0.09999999999999998,right,right,right
@HasanReactionsfanTwo,50,-0.56,-0.66,-0.09999999999999998,left,left,left
@TheDailyBeast,50,-0.82,-0.9,-0.08000000000000007,left,left,left
@The_Crucible,50,0.14,0.06,-0.08000000000000002,right,right,right
@marclamonthillnetwork,50,-0.3,-0.38,-0.08000000000000002,left,left,left
@nytimes,50,-0.06,-0.14,-0.08000000000000002,left,left,left
@RebelNewsOnline,50,0.5,0.42,-0.08000000000000002,right,right,right
@UnHerd,50,-0.08,-0.16,-0.08,left,left,left
@FreshFitMiami,50,0.22,0.14,-0.07999999999999999,right,right,right
@ThePodcastoftheLotusEaters,50,0.22,0.14,-0.07999999999999999,right,right,right
@MarkDice,50,0.62,0.54,-0.07999999999999996,right,right,right
@bennyjohnson,50,0.76,0.68,-0.07999999999999996,right,right,right
@MattWalsh,50,0.42,0.34,-0.07999999999999996,right,right,right
@ModernDayDebate,16,0.0,-0.0625,-0.0625,neutral,left,left
@PerunAU,16,0.0,-0.0625,-0.0625,neutral,left,left
@mikhaila,16,0.1875,0.125,-0.0625,right,right,right
@nationalreview,50,0.8,0.74,-0.06000000000000005,right,right,right
@VivaFrei,50,0.64,0.58,-0.06000000000000005,right,right,right
@fastpoliticspodcast,50,-0.82,-0.88,-0.06000000000000005,left,left,left
@PTLRadioShow,50,-0.7,-0.76,-0.06000000000000005,left,left,left
@TheEconomist,50,-0.04,-0.1,-0.060000000000000005,neutral,left,left
@HasanabiClips,50,-0.34,-0.4,-0.06,left,left,left
@LegalEagle,50,-0.38,-0.44,-0.06,left,left,left
@BlackConservativePerspective,50,0.96,0.9,-0.05999999999999994,right,right,right
@StevenCrowder,50,0.34,0.3,-0.040000000000000036,right,right,right
@DrSteveTurleyTV,50,0.76,0.72,-0.040000000000000036,right,right,right
@DemocracyDocket,50,-0.84,-0.88,-0.040000000000000036,left,left,left
@fightbackpodcast,50,0.26,0.22,-0.04000000000000001,right,right,right
@samharrisorg,50,-0.06,-0.1,-0.04000000000000001,left,left,left
@nypost,50,0.1,0.06,-0.04000000000000001,right,right,right
@HasanAbiVODs3,50,-0.12,-0.16,-0.04000000000000001,left,left,left
@Forbes,50,0.0,-0.04,-0.04,neutral,neutral,neutral
@TimesNowWorld,50,0.02,-0.02,-0.04,neutral,neutral,neutral
@chinainsights-r2w,50,0.04,0.0,-0.04,neutral,neutral,neutral
@chriscuomo,50,-0.38,-0.42,-0.03999999999999998,left,left,left
@BelleRanch,50,-0.32,-0.36,-0.03999999999999998,left,left,left
@newdiscourses,50,0.3,0.26,-0.03999999999999998,right,right,right
@SecularTalk,50,-0.8,-0.84,-0.039999999999999925,left,left,left
@jimacosta,50,-0.54,-0.58,-0.039999999999999925,left,left,left
@lovettorleaveitpodcast,50,-0.56,-0.6,-0.039999999999999925,left,left,left
@CashJordan,50,0.9,0.88,-0.020000000000000018,right,right,right
https://rumble.com/c/TheAlexJonesShowLive,50,0.32,0.3,-0.020000000000000018,right,right,right
@zeteo,50,-0.58,-0.6,-0.020000000000000018,left,left,left
@underthedesknews,50,-0.3,-0.32,-0.020000000000000018,left,left,left
@TheOfficerTatum,50,0.54,0.52,-0.020000000000000018,right,right,right
@theisabelbrown,50,0.56,0.54,-0.020000000000000018,right,right,right
@TheAmalaEkpunobi,50,0.62,0.6,-0.020000000000000018,right,right,right
@CamHigby,50,0.9,0.88,-0.020000000000000018,right,right,right
@LegalAFMTN,50,-0.86,-0.88,-0.020000000000000018,left,left,left
@XAVIAER,50,0.54,0.52,-0.020000000000000018,right,right,right
@TheAtlantic,50,-0.24,-0.26,-0.020000000000000018,left,left,left
@laurenchenclips,50,0.34,0.32,-0.020000000000000018,right,right,right
@TheAdamCarollaShow1,50,0.28,0.26,-0.020000000000000018,right,right,right
@cafedotcom,50,-0.5,-0.52,-0.020000000000000018,left,left,left
@StosselTV,50,0.66,0.64,-0.020000000000000018,right,right,right
@Politicon,50,-0.38,-0.4,-0.020000000000000018,left,left,left
@NPR,50,-0.06,-0.08,-0.020000000000000004,left,left,left
@timesofindia,50,-0.08,-0.1,-0.020000000000000004,left,left,left
@Vox,50,-0.08,-0.1,-0.020000000000000004,left,left,left
@ClubRandomPodcast,50,0.04,0.02,-0.02,neutral,neutral,neutral
@newyorker,50,-0.02,-0.04,-0.02,neutral,neutral,neutral
@ANINewsIndia,50,0.02,0.0,-0.02,neutral,neutral,neutral
@markets,50,0.0,-0.02,-0.02,neutral,neutral,neutral
@SkyNews,50,-0.04,-0.06,-0.019999999999999997,neutral,left,left
@RedactedNews,50,0.16,0.14,-0.01999999999999999,right,right,right
@Styxhexenhammer666,50,0.24,0.22,-0.01999999999999999,right,right,right
https://rumble.com/c/russellbrand,50,0.22,0.2,-0.01999999999999999,right,right,right
@PoliticsJOE,50,-0.22,-0.24,-0.01999999999999999,left,left,left
@judgingfreedom,50,-0.16,-0.18,-0.01999999999999999,left,left,left
@LiberalHivemind,50,0.3,0.28,-0.019999999999999962,right,right,right
@TheQuartering,50,0.42,0.4,-0.019999999999999962,right,right,right
@FoxNewsChannelClips,50,0.36,0.34,-0.019999999999999962,right,right,right
@chicksonright,50,0.3,0.28,-0.019999999999999962,right,right,right
@DueDissidence,50,-0.34,-0.36,-0.019999999999999962,left,left,left
@RufoandLomez,50,0.36,0.34,-0.019999999999999962,right,right,right
@PrisonPlanetLive,16,0.1875,0.1875,0.0,right,right,right
@triggerpod,50,0.16,0.16,0.0,right,right,right
@thejimmydoreshow,50,-0.02,-0.02,0.0,neutral,neutral,neutral
@notsoErudite,16,-0.1875,-0.1875,0.0,left,left,left
@RestPoliticsUS,50,-0.54,-0.54,0.0,left,left,left
@Reuters,50,-0.02,-0.02,0.0,neutral,neutral,neutral
@joerogan,50,0.0,0.0,0.0,neutral,neutral,neutral
@SNEAKO,5,0.0,0.0,0.0,neutral,neutral,neutral
@TheMichaelCohenShow,50,-0.54,-0.54,0.0,left,left,left
@dineshdsouza,50,0.32,0.32,0.0,right,right,right
@TheBrianKilmeadeShow,50,0.42,0.42,0.0,right,right,right
@SavSays,16,0.3125,0.3125,0.0,right,right,right
@clayandbuck,50,0.6,0.6,0.0,right,right,right
@axios,50,0.0,0.0,0.0,neutral,neutral,neutral
@ZubyMusic,50,0.38,0.38,0.0,right,right,right
@Unpacked,16,0.0625,0.0625,0.0,right,right,right
@TechCrunch,50,0.0,0.0,0.0,neutral,neutral,neutral
@USATODAY,50,-0.04,-0.04,0.0,neutral,neutral,neutral
@hutch,50,0.02,0.02,0.0,neutral,neutral,neutral
@SaltyCracker,50,0.66,0.66,0.0,right,right,right
@60minutes,50,0.0,0.0,0.0,neutral,neutral,neutral
@ClipsCandaceOwens,50,0.04,0.04,0.0,neutral,neutral,neutral
@NYTPodcasts,50,-0.12,-0.12,0.0,left,left,left
@OfficialFlagrant,16,0.0625,0.0625,0.0,right,right,right
@CaspianReport,16,0.0,0.0,0.0,neutral,neutral,neutral
@Channel5YouTube,16,-0.125,-0.125,0.0,left,left,left
@PBDPodcast,16,0.0625,0.0625,0.0,right,right,right
@MichaelKnowles,50,0.56,0.56,0.0,right,right,right
@ColemanHughesOfficial,50,0.3,0.3,0.0,right,right,right
@BenShapiro,50,0.38,0.38,0.0,right,right,right
@MLChristiansen,50,0.7,0.7,0.0,right,right,right
@NewsmaxTV,50,0.54,0.54,0.0,right,right,right
@CBSNews,50,0.0,0.0,0.0,neutral,neutral,neutral
@AsmonTV,50,0.12,0.12,0.0,right,right,right
@ABCNews,50,0.0,0.0,0.0,neutral,neutral,neutral
@JesseKellyDC,50,0.58,0.58,0.0,right,right,right
@DylanBurnsLIVE,50,-0.12,-0.12,0.0,left,left,left
@FinancialTimes,16,0.0,0.0,0.0,neutral,neutral,neutral
@AssociatedPress,50,-0.02,-0.02,0.0,neutral,neutral,neutral
@Forthepeoplepodcast305,50,-0.32,-0.32,0.0,left,left,left
@BBCNews,50,0.0,0.0,0.0,neutral,neutral,neutral
@JillianMichaels,50,0.42,0.42,0.0,right,right,right
@RebelHQ,50,-0.82,-0.8,0.019999999999999907,left,left,left
@ChadPrather1,50,0.46,0.48,0.019999999999999962,right,right,right
@AnthonyBrianLogan,50,0.4,0.42,0.019999999999999962,right,right,right
@SabbySabs,50,-0.18,-0.16,0.01999999999999999,left,left,left
@RealAlexClark,50,0.14,0.16,0.01999999999999999,right,right,right
@POLITICO,50,-0.06,-0.04,0.019999999999999997,left,neutral,neutral
@NBCNews,50,-0.06,-0.04,0.019999999999999997,left,neutral,neutral
@ZeihanonGeopolitics,50,0.0,0.02,0.02,neutral,neutral,neutral
@LIVESNEAKO,50,-0.04,-0.02,0.02,neutral,neutral,neutral
@wsj,50,-0.02,0.0,0.02,neutral,neutral,neutral
@CoreyGilShusterAskProject,50,0.0,0.02,0.02,neutral,neutral,neutral
@Semafor,50,0.0,0.02,0.02,neutral,neutral,neutral
@aljazeeraenglish,50,-0.08,-0.06,0.020000000000000004,left,left,left
@FoxNews,50,0.36,0.38,0.020000000000000018,right,right,right
@dollemore,50,-0.86,-0.84,0.020000000000000018,left,left,left
@DropSiteNews,50,-0.4,-0.38,0.020000000000000018,left,left,left
@Timcast,50,0.32,0.34,0.020000000000000018,right,right,right
@bbrettcooper,50,0.24,0.26,0.020000000000000018,right,right,right
@RubinReport,50,0.64,0.66,0.020000000000000018,right,right,right
@HangOutwithSeanHannity,50,0.26,0.28,0.020000000000000018,right,right,right
@briantylercohen,50,-0.84,-0.82,0.020000000000000018,left,left,left
@ActualJusticeWarrior,50,0.76,0.78,0.020000000000000018,right,right,right
@MyronGainesX,50,0.36,0.38,0.020000000000000018,right,right,right
@OutKick,50,0.24,0.26,0.020000000000000018,right,right,right
@NovaraMedia,50,-0.38,-0.36,0.020000000000000018,left,left,left
@AndWeKnowOfficial-o9b,50,0.82,0.84,0.020000000000000018,right,right,right
@TheDonLemonShow,50,-0.62,-0.6,0.020000000000000018,left,left,left
@franifio,50,-0.4,-0.38,0.020000000000000018,left,left,left
@katiephangnews,50,-0.84,-0.8,0.039999999999999925,left,left,left
@aaronparnas1,50,-0.96,-0.92,0.039999999999999925,left,left,left
@AfterPartyEmily,50,0.46,0.5,0.03999999999999998,right,right,right
@DarkHorsePod,50,0.26,0.3,0.03999999999999998,right,right,right
@AndrewKlavan,50,0.4,0.44,0.03999999999999998,right,right,right
@moreperfectunion,50,-0.32,-0.28,0.03999999999999998,left,left,left
@Firstpost,50,-0.06,-0.02,0.039999999999999994,left,neutral,neutral
@CNN,50,-0.12,-0.08,0.039999999999999994,left,left,left
@wethefifth,50,-0.02,0.02,0.04,neutral,neutral,neutral
@PiersMorganUncensored,50,0.0,0.04,0.04,neutral,neutral,neutral
@NewsNation,50,0.0,0.04,0.04,neutral,neutral,neutral
@TimDillonShow,50,-0.04,0.0,0.04,neutral,neutral,neutral
@RSBN,50,0.22,0.26,0.04000000000000001,right,right,right
