model,word,log_odds_right_vs_left,z,count_right,count_left,rtd_contribution,rank_right,rank_left,n_right_titles,n_left_titles,rtd_total
label_claude_code_opus,fraud,1.942,5.98,67,10,0.00055,8.5,347.0,2556,3033,0.4924
label_claude_code_opus,women,1.461,5.7,72,18,0.00052,7.0,128.5,2556,3033,0.4924
label_claude_code_opus,democrats,1.109,5.65,94,34,0.00053,4.0,38.5,2556,3033,0.4924
label_claude_code_opus,woke,2.53,5.28,52,4,0.00052,13.0,1066.0,2556,3033,0.4924
label_claude_code_opus,left,1.201,4.99,67,22,0.00045,8.5,89.0,2556,3033,0.4924
label_claude_code_opus,charlie,1.517,4.87,51,12,0.00043,14.5,270.0,2556,3033,0.4924
label_claude_code_opus,california,1.882,4.82,44,7,0.00042,20.0,568.0,2556,3033,0.4924
label_claude_code_opus,america,0.648,4.28,115,67,0.00052,2.0,10.0,2556,3033,0.4924
label_claude_code_opus,kirk,1.131,4.21,51,18,0.00038,14.5,128.5,2556,3033,0.4924
label_claude_code_opus,democrat,1.309,4.09,41,12,0.00036,23.0,270.0,2556,3033,0.4924
label_claude_code_opus,trans,1.869,4.04,31,5,0.00036,34.5,849.0,2556,3033,0.4924
label_claude_code_opus,black,0.757,3.9,75,39,0.00039,6.0,28.5,2556,3033,0.4924
label_claude_code_opus,leftist,1.98,3.88,28,4,0.00034,45.0,1066.0,2556,3033,0.4924
label_claude_code_opus,pray,3.257,3.84,33,1,0.00043,31.0,4022.5,2556,3033,0.4924
label_claude_code_opus,liberal,1.604,3.68,28,6,0.00032,45.0,692.5,2556,3033,0.4924
label_claude_code_opus,newsom,1.492,3.64,29,7,0.00032,40.5,568.0,2556,3033,0.4924
label_claude_code_opus,islam,3.14,3.61,28,1,0.00038,45.0,4022.5,2556,3033,0.4924
label_claude_code_opus,biden,1.365,3.51,29,8,0.00031,40.5,473.5,2556,3033,0.4924
label_claude_code_opus,somali,2.384,3.46,22,2,0.0003,75.0,2064.5,2556,3033,0.4924
label_claude_code_opus,levin,1.98,3.36,21,3,0.00027,84.0,1411.0,2556,3033,0.4924
