genre,creator,group,x,y,style_cluster,pc1_var,pc2_var
videos,@60minutes,neutral,1.1738,-0.402,8,0.172,0.145
videos,@ABCNews,neutral,-0.8546,-0.365,5,0.172,0.145
videos,@ANINewsIndia,neutral,0.787,0.5885,5,0.172,0.145
videos,@ActualJusticeWarrior,right,-0.6815,-3.0638,3,0.172,0.145
videos,@AfterPartyEmily,right,1.0818,1.7771,6,0.172,0.145
videos,@AlexStein99,right,-1.2635,-0.4342,0,0.172,0.145
videos,@AndWeKnowOfficial-o9b,right,3.15,0.1879,1,0.172,0.145
videos,@AndrewKlavan,right,-1.437,0.7443,2,0.172,0.145
videos,@AnthonyBrianLogan,right,0.4653,-0.9327,3,0.172,0.145
videos,@AsmonTV,right,-0.5218,-0.517,0,0.172,0.145
videos,@AssociatedPress,neutral,-0.7562,0.4389,5,0.172,0.145
videos,@BBCNews,neutral,-1.2199,0.9677,5,0.172,0.145
videos,@BadEmpanadaLive,left,-1.1981,-1.3465,3,0.172,0.145
videos,@BadFaithPodcast,left,3.4006,2.302,6,0.172,0.145
videos,@BelleRanch,left,0.6253,3.9601,9,0.172,0.145
videos,@BenShapiro,right,-1.4248,-0.2559,0,0.172,0.145
videos,@BlackConservativePerspective,right,2.4327,-2.4641,1,0.172,0.145
videos,@BlazeTV,right,1.1715,0.778,6,0.172,0.145
videos,@BreakThroughNews,left,0.1407,1.2911,0,0.172,0.145
videos,@BrittanyVenti,neutral,-0.9478,-0.7706,0,0.172,0.145
videos,@CBSNews,neutral,-0.5464,0.4298,5,0.172,0.145
videos,@CNN,left,-0.5562,0.4516,5,0.172,0.145
videos,@CamHigby,right,-0.8139,-0.1436,0,0.172,0.145
videos,@CashJordan,right,2.7634,-1.3939,1,0.172,0.145
videos,@ChadPrather1,right,0.1166,0.4133,0,0.172,0.145
videos,@ClipsCandaceOwens,neutral,-0.3469,0.1018,0,0.172,0.145
videos,@ClubRandomPodcast,neutral,-0.2635,0.6849,6,0.172,0.145
videos,@ColemanHughesOfficial,right,-1.1918,1.2962,2,0.172,0.145
videos,@DailyDenims,left,1.1323,-0.0239,1,0.172,0.145
videos,@DannyHaiphongYT,left,2.7672,-0.1617,6,0.172,0.145
videos,@DarkHorsePod,right,0.7112,0.3431,3,0.172,0.145
videos,@DemocracyDocket,left,0.0638,1.3888,0,0.172,0.145
videos,@DemocracyNow,left,2.4331,0.9908,6,0.172,0.145
videos,@DestinyDGGClips,right,-0.3241,0.4141,0,0.172,0.145
videos,@DoubleDownNews,left,1.4041,-0.5757,1,0.172,0.145
videos,@DrSteveTurleyTV,right,0.9191,-0.3334,1,0.172,0.145
videos,@DropSiteNews,left,0.3213,-0.248,3,0.172,0.145
videos,@DueDissidence,left,1.1692,-2.0664,3,0.172,0.145
videos,@DylanBurnsLIVE,left,-2.0547,-1.2722,3,0.172,0.145
videos,@EzraKleinShow,left,-1.8155,0.9631,2,0.172,0.145
videos,@FarronBalanced,left,-0.6148,-1.1095,3,0.172,0.145
videos,@Firstpost,neutral,2.0469,0.8914,8,0.172,0.145
videos,@FleccasTalks,right,0.1916,-3.5002,1,0.172,0.145
videos,@Forbes,neutral,0.6325,1.1676,8,0.172,0.145
videos,@Forthepeoplepodcast305,left,0.0005,-0.9619,3,0.172,0.145
videos,@FoxNews,right,0.5167,0.0583,5,0.172,0.145
videos,@FoxNewsChannelClips,right,0.609,0.1192,5,0.172,0.145
videos,@FreshFitMiami,right,0.3766,0.628,0,0.172,0.145
videos,@GeopoliticalEconomyReport,left,-2.5113,0.744,2,0.172,0.145
videos,@GlennKirschner2,left,-0.3108,-0.4095,3,0.172,0.145
videos,@GrahamAllen,right,-0.6144,-0.5116,3,0.172,0.145
videos,@HangOutwithSeanHannity,right,-0.0367,0.475,0,0.172,0.145
videos,@HasanAbi,left,-1.2696,-0.9561,0,0.172,0.145
videos,@HasanAbiVODs3,left,3.5873,-0.5177,8,0.172,0.145
videos,@HasanReactionsfanTwo,left,0.3772,-0.9933,3,0.172,0.145
videos,@HasanabiClips,left,1.0559,-0.6229,0,0.172,0.145
videos,@JackCocchiarellaShow,left,-0.6851,-0.8264,3,0.172,0.145
videos,@JacksonHinkleOfficial,neutral,-0.3448,-3.0866,1,0.172,0.145
videos,@JamarlThomas,left,0.7547,1.1297,6,0.172,0.145
videos,@JesseKellyDC,right,-0.8085,-1.0248,3,0.172,0.145
videos,@JillianMichaels,right,-0.1978,0.4707,0,0.172,0.145
videos,@JustPearlyThings,right,-0.8972,-0.3953,0,0.172,0.145
videos,@KimIversen,neutral,-1.3887,0.3855,0,0.172,0.145
videos,@LIVESNEAKO,neutral,-0.8339,-0.9708,3,0.172,0.145
videos,@LeejaMiller,left,-2.1094,1.0335,2,0.172,0.145
videos,@LegalAFMTN,left,1.2288,-1.7938,1,0.172,0.145
videos,@LegalEagle,left,-1.7767,-1.3938,3,0.172,0.145
videos,@LeverNews,left,-0.4085,2.2239,6,0.172,0.145
videos,@LiberalHivemind,right,-0.1356,-0.1589,0,0.172,0.145
videos,@LukeBeasley,left,1.1613,-0.6813,1,0.172,0.145
videos,@MLChristiansen,right,1.4303,0.3046,6,0.172,0.145
videos,@MarkDice,right,0.2027,0.7437,0,0.172,0.145
videos,@MattWalsh,right,-0.9915,0.7138,0,0.172,0.145
videos,@MegynKelly,right,2.034,1.538,6,0.172,0.145
videos,@MeidasTouch,left,0.6824,-2.3694,1,0.172,0.145
videos,@MichaelKnowles,right,0.2397,-0.4009,3,0.172,0.145
videos,@MichaelMaliceofficial,right,1.6905,1.4478,6,0.172,0.145
videos,@MikeFromPA,left,-0.3978,-0.2537,2,0.172,0.145
videos,@MrTariqNasheed,right,-1.0558,0.6124,2,0.172,0.145
videos,@MyronGainesX,right,0.7243,-0.608,3,0.172,0.145
videos,@NBCNews,neutral,-0.7952,-0.1849,5,0.172,0.145
videos,@NPR,left,0.3642,1.9738,5,0.172,0.145
videos,@NYTPodcasts,left,-0.8021,0.5724,2,0.172,0.145
videos,@NewsNation,neutral,0.3281,1.2839,5,0.172,0.145
videos,@NewsmaxTV,right,1.1026,2.1543,5,0.172,0.145
videos,@NovaraMedia,left,-0.5278,-0.9539,3,0.172,0.145
videos,@OfficialSaharTV,right,0.1453,0.1296,0,0.172,0.145
videos,@OwenJonesTalks,left,-0.8062,-1.2565,3,0.172,0.145
videos,@OwenReport,left,-0.6495,-0.153,3,0.172,0.145
videos,@POLITICO,neutral,-1.8216,0.1406,5,0.172,0.145
videos,@PTLRadioShow,left,0.2377,-0.334,3,0.172,0.145
videos,@PartOfTheProblem,right,-2.3362,-1.7436,3,0.172,0.145
videos,@PiersMorganUncensored,neutral,4.1748,2.161,4,0.172,0.145
videos,@PiscoLitty,left,1.126,-1.8763,1,0.172,0.145
videos,@Politicon,left,-1.0839,0.6921,2,0.172,0.145
videos,@PoliticsGirl,left,-2.2588,0.586,2,0.172,0.145
videos,@PoliticsJOE,left,-0.0713,-0.2561,3,0.172,0.145
videos,@PragerU,right,1.3119,0.9096,6,0.172,0.145
videos,@RSBN,right,3.6746,1.2612,7,0.172,0.145
videos,@RealAlexClark,right,1.7492,2.5659,6,0.172,0.145
videos,@RealAmericasVoice,right,1.1075,-0.724,3,0.172,0.145
videos,@RealDanBongino,right,-1.4982,0.086,0,0.172,0.145
videos,@RebelHQ,left,-0.0749,-1.5394,3,0.172,0.145
videos,@RebelNewsOnline,right,-0.4732,0.2361,0,0.172,0.145
videos,@RedactedNews,right,0.396,1.1933,0,0.172,0.145
videos,@RestPoliticsUS,left,-1.3236,0.0497,2,0.172,0.145
videos,@Reuters,neutral,-1.3594,-0.4052,5,0.172,0.145
videos,@RileyGaines,right,-0.778,0.5143,0,0.172,0.145
videos,@RobertGouveiaEsq,right,0.9122,-3.1225,3,0.172,0.145
videos,@RonPlacone,left,1.3566,0.8511,6,0.172,0.145
videos,@RubinReport,right,0.339,0.4139,0,0.172,0.145
videos,@RufoandLomez,right,-0.7938,0.5298,2,0.172,0.145
videos,@SMN,left,-0.3364,0.6167,0,0.172,0.145
videos,@SabbySabs,left,-0.3372,-2.64,3,0.172,0.145
videos,@SaltyCracker,right,-0.4562,-0.5942,3,0.172,0.145
videos,@SecularTalk,left,1.7237,-1.0807,1,0.172,0.145
videos,@Semafor,neutral,1.8145,0.7061,6,0.172,0.145
videos,@SkyNews,left,-0.6844,0.8106,5,0.172,0.145
videos,@StatusCoup,left,1.8879,-1.1443,1,0.172,0.145
