genre,creator,group,x,y,topic_cluster
videos,@60minutes,neutral,-0.429,-0.1832,0
videos,@ABCNews,neutral,0.1347,-0.2837,0
videos,@ANINewsIndia,neutral,0.0461,-0.6709,0
videos,@ActualJusticeWarrior,right,0.1003,0.5178,0
videos,@AfterPartyEmily,right,0.0362,0.2652,0
videos,@AlexStein99,right,-0.0132,0.6588,0
videos,@AndWeKnowOfficial-o9b,right,-0.4862,-0.3251,0
videos,@AndrewKlavan,right,-0.3398,0.2693,0
videos,@AnthonyBrianLogan,right,0.3455,0.3153,0
videos,@AsmonTV,right,-0.1933,0.5996,0
videos,@AssociatedPress,neutral,0.0945,-0.3791,0
videos,@BBCNews,neutral,-0.0681,-0.4198,0
videos,@BadEmpanadaLive,left,-0.3452,-0.2502,0
videos,@BadFaithPodcast,left,-0.2772,0.5275,0
videos,@BelleRanch,left,0.5368,-0.4322,0
videos,@BenShapiro,right,-0.0226,0.141,0
videos,@BlackConservativePerspective,right,0.4142,0.3801,0
videos,@BlazeTV,right,0.1274,0.1329,0
videos,@BreakThroughNews,left,-0.1095,-0.5648,0
videos,@BrittanyVenti,neutral,-0.5118,0.496,0
videos,@CBSNews,neutral,0.119,-0.2525,0
videos,@CNN,left,0.0889,-0.2409,0
videos,@CamHigby,right,0.4181,0.5262,0
videos,@CashJordan,right,-0.2299,-0.6005,0
videos,@ChadPrather1,right,-0.3612,0.4133,0
videos,@ClipsCandaceOwens,neutral,0.195,0.5546,0
videos,@ClubRandomPodcast,neutral,-0.3088,0.7204,0
videos,@ColemanHughesOfficial,right,-0.5362,0.1084,0
videos,@DailyDenims,left,-0.0755,0.4815,0
videos,@DannyHaiphongYT,left,0.0524,-0.7765,0
videos,@DarkHorsePod,right,-0.5215,0.3439,0
videos,@DemocracyDocket,left,0.724,0.0855,0
videos,@DemocracyNow,left,0.1752,-0.44,0
videos,@DestinyDGGClips,right,-0.1587,0.69,0
videos,@DoubleDownNews,left,0.3077,-0.6702,0
videos,@DrSteveTurleyTV,right,0.3419,0.0258,0
videos,@DropSiteNews,left,-0.0209,-0.6106,0
videos,@DueDissidence,left,0.1244,-0.1573,0
videos,@DylanBurnsLIVE,left,-0.1276,-0.5069,0
videos,@EzraKleinShow,left,-0.462,-0.1255,0
videos,@FarronBalanced,left,0.5282,-0.1317,0
videos,@Firstpost,neutral,-0.0428,-0.5417,0
videos,@FleccasTalks,right,-0.3014,0.4364,0
videos,@Forbes,neutral,-0.4969,-0.2313,0
videos,@Forthepeoplepodcast305,left,0.1441,-0.5152,0
videos,@FoxNews,right,0.0965,-0.1314,0
videos,@FoxNewsChannelClips,right,0.054,-0.0089,0
videos,@FreshFitMiami,right,-0.5887,0.5423,0
videos,@GeopoliticalEconomyReport,left,-0.2671,-0.657,0
videos,@GlennKirschner2,left,0.6976,-0.1347,0
videos,@GrahamAllen,right,0.4217,0.3089,0
videos,@HangOutwithSeanHannity,right,-0.2641,0.3282,0
videos,@HasanAbi,left,0.145,0.2218,0
videos,@HasanAbiVODs3,left,-0.8308,-0.2155,1
videos,@HasanReactionsfanTwo,left,0.4091,0.055,0
videos,@HasanabiClips,left,0.6383,0.1593,0
videos,@JackCocchiarellaShow,left,0.6799,-0.0748,0
videos,@JacksonHinkleOfficial,neutral,0.1047,-0.6727,0
videos,@JamarlThomas,left,-0.1316,-0.6795,0
videos,@JesseKellyDC,right,0.4757,0.2012,0
videos,@JillianMichaels,right,-0.0956,0.0692,0
videos,@JustPearlyThings,right,-0.3704,0.5977,0
videos,@KimIversen,neutral,-0.0305,-0.2935,0
videos,@LIVESNEAKO,neutral,-0.5489,0.0445,0
videos,@LeejaMiller,left,-0.4871,0.0213,0
videos,@LegalAFMTN,left,0.658,-0.1919,0
videos,@LegalEagle,left,0.5935,0.3064,0
videos,@LeverNews,left,-0.5595,-0.2883,0
videos,@LiberalHivemind,right,0.2415,0.3678,0
videos,@LukeBeasley,left,0.6643,0.0602,0
videos,@MLChristiansen,right,0.3532,0.543,0
videos,@MarkDice,right,0.2405,0.4577,0
videos,@MattWalsh,right,-0.1098,0.3732,0
videos,@MegynKelly,right,0.1878,0.2023,0
videos,@MeidasTouch,left,0.5786,-0.2567,0
videos,@MichaelKnowles,right,-0.0107,0.257,0
videos,@MichaelMaliceofficial,right,-0.688,0.2015,0
videos,@MikeFromPA,left,-0.6164,-0.1219,0
videos,@MrTariqNasheed,right,0.2089,0.6987,0
videos,@MyronGainesX,right,-0.5557,0.2965,0
videos,@NBCNews,neutral,0.1897,-0.2502,0
videos,@NPR,left,-0.6302,-0.2049,0
videos,@NYTPodcasts,left,-0.0927,-0.1736,0
videos,@NewsNation,neutral,0.0498,-0.1412,0
videos,@NewsmaxTV,right,0.1113,0.0158,0
videos,@NovaraMedia,left,-0.1903,-0.3382,0
videos,@OfficialSaharTV,right,0.3954,-0.528,0
videos,@OwenJonesTalks,left,0.1151,-0.6119,0
videos,@OwenReport,left,0.2721,-0.0227,0
videos,@POLITICO,neutral,0.1883,-0.4037,0
videos,@PTLRadioShow,left,0.5573,0.1356,0
videos,@PartOfTheProblem,right,-0.4465,-0.0706,0
videos,@PiersMorganUncensored,neutral,0.2839,-0.4834,0
videos,@PiscoLitty,left,0.5058,0.5107,0
videos,@Politicon,left,-0.1216,0.1026,0
videos,@PoliticsGirl,left,-0.3738,0.307,0
videos,@PoliticsJOE,left,0.3136,-0.5852,0
videos,@PragerU,right,-0.344,0.1273,0
videos,@RSBN,right,-0.3531,-0.3115,0
videos,@RealAlexClark,right,-0.6715,0.4168,0
videos,@RealAmericasVoice,right,0.1044,-0.0066,0
videos,@RealDanBongino,right,-0.1936,0.2988,0
videos,@RebelHQ,left,0.5263,-0.0307,0
videos,@RebelNewsOnline,right,0.3548,-0.3924,0
videos,@RedactedNews,right,-0.1556,-0.2803,0
videos,@RestPoliticsUS,left,0.4544,-0.3566,0
videos,@Reuters,neutral,-0.0078,-0.4102,0
videos,@RileyGaines,right,0.0774,0.6268,0
videos,@RobertGouveiaEsq,right,0.5852,0.2668,0
videos,@RonPlacone,left,-0.5908,0.2256,0
videos,@RubinReport,right,0.2557,0.2011,0
videos,@RufoandLomez,right,-0.5763,0.1428,0
videos,@SMN,left,-0.1181,-0.176,0
videos,@SabbySabs,left,0.1744,-0.102,0
videos,@SaltyCracker,right,0.1376,0.4973,0
videos,@SecretScholars,right,0.0831,0.6997,0
videos,@SecularTalk,left,0.3418,-0.0862,0
videos,@Semafor,neutral,-0.6209,-0.3268,0
videos,@SkyNews,left,-0.0449,-0.4215,0
videos,@StatusCoup,left,0.4888,-0.2694,0
videos,@StevenCrowder,right,-0.0066,0.4935,0
videos,@Styxhexenhammer666,right,-0.1338,0.018,0
videos,@SydneyWatson,right,-0.4701,0.5697,0
videos,@TechCrunch,neutral,-0.7922,0.0249,0
videos,@TheAdamCarollaShow1,right,0.0316,0.5219,0
videos,@TheAmalaEkpunobi,right,-0.0277,0.6346,0
videos,@TheAtlantic,left,-0.3022,-0.0713,0
videos,@TheBrianKilmeadeShow,right,-0.1271,-0.3321,0
videos,@TheDailyBeast,left,0.3705,-0.6604,0
videos,@TheDamageReport,left,0.5099,-0.0854,0
