genre,titles,creator,group,nn1,nn2,nn3,nn4,nn5,nn1_group,nn2_group,nn3_group,nn4_group,nn5_group,nn1_dist,nn2_dist,nn3_dist,nn4_dist,nn5_dist
videos,all,@60minutes,neutral,@Forbes,@PiscoLitty,@newdiscourses,@ponderingpolitics,@Firstpost,neutral,left,right,left,neutral,3.813,4.284,4.292,4.319,4.346
videos,all,@ABCNews,neutral,@CBSNews,@NBCNews,@Reuters,@CNN,@POLITICO,neutral,neutral,neutral,left,neutral,1.321,1.381,1.669,1.676,1.84
videos,all,@ANINewsIndia,neutral,@USATODAY,@AssociatedPress,@CBSNews,@ABCNews,@SkyNews,neutral,neutral,neutral,neutral,left,1.562,2.22,2.402,2.571,2.571
videos,all,@ActualJusticeWarrior,right,@TheYoungTurks,@SabbySabs,@FarronBalanced,@JesseKellyDC,@OwenJonesTalks,left,left,left,right,left,2.265,2.269,2.387,2.494,2.51
videos,all,@AfterPartyEmily,right,@MegynKelly,https://rumble.com/c/GGreenwald,@FreshFitMiami,@MyronGainesX,@BlazeTV,right,left,right,right,right,2.41,2.536,2.559,2.765,2.795
videos,all,@AlexStein99,right,@BenShapiro,@destiny,@RealDanBongino,@hutch,@StevenCrowder,right,left,right,neutral,right,1.307,1.342,1.372,1.393,1.393
videos,all,@AndWeKnowOfficial-o9b,right,https://rumble.com/c/BannonsWarRoom,@RonPlacone,@HasanabiClips,@MichaelMaliceofficial,@LegalAFMTN,right,left,left,right,left,6.504,6.518,6.575,6.669,6.669
videos,all,@AndrewKlavan,right,@theisabelbrown,@Politicon,@thomhartmann,@nousnetwork,@TheAtlantic,right,left,left,left,left,1.481,1.581,1.589,1.601,1.699
videos,all,@AnthonyBrianLogan,right,@Forthepeoplepodcast305,@nypost,@oann,@TheMichaelCohenShow,@HasanReactionsfanTwo,left,right,right,left,left,1.492,1.659,1.718,1.782,1.843
videos,all,@AsmonTV,right,https://rumble.com/c/russellbrand,@ClipsCandaceOwens,@The_Crucible,@SydneyWatson,@LiberalHivemind,right,neutral,right,right,right,2.413,3.691,3.726,3.743,3.817
videos,all,@AssociatedPress,neutral,@CBSNews,@Reuters,@CNN,@ABCNews,@USATODAY,neutral,neutral,left,neutral,neutral,1.381,1.685,1.796,1.843,2.007
videos,all,@BBCNews,neutral,@SkyNews,@CNN,@aljazeeraenglish,@CBSNews,@POLITICO,left,left,left,neutral,neutral,1.482,1.896,1.969,2.016,2.032
videos,all,@BadEmpanadaLive,left,@TheYoungTurks,@AlexStein99,@BenShapiro,@destiny,@JesseKellyDC,left,right,right,left,right,1.234,1.506,1.543,1.621,1.647
videos,all,@BadFaithPodcast,left,@MegynKelly,@marclamonthillnetwork,@cafedotcom,@Semafor,@MichaelMaliceofficial,right,left,left,neutral,right,2.953,2.986,3.066,3.163,3.359
videos,all,@BelleRanch,left,@AsmonTV,https://rumble.com/c/russellbrand,@harryjsisson,@ClipsCandaceOwens,@TheRealTabithaSpeaks,right,right,left,neutral,left,11.516,11.826,11.934,12.253,12.355
videos,all,@BenShapiro,right,@KimIversen,@StevenCrowder,@RealDanBongino,@AlexStein99,@hutch,neutral,right,right,right,neutral,1.096,1.152,1.295,1.307,1.354
videos,all,@BlackConservativePerspective,right,@katiephangnews,@TheOfficerTatum,@MeidasTouch,@LegalAFMTN,@SecularTalk,left,right,left,left,left,2.343,2.808,3.134,3.291,3.701
videos,all,@BlazeTV,right,@winston_marshall,@JillianMichaels,@TheBrianKilmeadeShow,@glennbeck,@MarkDice,right,right,right,right,right,2.347,2.462,2.479,2.575,2.651
videos,all,@BreakThroughNews,left,@jimacosta,@zeteo,@HangOutwithSeanHannity,@TomiLahrenIsFearless,@DropSiteNews,left,left,right,right,left,1.947,1.96,2.028,2.097,2.1
videos,all,@BrittanyVenti,neutral,@RealDanBongino,@GrahamAllen,@XAVIAER,@winston_marshall,@TheYoungTurks,right,right,right,right,left,1.952,2.025,2.086,2.175,2.181
videos,all,@CBSNews,neutral,@CNN,@ABCNews,@AssociatedPress,@NBCNews,@Reuters,left,neutral,neutral,neutral,neutral,1.234,1.321,1.381,1.658,1.666
videos,all,@CNN,left,@CBSNews,@SkyNews,@ABCNews,@NBCNews,@AssociatedPress,neutral,left,neutral,neutral,neutral,1.234,1.411,1.676,1.705,1.796
videos,all,@CamHigby,right,@Xanderhal,@RileyGaines,@DestinyDGGClips,@OfficialSaharTV,@TheAmalaEkpunobi,left,right,right,right,right,1.148,1.489,1.52,1.588,1.641
videos,all,@CashJordan,right,@StatusCoup,@lonerboxlive,@PiscoLitty,@RealAmericasVoice,@ponderingpolitics,left,right,left,right,left,3.879,3.914,4.514,4.525,4.687
videos,all,@ChadPrather1,right,@JillianMichaels,@morebridgetphetasy,@FreshFitMiami,@RubinReport,@TheHumanistReport,right,right,right,right,left,1.518,1.587,1.653,1.657,1.732
videos,all,@ClipsCandaceOwens,neutral,https://rumble.com/c/russellbrand,@winston_marshall,@hutch,@LiberalHivemind,@TheMichaelCohenShow,right,right,neutral,right,left,1.98,2.47,2.621,2.696,2.73
videos,all,@ClubRandomPodcast,neutral,@TheDonLemonShow,@TheJoyReidShow,@markets,@DarkHorsePod,@clayandbuck,left,left,neutral,right,right,1.715,1.716,1.977,1.995,2.017
videos,all,@ColemanHughesOfficial,right,@judgingfreedom,@MrTariqNasheed,@chriscuomo,@RestPoliticsUS,@RufoandLomez,left,right,left,left,right,2.022,2.036,2.105,2.207,2.344
videos,all,@DailyDenims,left,https://rumble.com/c/TheAlexJonesShowLive,@MichaelKnowles,@FoxNews,@BlazeTV,@DarkHorsePod,right,right,right,right,right,2.313,2.665,3.065,3.142,3.183
videos,all,@DannyHaiphongYT,left,@TuckerCarlson,@JamarlThomas,@lovettorleaveitpodcast,@TheAdamCarollaShow1,@bulwarkmedia,neutral,left,left,right,left,4.227,4.695,5.093,5.223,5.284
videos,all,@DarkHorsePod,right,@MichaelKnowles,@TheJoyReidShow,@DropSiteNews,@underthedesknews,@ClubRandomPodcast,right,left,left,left,neutral,1.708,1.763,1.781,1.848,1.995
videos,all,@DemocracyDocket,left,@clayandbuck,@TheJoyReidShow,https://rumble.com/c/GGreenwald,@bulwarkmedia,@wethefifth,right,left,left,left,neutral,1.71,1.749,1.982,2.01,2.091
videos,all,@DemocracyNow,left,@MLChristiansen,@rolandsmartin,@nypost,@lonerboxlive,@timesofindia,right,left,right,right,left,2.051,2.225,2.727,2.773,2.788
videos,all,@DestinyDGGClips,right,@OfficialSaharTV,@CamHigby,@glennbeck,@MattWalsh,@RileyGaines,right,right,right,right,right,1.366,1.52,1.703,1.92,2.09
videos,all,@DoubleDownNews,left,@DrSteveTurleyTV,@SecularTalk,@StatusCoup,@TheOfficerTatum,@LegalAFMTN,right,left,left,right,left,2.846,2.858,3.44,3.469,3.473
videos,all,@DrSteveTurleyTV,right,@DoubleDownNews,@LegalAFMTN,@RubinReport,@JillianMichaels,@TheOfficerTatum,left,left,right,right,right,2.846,2.995,3.026,3.053,3.07
videos,all,@DropSiteNews,left,@MichaelKnowles,@nypost,@NovaraMedia,@TheMajorityReport,@podsaveamerica,right,right,left,left,left,0.995,1.509,1.625,1.658,1.691
videos,all,@DueDissidence,left,@breakingpoints,@dollemore,https://rumble.com/c/nickjfuentes,@LegalAFMTN,@RealAmericasVoice,left,left,right,left,right,1.346,1.572,1.843,1.93,1.96
videos,all,@DylanBurnsLIVE,left,@Styxhexenhammer666,@PartOfTheProblem,@LegalEagle,@ThePodcastoftheLotusEaters,@TheLincolnProject,right,right,left,right,left,1.597,1.651,1.672,1.804,1.851
